#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Unknown2,Subtype,Unknown1,Category
179,오미크론족 '라스트 렘넌트',199966,344,0,0,0,2315,5,0,0,3
180,카페,194012,1,0,0,0,11,2,0,0,1
181,체크,194013,1,0,0,0,12,2,0,0,1
182,반짝반짝,194014,1,0,0,0,13,2,0,0,1
183,세로 줄무늬,194015,1,0,0,0,14,2,0,0,1
184,가로 줄무늬,194016,1,0,0,0,15,2,0,0,1
185,하트,194017,1,0,0,0,16,2,0,0,1
186,꺾은 줄무늬,194018,1,0,0,0,17,2,0,0,1
187,삼잎 무늬,194019,1,0,0,0,18,2,0,0,1
188,깅엄 체크,194020,1,0,0,0,19,2,0,0,1
189,크리스탈,194021,1,0,0,0,20,2,0,0,1
190,동방풍,195012,1,0,0,0,11,1,0,0,1
191,지그재그,198012,1,0,0,0,11,4,0,0,1
192,마스킹 테이프: 난색,198013,1,0,0,0,12,4,0,0,1
193,마스킹 테이프: 한색,198014,1,0,0,0,13,4,0,0,1
194,카페,199012,1,0,0,0,11,5,0,0,1
195,기타 피크,199013,347,0,0,0,13,5,0,0,7
196,바이올린,199014,347,0,0,0,12,5,0,0,7
197,자동인형 001,234401,348,0,0,0,5600,5,1,0,6
198,초코초코보,234402,349,0,0,0,5000,5,1,0,6
199,꼬마 봄,234403,350,0,0,0,5050,5,1,0,6
200,베이비모스,234405,351,608,0,793,5051,5,1,0,6
201,몰볼 묘목,234412,352,0,0,0,5052,5,1,0,6
202,먼지토끼,234424,353,0,0,0,5061,5,1,0,6
203,미니텐더,234429,354,0,0,0,5062,5,1,0,6
204,아기 게,234430,355,0,0,0,5063,5,1,0,6
205,새싹 구부,234436,356,0,0,0,5075,5,1,0,6
206,악마의 벽돌,234439,357,0,0,0,5076,5,1,0,6
207,자동 커서,234444,358,609,0,0,5655,5,1,0,6
208,키키룬 인형,234446,359,0,0,0,5350,5,1,0,6
209,아기 늑대,234450,360,0,0,0,5064,5,1,0,6
210,꼬마 커얼,234452,361,0,0,0,5056,5,1,0,6
211,톤베리 인형,234453,362,0,0,0,5059,5,1,0,6
212,빗자루 인형,234471,363,0,0,0,5656,5,1,0,6
213,모그리 인형,234472,364,610,0,795,5002,5,1,0,6
214,너츠 이터,234487,365,0,0,0,5201,5,1,0,6
215,뚱냥이,234507,366,0,0,0,5202,5,1,0,6
216,꼬마 물요정,234511,367,0,0,0,5750,5,1,0,6
217,추종 시스템,234542,368,0,0,0,5650,5,1,0,6
218,꼬마 파이싸,234558,369,0,0,0,5088,5,1,0,6
219,꼬마 머윗잎 요정,234566,370,0,0,0,5090,5,1,0,6
220,달달이,234641,371,0,0,0,5251,5,1,0,6
221,나마즈오 인형,234653,372,0,0,0,5351,5,1,0,6
222,쿠로 인형,234660,373,0,0,0,5542,5,1,0,6
223,콩알시바,234667,374,0,0,0,5210,5,1,0,6
224,롱카의 물뱀?,234737,375,0,0,0,5217,5,1,0,6
225,자이언트 비버,234742,376,0,0,0,5353,5,1,0,6
226,지휘관 상어,234775,377,0,0,0,5258,5,1,0,6
227,캐트시 인형,234404,378,611,0,796,5602,5,1,0,6
228,파랑새,234416,379,0,0,0,5300,5,1,0,6
229,꼬마 도도,234432,380,0,0,0,5065,5,1,0,6
230,꼬마 아프칼루,234435,381,0,0,0,5074,5,1,0,6
231,꼬마 양,234441,382,0,0,0,5077,5,1,0,6
232,작은 만드라고라,234442,383,0,0,0,5066,5,1,0,6
233,말 없는 콜리브리,234462,384,0,0,0,5080,5,1,0,6
234,서큐버스 인형,234475,385,0,0,0,5082,5,1,0,6
235,길가메시 인형,234476,386,612,624,0,5570,5,1,0,6
236,양파 왕자,234477,387,0,0,0,5067,5,1,0,6
237,가지 기사,234478,388,0,0,0,5068,5,1,0,6
238,마늘 광대,234479,389,0,0,0,5069,5,1,0,6
239,토마토 왕,234480,390,0,0,0,5070,5,1,0,6
240,만드라 왕비,234481,391,0,0,0,5071,5,1,0,6
241,오르트로스 인형,234504,392,0,0,0,5572,5,1,0,6
242,엔키두,234521,393,0,0,0,5571,5,1,0,6
243,미니 아토모스,234529,394,0,0,0,5085,5,1,0,6
244,게일리키튼,234532,395,0,0,0,5086,5,1,0,6
245,레서판다,234534,396,0,0,0,5204,5,1,0,6
246,왕자 펭귄,234564,397,0,0,0,5304,5,1,0,6
247,아기돼지,234600,398,0,0,0,5751,5,1,0,6
248,아기 멧돼지,234616,399,0,0,0,5095,5,1,0,6
249,길참새,234647,400,0,0,0,5305,5,1,0,6
250,키메라 인형,234655,401,0,0,0,5605,5,1,0,6
251,꼬마 눈요정,234719,402,0,0,0,5096,5,1,0,6
252,콩알여우,234642,403,0,0,0,5207,5,1,0,6
253,넓적부리황새,234749,404,0,0,0,5306,5,1,0,6
254,한입 포크시,234753,405,0,0,0,5097,5,1,0,6
255,모래여우,234787,406,0,0,0,5221,5,1,0,6
256,모모라 모라!!!,234796,407,0,0,0,5260,5,1,0,6
257,픽시족 '꿈나라 요정',199962,429,0,0,0,2311,5,0,0,3
258,키타리족 '루리 발굴대',199963,430,0,0,0,2312,5,0,0,3
259,드워프족 '와츠의 망치 작업장',199964,431,0,0,0,2313,5,0,0,3
260,아르카소다라족 '하마운송',199965,432,0,0,0,2314,5,0,0,3
261,레포릿족 '꿈꾸는 체험관',199967,433,0,0,0,2316,5,0,0,3
262,절 오메가 검증전,195705,434,0,0,0,2504,1,0,0,4
263,절 오메가 검증전,197706,434,0,0,0,2504,3,0,0,4
264,절 오메가 검증전,198705,434,0,0,0,2504,4,0,0,4
265,절 오메가 검증전,199705,434,0,0,0,2504,5,0,0,4
266,통통 초코보,234506,435,0,0,0,5001,5,1,0,6
267,작은 슬라임,234451,436,0,0,0,5078,5,1,0,6
268,아기 오포오포,234470,437,0,0,0,5081,5,1,0,6
269,리틀풋,234508,438,0,0,0,5083,5,1,0,6
270,뽈록눈,234563,439,0,0,0,5089,5,1,0,6
271,모르포,234579,440,0,0,0,5091,5,1,0,6
272,포로 록고,234580,441,0,0,0,5092,5,1,0,6
273,또륵이,234805,442,0,0,0,5099,5,1,0,6
274,봄보코,234646,443,0,0,0,5209,5,1,0,6
275,고슴도치,234730,444,0,0,0,5215,5,1,0,6
276,하늘다람쥐,234862,445,0,0,0,5229,5,1,0,6
277,기드,234658,446,0,0,0,5252,5,1,0,6
278,깨알물범,234672,447,0,0,0,5253,5,1,0,6
279,우파루파,234673,448,0,0,0,5254,5,1,0,6
280,오리부리,234740,449,0,0,0,5256,5,1,0,6
281,미운 아기 오리,234531,450,0,0,0,5302,5,1,0,6
282,백호랑,234684,451,0,0,0,5463,5,1,0,6
283,주공작,234703,452,0,0,0,5464,5,1,0,6
284,청제,234727,453,0,0,0,5466,5,1,0,6
285,야슈톨라 인형,234500,454,0,0,0,5500,5,1,0,6
286,민필리아 인형,234488,455,0,0,0,5503,5,1,0,6
287,산크레드 인형,234489,456,0,0,0,5504,5,1,0,6
288,이다 인형,234501,457,0,0,0,5506,5,1,0,6
289,파파리모 인형,234502,458,0,0,0,5508,5,1,0,6
290,위리앙제 인형,234503,459,0,0,0,5509,5,1,0,6
291,알피노 인형,234519,460,0,0,0,5513,5,1,0,6
292,알리제 인형,234520,461,0,0,0,5514,5,1,0,6
293,타타루 인형,234526,462,0,0,0,5516,5,1,0,6
294,시드 인형,234527,463,0,0,0,5518,5,1,0,6
295,야옹 소선생,234856,464,0,0,0,5607,5,1,0,6
296,딥 던전: 에우레카 오르토스 1,197711,465,0,0,0,2358,3,0,0,4
297,딥 던전: 에우레카 오르토스 2,197712,466,0,0,0,2359,3,0,0,4
298,연대기 퀘스트: 사성수기담,198706,467,0,0,0,2251,4,0,0,3
299,무인도 개척 1,198707,468,0,0,0,2340,4,0,0,8
300,무인도 개척 2,198708,469,0,0,0,2341,4,0,0,8
301,무인도 개척 1,199706,468,0,0,0,2340,5,0,0,8
302,무인도 개척 2,199707,469,0,0,0,2341,5,0,0,8
303,스펀지 실키,234863,472,0,0,0,5103,5,1,0,6
304,치와왕,234848,473,0,0,0,5230,5,1,0,6
305,포동포동 게일리캣,234784,474,0,0,0,5087,5,1,0,6
306,나나 곰인형,234485,475,0,0,0,5200,5,1,0,6
307,깜장시바,234733,476,0,0,0,5211,5,1,0,6
308,꼬알라,234671,477,0,0,0,5212,5,1,0,6
309,까삐바라,234716,478,0,0,0,5214,5,1,0,6
310,팔랑이,234822,479,0,0,0,5223,5,1,0,6
311,코기,234867,480,0,0,0,5231,5,1,0,6
312,섬오목눈이,234771,481,0,0,0,5307,5,1,0,6
313,초록 조달꾼,234838,482,0,0,0,5102,5,1,0,6
314,아르카소다라 인형,234844,483,0,0,0,5401,5,1,0,6
315,그레불로프 인형,234839,484,0,0,0,5354,5,1,0,6
316,파인딩웨이,234872,485,0,0,0,5355,5,1,0,6
317,옵티머스 오미크론,234825,486,0,0,0,5651,5,1,0,6
318,오메가 M 인형,234744,487,0,0,0,5151,5,1,0,6
319,오메가 F 인형,234745,488,0,0,0,5152,5,1,0,6
320,꼬메가,234705,489,0,0,0,5150,5,1,0,6
321,알파 인형,234704,490,0,0,0,5577,5,1,0,6
322,쿠루루 인형,234605,491,0,0,0,5519,5,1,0,6
323,문브뤼다 인형,234624,492,0,0,0,5521,5,1,0,6
324,힐디 인형,234515,493,0,0,0,5522,5,1,0,6
325,나나모 인형,234499,494,613,625,0,5528,5,1,0,6
326,오르슈팡 인형,234568,495,0,0,0,5532,5,1,0,6
327,아이메리크 인형,234606,496,0,0,0,5534,5,1,0,6
328,에스티니앙 인형,234628,497,0,0,0,5536,5,1,0,6
329,네로 인형,234575,498,0,0,0,5533,5,1,0,6
330,라우반 인형,234555,499,614,621,0,5526,5,1,0,6
331,카느 에 센나 인형,234553,500,615,622,0,5525,5,1,0,6
332,멜위브 인형,234554,501,616,623,0,5524,5,1,0,6
333,코우진족 '푸른등 보물찾기단',199960,524,0,0,0,2308,5,0,0,3
334,아난타족 '아르파 국경경비대',199959,525,0,0,0,2309,5,0,0,3
335,나마즈오족 '큰메기 대제전 실행위원회',199961,526,0,0,0,2310,5,0,0,3
336,시대의 종언,197713,527,0,0,0,2250,3,0,0,3
337,시대의 종언,198709,527,0,0,0,2250,4,0,0,3
338,시대의 종언,199708,527,0,0,0,2250,5,0,0,3
339,10주년 기념,198710,523,0,0,0,3950,4,0,0,7
340,10주년 기념,199709,523,0,0,0,3950,5,0,0,7
341,변형 던전: 육근산,194702,528,0,0,0,2403,2,0,0,4
342,변형 던전: 육근산,197714,528,0,0,0,2403,3,0,0,4
343,세계를 낚는 자,195706,529,0,0,0,2345,1,0,0,8
344,세계를 낚는 자,197715,529,0,0,0,2345,3,0,0,8
345,세계를 낚는 자,198711,529,0,0,0,2345,4,0,0,8
346,세계를 낚는 자,199710,529,0,0,0,2345,5,0,0,8
347,강태공이 되는 길,195707,530,0,0,0,2346,1,0,0,8
348,강태공이 되는 길,197716,530,0,0,0,2346,3,0,0,8
349,강태공이 되는 길,198712,530,0,0,0,2346,4,0,0,8
350,강태공이 되는 길,199711,530,0,0,0,2346,5,0,0,8
351,월하의 작패꾼,195708,531,0,0,0,2350,1,0,0,8
352,월하의 작패꾼,198713,531,0,0,0,2350,4,0,0,8
353,월하의 작패꾼,199712,531,0,0,0,2350,5,0,0,8
354,시대의 종언,195709,527,0,0,0,2250,1,0,0,3
355,졸병 파키포디움,234873,534,0,0,0,5072,5,1,0,6
356,닌자개 시로마루,234886,535,0,0,0,5233,5,1,0,6
357,닌자개 쿠로마루,234890,536,0,0,0,5234,5,1,0,6
358,꼬마 모아이,234678,537,0,0,0,5657,5,1,0,6
359,아제마 인형,234851,538,0,0,0,5154,5,1,0,6
360,할로네 인형,234874,539,0,0,0,5155,5,1,0,6
361,오쉬온 인형,234894,540,0,0,0,5156,5,1,0,6
362,자갈 골렘,234419,541,0,0,0,5058,5,1,0,6
363,작은 미라,234509,542,0,0,0,5084,5,1,0,6
364,어린 펜리르,234582,543,0,0,0,5093,5,1,0,6
365,꼬마 랴난시,234761,544,0,0,0,5098,5,1,0,6
366,드워프 토끼,234609,545,0,0,0,5206,5,1,0,6
367,미어캣,234756,546,0,0,0,5220,5,1,0,6
368,암살치어,234510,547,0,0,0,5250,5,1,0,6
369,아기 올빼미,234530,548,0,0,0,5301,5,1,0,6
370,사냥매,234562,549,0,0,0,5303,5,1,0,6
371,푸른발얼가니새,234853,550,0,0,0,5309,5,1,0,6
372,신 야슈톨라,234596,551,0,0,0,5501,5,1,0,6
373,신 산크레드,234617,552,0,0,0,5505,5,1,0,6
374,루이수아 인형,234512,553,0,0,0,5511,5,1,0,6
375,신 알리제,234618,554,0,0,0,5515,5,1,0,6
376,고드베르트 인형,234876,555,0,0,0,5523,5,1,0,6
377,이젤 인형,234538,556,617,0,802,5529,5,1,0,6
378,유우기리 인형,234543,557,618,0,803,5530,5,1,0,6
379,에다 인형,234619,558,0,0,0,5535,5,1,0,6
380,시로 인형,234698,559,0,0,0,5541,5,1,0,6
381,그라하 인형,234706,560,0,0,0,5548,5,1,0,6
382,미드가르드오름,234518,561,0,0,0,5573,5,1,0,6
383,흐레스벨그 인형,234629,562,619,626,804,5574,5,1,0,6
384,니드호그 인형,234633,563,620,0,805,5575,5,1,0,6
385,분홍 젤리빈,234899,564,0,0,0,5800,5,1,0,6
386,페그윈,234900,565,0,0,0,5801,5,1,0,6
387,아기 토르갈,234898,566,0,0,0,5701,5,1,0,6
388,바누바누족 '유려한 군두',199956,567,0,0,0,2305,5,0,0,3
389,그나스족 '끊어진 자들',199957,568,0,0,0,2306,5,0,0,3
390,모그리족 '모그모그 복원단',199958,569,0,0,0,2307,5,0,0,3
391,에오르제아의 신화,197720,572,0,0,0,2252,3,0,0,3
392,에오르제아의 신화,198717,572,0,0,0,2252,4,0,0,3
393,에오르제아의 신화,199715,572,0,0,0,2252,5,0,0,3
394,타타루의 대박 상점,197719,573,0,0,0,2242,3,0,0,3
395,타타루의 대박 상점,198716,573,0,0,0,2242,4,0,0,3
396,변형 던전: 알로알로 섬,194703,574,0,0,0,2404,2,0,0,4
397,변형 던전: 알로알로 섬,197721,574,0,0,0,2404,3,0,0,4
398,쿠로의 공상 수첩,195710,570,0,0,0,2351,1,0,0,8
399,쿠로의 공상 수첩,197717,570,0,0,0,2351,3,0,0,8
400,쿠로의 공상 수첩,198714,570,0,0,0,2351,4,0,0,8
401,쿠로의 공상 수첩,199713,570,0,0,0,2351,5,0,0,8
402,총당님의 환상반,195711,571,0,0,0,2352,1,0,0,8
403,총당님의 환상반,197718,571,0,0,0,2352,3,0,0,8
404,총당님의 환상반,198715,571,0,0,0,2352,4,0,0,8
405,총당님의 환상반,199714,571,0,0,0,2352,5,0,0,8
406,블런더빌 1,195712,575,0,0,0,3951,1,0,0,7
407,블런더빌 2,195713,576,0,0,0,3952,1,0,0,7
408,블런더빌 3,195714,577,0,0,0,3953,1,0,0,7
409,요괴워치 뿌니뿌니,195715,607,0,0,0,3954,1,0,0,7
410,요괴워치 뿌니뿌니,198718,607,0,0,0,3954,4,0,0,7
411,요괴워치 뿌니뿌니,199716,607,0,0,0,3954,5,0,0,7
412,레풀루,234906,643,0,0,0,5216,5,1,0,6
413,올로사파,234891,644,0,0,0,5311,5,1,0,6
414,코브란 유충,234433,645,0,0,0,5073,5,1,0,6
415,둥실둥실 키도니아 ,234895,646,0,0,0,5659,5,1,0,6
416,코요코요 인형,234854,647,0,0,0,5700,5,1,0,6
417,코뿔바다오리,234878,648,0,0,0,5310,5,1,0,6
418,침팬지,234883,649,0,0,0,5232,5,1,0,6
419,리세 인형,234648,658,0,0,0,5507,5,1,0,6
420,히엔 인형,234664,659,0,0,0,5540,5,1,0,6
421,신 유우기리,234649,660,0,0,0,5531,5,1,0,6
422,고우세츠 인형,234650,661,0,0,0,5538,5,1,0,6
423,요츠유 인형,234651,662,708,714,806,5539,5,1,0,6
424,그륀바트 인형,234652,663,0,0,0,5546,5,1,0,6
425,신 라우반,234676,664,0,0,0,5527,5,1,0,6
426,마그나이 인형,234682,665,0,0,0,5544,5,1,0,6
427,시리나 인형,234697,666,0,0,0,5543,5,1,0,6
428,사두 인형,234696,667,0,0,0,5545,5,1,0,6
429,신 타타루,234720,668,709,715,807,5517,5,1,0,6
430,꼭두각시 주작,234743,669,710,716,808,5465,5,1,0,6
431,제1세계 야슈톨라,234731,670,0,0,0,5502,5,1,0,6
432,신 위리앙제,234829,671,0,0,0,5510,5,1,0,6
433,신 에스티니앙,234760,672,0,0,0,5537,5,1,0,6
434,라이나 인형,234816,673,711,717,809,5555,5,1,0,6
435,루나르 인형,234817,674,712,718,810,5556,5,1,0,6
436,둘리아 인형,234776,675,713,719,811,5550,5,1,0,6
437,린 인형,234732,676,0,0,0,5549,5,1,0,6
438,가이아 인형,234798,677,0,0,0,5553,5,1,0,6
439,미스텔 인형,234781,678,0,0,0,5551,5,1,0,6
440,아르버트 인형,234782,679,0,0,0,5552,5,1,0,6
441,태엽 솔,234855,680,0,0,0,5559,5,1,0,6
442,꼬마 청설모,234413,650,0,0,0,5053,5,1,0,6
443,애송이버섯,234414,651,0,0,0,5054,5,1,0,6
444,벼룩모기 유충,234415,652,0,0,0,5055,5,1,0,6
445,검은 커얼,234514,653,0,0,0,5057,5,1,0,6
446,아기 랍토르,234421,654,0,0,0,5060,5,1,0,6
447,정신지배아,234461,655,0,0,0,5079,5,1,0,6
448,유니콜트,234528,656,0,0,0,5203,5,1,0,6
449,가스트라,234539,657,0,0,0,5205,5,1,0,6
450,바이퍼,194241,705,0,0,0,2063,2,0,0,2
451,픽토맨서,194242,706,0,0,0,2070,2,0,0,2
452,코볼드족 '제789땅굴단',199954,694,0,0,0,2302,5,0,0,3
453,실프족 '임시 주거지 실프',199952,695,0,0,0,2301,5,0,0,3
454,아말쟈족 '잿빛 일당',199951,696,0,0,0,2300,5,0,0,3
