#,Name,AdditionalData,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Type,AcceptClassJobCategory,Category
76,,33,64033,1,0,0,0,1513,11,1,1
77,,36,64036,1,0,0,0,1514,11,1,1
78,,1,64001,1,0,0,0,1515,11,1,1
79,,12,64012,1,0,0,0,1517,11,1,1
80,,47,64051,1,0,0,0,1518,11,1,1
81,,111,64076,1,0,0,0,1519,11,1,1
82,,137,64326,1,0,0,0,1520,11,1,1
83,,233,64416,1,0,0,0,1521,11,1,1
84,,171,64360,42,0,0,0,1522,11,1,1
85,,204,64387,32,0,0,0,1523,11,1,1
86,,230,64411,54,0,0,0,1524,11,1,1
87,,45,64045,1,0,0,0,1600,11,1,1
88,,139,64328,1,0,0,0,1601,11,1,1
89,,8,64008,1,0,0,0,1603,11,1,1
90,,85,64050,14,0,0,0,1604,11,1,1
91,,106,64073,1,0,0,0,1605,11,1,1
92,,39,64039,1,0,0,0,1606,11,1,1
93,,44,64044,1,0,0,0,1607,11,1,1
94,,13,64013,1,0,0,0,1608,11,1,1
95,,27,64027,1,0,0,0,1609,11,1,1
96,,28,64028,1,0,0,0,1610,11,1,1
97,,37,64037,1,0,0,0,1611,11,1,1
98,,22,64022,1,0,0,0,1612,11,1,1
99,,54,64063,1,0,0,0,1613,11,1,1
100,,23,64023,1,0,0,0,1614,11,1,1
101,,123,64087,56,0,0,0,1700,11,1,1
102,,128,64092,57,0,0,0,1701,11,1,1
103,,142,64330,58,0,0,0,1702,11,1,1
104,,148,64335,15,0,0,0,1703,11,1,1
105,,153,64339,59,0,0,0,1704,11,1,1
106,,159,64345,1,0,0,0,1705,11,1,1
107,,182,64369,119,0,0,0,1706,11,1,1
108,,231,64412,16,0,0,0,1707,11,1,1
109,,63,64353,60,0,0,0,1708,11,1,1
110,,191,64375,55,233,234,792,1710,11,1,1
111,,208,64393,35,0,0,0,1711,11,1,1
112,,206,64390,36,0,0,0,1712,11,1,1
113,,220,64402,37,0,0,0,1713,11,1,1
114,,221,64403,103,0,0,0,1714,11,1,1
115,,232,64413,61,0,0,0,1715,11,1,1
116,,235,64417,62,0,0,0,1716,11,1,1
117,,239,64418,63,0,0,0,1720,11,1,1
118,,207,64391,38,0,0,0,1760,11,1,1
119,,209,64392,64,0,0,0,1762,11,1,1
120,,213,64397,39,0,0,0,1770,11,1,1
121,,229,64410,65,0,0,0,1771,11,1,1
122,,238,64423,121,0,0,0,1800,11,1,1
123,,237,64422,122,0,0,0,1801,11,1,1
124,,101,64069,17,0,0,0,2000,11,1,1
125,,102,64070,18,0,0,0,2001,11,1,1
126,,103,64071,19,0,0,0,2002,11,1,1
127,,104,64072,20,0,0,0,2003,11,1,1
128,,109,64074,66,0,0,0,2004,11,1,1
129,,114,64079,21,0,0,0,2005,10,1,1
130,,118,64082,29,0,0,0,2006,11,1,1
131,,119,64083,30,0,0,0,2007,11,1,1
132,,120,64084,22,0,0,0,2008,11,1,1
133,,145,64333,23,0,0,0,2009,11,1,1
134,,126,64090,24,0,0,0,2010,11,1,1
135,,130,64094,67,0,0,0,2011,10,1,1
136,,134,64097,68,0,0,0,2012,10,1,1
137,,131,64095,69,0,0,0,2013,10,1,1
138,,135,64098,70,0,0,0,2014,10,1,1
139,,132,64096,71,0,0,0,2015,10,1,1
140,,136,64099,72,0,0,0,2016,10,1,1
141,,129,64093,73,0,0,0,2017,11,1,1
142,,149,64336,74,0,0,0,2018,11,1,1
143,,167,64349,105,0,0,0,2019,11,1,1
144,,64,64354,106,0,0,0,2020,11,1,1
145,,0,0,0,0,0,0,0,0,0,0
146,,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0
148,,176,64365,107,0,0,0,2101,11,1,1
149,,173,64362,78,0,0,0,2102,11,1,1
150,,174,64363,79,0,0,0,2103,11,1,1
151,,185,64370,80,0,0,0,2104,11,1,1
152,,186,64371,81,0,0,0,2105,11,1,1
153,,192,64376,82,0,0,0,2106,11,1,1
154,,193,64377,83,0,0,0,2107,11,1,1
155,,187,64372,25,0,0,0,2108,11,1,1
156,,198,64382,26,0,0,0,2109,11,1,1
157,,210,64394,84,0,0,0,2110,11,1,1
158,,212,64396,85,0,0,0,2111,11,1,1
159,,216,64400,31,0,0,0,2112,11,1,1
160,,217,64401,108,0,0,0,2113,11,1,1
161,,155,64341,113,0,0,0,2200,11,1,1
162,,156,64342,114,0,0,0,2201,11,1,1
163,,157,64343,115,0,0,0,2202,11,1,1
164,,158,64344,116,0,0,0,2203,11,1,1
165,,164,64346,117,0,0,0,2204,11,1,1
166,,165,64347,118,0,0,0,2205,11,1,1
167,,166,64348,27,0,0,0,2206,11,1,1
168,,180,64367,43,0,0,0,2207,11,1,1
169,,181,64368,96,0,0,0,2208,11,1,1
170,,169,64358,33,0,0,0,2209,11,1,1
171,,170,64359,34,0,0,0,2210,11,1,1
172,,188,64373,102,0,0,0,2211,11,1,1
173,,189,64374,97,0,0,0,2212,11,1,1
174,,196,64380,123,0,0,0,2213,11,1,1
175,,0,0,0,0,0,0,0,0,0,0
176,,203,64388,40,0,0,0,2300,11,1,1
177,,214,64398,44,0,0,0,2301,11,1,1
178,,215,64399,45,0,0,0,2302,11,1,1
179,,222,64404,104,0,0,0,2303,11,1,1
180,,223,64405,41,0,0,0,2304,11,1,1
181,,241,64420,87,0,0,0,2305,11,1,1
182,,242,64421,88,0,0,0,2306,11,1,1
183,,138,64327,89,0,0,0,2400,11,1,1
184,,144,64332,90,0,0,0,2401,11,1,1
185,,62,64352,91,0,0,0,2402,11,1,1
186,,175,64364,92,0,0,0,2403,11,1,1
187,,0,0,0,0,0,0,0,0,0,0
188,,0,0,0,0,0,0,0,0,0,0
189,,0,0,0,0,0,0,0,0,0,0
190,,0,0,0,0,0,0,0,0,0,0
191,,0,0,0,0,0,0,0,0,0,0
192,,0,0,0,0,0,0,0,0,0,0
193,,0,0,0,0,0,0,0,0,0,0
194,,0,0,0,0,0,0,0,0,0,0
195,,0,0,0,0,0,0,0,0,0,0
196,,0,0,0,0,0,0,0,0,0,0
197,,0,0,0,0,0,0,0,0,0,0
198,,0,0,0,0,0,0,0,0,0,0
199,,0,0,0,0,0,0,0,0,0,0
200,,0,0,0,0,0,0,0,0,0,0
201,,0,0,0,0,0,0,0,0,0,0
202,,0,0,0,0,0,0,0,0,0,0
203,,0,0,0,0,0,0,0,0,0,0
204,,0,0,0,0,0,0,0,0,0,0
205,,0,0,0,0,0,0,0,0,0,0
206,,0,0,0,0,0,0,0,0,0,0
207,,0,0,0,0,0,0,0,0,0,0
208,,0,0,0,0,0,0,0,0,0,0
209,,0,0,0,0,0,0,0,0,0,0
210,,0,0,0,0,0,0,0,0,0,0
211,,0,0,0,0,0,0,0,0,0,0
212,채집 준비,256,82096,1,0,0,0,6100,20,154,3
213,,0,0,0,0,0,0,0,0,0,0
214,,0,0,0,0,0,0,0,0,0,0
215,,0,0,0,0,0,0,0,0,0,0
216,,0,0,0,0,0,0,0,0,0,0
217,,0,0,0,0,0,0,0,0,0,0
218,낚싯대 들기,271,62118,1,0,0,0,6200,20,19,3
219,낚시 준비,277,62118,1,0,0,0,6201,20,19,3
220,,0,0,0,0,0,0,0,0,0,0
221,,0,0,0,0,0,0,0,0,0,0
222,,0,0,0,0,0,0,0,0,0,0
223,,0,0,0,0,0,0,0,0,0,0
224,,0,0,0,0,0,0,0,0,0,0
225,,0,0,0,0,0,0,0,0,0,0
226,,0,0,0,0,0,0,0,0,0,0
227,,0,0,0,0,0,0,0,0,0,0
228,,0,0,0,0,0,0,0,0,0,0
229,,0,0,0,0,0,0,0,0,0,0
230,,0,0,0,0,0,0,0,0,0,0
231,,0,0,0,0,0,0,0,0,0,0
232,,0,0,0,0,0,0,0,0,0,0
233,,0,0,0,0,0,0,0,0,0,0
234,,0,0,0,0,0,0,0,0,0,0
235,,0,0,0,0,0,0,0,0,0,0
236,,0,0,0,0,0,0,0,0,0,0
237,,0,0,0,0,0,0,0,0,0,0
238,,0,0,0,0,0,0,0,0,0,0
239,,0,0,0,0,0,0,0,0,0,0
240,,0,0,0,0,0,0,0,0,0,0
241,,0,0,0,0,0,0,0,0,0,0
242,,29069,62119,124,0,0,0,4000,2,20,2
243,,29083,62121,125,0,0,0,4010,2,22,2
244,,29097,62132,126,0,0,0,4020,2,98,2
245,,29131,62137,127,0,0,0,4032,2,149,2
246,,29230,62124,128,0,0,0,4040,2,25,2
247,,29237,62128,129,0,0,0,4050,2,29,2
248,,29255,62133,130,0,0,0,4060,2,99,2
249,,29266,62140,131,0,0,0,4070,2,181,2
250,,29485,62120,132,0,0,0,4080,2,21,2
251,,29498,62122,133,0,0,0,4100,2,23,2
252,성둔천주,11602,62130,134,0,0,0,4110,20,92,2
253,참철검,11601,62134,135,0,0,0,4120,20,111,2
254,레무르 테네브레,11600,62139,136,0,0,0,4130,20,180,2
255,,29401,62123,137,0,0,0,4140,2,24,2
256,,29415,62131,138,0,0,0,4150,2,96,2
257,,29432,62138,139,0,0,0,4160,2,150,2
258,,29662,62125,140,0,0,0,4170,2,26,2
259,,29673,62127,141,0,0,0,4180,2,28,2
260,,29678,62127,141,0,0,0,4181,2,28,2
261,,29704,62135,142,0,0,0,4190,2,112,2
262,,248,64426,345,0,0,0,2307,11,1,1
263,,251,64429,408,0,0,0,1772,11,1,1
264,,252,64430,470,0,0,0,1405,11,1,1
265,,263,64438,471,0,0,0,1112,11,1,1
266,,270,64444,532,0,0,0,1761,11,1,1
267,,273,64447,533,0,0,0,2214,11,1,1
268,,234,64415,627,0,0,0,1718,11,1,1
269,,245,64424,628,0,0,0,1510,11,1,1
270,,246,64425,629,0,0,0,1306,11,1,1
271,,247,64414,630,0,0,0,1717,11,1,1
272,,250,64428,631,0,0,0,1709,11,1,1
273,,256,64431,632,0,0,0,1516,11,1,1
274,,258,64433,633,0,0,0,1407,11,1,1
275,,259,64434,634,0,0,0,1408,11,1,1
276,,260,64435,635,0,0,0,1409,11,1,1
277,,261,64436,636,0,0,0,1410,11,1,1
278,,262,64437,637,0,0,0,1411,11,1,1
279,,269,64443,638,0,0,0,2114,11,1,1
280,,271,64445,639,0,0,0,1719,11,1,1
281,,274,64448,640,0,0,0,2115,11,1,1
282,,275,64449,641,0,0,0,1413,11,1,1
283,,276,64450,642,0,0,0,1412,11,1,1
284,,39190,62141,681,0,0,0,4131,2,196,2
285,,39215,62142,682,0,0,0,4200,2,197,2
286,,0,0,0,0,0,0,0,0,0,0
287,,268,64442,720,0,0,0,1406,11,1,1
288,,277,64451,816,0,0,0,1750,11,1,1
289,,257,64432,707,0,0,0,1773,11,1,1
290,,0,0,0,0,0,0,0,0,0,0
291,,0,0,0,0,0,0,0,0,0,0
292,,0,0,0,0,0,0,0,0,0,0
293,,0,0,0,0,0,0,0,0,0,0
294,,0,0,0,0,0,0,0,0,0,0
295,,278,64452,721,0,0,0,1414,11,1,1
296,,279,64453,722,0,0,0,2308,11,1,1
297,,280,64454,723,0,0,0,2310,11,1,1
298,,281,64455,724,0,0,0,2309,11,1,1
299,,282,64456,725,0,0,0,1602,11,1,1
300,,283,64457,726,0,0,0,2116,11,1,1
301,,0,0,0,0,0,0,0,0,0,0
302,,285,64459,727,0,0,0,1012,11,1,1
303,,288,64461,1,0,0,0,1774,11,1,1
304,,286,64460,817,0,0,0,1775,11,1,1
305,,291,64462,818,0,0,0,1525,11,1,1
306,,292,64463,819,0,0,0,1776,11,1,1
307,,293,64464,820,0,0,0,2311,11,1,1
308,,294,64465,821,0,0,0,2312,11,1,1
309,,0,0,0,0,0,0,0,0,0,0
310,,301,64471,881,0,0,0,2316,11,1,1
311,,302,64472,881,0,0,0,2317,11,1,1
312,,303,64473,881,0,0,0,2315,11,1,1
313,,304,64474,882,0,0,0,1415,11,1,1
314,,0,0,0,0,0,0,0,0,0,0
315,,0,0,0,0,0,0,0,0,0,0
316,,307,64477,884,0,0,0,2313,10,1,1
317,,0,0,0,0,0,0,0,0,0,0
318,,0,0,0,0,0,0,0,0,0,0
319,,0,0,0,0,0,0,0,0,0,0
320,,0,0,0,0,0,0,0,0,0,0
321,,0,0,0,0,0,0,0,0,0,0
322,,0,0,0,0,0,0,0,0,0,0
323,,0,0,0,0,0,0,0,0,0,0
324,,0,0,0,0,0,0,0,0,0,0
325,,0,0,0,0,0,0,0,0,0,0
326,,0,0,0,0,0,0,0,0,0,0
327,,0,0,0,0,0,0,0,0,0,0
328,,0,0,0,0,0,0,0,0,0,0
329,,0,0,0,0,0,0,0,0,0,0
330,,0,0,0,0,0,0,0,0,0,0
331,,0,0,0,0,0,0,0,0,0,0
332,,0,0,0,0,0,0,0,0,0,0
333,,0,0,0,0,0,0,0,0,0,0
334,,0,0,0,0,0,0,0,0,0,0
335,,0,0,0,0,0,0,0,0,0,0
336,,0,0,0,0,0,0,0,0,0,0
337,,0,0,0,0,0,0,0,0,0,0
338,,0,0,0,0,0,0,0,0,0,0
339,,0,0,0,0,0,0,0,0,0,0
340,,0,0,0,0,0,0,0,0,0,0
341,,0,0,0,0,0,0,0,0,0,0
342,,0,0,0,0,0,0,0,0,0,0
343,,0,0,0,0,0,0,0,0,0,0
344,,0,0,0,0,0,0,0,0,0,0
345,,0,0,0,0,0,0,0,0,0,0
346,,0,0,0,0,0,0,0,0,0,0
347,,0,0,0,0,0,0,0,0,0,0
348,,0,0,0,0,0,0,0,0,0,0
349,,0,0,0,0,0,0,0,0,0,0
350,,0,0,0,0,0,0,0,0,0,0
