#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
10,니므 페탈로두스,"해양도시 '니므'에는 손발이 달린 상어라는 기묘한 존재에 얽힌 신화가 전해졌다고 한다. 어떤 박물학자는 이 신화는 실제로 존재하는 '지느러미를 손발처럼 움직여 해저를 기어다니는 상어'를 각색한 것이라며, 사지가 있는 상어는 존재할 수 없다고 오랫동안 주장해 왔다. 그래, 페탈로두스가 목격되기 전까지는 말이다……. 또한, 믿거나 말거나 친구라고 인정한 사람은 결코 먹지 않는다는데, 지금까지 어떤 선한 사람도 우정을 나누지는 못하고 있다.",529,70623,0,4,3
11,떼쟁이 항아리,"엘릭서를 달라고 무작정 조르는 마법 항아리. 애당초 마법 항아리란 박물학상 주술강으로 분류되는 마물이지만 생태가 거의 밝혀지지 않았으며, 임프와 유사한 요마라는 일설도 있을 만큼 논쟁이 끊이지 않는 존재다. 그들이 엘릭서를 달라고 조르는 이유도 양분으로 삼기 위해서라는 설부터, 단순히 떼쓰는 걸 즐길 뿐이라는 설까지 다양하다. 과연 그 진상이 밝혀질 날은 올 것인가.",531,70625,0,4,3
12,남부 구릉,"초승달 섬 남부에 펼쳐진 완만한 구릉 지대. 키가 큰 식물이 거의 없어서 숨을 곳이 적기 때문에, 육식 동물이 다가와도 눈 하나 깜짝하지 않을 거대한 생물만이 이 일대를 유유히 돌아다닐 수 있다. 또한 구릉 한가운데에 보이는 정자처럼 생긴 건축물 바닥에는 마법진과 비슷한 문양이 새겨져 있다. 초승달 섬을 뒤덮는 마법 결계와 섬 위치를 위장하기 위한 신기루를 발생시키는 대규모 마법의 기점으로 설치한 것일지도 모른다.",514,70608,11606915,2,1
13,바위굴 뒷마을,"초승달 섬 남부 산악지대, 수정 동굴 안에 있는 도시 유적. 독특하게 생긴 뾰족한 아치를 주로 사용한 건축 양식은 제5성력 시대에 기라바니아에 생겨난 석조 도시 '스칼라'와 매우 비슷하다. 현재 스칼라 중심부는 제6재해 때 일어난 대홍수로 대부분 로흐 셀 호수 밑바닥에 가라앉은 상태지만, 원래 바람으로 깎인 바위 표면을 파서 건설한 곳이었다고 한다. 이 유적의 구조는 그 전승과 일치하는 듯하다.",511,70605,11606909,2,1
14,신비로운 우상,"바위굴 뒷마을에 나타나는 도자기 인형. 도자기지만 놀라울 정도로 단단하며, 배안에 소환용 마법 문양이 새겨져 있어서 상황에 따라 요마나 마법도구를 불러낼 수 있다. 제조법은 현대에 전해지지 않는다. 그도 그럴 것이, 먼 옛날부터 동방 무역의 중계지였던 기라바니아에는 근동을 거쳐 다른 문화가 유입되었고, 이런 저주 인형도 외국의 비술로 만들어졌기 때문이다. 다시 말해 인형을 사용했던 스칼라 사람들도 만드는 법을 알지 못했다.",528,70622,0,4,3
15,금기의 폐허도시,"섬 남쪽 끝에 펼쳐진 웅장하고 아름다운 도시 유적. 그중에서도 멀리서도 잘 보이는 거대한 피라미드가 시선을 잡아끈다. 이와 비견할 만한 건축물은 과거 야펨 지방에서 번영했던 마법도시 '마하'의 것이 유명하다. 그러나 마법대전과 제6재해를 거치며, 마하에서 사용했던 흑마법과 요마 소환 지식이 금기시되었기 때문에 현재 야펨을 방문하는 사람은 거의 없다. 이 폐허도시에도 금지된 지식이 잠들어 있을까.",512,70606,11606912,2,1
16,검은 초코보,"깃털이 검은 초코보는 비행종인 '플라이어 종'이 유명하지만, 이는 긴 시간에 걸쳐 품종을 개량한 결과 태어난 존재이므로 기본적으로 야생에서는 볼 수 없다. 그러나 초승달 섬에서는 검은 초코보 무리가 돌아다니며 마물들과 영역 싸움을 펼치고 있다. 어딘가에 있는 초코보 목장에서 도망친 개체가 바다를 넘어온 것일까, 아니면 누군가가 데려온 무리가 독자적으로 번식한 것일까. 의문이 풀리지 않는다.",525,70619,0,4,3
17,초승달 광전사,"금기의 폐허도시를 떠도는 거인. 주위의 요마와는 다르게 사람처럼 보이기도 하지만 영혼은 느껴지지 않으며, 굳이 분류하자면 시체귀신에 가깝다. 아마도 인공적으로 만든 육체에 에테르를 주입한 사역마의 일종일 것이다. 소울 샤드를 이용해 옛 광전사의 전투 기술을 강제적으로 계승했는지, 지능은 높지 않아도 주입된 분노에 몸을 맡기고 싸울 수 있는 듯하다.",526,70620,0,4,3
18,고목 습원,"고목이 늘어선 습원. 초승달 섬 남부에는 여러 문명에서 가져온 듯한 유적이 여기저기 있는데, 생태에도 부자연스러운 점이 많다. 예를 들어 이 습원에는 수령이 천 년을 넘어 보이는 거목이 있지만, 아무리 봐도 창망의 바다에 있는 외딴섬에 살기 적합한 종은 아니다. 따라서 이 고목들은 먼 곳에서 이식된 것이 확실해 보이나, 그런 수고를 들이면서까지 환경을 바꾸려고 한 이유는 알 수 없다.",515,70609,11606922,2,1
19,계단의 전당,"계단을 겹겹이 쌓아서 만든 다층 구조 건축물. 기존 문명과는 다른 양식이다. 제5성력 시대에는 '마도 열두 도시'라 불리는 열두 개의 도시 국가가 패권을 다퉜다고 하는데, 이 유적도 그중 한 도시의 문화에서 유래한 것으로 보인다. 또한 건축물에 칠해진 남색은 열두 도시 중 한 곳에서 신성시하며 즐겨 썼던 색이라는 이야기가 있지만, 해당 도시는 아직 유적이 발견되지 않아 비교할 수 없다.",513,70607,11606914,2,1
20,회랑 악마,"계단의 전당에 봉인되어 있던 대요마. 계약을 통해 요마를 이용하는 술법은 고대부터 존재했으며, 일부는 현대에도 전해진다. 소환한 요마는 전투뿐만 아니라, 권능 일부를 이용하여 소환자에게 능력을 부여하거나 주술도구를 만드는 등 매우 다양한 용도로 사용할 수 있다. 이 요마 또한 섬 주인에게 소환되어 원초세계에서 머물 몸과 에테르라는 공물을 얻는 대신, 초승달 섬에서 어떤 사명을 강요받았을 것이다.",527,70621,0,4,3
21,고층 주택 유적,"피라미드 끝자락에 펼쳐진 도시 유적. 가지런히 늘어선 주택은 모두 5층을 넘는데, 이것은 제5성력 말기에 마하에서 유행하던 양식과 일치한다. 당시 마하의 마도사들은 예견된 대홍수를 피하고자 인공 하늘섬을 만드는 대업에 도전했으며, 그 일환으로 고층 건축 기술을 발전시켰다. 이는 하늘섬이라는 한정된 토지에 보다 많은 국민을 수용하기 위한 것으로, 건축재 표면에 마법 문양을 새겨 강도를 높이는 공법 등을 실용화한 듯하다.",518,70612,11606925,2,1
22,석병 공방 옛터,"석병, 이른바 '골렘'을 만드는 공방으로 보이는 시설. 마하의 마도사들이 부리는 요마에 대항하고자, 암다포르에서는 석상을 빙의체로 삼아 사역마를 생성하는 기술을 연구했다. 처음에는 단순한 조형물이 대부분이었지만, 세월이 흐르며 인간이나 사자 등 정교한 석상을 만들 수 있게 되었다. 그리고 제5성력 말기에는 날개 달린 인간이나 날개 달린 사자 같은 상상 속 존재를 소재로 삼게 되었다고 한다.",519,70613,11606926,2,1
23,방랑신 성역 유적,"니므는 에오르제아 열두 신 중 하나인 방랑신, 즉 여행신 '오쉬온'을 수호신으로 모셨다. 오쉬온은 산의 신이기도 하여 바일브랜드 섬 산악지대에 성역이 세워졌는데, 그곳에서 불어오는 바람이 지나가는 길목에 있는 해변에도 그와 쌍을 이루는 성역을 건축했었다고 한다. 바일브랜드 섬의 해변 성역은 제6재해 때 무너지고 말았지만, 초승달 섬에서 당시의 성역을 연상시키는 유적을 볼 수 있다.",517,70611,11606924,2,1
24,대형 성화대,"과거 에오르제아에 존재했다고 하는 열두 도시 중 한 곳에서는 '날달'을 대장장이신으로 받들어 모셨다고 한다. 전승에 따르면 그곳 시민들은 불의 신력이 있는 날달에게 올리는 제사로, 종종 대규모 모닥불 축제를 열었다고 한다. 이 때문에 규모가 큰 공공건물 옥상에 성화를 지피기 위한 원형 광장을 만드는 것이 보통이었다. 계단의 전당에서도 이러한 정보와 일치하는 구조를 확인할 수 있다.",516,70610,11606923,2,1
25,섬의 주인,"초승달 섬의 주인. 아이리스를 비롯한 수많은 사역마뿐 아니라 요마까지 부리며, 섬의 환경을 바꾸어 온갖 문명의 파편이라 할 만한 유적을 만들어 냈다. 목적은 크게 두 가지로 추측된다. 첫째, 제5성력의 뛰어난 문명을 후세에 남기기 위해. 둘째, 마법대전을 일으킨 '부정한 유산'이기도 한 지식을 섬 밖으로 가지고 나가지 못하기 위해. 그러나 '이끈 목소리'의 진의를 포함해 아직 밝혀지지 않은 수수께끼도 많아, 더 많은 조사가 필요한 상황이다.",524,70618,0,3,2
26,악마의 석판,"'힘의 탑' 입구에서 침입자를 저지하던, 돌로 만들어진 수호자. 이러한 종류의 방어 체계로 유명한 '악마의 벽' 유형의 수호상은 암다포르의 골렘 중에서도 초기 작품이지만, 마법 기술이 발전하면서 점점 더 어려운 동작을 할 수 있게 되었다. 이 악마의 석판은 후기 작품으로 보이며, 석판에 새겨진 마법적인 조건 구문을 참조하여 침입자를 요격하기에 가장 적합한 행동을 파악하여 움직이는 듯하다.",532,70626,0,4,3
27,별머리 삼인조,"네레게이드, 트리톤, 포보스로 이루어진 삼인조 사역마. 각각 냉기, 열기, 독기를 다루는 힘이 있으며, 주로 초승달 섬의 날씨를 조종하여 에오르제아 각지에서 옮겨다 놓은 식생을 유지하라는 사명을 받은 듯하다. 이 사명을 다하는 데 필요한 지성도 함께 받았으나 상당히 유치한 언동이 돋보이는데, 소환사인 섬의 주인이 의도한 설계인지 아니면 천 년이 넘는 시간 동안 성격이 뒤틀렸기 때문인지는 알 수 없다.",533,70627,0,4,3
28,대리석 드래곤,암다포르의 골렘 중에서도 최고 걸작으로 꼽히는 존재. '힘의 탑'에서 침입자를 공격했다. 생김새는 물론이거니와 공격 동작까지 마치 진짜 드래곤처럼 보이지만 실은 대리석으로 만든 석상에 에테르를 주입한 일종의 골렘이다. 이 정도로 실물에 가깝게 만들 수 있었던 것은 제작자가 직접 드라바니아에 가서 실물을 보고 왔기 때문일까?,534,70628,0,4,3
29,마기타우로스,"'힘의 탑' 상층을 수호하던 요마. 원래는 괴력에만 의존하여 싸우는 지능이 낮은 존재지만, 마법을 담은 석판으로 정신을 조종하여 수준 높은 기술과 전술을 사용할 수 있게 되었다. 더불어 룬 도끼, 현자의 지팡이, 암살자의 단검, 신성한 창 등 마법대전 시기에 '전설'이라 불렸던 무기가 여럿 주어진 덕분에 상급 요마에 필적하는 전투 능력을 갖추게 되었다.",535,70629,0,4,3
30,숨겨진 서고,"'힘의 탑' 최상층에 숨겨진 서고. 제5성력 시대의 두루마리나 서적, 석판 등이 보관되어 있으나 그 어떤 것도 내용을 읽을 수가 없다. 그 이유는 모든 보관물을 미지의 언어로 고쳐 썼기 때문이다. 문자의 개수부터 기존 언어와 다르지만, 그 배열에서 질서정연한 법칙이 보이는 것으로 보아 저자가 창조한 인공 언어로 추측된다. 이렇게까지 해서 감춰야만 하는 지식은 대체 어떤 것일까?",520,70614,11606928,2,1
31,탐사대 북부 거점,"탐사대가 초승달 섬 북부에서 활동하기 위해 설치한 거점. 성채로 추정되는 유적을 활용해 주변을 높은 곳에서 내려다볼 수 있을 뿐만 아니라, 마물의 접근을 조기에 감지할 수 있다는 이점도 있다. 에테라이트 역할을 하는 마도 통로가 원래부터 갖춰져 있었던 것도 거점으로 삼기에 좋은 조건이었다. 이곳에서 한눈에 보이는 북부 분지의 환경은 남부보다 더 이상했기에, 선발대에게는 이변이 발생하면 즉시 철수를 고려하라는 지시가 있었다.",604,70631,12631726,2,1
32,카르낙 성채,"마법 처리된 특수한 벽돌로 지어진 성채. 독특한 다층 구조와 파란색을 활용한 장식 등의 공통점으로 보아, 초승달 섬 남부에서 본 계단의 전당과 동일한 문명의 산물로 추측된다. 아카이브의 말에 따르면 '자치 도시 카르낙'이라 불렸던 도시국가의 성으로, 이 나라에서는 무기물에 '마'를 담는 기술이 발전했다고 한다. 무기에 마법을 깃들게 하는 전법, 물질에 마력으로 행동 명령을 넣어 움직이게 하는 기법 등, 지금까지 전해오는 많은 기술을 만들어 냈다고 한다.",605,70632,12631755,2,1
33,아르바텔,"제5성력에 기록된 마도서 중 하나. 책 제목은 '고대 마술에 대해서'라는 의미로, 이름대로 제5성력보다 훨씬 옛 시대의 마술을 연구한 내용이 적혀 있는 것으로 추측된다. 하지만 현재는 섬의 주인에 의해 책 자체가 지식의 파수꾼이 되어, 일시적으로 지식수준을 바꾸는 금지된 술법까지 사용해 침입자를 격퇴하려 움직이고 있었다. 또한 주변에 남아 있는 많은 책에는 전부 암호화 마법이 걸려 있어 읽을 수 없다.",606,70646,0,4,3
34,타이니 메이지,"마법대전 말기에 제작된 마법인형의 일종. 다수의 부속기와 이를 총괄하는 본체로 이루어진 소대별로 운영되었을 것으로 추측되며, 연계 작전을 진행할 수 있도록 골렘과 마찬가지로 주 핵에 임시 생명이라고 부를 수 있는 고밀도 에테르가 주입되어 있다. 아카이브에 따르면, 이 마법인형 시리즈는 이계에서 온 방문자를 본떠 만든 것이며, 강력한 마법을 사용했던 그 마도사에게서 영향을 받아 지식이 샘솟는 머리 부분을 크게 만들었다고 한다.",607,70647,0,4,3
35,알골,"땅딸막한 몸에 네 개의 팔, 그리고 무엇보다도 거대한 '입'을 가진 괴기한 악귀. 그 정체는 '욕망'을 바탕으로 만든 마법 생물이며, 특히 식욕이 강하게 발현되고 있는 듯하다. 마법대전 시기, 석조 도시 스칼라에서는 인간의 부정적인 감정을 마술적으로 이용하는 '저주'가 연구되었다고 한다. 이 마물이 그런 배경에서 인공적으로 만들어졌다면, 식욕의 근원인 굶주림의 감정을 어떻게 만들어 추출했는지는 상상하기 어렵지 않을 것이다.",608,70648,0,4,3
36,도깨비불 호수,"초승달 섬 북부 분지 중앙에 있는 물이 풍부한 호수. 물살도 잔잔하며, 야생 동물들이 물을 마시러 오는 모습도 자주 목격된다. 하지만 동물들은 언제나 불안해 보이는 모습으로, 오래 머물고 싶어 하는 기색은 전혀 느껴지지 않았다. 동물들은 포식자들을 경계하고 있을 뿐만 아니라, 그 장소 자체에 무언가 불길한 분위기를 느끼고 있는 것으로 보인다. 그 원인이 호수 중앙에 형성된 마을에서 빛나고 있는 도깨비불에 있는지, 아니면 땅속 깊은 곳에서 흘러나오는 듯한, 정체를 알 수 없는 기운에 있는지는 확실하지 않다.",609,70633,12631756,2,1
37,푸른빛 지하 감옥,"분지 일대 동쪽의 바위산을 파내듯이 만든 지하 감옥. 거점 주변의 유적과 비슷한 건축재와 마하의 마도 구슬과 닮은 서늘한 조명 등의 이질적인 양식을 조합해 놓은 것을 볼 때, 단일 문명을 '전시'하려는 의도는 보이지 않는다. 실제로 사용하기 위한 감옥이라면 섬의 주인에게 불리한 존재를 가두는 곳이라는 추측이 성립하지만, 이 섬에는 원래부터 주민이 존재하지 않았으니, 우연히 상륙한 선원이나 반항적인 사역마를 가두는 곳이었을지도 모른다.",610,70634,12631757,2,1
38,메타몰퍼,"환영술을 사용해 다양한 모습으로 변신하는 인간형 사역마. 위장 능력이 있는 마물은 각지에 존재하며, 마법대전 시기에는 그 힘을 자유롭게 사용하기 위한 연구가 활발하게 진행되었다고 한다. 그리고 초승달 섬 북부에 들어온 뒤로 탐사대 대원이 '증가'했다는 사례가 여러 차례 보고되고 있다. 방금 거점에서 나간 사람이 천막 안에서 자고 있다거나, 점호하면 인원이 한 명 더 늘어나 있다거나…… 지금 옆에 있는 동료가 진짜이길 기도하자.",611,70649,0,4,3
39,감시의 탑,"스칼라 양식으로 추정되는 유적 가장자리에 우뚝 솟은 석탑. 정상에서는 초승달 섬 북부의 분지 지대를 한눈에 볼 수 있지만, 각 유적 모두 정상적인 환경이라고 말하기는 어렵다. 만약 의도적으로 만들어진 것이라면, 이 북부 분지는 그러한 '이상 사태'를 전시하려는 의도가 있었는지도 모른다. 아카이브에 따르면, 마법대전 시기의 스칼라 영토에는 이런 감시탑이 주요 지점에 세워져 있었다고 한다. 현재 대부분은 로흐 셀 호수 밑바닥에 잠들어 있는 듯하다.",612,70635,12631758,2,1
40,가라앉은 성당,"붉은빛이 도는 석재로 지어진 대성당. 뾰족한 아치를 많이 사용한 양식을 보아 석조 도시 스칼라의 문명을 재현한 것으로 보이나, 대부분은 땅에 묻혀 있는 듯하다. 각종 기록에 따르면 제5성력 말기에는 에오르제아 각지에서 환경 에테르가 물속성으로 치우친 것이 관측되어, 홍수로 인한 직접적인 피해는 없었더라도 땅에서 물이 솟아나거나 지반이 물러지는 경우가 있었다고 한다. 가라앉은 성당은 그런 물속성의 힘에 의한 환경 변화를 재현한 것일지도 모른다.",613,70636,12631759,2,1
41,창백한 마기아,"초승달 섬 북부에서 확인된, 창백한 얼굴의 사역마. 인간의 몸으로 마물의 기술을 사용하려는 시도는 예부터 각지에서 이루어져 왔다. 예를 들면, 투랄 대륙에서는 일부 부족이 그러한 마법을 사용한다고 한다. 또한 제5성력 시대 스칼라 문명에서는 '저주' 기술을 응용해 원한을 품은 마물들의 피로 그 힘을 조종하려는 시도가 있었던 듯하다. 아마 이 사역마는 그런 기술을 사용할 수 있는 능력을 받은 듯하다.",614,70650,0,4,3
42,마기 강령술사,"역사서에 기록된 내용에 따르면, 마법대전 시기, 전장을 누비며 수많은 사령을 이끌고 많은 마을을 짓밟았던 마도사가 있었다고 한다. 그 마도사는 의로운 병사에게 쓰러졌으나, 최후에는 죽은 자들의 영혼을 자신과 융합해 이형의 괴물로 변했다고 한다. 마기 강령술사의 모습은 전승과 일치하는 점이 있는 듯하지만, 설령 그 영혼이라고 하더라도 섬의 주인이 왜 사역마로 사역하고 있는지는 알 수 없다. 어쩌면 강령술사를 쓰러뜨렸다는 인물과 연이 있었을지도 모른다.",615,70651,0,4,3
43,백골의 숲,"수령이 높은 나무들이 늘어선 울창한 숲. 안쪽에는 간소한 나무 감옥이 여러 개 설치되어 있으며, 제법 사용된 흔적도 볼 수 있다. 아카이브에 따르면, 제5성력 시기에는 열두 개의 도시국가가 있었는데, 그중 하나는 숲 전체를 하나의 도시로 여기고 살아가는 사람들의 나라였다고 한다. 이 나라 사람들은 영역 경계에 설치한 나무 감옥에 숲을 침범한 자들을 가두어 백골이 되도록 방치하고, 이를 본보기로 삼아 외부인들에게 경고했다고 한다. 이곳에 재현된 것은 숲에 살던 주민의 그러한 일면일 것이다.",616,70637,12631760,2,1
44,유괴자,"섬 '밖'에서 자원을 조달하라는 명령을 받은 것으로 보이는 날개 달린 사역마. 자원이란 곧 섬을 운영하기 위한 에테르로, 크리스탈 외에 생태계에 부족한 동식물을 확보하거나 때로는 근해를 오가는 선원까지도 '유괴'의 대상이 되었던 것으로 보인다. 그러나 주민으로서가 아니라 자원으로서의 가치를 인정받은 것에 불과하므로, 과거에 유괴된 사람들은 모두 사역마 생성 등에 '소비'된 것으로 추측된다.",617,70652,0,4,3
45,하늘유적,"지반째로 공중에 떠 있는 유적. 외지 라노시아의 니므 하늘유적과 매우 유사한 양식이 보이기에, 같은 니므 문명을 재현한 것으로 추측된다. 외지 라노시아의 유적은 제7재해로 인해 지맥 에테르가 편속성화하면서 바람속성이 강해져 떠오르게 되었다고 알려졌지만, 이 '전시'를 통해 새로운 가설이 제기되었다. 니므 사람들은 대홍수를 피해 '하늘'로 달아나기 위해, 의도적으로 지반이 떠오르게 하는 기술을 연구했던 것이 아닌가, 하는 설이다.",618,70638,12631761,2,1
46,산악신 성역,"초승달 섬 남부에 재현된 방랑신 성역과 쌍을 이루는, 산악을 관장하는 신 오쉬온을 모시는 성역. 이 성역 유적은 바일브랜드 섬 북부 지역에 현존하며, 열두 신의 독실한 신자들이 종종 모험가에게 호위를 맡기고 순례를 위한 등산에 나서는 것으로도 유명하다. 유래를 생각하면 초승달 섬의 성역이 라노시아의 성역보다 늦게 건설되었을 테지만, 사람이 드나들지 않고 환경 에테르에 이상이 발생했기 때문인지 풍화가 상당히 많이 진행된 듯하다.",619,70639,12631762,2,1
47,구체 조각상 신전,"구체 조각상이 진열된, 어딘지 모르게 신성한 느낌이 드는 유적. 제5성력 시대에 에오르제아에 존재했던 열두 도시 중 한 곳의 양식을 재현한 것으로 보인다. 아카이브에 따르면, 시간마법을 토대로 한 봉인술에 능한 소국에서는 복잡하고 기묘한 구형 마법진을 사용했다고 한다. 그 도시는 마법대전 말기까지 남아 있었으나, 타국에 문호를 개방하지 않은 채 고요하게 역사의 뒤안길로 사라졌다는 모양이다. 그렇다면 혹시 숨겨진 땅에 유적이 존재할 가능성도 있을까?",620,70640,12631763,2,1
48,루브룸 드래곤,"드래곤족의 유해를 사용한 사체 인형, '살점 골렘'의 일종. 생전에도 독소를 가지고 있었는지, 사후에 저주받아 생겼는지는 알 수 없으나, 대상을 살아 있는 시체로 만드는 안개가 최대의 무기인 듯하다. 거기에 견고한 마력 방벽을 펼치는 능력까지 가지고 있어, 일대에 죽음을 가져오는 강자로서 군림하고 있었다. 이런 재앙 같은 존재가 돌아다닌다는 사실은, 북부 일대가 의도적으로 비정상적인 환경을 연출한 곳일 가능성을 시사한다.",621,70653,0,4,3
49,부패한 시가지,"부정한 균류가 무성하게 자란 도시 유적. 건축물의 양식, 그리고 무엇보다도 외관이 매우 유사한 점으로 미루어 보아 옛 암다포르 시가지를 모방한 곳인 듯하다. 검은장막 숲에서는 제7재해의 영향으로 땅속성 힘이 약해진 결과 균이 번식한 것으로 추측되었으나, 초승달 섬에서도 동일한 환경 이상이 나타났다는 점은 상당히 흥미롭다고 할 수 있다. 마법대전처럼 환경 에테르에 부담이 가는 상태가 오래 지속되면 결국 이런 심각한 이변이 일어나게 되는 것일지도 모른다.",622,70641,12631764,2,1
50,설화석고 검사,"제5성력, 암다포르에서는 도시를 수호하고 적군을 공격하기 위해 수많은 석조 수호자를 만들었다고 한다. 시대와 성능에 따라 등급을 구별했는데, 적은 수만 제조된 최상위 개체는 군대 전체에 필적하는 힘을 지니고 있었다는 모양이다. 마법대전 후기에 만들어진 이 설화석고 검사 또한 상위급 존재이며, 다른 도시에서 찾아볼 수 있는 '마법검'을 응용한 기능이 탑재되어 있어, 검술과 마법을 융합시킨 파상 공격이 특기였다.",623,70654,0,4,3
51,곰팡이꽃 호수,"하얀 솜털처럼 생긴 곰팡이꽃에 둘러싸인 호수. 언뜻 보면 환상적인 광경이지만, 무수히 떠다니는 유독성 포자 때문에 장시간 머무르면 호흡기 쪽에 이상이 발생할 것으로 예상된다. 호수에는 유독 높은 첨탑이 세워진 성당이 가라앉아 있는데, 암다포르에서 믿는 노피카를 모시는 곳이었을 가능성이 높다. 풍요의 여신 노피카를 신봉하는 암다포르 시민들은 조화를 중시하며 평온한 삶을 바랐다고 하는데, 적에게 대항할 힘을 바랐던 결과가 이것이라면 참 얄궂은 일이다.",624,70642,12631765,2,1
