key,0,1,2,3,4
60,0,"<Color(PlayerParameter(59))><Highlight>StringParameter(2)</Highlight></Color>","채집 관련 시스템 메시지","",3
61,0,"<Color(PlayerParameter(60))><Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","NPC 대화","",3
62,0,"<Color(PlayerParameter(61))><Highlight>StringParameter(2)</Highlight></Color>","전리품 알림","",3
63,0,"","","",0
64,50,"<Color(PlayerParameter(62))><Highlight>StringParameter(2)</Highlight></Color>","레벨업 및 습득","",3
65,0,"<Color(PlayerParameter(63))><Highlight>StringParameter(2)</Highlight></Color>","아이템 입찰 정보","",3
66,50,"<Color(PlayerParameter(64))><Highlight>StringParameter(2)</Highlight></Color>","제작 과정 및 결과","",3
67,50,"<Color(PlayerParameter(65))><Highlight>StringParameter(2)</Highlight></Color>","채집 과정 및 결과","",3
68,0,"<Color(PlayerParameter(60))><Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","NPC 대화: 공지 계열","",3
69,0,"<Color(PlayerParameter(33))><Highlight>StringParameter(2)</Highlight></Color>","자유부대 알림","",3
70,0,"<Color(PlayerParameter(33))><Highlight>StringParameter(2)</Highlight></Color>","자유부대원 로그인 알림","",0
71,0,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>","장터 판매 알림","",0
72,0,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>","새 파티 찾기 정보","",0
73,0,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>","표식 설정 정보","",0
74,0,"<Color(PlayerParameter(63))><Highlight>StringParameter(2)</Highlight></Color>","ダイスの出目","",0
75,0,"<Color(PlayerParameter(34))><Highlight>StringParameter(2)</Highlight></Color>","초보자 채널 알림","",0
76,0,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>","","",0
77,0,"<Color(PlayerParameter(28))><Highlight>StringParameter(2)</Highlight></Color>","","",0
78,0,"<Color(PlayerParameter(28))><Highlight>StringParameter(2)</Highlight></Color>","","",0
79,0,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>","","",0
80,0,"<Color(PlayerParameter(15))>[GM]<Highlight>StringParameter(1)</Highlight> >> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 귓속말","",0
81,0,"<Color(PlayerParameter(13))>[GM]<Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 말하기","",0
82,0,"<Color(PlayerParameter(14))>[GM]<Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 외치기","",0
83,0,"<Color(PlayerParameter(32))>[GM]<Highlight>StringParameter(1)</Highlight>: <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 떠들기","",0
84,0,"<Color(PlayerParameter(16))>([GM]<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 파티말","",0
85,0,"<Color(PlayerParameter(26))>[자유부대]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 자유부대 대화","",0
86,0,"<Color(PlayerParameter(18))>[1]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸1 대화","",0
87,0,"<Color(PlayerParameter(19))>[2]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸2 대화","",0
88,0,"<Color(PlayerParameter(20))>[3]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸3 대화","",0
89,0,"<Color(PlayerParameter(21))>[4]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸4 대화","",0
90,0,"<Color(PlayerParameter(22))>[5]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸5 대화","",0
91,0,"<Color(PlayerParameter(23))>[6]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸6 대화","",0
92,0,"<Color(PlayerParameter(24))>[7]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸7 대화","",0
93,0,"<Color(PlayerParameter(25))>[8]<[GM]<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","GM이 보낸 링크셸8 대화","",0
94,0,"<Color(PlayerParameter(29))>[초보자][GM]<<Highlight>StringParameter(1)</Highlight>>: <Highlight>StringParameter(2)</Highlight></Color>","","",0
95,0,"","","",0
96,0,"","","",0
97,0,"","","",0
98,0,"","","",0
99,0,"","","",0
100,0,"","","",0
101,0,"<Color(PlayerParameter(84))>[서버 초월 링크셸 2]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
102,0,"<Color(PlayerParameter(85))>[서버 초월 링크셸 3]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
103,0,"<Color(PlayerParameter(86))>[서버 초월 링크셸 4]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
104,0,"<Color(PlayerParameter(87))>[서버 초월 링크셸 5]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
105,0,"<Color(PlayerParameter(88))>[서버 초월 링크셸 6]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
106,0,"<Color(PlayerParameter(89))>[서버 초월 링크셸 7]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
107,0,"<Color(PlayerParameter(90))>[서버 초월 링크셸 8]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>","","",0
108,0,"","","",0
109,0,"","","",0
110,0,"","","",0
