#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
51.0,0,0,0,1091,3,6,1
52.0,0,0,0,1092,3,6,1
53.0,0,0,0,1093,3,6,1
54.0,0,0,0,1094,3,6,1
55.0,0,0,0,1095,3,6,1
56.0,0,0,0,1096,3,6,1
57.0,0,0,0,1097,3,6,1
58.0,0,0,0,1098,3,6,1
59.0,0,0,0,1099,3,6,1
60.0,0,0,0,1100,3,6,1
61.0,0,0,0,1101,3,6,1
62.0,0,0,0,1102,3,6,1
63.0,1052585,73279,0,1151,3,6,1
63.1,1052585,73279,0,1152,3,6,1
63.2,1052585,73279,0,1153,3,6,1
63.10,1052585,73279,0,1154,3,6,1
63.20,1052585,73279,0,1155,3,6,1
63.21,1052585,73279,0,1156,3,6,1
63.30,1052585,73279,0,1157,3,6,1
63.40,1052585,73279,0,1158,3,6,1
63.50,1052585,73279,0,1159,3,6,1
63.60,1052585,73279,0,1160,3,6,1
63.70,1052585,73279,0,1161,3,6,1
63.80,1052585,73279,0,1210,3,6,1
63.81,1052585,73279,0,1211,3,6,1
63.90,1052585,73279,0,1212,3,6,1
63.100,1052585,73279,0,1233,3,6,1
63.101,1052585,73279,0,1234,3,6,1
63.102,1052585,73279,0,1235,3,6,1
64.0,1052585,73279,0,1162,3,6,1
64.1,1052585,73279,0,1163,3,6,1
64.2,1052585,73279,0,1164,3,6,1
64.10,1052585,73279,0,1165,3,6,1
64.20,1052585,73279,0,1166,3,6,1
64.21,1052585,73279,0,1167,3,6,1
64.30,1052585,73279,0,1168,3,6,1
64.40,1052585,73279,0,1169,3,6,1
64.50,1052585,73279,0,1170,3,6,1
64.60,1052585,73279,0,1171,3,6,1
64.70,1052585,73279,0,1172,3,6,1
64.100,1052585,73279,0,1236,3,6,1
64.101,1052585,73279,0,1237,3,6,1
64.102,1052585,73279,0,1238,3,6,1
65.0,0,0,0,1108,3,6,1
66.0,0,0,0,1109,3,6,1
67.0,0,0,0,1110,3,6,1
68.0,0,0,0,1111,3,6,1
69.0,0,0,0,1112,3,6,1
70.0,0,0,0,1113,3,6,1
71.0,0,0,0,1177,3,6,1
72.0,0,0,0,1180,3,6,1
73.0,0,0,0,1173,3,6,1
74.0,0,0,0,1174,3,6,1
75.0,0,0,0,1175,3,6,1
76.0,0,0,0,1177,3,6,1
77.0,0,0,0,1181,3,6,1
78.0,0,0,0,1173,3,6,1
79.0,0,0,0,1174,3,6,1
80.0,0,0,0,1175,3,6,1
81.0,0,0,0,1178,3,6,1
82.0,0,0,0,1182,3,6,1
83.0,0,0,0,1173,3,6,1
84.0,0,0,0,1174,3,6,1
85.0,0,0,0,1175,3,6,1
86.0,0,0,0,1178,3,6,1
87.0,0,0,0,1183,3,6,1
88.0,0,0,0,1173,3,6,1
89.0,0,0,0,1174,3,6,1
90.0,0,0,0,1175,3,6,1
91.0,0,0,0,1179,3,6,1
92.0,0,0,0,1184,3,6,1
93.0,0,0,0,1173,3,6,1
94.0,0,0,0,1174,3,6,1
95.0,0,0,0,1175,3,6,1
96.0,0,0,0,1179,3,6,1
97.0,0,0,0,1185,3,6,1
98.0,0,0,0,1173,3,6,1
99.0,0,0,0,1174,3,6,1
100.0,0,0,0,1175,3,6,1
101.0,0,0,0,1176,3,6,1
102.0,0,0,0,1198,3,6,1
103.0,0,0,0,1199,3,6,1
104.0,0,0,0,1200,3,6,1
105.0,0,0,0,1201,3,6,1
106.0,0,0,0,1202,3,6,1
107.0,0,0,0,1203,3,6,1
108.0,0,0,0,1204,3,6,1
109.0,0,0,0,1205,3,6,1
110.0,0,0,0,1206,3,6,1
111.0,0,0,0,1207,3,6,1
112.0,0,0,0,1208,3,6,1
113.0,0,0,0,1209,3,6,1
114.0,0,0,0,1186,3,6,1
115.0,0,0,0,1187,3,6,1
116.0,0,0,0,1188,3,6,1
117.0,0,0,0,1189,3,6,1
118.0,0,0,0,1190,3,6,1
119.0,0,0,0,1191,3,6,1
120.0,0,0,0,1192,3,6,1
121.0,0,0,0,1193,3,6,1
122.0,0,0,0,1194,3,6,1
123.0,0,0,0,1195,3,6,1
124.0,0,0,0,1196,3,6,1
125.0,0,0,0,1197,3,6,1
126.0,1052594,73283,0,1213,3,6,1
126.1,1052594,73283,0,1214,3,6,1
126.2,1052594,73283,0,1215,3,6,1
126.3,1052594,73283,0,1216,3,6,1
126.4,1052594,73283,0,1217,3,6,1
126.5,1052594,73283,0,1218,3,6,1
126.6,1052594,73283,0,1219,3,6,1
126.7,1052594,73283,0,1220,3,6,1
126.8,1052594,73283,0,1221,3,6,1
126.9,1052594,73283,0,1222,3,6,1
126.10,1052594,73283,0,1223,3,6,1
126.11,1052594,73283,0,1224,3,6,1
126.12,1052594,73283,0,1225,3,6,1
126.13,1052594,73283,0,1226,3,6,1
126.14,1052594,73283,0,1227,3,6,1
126.15,1052594,73283,0,1228,3,6,1
126.16,1052594,73283,0,1229,3,6,1
126.17,1052594,73283,0,1230,3,6,1
126.18,1052594,73283,0,1231,3,6,1
126.19,1052594,73283,0,1232,3,6,1
