#,Name,ENPC,Unknown0,Unknown1
28,"'성 로엘 광장' 정비 계획 3단계가 완료되었다. 수고했어!
정비 계획 4단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
29,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
30,"'성 로엘 광장' 정비 계획이 모두 완료되었다. 수고했어!
다음에는 '새보금자리 거주구' 정비 계획을 위해 자재를 납품해주길 바란다!",1032493,8,10
31,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
32,"'새보금자리 거주구' 정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
33,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
34,"'새보금자리 거주구' 정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
35,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
36,"'새보금자리 거주구' 정비 계획 3단계가 완료되었다. 수고했어!
정비 계획 4단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
37,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
38,"다음 작업만 마치면 '새보금자리 거주구' 정비 계획 4단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
39,"'새보금자리 거주구' 정비 계획 4단계가 완료되었다. 수고했어!
정비 계획 5단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
40,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
41,"다음 작업만 마치면 '새보금자리 거주구' 정비 계획 5단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
42,"'새보금자리 거주구' 정비 계획 5단계가 완료되었다. 수고했어!
정비 계획 6단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
43,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
44,"다음 작업만 마치면 '새보금자리 거주구' 정비 계획 6단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
45,"'새보금자리 거주구' 정비 계획 6단계가 완료되었다. 수고했어!
정비 계획 7단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
46,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
47,"다음 작업만 마치면 '새보금자리 거주구' 정비 계획 7단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
48,"'새보금자리 거주구' 정비 계획이 모두 완료되었다!
다들 수고했어!!",1032493,8,10
49,,0,0,0
50,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
51,"'깃털비 상업구' 정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
52,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
53,"'깃털비 상업구' 정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
54,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
55,"'깃털비 상업구' 정비 계획 3단계가 완료되었다. 수고했어!
정비 계획 4단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
56,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
57,"다음 작업만 마치면 '깃털비 상업구' 정비 계획 4단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
58,"'깃털비 상업구' 정비 계획 4단계가 완료되었다. 수고했어!
정비 계획 5단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
59,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
60,"다음 작업만 마치면 '깃털비 상업구' 정비 계획 5단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
61,"'깃털비 상업구' 정비 계획 5단계가 완료되었다. 수고했어!
정비 계획 6단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
62,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
63,"다음 작업만 마치면 '깃털비 상업구' 정비 계획 6단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
64,"'깃털비 상업구' 정비 계획 6단계가 완료되었다. 수고했어!
정비 계획 7단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
65,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
66,"다음 작업만 마치면 '깃털비 상업구' 정비 계획 7단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
67,"'깃털비 상업구' 정비 계획이 모두 완료되었다. 수고했어!
다음에는 '주판 거리' 정비 계획을 위해 자재를 납품해주길 바란다!",1032493,8,10
68,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
69,"'주판 거리' 정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
70,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
71,"다음 작업만 마치면 '주판 거리' 정비 계획 2단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
72,"'주판 거리' 정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계를 위해 또 자재를 납품해주길 바란다!",1032493,3,10
73,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
74,"'주판 거리' 정비 계획이 모두 완료되었다. 수고했어!
다음에는 '흰서리 관사' 정비 계획을 위해 자재를 납품해주길 바란다!",1032493,8,10
75,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
76,"'흰서리 관사' 정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계 개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
77,"'흰서리 관사' 정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계 개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
78,"다음 작업만 마치면 '흰서리 관사' 정비 계획이 완료된다!
마지막 단계 개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
79,"'흰서리 관사' 정비 계획이 모두 완료되었다!
다들 수고했어!!",1032493,8,10
80,,0,0,0
81,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
82,"'부흥시 문화구 서쪽' 정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
83,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
84,"다음 작업만 마치면 '부흥시 문화구 서쪽' 정비 계획 2단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
85,"'부흥시 문화구 서쪽' 정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
86,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
87,"다음 작업만 마치면 '부흥시 문화구 서쪽' 정비 계획 3단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
88,"'부흥시 문화구 서쪽' 정비 계획 3단계가 완료되었다. 수고했어!
정비 계획 4단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
89,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
90,"다음 작업만 마치면 '부흥시 문화구 서쪽' 정비 계획 4단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
91,"'부흥시 문화구 서쪽' 정비 계획 4단계가 완료되었다. 수고했어!
정비 계획 5단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
92,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
93,"다음 작업만 마치면 '부흥시 문화구 서쪽' 정비 계획 5단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
94,"'부흥시 문화구 서쪽' 정비 계획 5단계가 완료되었다. 수고했어!
다음에는 '시인의 문' 정비 계획을 위해 자재를 납품해주길 바란다!",1032493,8,10
95,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
96,"다음 작업만 마치면 '시인의 문' 정비 계획이 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
97,"'시인의 문' 정비 계획이 모두 완료되었다!
다음에는 '부흥시 문화구 동쪽' 정비 계획 1단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
98,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
99,"'부흥시 문화구 동쪽' 정비 계획 1단계가 완료되었다. 수고했어!
정비 계획 2단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
100,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
101,"다음 작업만 마치면 '부흥시 문화구 동쪽' 정비 계획 2단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
102,"'부흥시 문화구 동쪽' 정비 계획 2단계가 완료되었다. 수고했어!
정비 계획 3단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
103,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
104,"다음 작업만 마치면 '부흥시 문화구 동쪽' 정비 계획 3단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
105,"'부흥시 문화구 동쪽' 정비 계획 3단계가 완료되었다. 수고했어!
정비 계획 4단계를 위해 자재를 납품해주길 바란다!",1032493,3,10
106,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
107,"다음 작업만 마치면 '부흥시 문화구 동쪽' 정비 계획 4단계가 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
108,"'부흥시 문화구 동쪽' 정비 계획 4단계가 완료되었다. 수고했어!
다음에는 '설중탕' 정비 계획을 위해 자재를 납품해주길 바란다!",1032493,3,10
109,"자재가 충분히 모여 부흥 공동 작업을 개시합니다.
부흥 사업 게시판에서 작업 개시 시각을 확인하세요.",0,0,10
110,"다음 작업만 마치면 '설중탕' 정비 계획이 완료된다!
개시 시각은 부흥 사업 게시판에서 확인해 줘!",1032493,3,10
111,"'설중탕' 정비 계획이 완료되었다!
마지막으로 고명한 장인 기념비를 건축한다.
부흥 사업 게시판에서 확인해 줘!",1032493,8,10
112,"'창천 거리' 부흥 계획이 모두 완료되었다!
불타는 장인 정신, 정말 멋졌어!!",1032493,8,10
113,,0,0,0
114,,0,0,0
115,,0,0,0
116,,0,0,0
117,,0,0,0
118,,0,0,0
119,,0,0,0
120,,0,0,0
121,,0,0,0
122,,0,0,0
123,,0,0,0
124,,0,0,0
125,,0,0,0
