#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
40034,창술사 34,13000,172,0,0,0,4,0,0,0
40035,창술사 35,13500,63,58,0,0,4,3,0,0
40036,창술사 36,14000,297,0,0,0,4,0,0,0
40037,창술사 37,14500,294,173,0,0,4,3,0,0
40038,창술사 38,15000,175,0,0,0,4,0,0,0
40039,창술사 39,16000,302,305,0,0,4,3,0,0
40040,창술사 40,16500,274,0,0,0,4,0,0,0
40041,창술사 41,17000,308,307,0,0,5,4,0,0
40042,창술사 42,17500,73,0,0,0,5,0,0,0
40043,창술사 43,18000,187,189,0,0,5,2,0,0
40044,창술사 44,18500,190,0,0,0,5,0,0,0
40045,창술사 45,19000,333,311,0,0,4,5,0,0
40046,창술사 46,19500,312,0,0,0,5,0,0,0
40047,창술사 47,20000,77,325,0,0,5,4,0,0
40048,창술사 48,20500,327,0,0,0,5,0,0,0
40049,창술사 49,21000,204,290,0,0,5,4,0,0
40050,창술사 50,21500,92,0,0,0,5,0,0,0
50001,궁술사 01,75,1,0,0,0,4,0,0,0
50002,궁술사 02,180,95,0,0,0,4,0,0,0
50003,궁술사 03,360,96,0,0,0,4,0,0,0
50004,궁술사 04,410,97,0,0,0,4,0,0,0
50005,궁술사 05,530,101,0,0,0,4,0,0,0
50006,궁술사 06,980,98,0,0,0,4,0,0,0
50007,궁술사 07,1100,103,0,0,0,4,0,0,0
50008,궁술사 08,1300,108,0,0,0,4,0,0,0
50009,궁술사 09,1600,107,0,0,0,4,0,0,0
50010,궁술사 10,1700,110,0,0,0,4,0,0,0
50011,궁술사 11,2300,112,0,0,0,4,0,0,0
50012,궁술사 12,3200,115,0,0,0,4,0,0,0
50013,궁술사 13,4000,113,116,117,118,1,1,1,1
50014,궁술사 14,4500,119,0,0,0,4,0,0,0
50015,궁술사 15,5000,120,0,0,0,4,0,0,0
50016,궁술사 16,5300,122,0,0,0,4,0,0,0
50017,궁술사 17,5500,123,0,0,0,4,0,0,0
50018,궁술사 18,5700,128,0,0,0,3,0,0,0
50019,궁술사 19,5900,133,0,0,0,4,0,0,0
50020,궁술사 20,6100,129,0,0,0,4,0,0,0
50021,궁술사 21,6300,32,0,0,0,5,0,0,0
50022,궁술사 22,6500,135,0,0,0,5,0,0,0
50023,궁술사 23,6700,33,246,138,144,2,2,2,2
50024,궁술사 24,6900,146,0,0,0,5,0,0,0
50025,궁술사 25,7100,152,0,0,0,5,0,0,0
50026,궁술사 26,7600,253,0,0,0,5,0,0,0
50027,궁술사 27,8600,257,0,0,0,5,0,0,0
50028,궁술사 28,9400,157,0,0,0,5,0,0,0
50029,궁술사 29,9700,159,0,0,0,5,0,0,0
50030,궁술사 30,10000,37,0,0,0,5,0,0,0
50031,궁술사 31,11000,165,0,0,0,5,0,0,0
50032,궁술사 32,12000,265,0,0,0,5,0,0,0
50033,궁술사 33,12500,264,47,269,172,2,2,2,2
50034,궁술사 34,13000,52,0,0,0,5,0,0,0
50035,궁술사 35,13500,56,0,0,0,5,0,0,0
50036,궁술사 36,14000,63,65,62,272,2,2,2,2
50037,궁술사 37,14500,295,0,0,0,5,0,0,0
50038,궁술사 38,15000,298,0,0,0,5,0,0,0
50039,궁술사 39,16000,301,0,0,0,5,0,0,0
50040,궁술사 40,16500,307,0,0,0,5,0,0,0
50041,궁술사 41,17000,306,0,0,0,5,0,0,0
50042,궁술사 42,17500,308,0,0,0,5,0,0,0
50043,궁술사 43,18000,72,73,179,187,2,2,2,2
50044,궁술사 44,18500,319,0,0,0,5,0,0,0
50045,궁술사 45,19000,191,0,0,0,5,0,0,0
50046,궁술사 46,19500,314,318,320,279,2,2,2,2
50047,궁술사 47,20000,194,0,0,0,5,0,0,0
50048,궁술사 48,20500,205,0,0,0,5,0,0,0
50049,궁술사 49,21000,285,0,0,0,5,0,0,0
50050,궁술사 50,21500,89,0,0,0,5,0,0,0
60001,환술사 01,75,1,0,0,0,3,0,0,0
60002,환술사 02,180,95,0,0,0,3,0,0,0
60003,환술사 03,360,96,0,0,0,3,0,0,0
60004,환술사 04,410,97,0,0,0,3,0,0,0
60005,환술사 05,530,99,0,0,0,3,0,0,0
60006,환술사 06,980,98,0,0,0,3,0,0,0
60007,환술사 07,1100,101,0,0,0,3,0,0,0
60008,환술사 08,1300,102,0,0,0,3,0,0,0
60009,환술사 09,1600,106,0,0,0,3,0,0,0
60010,환술사 10,1700,114,0,0,0,3,0,0,0
60011,환술사 11,2300,109,0,0,0,3,0,0,0
60012,환술사 12,3200,115,113,0,0,3,2,0,0
60013,환술사 13,4000,18,0,0,0,3,0,0,0
60014,환술사 14,4500,118,0,0,0,3,0,0,0
60015,환술사 15,5000,121,0,0,0,3,0,0,0
60016,환술사 16,5300,122,0,0,0,3,0,0,0
60017,환술사 17,5500,123,0,0,0,3,0,0,0
60018,환술사 18,5700,127,0,0,0,3,0,0,0
60019,환술사 19,5900,130,0,0,0,3,0,0,0
60020,환술사 20,6100,131,0,0,0,3,0,0,0
60021,환술사 21,6300,32,0,0,0,3,0,0,0
60022,환술사 22,6500,135,245,247,0,3,2,2,0
60023,환술사 23,6700,139,0,0,0,3,0,0,0
60024,환술사 24,6900,143,0,0,0,3,0,0,0
60025,환술사 25,7100,151,0,0,0,3,0,0,0
60026,환술사 26,7600,252,0,0,0,3,0,0,0
60027,환술사 27,8600,255,0,0,0,3,0,0,0
60028,환술사 28,9400,158,0,0,0,3,0,0,0
60029,환술사 29,9700,159,0,0,0,3,0,0,0
60030,환술사 30,10000,37,0,0,0,3,0,0,0
60031,환술사 31,11000,169,0,0,0,4,0,0,0
60032,환술사 32,12000,167,43,50,265,4,2,2,1
60033,환술사 33,12500,170,0,0,0,4,0,0,0
60034,환술사 34,13000,52,0,0,0,4,0,0,0
60035,환술사 35,13500,297,0,0,0,4,0,0,0
60036,환술사 36,14000,174,0,0,0,4,0,0,0
60037,환술사 37,14500,175,0,0,0,4,0,0,0
60038,환술사 38,15000,302,0,0,0,4,0,0,0
60039,환술사 39,16000,299,0,0,0,4,0,0,0
60040,환술사 40,16500,308,0,0,0,4,0,0,0
60041,환술사 41,17000,273,0,0,0,4,0,0,0
60042,환술사 42,17500,66,306,72,73,4,2,2,1
60043,환술사 43,18000,183,0,0,0,2,0,0,0
60044,환술사 44,18500,191,0,0,0,4,0,0,0
60045,환술사 45,19000,312,0,0,0,4,0,0,0
60046,환술사 46,19500,323,0,0,0,4,0,0,0
60047,환술사 47,20000,77,0,0,0,4,0,0,0
60048,환술사 48,20500,203,0,0,0,4,0,0,0
60049,환술사 49,21000,285,0,0,0,4,0,0,0
60050,환술사 50,21500,94,0,0,0,4,0,0,0
70001,주술사 01,75,1,0,0,0,3,0,0,0
70002,주술사 02,180,207,0,0,0,3,0,0,0
70003,주술사 03,360,208,0,0,0,3,0,0,0
70004,주술사 04,410,209,0,0,0,3,0,0,0
70005,주술사 05,530,215,0,0,0,3,0,0,0
70006,주술사 06,980,212,0,0,0,3,0,0,0
70007,주술사 07,1100,216,0,0,0,3,0,0,0
70008,주술사 08,1300,217,0,0,0,3,0,0,0
70009,주술사 09,1600,220,0,0,0,3,0,0,0
70010,주술사 10,1700,221,0,0,0,3,0,0,0
70011,주술사 11,2300,228,229,0,0,3,2,0,0
70012,주술사 12,3200,227,231,0,0,3,2,0,0
70013,주술사 13,4000,233,232,0,0,3,2,0,0
70014,주술사 14,4500,234,0,0,0,3,0,0,0
70015,주술사 15,5000,236,0,0,0,3,0,0,0
70016,주술사 16,5300,237,0,0,0,3,0,0,0
70017,주술사 17,5500,241,0,0,0,3,0,0,0
70018,주술사 18,5700,239,0,0,0,3,0,0,0
70019,주술사 19,5900,243,0,0,0,3,0,0,0
70020,주술사 20,6100,244,0,0,0,3,0,0,0
70021,주술사 21,6300,134,137,0,0,4,2,0,0
70022,주술사 22,6500,33,246,0,0,4,2,0,0
70023,주술사 23,6700,247,139,0,0,4,2,0,0
70024,주술사 24,6900,144,143,0,0,4,2,0,0
70025,주술사 25,7100,148,0,0,0,4,0,0,0
70026,주술사 26,7600,254,0,0,0,4,0,0,0
70027,주술사 27,8600,251,0,0,0,4,0,0,0
70028,주술사 28,9400,260,0,0,0,4,0,0,0
70029,주술사 29,9700,263,0,0,0,4,0,0,0
70030,주술사 30,10000,168,0,0,0,4,0,0,0
70031,주술사 31,11000,44,166,0,0,5,2,0,0
70032,주술사 32,12000,264,170,0,0,5,2,0,0
70033,주술사 33,12500,269,49,0,0,5,2,0,0
70034,주술사 34,13000,50,172,0,0,5,2,0,0
70035,주술사 35,13500,62,0,0,0,5,0,0,0
70036,주술사 36,14000,54,0,0,0,5,0,0,0
70037,주술사 37,14500,295,0,0,0,5,0,0,0
70038,주술사 38,15000,298,0,0,0,5,0,0,0
70039,주술사 39,16000,299,0,0,0,5,0,0,0
70040,주술사 40,16500,273,0,0,0,5,0,0,0
70041,주술사 41,17000,308,179,0,0,6,2,0,0
70042,주술사 42,17500,73,186,0,0,6,1,0,0
70043,주술사 43,18000,187,188,0,0,6,2,0,0
70044,주술사 44,18500,310,191,0,0,6,2,0,0
70045,주술사 45,19000,315,316,0,0,3,2,0,0
70046,주술사 46,19500,278,0,0,0,6,0,0,0
70047,주술사 47,20000,78,0,0,0,6,0,0,0
70048,주술사 48,20500,201,0,0,0,6,0,0,0
70049,주술사 49,21000,284,0,0,0,6,0,0,0
70050,주술사 50,21500,91,0,0,0,6,0,0,0
260001,비술사 01,75,1,0,0,0,3,0,0,0
260002,비술사 02,180,2,0,0,0,3,0,0,0
260003,비술사 03,360,4,0,0,0,3,0,0,0
260004,비술사 04,410,5,0,0,0,3,0,0,0
260005,비술사 05,530,355,0,0,0,3,0,0,0
260006,비술사 06,980,9,0,0,0,3,0,0,0
260007,비술사 07,1100,11,0,0,0,3,0,0,0
260008,비술사 08,1300,10,13,0,0,3,3,0,0
260009,비술사 09,1600,14,0,0,0,3,0,0,0
260010,비술사 10,1700,16,0,0,0,3,0,0,0
260011,비술사 11,2300,19,0,0,0,3,0,0,0
260012,비술사 12,3200,20,0,0,0,3,0,0,0
260013,비술사 13,4000,21,0,0,0,3,0,0,0
260014,비술사 14,4500,115,0,0,0,3,0,0,0
260015,비술사 15,5000,23,0,0,0,3,0,0,0
260016,비술사 16,5300,25,0,0,0,3,0,0,0
260017,비술사 17,5500,26,0,0,0,3,0,0,0
260018,비술사 18,5700,27,29,0,0,3,3,0,0
260019,비술사 19,5900,28,0,0,0,3,0,0,0
260020,비술사 20,6100,31,0,0,0,3,0,0,0
260021,비술사 21,6300,134,0,0,0,4,0,0,0
260022,비술사 22,6500,245,0,0,0,4,0,0,0
260023,비술사 23,6700,137,0,0,0,4,0,0,0
260024,비술사 24,6900,34,0,0,0,4,0,0,0
260025,비술사 25,7100,151,0,0,0,4,0,0,0
260026,비술사 26,7600,150,253,0,0,4,2,0,0
260027,비술사 27,8600,256,0,0,0,4,0,0,0
260028,비술사 28,9400,156,262,0,0,4,2,0,0
260029,비술사 29,9700,163,0,0,0,4,0,0,0
260030,비술사 30,10000,169,0,0,0,4,0,0,0
260031,비술사 31,11000,45,0,0,0,4,0,0,0
260032,비술사 32,12000,48,0,0,0,4,0,0,0
260033,비술사 33,12500,50,0,0,0,4,0,0,0
260034,비술사 34,13000,268,0,0,0,4,0,0,0
260035,비술사 35,13500,53,0,0,0,4,0,0,0
260036,비술사 36,14000,55,57,0,0,4,1,0,0
260037,비술사 37,14500,294,0,0,0,4,0,0,0
260038,비술사 38,15000,298,175,0,0,4,2,0,0
260039,비술사 39,16000,304,0,0,0,4,0,0,0
260040,비술사 40,16500,178,0,0,0,4,0,0,0
260041,비술사 41,17000,275,0,0,0,4,0,0,0
260042,비술사 42,17500,72,0,0,0,4,0,0,0
260043,비술사 43,18000,185,0,0,0,2,0,0,0
260044,비술사 44,18500,310,319,0,0,4,2,0,0
260045,비술사 45,19000,190,0,0,0,4,0,0,0
260046,비술사 46,19500,192,324,0,0,4,2,0,0
260047,비술사 47,20000,312,0,0,0,4,0,0,0
260048,비술사 48,20500,327,84,0,0,4,2,0,0
260049,비술사 49,21000,282,0,0,0,4,0,0,0
260050,비술사 50,21500,289,0,0,0,4,0,0,0
290001,쌍검사 01,75,2,0,0,0,3,0,0,0
290002,쌍검사 02,180,4,0,0,0,3,0,0,0
290003,쌍검사 03,360,3,0,0,0,3,0,0,0
290004,쌍검사 04,410,6,0,0,0,3,0,0,0
290005,쌍검사 05,530,733,734,0,0,2,1,0,0
290006,쌍검사 06,980,8,0,0,0,3,0,0,0
290007,쌍검사 07,1100,10,0,0,0,3,0,0,0
290008,쌍검사 08,1300,13,0,0,0,3,0,0,0
290009,쌍검사 09,1600,14,15,0,0,1,1,0,0
290010,쌍검사 10,1700,17,0,0,0,3,0,0,0
290011,쌍검사 11,2300,735,0,0,0,3,0,0,0
290012,쌍검사 12,3200,736,19,0,0,1,2,0,0
290013,쌍검사 13,4000,21,0,0,0,3,0,0,0
290014,쌍검사 14,4500,22,0,0,0,3,0,0,0
290015,쌍검사 15,5000,23,0,0,0,3,0,0,0
290016,쌍검사 16,5300,26,0,0,0,3,0,0,0
290017,쌍검사 17,5500,29,0,0,0,3,0,0,0
290018,쌍검사 18,5700,28,27,0,0,2,1,0,0
290019,쌍검사 19,5900,30,0,0,0,3,0,0,0
290020,쌍검사 20,6100,31,0,0,0,3,0,0,0
290021,쌍검사 21,6300,131,0,0,0,3,0,0,0
290022,쌍검사 22,6500,737,0,0,0,3,0,0,0
290023,쌍검사 23,6700,134,0,0,0,3,0,0,0
290024,쌍검사 24,6900,139,0,0,0,3,0,0,0
290025,쌍검사 25,7100,145,147,0,0,2,2,0,0
290026,쌍검사 26,7600,151,0,0,0,3,0,0,0
290027,쌍검사 27,8600,148,0,0,0,3,0,0,0
290028,쌍검사 28,9400,260,261,0,0,2,2,0,0
290029,쌍검사 29,9700,161,160,0,0,2,2,0,0
290030,쌍검사 30,10000,262,0,0,0,3,0,0,0
290031,쌍검사 31,11000,40,0,0,0,3,0,0,0
290032,쌍검사 32,12000,48,0,0,0,3,0,0,0
290033,쌍검사 33,12500,45,53,0,0,2,2,0,0
290034,쌍검사 34,13000,55,65,0,0,1,2,0,0
290035,쌍검사 35,13500,58,0,0,0,3,0,0,0
290036,쌍검사 36,14000,64,0,0,0,4,0,0,0
290037,쌍검사 37,14500,296,298,0,0,2,2,0,0
290038,쌍검사 38,15000,300,0,0,0,3,0,0,0
290039,쌍검사 39,16000,304,0,0,0,3,0,0,0
290040,쌍검사 40,16500,738,305,0,0,2,2,0,0
290041,쌍검사 41,17000,273,0,0,0,4,0,0,0
290042,쌍검사 42,17500,275,0,0,0,4,0,0,0
290043,쌍검사 43,18000,310,0,0,0,4,0,0,0
290044,쌍검사 44,18500,319,0,0,0,4,0,0,0
290045,쌍검사 45,19000,333,334,0,0,2,2,0,0
290046,쌍검사 46,19500,317,316,0,0,2,2,0,0
290047,쌍검사 47,20000,318,0,0,0,4,0,0,0
290048,쌍검사 48,20500,326,0,0,0,4,0,0,0
290049,쌍검사 49,21000,92,91,0,0,2,2,0,0
290050,쌍검사 50,21500,739,94,0,0,2,2,0,0
1000001,흑와단 01,240,124,0,0,0,3,0,0,0
1000002,흑와단 02,266,335,0,0,0,5,0,0,0
1000003,흑와단 03,287,336,0,0,0,3,0,0,0
1000004,흑와단 04,311,337,0,0,0,1,0,0,0
1000005,흑와단 05,345,142,0,0,0,3,0,0,0
1000006,흑와단 06,357,141,0,0,0,3,0,0,0
1000007,흑와단 07,388,36,0,0,0,3,0,0,0
1000008,흑와단 08,431,249,0,0,0,3,0,0,0
1000009,흑와단 09,441,154,0,0,0,3,0,0,0
1000010,흑와단 10,478,291,0,0,0,1,0,0,0
1000011,흑와단 11,531,267,0,0,0,3,0,0,0
1000012,흑와단 12,590,61,0,0,0,3,0,0,0
1000013,흑와단 13,609,350,0,0,0,5,0,0,0
1000014,흑와단 14,629,352,0,0,0,6,0,0,0
1000015,흑와단 15,655,353,0,0,0,1,0,0,0
1000016,흑와단 16,632,69,0,0,0,3,0,0,0
1000017,흑와단 17,653,70,0,0,0,1,0,0,0
1000018,흑와단 18,674,181,0,0,0,3,0,0,0
1000019,흑와단 19,702,75,0,0,0,3,0,0,0
1000020,흑와단 20,749,276,0,0,0,3,0,0,0
1000021,흑와단 21,774,196,0,0,0,3,0,0,0
1000022,흑와단 22,799,197,0,0,0,3,0,0,0
1000023,흑와단 23,832,80,0,0,0,3,0,0,0
1000024,흑와단 24,884,83,0,0,0,3,0,0,0
1000025,흑와단 25,913,85,0,0,0,3,0,0,0
1000026,흑와단 26,943,287,0,0,0,3,0,0,0
1000027,흑와단 27,982,329,0,0,0,4,0,0,0
1000028,흑와단 28,1506,331,0,0,0,5,0,0,0
1000029,흑와단 29,1555,341,0,0,0,5,0,0,0
1000030,흑와단 30,1619,344,0,0,0,1,0,0,0
1000031,흑와단 31,0,0,0,0,0,0,0,0,0
1000032,흑와단 32,0,0,0,0,0,0,0,0,0
1000033,흑와단 33,0,0,0,0,0,0,0,0,0
1000034,흑와단 34,0,0,0,0,0,0,0,0,0
1000035,흑와단 35,0,0,0,0,0,0,0,0,0
