#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
47,열두 신의 가호 효과 향상 2,0,5460,0,17,18,50,18,0,False
48,광석의 속삭임,0,5430,0,16,17,11,17,0,False
49,광석의 속삭임 2,0,5431,0,16,17,16,17,0,False
50,광석의 속삭임 3,0,5432,0,16,17,21,17,0,False
51,광석의 속삭임 4,0,5433,0,16,17,26,17,0,False
52,열두 신의 가호 효과 향상,0,5434,0,16,17,41,17,0,False
53,열두 신의 가호 효과 향상 2,0,5435,0,16,17,50,17,0,False
54,모래 낚시,0,5483,0,18,19,35,19,0,False
55,구름바다 낚시,0,5484,0,18,19,45,19,0,False
56,은신 효과 향상,0,0,30,0,0,0,0,0,False
57,은신 효과 향상 2,0,0,40,0,0,0,0,0,False
58,은신 효과 향상 3,0,0,50,0,0,0,0,0,False
59,갈매기의 눈,0,5479,15,18,19,15,19,0,False
60,갈매기의 눈 2,0,0,35,0,0,0,0,0,False
61,갈매기의 눈 3,0,0,50,0,0,0,0,0,False
62,생미끼 낚시 효과 향상,0,5482,0,18,19,40,19,0,False
63,에테르 순환 효과 향상,0,0,0,0,0,0,0,0,False
64,지능 증가,0,0,0,0,0,0,0,0,False
65,지능 증가 2,0,0,0,0,0,0,0,0,False
66,공격력 및 회복량 증가,0,5185,10,26,68,20,68,0,False
67,에테르 순환 효과 향상 2,0,0,0,0,0,0,0,0,False
68,지능 증가 3,0,0,0,0,0,0,0,0,False
69,공격력 및 회복량 증가 2,0,5186,30,26,68,40,68,0,False
70,에테르 순환 효과 향상 3,0,0,0,0,0,0,0,0,False
71,힘 증가,0,9004,5,0,0,2,0,0,False
72,최대 HP 증가,0,9001,10,0,0,3,0,0,False
73,명중률 증가,0,9010,5,0,0,5,0,0,False
74,극대화 증가,0,9012,15,0,0,6,0,0,False
75,힘 증가,0,9004,5,0,0,8,0,0,False
76,최대 HP 증가,0,9001,10,0,0,9,0,0,False
77,힘 증가,0,9004,5,0,0,2,0,0,False
78,최대 HP 증가,0,9001,5,0,0,3,0,0,False
79,명중률 증가,0,9010,5,0,0,5,0,0,False
80,극대화 증가,0,9012,15,0,0,6,0,0,False
81,힘 증가,0,9004,10,0,0,8,0,0,False
82,공격 속도 증가,0,9013,-10,0,0,9,0,0,False
83,정신력 증가,0,9008,10,0,0,2,0,0,False
84,최대 HP 증가,0,9001,5,0,0,3,0,0,False
85,명중률 증가,0,9010,5,0,0,5,0,0,False
86,극대화 증가,0,9012,15,0,0,6,0,0,False
87,정신력 증가,0,9008,15,0,0,8,0,0,False
88,최대 HP 증가,0,9001,5,0,0,9,0,0,False
89,민첩성 증가,0,0,0,0,0,0,0,0,False
90,낙하 피해량 감소,0,5401,10,29,93,14,93,0,False
91,민첩성 증가 2,0,0,0,0,0,0,0,0,False
92,민첩성 증가 3,0,0,0,0,0,0,0,0,False
93,이동 속도 향상,0,5403,10,29,93,20,93,0,False
94,니메이아의 가호,0,5436,0,16,17,42,17,0,False
95,광석의 속삭임 5,67617,5437,0,16,17,53,17,0,False
96,은신 효과 향상 4,0,0,54,0,0,0,0,0,False
97,은신 효과 향상 5,0,0,57,0,0,0,0,0,False
98,은신 효과 향상 6,0,0,60,0,0,0,0,0,False
99,니메이아의 가호,0,5461,0,17,18,42,18,0,False
100,숲의 속삭임 5,67585,5462,0,17,18,53,18,0,False
101,은신 효과 향상 4,0,0,54,0,0,0,0,0,False
102,은신 효과 향상 5,0,0,57,0,0,0,0,0,False
103,은신 효과 향상 6,0,0,60,0,0,0,0,0,False
104,갈매기의 눈 4,0,0,55,0,0,0,0,0,False
105,갈매기의 눈 5,0,0,60,0,0,0,0,0,False
106,하늘섬낚시,67622,5488,0,18,19,53,19,0,False
107,은신 효과 향상 4,0,0,54,0,0,0,0,0,False
108,은신 효과 향상 5,0,0,57,0,0,0,0,0,False
109,은신 효과 향상 6,0,0,60,0,0,0,0,0,False
110,용암낚시,67623,5489,0,18,19,55,19,0,False
111,마법샘낚시,67624,5490,0,18,19,58,19,0,False
112,활력 증가,0,0,0,0,0,0,0,0,False
113,활력 증가 2,0,0,0,0,0,0,0,0,False
114,활력 증가 3,0,0,0,0,0,0,0,0,False
115,민첩성 증가,0,0,0,0,0,0,0,0,False
116,민첩성 증가 2,0,0,0,0,0,0,0,0,False
117,기술 공격력 증가,0,6002,10,31,96,20,96,0,False
118,민첩성 증가 3,0,0,0,0,0,0,0,0,False
119,기술 공격력 증가 2,0,6003,20,31,96,40,96,0,False
120,정신력 증가,0,0,0,0,0,0,0,0,False
121,정신력 증가 2,0,0,0,0,0,0,0,0,False
122,공격력 및 회복량 증가,0,6102,10,33,99,20,99,0,False
123,정신력 증가 3,0,0,0,0,0,0,0,0,False
124,베네피라 효과 향상,0,6105,15,33,99,36,99,0,False
125,공격력 및 회복량 증가 2,0,6103,30,33,99,40,99,0,False
126,은신 효과 향상 7,0,0,64,0,0,0,0,0,False
127,은신 효과 향상 8,0,0,67,0,0,0,0,0,False
128,은신 효과 향상 9,0,0,70,0,0,0,0,0,False
129,은신 효과 향상 7,0,0,64,0,0,0,0,0,False
130,은신 효과 향상 8,0,0,67,0,0,0,0,0,False
131,은신 효과 향상 9,0,0,70,0,0,0,0,0,False
132,은신 효과 향상 7,0,0,64,0,0,0,0,0,False
133,은신 효과 향상 8,0,0,67,0,0,0,0,0,False
134,은신 효과 향상 9,0,0,70,0,0,0,0,0,False
135,염호낚시,0,5499,0,18,19,68,19,0,False
136,갈매기의 눈 6,0,0,65,0,0,0,0,0,False
137,갈매기의 눈 7,0,0,70,0,0,0,0,0,False
138,품질 개선,67978,6976,2,8,9,63,9,0,False
139,품질 개선,68152,6976,2,9,10,63,10,0,False
140,품질 개선,68131,6976,2,10,11,63,11,0,False
141,품질 개선,68136,6976,2,11,12,63,12,0,False
142,품질 개선,68146,6976,2,12,13,63,13,0,False
143,품질 개선,67968,6976,2,13,14,63,14,0,False
144,품질 개선,67973,6976,2,14,15,63,15,0,False
145,품질 개선,68141,6976,2,15,16,63,16,0,False
146,명인의 발상,0,0,0,0,0,0,0,0,False
147,명인의 발상,0,0,0,0,0,0,0,0,False
148,명인의 발상,0,0,0,0,0,0,0,0,False
149,명인의 발상,0,0,0,0,0,0,0,0,False
150,명인의 발상,0,0,0,0,0,0,0,0,False
151,명인의 발상,0,0,0,0,0,0,0,0,False
152,명인의 발상,0,0,0,0,0,0,0,0,False
153,명인의 발상,0,0,0,0,0,0,0,0,False
154,어부의 눈 자동화,68458,5497,0,18,19,61,19,0,False
155,바다의 속삭임,0,0,0,0,0,0,0,0,False
156,감싸기 효과 향상,0,5209,-20,0,0,0,0,0,False
157,전장의 함성 효과 향상,0,5259,0,21,22,66,22,0,False
158,흑혈,0,6059,0,32,98,62,98,0,False
159,흑혈 2,0,6060,0,32,98,66,98,0,False
160,투기 향상,0,5234,80,20,21,38,21,0,False
161,나찰충격권 숙련,0,5235,2,0,0,0,0,0,False
162,창 숙련,0,5284,0,0,0,0,0,0,False
163,붉은 용혈,68450,5289,0,22,23,70,23,0,False
164,독칼,0,0,0,0,0,0,0,0,False
165,인법술,0,5411,6,30,92,62,92,0,False
166,축지법 효과 향상,0,5412,0,30,92,64,92,0,False
167,약탈 효과 향상,0,0,0,0,0,0,0,0,False
168,화살 숙련,0,5309,0,23,24,64,24,0,False
169,천상의 화살 효과 향상,0,5310,0,23,24,68,24,0,False
170,사격 숙련,0,0,0,0,0,0,0,0,False
171,선더 숙련,66612,5357,0,25,26,45,26,0,False
172,선더 숙련 2,0,5358,0,25,26,64,26,0,False
173,얼어붙은 마음 효과 향상,0,5359,-34,0,0,0,0,0,False
174,천사의 언어 효과 향상,68128,5360,5,25,26,70,26,0,False
175,지속 피해 숙련,0,5376,0,0,0,0,0,0,False
176,루인라 효과 향상,0,5377,0,0,0,0,0,0,False
177,지속 피해 숙련 2,0,5378,0,0,0,0,0,0,False
178,바하무트 빙의 효과 향상,68165,5380,0,27,28,70,28,0,False
179,스톤 숙련,0,5333,0,6,53,18,53,0,False
180,에어로 숙련,0,5334,0,6,53,46,53,0,False
181,스톤 숙련 2,67257,5336,0,24,25,54,25,0,False
182,스톤 숙련 3,0,5337,0,24,25,64,25,0,False
183,치유의 백합 2,0,5338,20,0,0,0,0,0,False
184,염법 숙련 2,0,5392,0,28,29,64,29,0,False
185,에테르 순환 재사용 대기 시간 단축,0,0,100,0,0,0,0,0,False
186,컴버스 숙련,0,6109,0,33,99,46,99,0,False
187,말레피크 숙련,67558,6110,0,33,99,54,99,0,False
188,말레피크 숙련 2,0,6111,0,33,99,64,99,0,False
189,광속 시전 효과 향상,0,6101,-300,33,99,68,99,0,False
190,산길잡이의 직감 자동화,0,0,60,0,0,0,0,0,False
191,개척자의 손 자동화,0,0,60,0,0,0,0,0,False
192,GP 회복량 증가,68094,5444,1,16,17,70,17,0,False
193,GP 회복량 증가,68160,5469,1,17,18,70,18,0,False
194,GP 회복량 증가,68435,5498,1,18,19,70,19,0,False
195,졸트 효과 향상,0,6201,0,35,112,62,112,0,False
196,치유의 백합,67256,5335,0,24,25,52,25,0,False
197,지능 증가,0,0,0,0,0,0,0,0,False
198,지능 증가 2,0,0,0,0,0,0,0,0,False
199,지능 증가 3,0,0,0,0,0,0,0,0,False
200,공격력 및 회복량 증가,0,5185,10,35,112,20,112,0,False
201,공격력 및 회복량 증가 2,0,5186,30,35,112,40,112,0,False
202,힘 증가,0,0,0,0,0,0,0,0,False
203,힘 증가 2,0,0,0,0,0,0,0,0,False
204,힘 증가 3,0,0,0,0,0,0,0,0,False
205,독칼 2,0,0,0,0,0,0,0,0,False
206,졸트라 효과 향상,0,0,0,0,0,0,0,0,False
207,신성 마법 숙련,0,5210,-50,19,20,64,20,0,False
208,검기 숙련 2,0,6151,5,34,111,62,111,0,False
209,충의 숙련,66592,5211,0,19,20,35,20,0,False
210,정신력 증가,0,0,0,0,0,0,0,0,False
211,정신력 증가 2,0,0,0,0,0,0,0,0,False
212,정신력 증가 3,0,0,0,0,0,0,0,0,False
213,점화 효과 향상,0,5379,-600,0,0,0,0,0,False
214,염법 숙련,67209,5394,0,28,29,54,29,0,False
215,검기 숙련,0,6152,0,34,111,52,111,0,False
216,연속 마법,0,6203,0,35,112,1,112,0,False
217,루인 숙련,65997,5395,0,26,69,30,69,0,False
218,광폭화 숙련,68440,5260,0,21,22,70,22,0,False
219,체득,0,6251,0,36,129,1,129,0,False
220,공격력 및 회복량 증가,0,5185,10,36,129,10,129,0,False
221,공격력 및 회복량 증가 2,0,5186,20,36,129,20,129,0,False
222,공격력 및 회복량 증가 3,0,5187,30,36,129,30,129,0,False
223,공격력 및 회복량 증가 4,0,5188,40,36,129,40,129,0,False
224,공격력 및 회복량 증가 5,0,5189,50,36,129,50,129,0,False
225,은신 효과 향상 10,0,0,74,0,0,0,0,0,False
226,은신 효과 향상 11,0,0,77,0,0,0,0,0,False
227,은신 효과 향상 12,0,0,80,0,0,0,0,0,False
228,은신 효과 향상 10,0,0,74,0,0,0,0,0,False
229,은신 효과 향상 11,0,0,77,0,0,0,0,0,False
230,은신 효과 향상 12,0,0,80,0,0,0,0,0,False
231,은신 효과 향상 10,0,0,74,0,0,0,0,0,False
232,은신 효과 향상 11,0,0,77,0,0,0,0,0,False
233,은신 효과 향상 12,0,0,80,0,0,0,0,0,False
234,갈매기의 눈 8,0,0,75,0,0,0,0,0,False
235,갈매기의 눈 9,0,0,80,0,0,0,0,0,False
236,GP 회복량 증가 2,0,5449,2,16,17,80,17,0,False
237,GP 회복량 증가 2,0,5474,2,17,18,80,18,0,False
238,GP 회복량 증가 2,0,5496,2,18,19,80,19,0,False
239,GP 회복량 증가 3,0,5441,3,16,17,83,17,0,False
240,GP 회복량 증가 3,0,5466,3,17,18,83,18,0,False
241,GP 회복량 증가 3,0,5486,3,18,19,83,19,0,False
242,석공의 이론 효과 향상,0,5442,50,16,17,90,17,0,False
243,농부의 지혜 효과 향상,0,5467,50,17,18,90,18,0,False
244,월척 낚시꾼,0,5485,0,18,19,15,19,0,False
245,투기 향상 2,0,5238,100,20,21,74,21,0,False
246,기사도,0,5212,0,19,20,58,20,0,False
247,창 숙련,0,5284,0,22,23,76,23,0,False
248,,0,0,0,0,0,0,0,0,False
249,원초,66586,5261,0,21,22,35,22,0,False
250,생사여탈 효과 향상,0,5414,0,30,92,76,92,0,False
251,기술 공격력 증가,0,6351,10,38,150,50,150,0,False
252,환상부채,0,6352,0,38,150,30,150,0,False
253,기술 공격력 증가 2,0,6353,20,38,150,60,150,0,False
254,앞걸음 효과 향상,0,6354,2,38,150,68,150,0,False
255,에스프리,0,6355,0,38,150,76,150,0,False
256,앞걸음 효과 향상 2,0,6356,3,38,150,78,150,0,False
257,소일 충전,0,6301,0,37,149,30,149,0,False
258,잔혹한 탄피 효과 향상,0,6302,0,37,149,52,149,0,False
259,위험 지대 숙련,0,6303,0,37,149,80,149,0,False
260,할로네의 분노 숙련,67573,5213,0,19,20,60,20,0,False
261,홍염 효과 향상,0,5214,0,19,20,72,20,0,False
262,방벽 효과 향상,0,5215,0,19,20,74,20,0,False
263,안식 기도 효과 향상,0,5216,0,19,20,80,20,0,False
264,충의의 검,0,5217,0,19,20,76,20,0,False
265,원초의 혼 숙련,66124,5262,0,21,22,54,22,0,False
266,강철 회오리 숙련,66137,5263,0,21,22,60,22,0,False
267,원초의 혼돈,0,5264,0,21,22,72,22,0,False
268,원초 숙련,0,5265,0,21,22,74,22,0,False
269,전투의 짜릿함 효과 향상,0,5258,0,21,22,78,22,0,False
270,,0,0,0,0,0,0,0,0,False
271,암흑 숙련,0,6062,0,32,98,74,98,0,False
272,돌진 효과 향상,0,6063,2,0,0,0,0,0,False
273,질풍의 극의,0,0,0,0,0,0,0,0,False
274,홍련 태세 효과 향상,0,5237,0,0,0,0,0,0,False
275,점프 숙련,0,5286,0,22,23,74,23,0,False
276,용혈 숙련,0,5287,0,0,0,0,0,0,False
277,거합술 효과 향상,0,6153,0,34,111,74,111,0,False
278,풍월 및 풍화 효과 향상,0,6154,0,34,111,78,111,0,False
279,축지법 효과 향상 2,0,5415,2,30,92,74,92,0,False
280,인법술 2,0,5416,0,30,92,78,92,0,False
281,,0,0,0,0,0,0,0,0,False
282,직선 사격 숙련,68430,5311,0,23,24,70,24,0,False
283,재빠른 활시위 효과 향상,0,5304,0,5,50,25,50,0,False
284,화살 숙련 2,0,5312,0,23,24,76,24,0,False
285,육중한 사격 숙련,0,5306,0,23,24,76,24,0,False
286,군신의 찬가 효과 향상,0,5314,0,23,24,78,24,0,False
287,영혼의 소리,0,5315,0,23,24,80,24,0,False
288,분열탄 숙련,67243,6010,0,31,96,54,96,0,False
289,슬러그탄 숙련,67248,6011,0,31,96,60,96,0,False
290,정밀탄 숙련,0,6012,0,31,96,64,96,0,False
291,강렬한 사격 숙련,0,6016,0,31,96,76,96,0,False
292,누적 기술 효과 향상,0,6013,3,31,96,74,96,0,False
293,소이탄 효과 향상,0,6014,0,31,96,78,96,0,False
294,체제 전환,0,6015,0,31,96,80,96,0,False
295,얼어붙은 마음,0,5656,0,25,26,58,26,0,False
296,극성 숙련,0,5362,0,7,55,1,55,0,False
297,언어 통달 효과 향상,0,5363,0,25,26,80,26,0,False
298,바하무트 빙의 효과 향상 2,0,5676,0,0,0,0,0,0,False
299,에기 공습 효과 향상,0,5677,0,0,0,0,0,0,False
300,트라이디재스터 효과 향상,0,5678,0,0,0,0,0,0,False
301,전염 효과 향상,0,5679,0,0,0,0,0,0,False
302,피닉스 빙의 효과 향상,0,5680,0,0,0,0,0,0,False
303,흩뿌리기 숙련,0,6207,0,35,112,66,112,0,False
304,데플라스망 효과 향상,0,6204,0,35,112,72,112,0,False
305,마나 증량 효과 향상,0,6205,-100,35,112,78,112,0,False
306,적마법 숙련,0,6206,-100,35,112,74,112,0,False
307,에어로 숙련 2,0,5339,0,24,25,72,25,0,False
308,스톤 숙련 4,0,5340,0,24,25,72,25,0,False
309,위로의 마음 효과 향상,0,5341,0,24,25,74,25,0,False
310,성소 효과 향상,0,5342,0,24,25,78,25,0,False
311,지속 피해 숙련 2,0,5701,0,28,29,72,29,0,False
312,염법 숙련 3,0,5702,0,28,29,72,29,0,False
313,야전치유진 효과 향상,0,5703,0,28,29,78,29,0,False
314,컴버스 숙련 2,0,6112,0,33,99,72,99,0,False
315,말레피크 숙련 3,0,6113,0,33,99,72,99,0,False
316,본질적 위계 효과 향상,0,6114,2,33,99,78,99,0,False
317,방어 숙련,0,5190,-20,1,38,1,38,0,False
318,방어 숙련,0,5190,-20,3,44,1,44,0,False
319,방어 숙련,0,5190,-20,32,98,1,98,0,False
320,방어 숙련,0,5190,-20,37,149,1,149,0,False
321,마력 각성 효과 향상,0,5364,-300,0,0,0,0,0,False
322,천사의 언어 효과 향상 2,0,5365,10,25,26,78,26,0,False
323,,0,0,0,0,0,0,0,0,False
324,지속 피해 숙련,0,5376,0,28,29,26,29,0,False
325,광산의 탐구자 자동화,0,5427,0,16,17,60,17,0,False
326,숲의 탐구자 자동화,0,5452,0,17,18,60,18,0,False
327,바다의 탐구자 자동화,68458,5476,0,18,19,70,19,0,False
328,살금걸음 자동화,0,5428,0,16,17,27,17,0,False
329,살금걸음 자동화,0,5453,0,17,18,27,18,0,False
330,살금걸음 자동화,0,5477,0,18,19,27,19,0,False
331,열두 신의 가호 효과 향상 3,0,5440,0,16,17,71,17,0,False
332,열두 신의 가호 효과 향상 3,0,5465,0,17,18,71,18,0,False
333,막대한 수익 숙련,68093,5429,0,16,17,68,17,0,False
334,발굴 숙련,0,0,0,0,0,0,0,0,False
335,직감적 선별 숙련,0,0,0,0,0,0,0,0,False
336,막대한 수확 숙련,68159,5454,0,17,18,68,18,0,False
337,잎갈이 숙련,0,0,0,0,0,0,0,0,False
338,직감적 선별 숙련,0,0,0,0,0,0,0,0,False
339,작업 숙련,0,6979,0,8,9,31,9,0,False
340,작업 숙련,0,6980,0,9,10,31,10,0,False
341,작업 숙련,0,6981,0,10,11,31,11,0,False
342,작업 숙련,0,6982,0,11,12,31,12,0,False
343,작업 숙련,0,6983,0,12,13,31,13,0,False
344,작업 숙련,0,6984,0,13,14,31,14,0,False
345,작업 숙련,0,6985,0,14,15,31,15,0,False
346,작업 숙련,0,6986,0,15,16,31,16,0,False
347,강행 작업 숙련,0,6978,0,8,9,63,9,0,False
348,강행 작업 숙련,0,6978,0,9,10,63,10,0,False
349,강행 작업 숙련,0,6978,0,10,11,63,11,0,False
350,강행 작업 숙련,0,6978,0,11,12,63,12,0,False
351,강행 작업 숙련,0,6978,0,12,13,63,13,0,False
352,강행 작업 숙련,0,6978,0,13,14,63,14,0,False
353,강행 작업 숙련,0,6978,0,14,15,63,15,0,False
354,강행 작업 숙련,0,6978,0,15,16,63,16,0,False
355,발산 효과 향상,0,5681,0,0,0,0,0,0,False
356,제작 연습,0,6987,0,8,9,15,9,1,False
357,제작 연습,0,6987,0,9,10,15,10,1,False
358,제작 연습,0,6987,0,10,11,15,11,1,False
359,제작 연습,0,6987,0,11,12,15,12,1,False
360,제작 연습,0,6987,0,12,13,15,13,1,False
361,제작 연습,0,6987,0,13,14,15,14,1,False
362,제작 연습,0,6987,0,14,15,15,15,1,False
363,제작 연습,0,6987,0,15,16,15,16,1,False
364,질풍번개,0,5239,0,2,41,1,41,0,False
365,질풍번개 효과 향상,0,5230,0,2,41,20,41,0,False
366,질풍번개 효과 향상 2,0,5231,0,20,21,40,21,0,False
367,질풍번개 효과 향상 3,0,5240,0,20,21,76,21,0,False
368,공격력 및 회복량 증가,0,5185,10,40,181,20,181,0,False
369,공격력 및 회복량 증가 2,0,5186,30,40,181,40,181,0,False
370,의술석,0,6451,0,40,181,45,181,0,False
371,현학 선서,0,6452,0,40,181,54,181,0,False
372,현학 선서 2,0,6453,0,40,181,64,181,0,False
373,의술침,0,6454,0,40,181,66,181,0,False
374,공격 마법 숙련,0,6455,0,40,181,72,181,0,False
375,케이라콜레 효과 향상,0,6456,0,40,181,78,181,0,False
376,공격 마법 숙련 2,0,6457,0,40,181,82,181,0,False
377,회복 기술 효과 향상,0,6826,0,40,181,85,181,0,False
378,생명력 효과 향상,0,6458,-300,40,181,88,181,0,False
379,영혼,0,6401,0,39,180,50,180,0,False
380,기술 위력 향상,0,6801,0,39,180,60,180,0,False
381,아바타 능력 효과 향상,0,6403,0,39,180,70,180,0,False
382,지옥문 효과 향상,0,6404,0,39,180,74,180,0,False
383,영혼 기술 효과 향상,0,6405,2,39,180,78,180,0,False
384,수의,69614,6406,0,39,180,80,180,0,False
385,신비의 문장 효과 향상,0,6407,0,39,180,84,180,0,False
386,보이드 영혼,0,6408,0,39,180,86,180,0,False
387,신비의 원 효과 향상,0,6409,0,39,180,88,180,0,False
388,정신 집중,0,6988,0,8,9,11,9,0,False
389,정신 집중,0,6988,0,9,10,11,10,0,False
390,정신 집중,0,6988,0,10,11,11,11,0,False
391,정신 집중,0,6988,0,11,12,11,12,0,False
392,정신 집중,0,6988,0,12,13,11,13,0,False
393,정신 집중,0,6988,0,13,14,11,14,0,False
394,정신 집중,0,6988,0,14,15,11,15,0,False
395,정신 집중,0,6988,0,15,16,11,16,0,False
396,모범 작업 숙련,0,6989,0,8,9,82,9,0,False
397,모범 작업 숙련,0,6989,0,9,10,82,10,0,False
398,모범 작업 숙련,0,6989,0,10,11,82,11,0,False
399,모범 작업 숙련,0,6989,0,11,12,82,12,0,False
400,모범 작업 숙련,0,6989,0,12,13,82,13,0,False
401,모범 작업 숙련,0,6989,0,13,14,82,14,0,False
402,모범 작업 숙련,0,6989,0,14,15,82,15,0,False
403,모범 작업 숙련,0,6989,0,15,16,82,16,0,False
404,밑작업 숙련,0,6990,0,8,9,86,9,0,False
405,밑작업 숙련,0,6991,0,9,10,86,10,0,False
406,밑작업 숙련,0,6992,0,10,11,86,11,0,False
407,밑작업 숙련,0,6993,0,11,12,86,12,0,False
408,밑작업 숙련,0,6994,0,12,13,86,13,0,False
409,밑작업 숙련,0,6995,0,13,14,86,14,0,False
410,밑작업 숙련,0,6996,0,14,15,86,15,0,False
411,밑작업 숙련,0,6997,0,15,16,86,16,0,False
412,방벽 숙련,0,5218,0,19,20,82,20,0,False
413,중재 효과 향상,0,5219,0,19,20,82,20,0,False
414,신성 마법 숙련 2,0,5220,0,19,20,84,20,0,False
415,내면의 기개 숙련,0,5221,0,19,20,86,20,0,False
416,신성한 보호막 효과 향상,0,5222,0,19,20,88,20,0,False
417,뿌리치기 효과 향상,0,5266,0,21,22,76,22,0,False
418,원초의 직감 숙련,0,5267,0,21,22,82,22,0,False
419,원초의 분노 효과 향상,0,5268,0,21,22,82,22,0,False
420,평정심 효과 향상,0,5269,0,21,22,84,22,0,False
421,맹공격 효과 향상,0,5270,3,21,22,88,22,0,False
422,살의 효과 향상,0,6064,0,32,98,84,98,0,False
423,환영 구현 효과 향상 2,0,6066,0,32,98,90,98,0,False
424,돌의 심장 숙련,0,6304,0,37,149,82,149,0,False
425,오로라 효과 향상,0,6305,2,37,149,84,149,0,False
426,연속기 효과 향상,0,6306,0,37,149,86,149,0,False
427,소일 충전 효과 향상,0,6307,0,37,149,88,149,0,False
428,철산고 숙련,67564,5241,0,20,21,54,21,0,False
429,공명권 숙련,0,5242,0,20,21,74,21,0,False
430,파괴신장 숙련,0,5243,0,20,21,82,21,0,False
431,발중보법 효과 향상,0,5244,3,20,21,84,21,0,False
432,도원결의 효과 향상,0,5245,0,20,21,88,21,0,False
433,진각 효과 향상,67567,5246,0,20,21,60,21,0,False
434,점프 효과 향상,67228,5294,0,22,23,54,23,0,False
435,커르다스의 고통 효과 향상,0,5290,0,22,23,82,23,0,False
436,척추 강타 효과 향상,0,5291,2,0,0,0,0,0,False
437,창 숙련 2,0,5288,0,22,23,86,23,0,False
438,생명력 쇄도 효과 향상,0,5277,2,22,23,88,23,0,False
439,인법술 3,0,5417,0,30,92,84,92,0,False
440,생명의 물 효과 향상,0,5418,0,30,92,88,92,0,False
441,뇌둔술 효과 향상,0,5419,0,30,92,90,92,0,False
442,제비반전 효과 향상,0,6155,0,0,0,0,0,0,False
443,명경지수 효과 향상,0,6156,2,34,111,76,111,0,False
444,재빠른 활시위 숙련,0,5316,0,23,24,82,24,0,False
445,사혈 화살 효과 향상,0,5317,3,23,24,84,24,0,False
446,정점의 화살 효과 향상,0,5318,0,23,24,86,24,0,False
447,방랑하는 음악가 효과 향상,0,5319,-300,23,24,88,24,0,False
448,노래 효과 향상,0,5320,0,23,24,90,24,0,False
449,확산 사격 숙련,0,6017,0,31,96,82,96,0,False
450,정비 효과 향상,0,6018,2,31,96,84,96,0,False
451,퀸의 한 수,0,6019,0,31,96,86,96,0,False
452,책략가 효과 향상,0,6020,-300,31,96,88,96,0,False
453,기교 마무리 효과 향상,0,6357,0,38,150,82,150,0,False
