#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
112,엘레젠 남,,"키가 크고 몸이 말랐으며 팔다리가 긴 것이 특징인 민족.
일찍이 에오르제아에서 지배적인 지위를 차지했던 원주민으로
민족적 자긍심이 굉장히 강하다.
한때, 대규모로 유입된 휴런과 심하게 싸우기도 했지만,
지금은 서로를 받아들이고 같이 도우며 어울려 살고 있다.
휴런에 비해 수명이 약간 긴 것도 특징 중 하나다.",0,0,0
113,,,,0,0,0
114,라라펠 남,,"체형이 동글동글하고 작은 민족.
주요 민족 가운데서도 특히 몸집이 작고 외모가 어려 보여서
다른 민족이 보기에는 나이를 가늠하기 어렵다고 한다.
이들의 조상은 남쪽 바다 섬에 살며 농사를 짓던 민족으로
무역 활동을 통해 에오르제아로 건너왔다.
다른 민족하고도 적극적으로 교류하며 모든 민족과 사이 좋게 지내고 있다.",0,0,0
115,,,,0,0,0
116,미코테 남,,"크게 튀어나온 귀와 부드러운 꼬리를 가진 민족.
제5재해 '대빙설 시대'에 사냥감을 찾아 얼어붙은 바다를 건너온
수렵 민족의 후예로 에오르제아에서는 소수 민족에 속한다.
동족 간에도 강한 영역 의식이 있기 때문에
도시 안에서도 혼자 생활하는 사람이 많다.
특히 미코테 남성은 다른 사람과 접촉하는 것을 꺼리는 경향이 강하다고 한다.",0,0,0
117,,,,0,0,0
118,루가딘 남,,"몸집이 크고 단단한 골격과 근육을 가진 민족.
일찍이 북쪽 바다를 휩쓸고 다닌 해양 민족의 후예로,
이들의 조상은 대부분 롱십을 타고 에오르제아로 건너왔다.
서로 용맹함을 뽐내려는 풍습이 있어서
다른 민족 눈에는 야만스럽게 비치기 쉬우나
정이 깊고 끝까지 의리를 지키는 것으로 유명하며,
역사적으로 위대한 무인을 많이 배출했다.",0,0,0
119,,,,0,0,0
120,중원 부족,,"인구가 많은 휴런 중에서도 과반수를 차지하는 큰 부족.
낮은 지대에 터를 잡은 사람이 많아서 '중원 부족'이라고 불리지만
출신지는 천차만별이다.
직업도 각양각색이며 에오르제아 어느 도시에서나
이들을 찾아볼 수 있다.",0,0,0
121,,,,0,0,0
122,고원 부족,,"기라바니아 고원 지대를 지배하던 휴런 부족.
중원 부족에 비해 몸집이 크고 건장한 것이 특징이다.
성채도시 '알라미고'가 무너지면서 고향을 잃고 난민이 되어
교역도시 '울다하'로 흘러들게 된 자도 많다.",0,0,0
123,,,,0,0,0
124,숲 부족,,"예로부터 검은장막 숲을 비롯한 삼림지대를 삶의 터전으로 삼아온 부족.
이들이 건국에 참여한 도시국가 '이슈가르드'와 '그리다니아'에 많이 살고 있다.
질서를 좋아하고 규율을 중시하지만, 다른 민족이 보기에는 융통성 없고
거만하게 느껴질 때도 있다.",0,0,0
125,,,,0,0,0
126,황혼 부족,,"수백 년 동안 삼림지대에 있는 어두침침한 종유동에서 살아온 부족.
'그리다니아'가 세워질 때 주류 세력인 숲 부족과 갈라선 뒤
전통적인 동굴 생활을 이어온 자들의 후예다.
어딘가에 얽매이는 것을 싫어해서 아직도 도시국가와 거리를 두려는 사람이 많다.",0,0,0
127,,,,0,0,0
128,평원 부족,,"라노시아 지방처럼 농사를 짓기에 알맞은 평야 지대로 나온 부족.
농업에 종사하는 사람이 많지만,
해양도시 '림사 로민사'를 터전으로 해운업과 어업에 종사하는 사람도 적지 않다.
일반적으로 느긋하고 대범한 성격을 가진 것으로 알려져 있다.",0,0,0
129,,,,0,0,0
130,사막 부족,,"다날란 지방처럼 황량한 사막지대로 나온 부족.
상업도시 '울다하'를 세웠으며 타고난 장사꾼 기질이 있는 민족으로도 유명하다.
좋은 생각이 떠오르면 바로 행동에 옮기는 실천적인 성격으로,
장사할 때도 돈 벌 기회를 놓치지 않는다.",0,0,0
131,,,,0,0,0
132,태양의 추종자,,"자신들을 '태양을 따르는 자'라고 일컫는 부족으로 
태양신 아제마의 신도가 많다.
에오르제아 전체로 놓고 보면 인구가 별로 없지만,
'림사 로민사'에서는 일정 수가 다른 민족들과 어울려 살고 있다.
혹은 사골리 사막 같은 외딴곳에 같은 씨족끼리 모여 살기도 한다.",0,0,0
133,,,,0,0,0
134,달의 수호자,,"자신들을 '달을 지키는 자'라고 일컫는 부족으로
달의 신 메느피나의 신도가 많다.
검은장막 숲에서 사냥을 하며 생계를 꾸리지만,
이들을 밀렵꾼으로 여기는 삼림도시 '그리다니아' 사람들과
오랫동안 다퉈왔다.
그러나 최근 서로 화해의 움직임을 보이기 시작하면서, 
도시에 자리 잡는 사람도 생겨났다.",0,0,0
135,,,,0,0,0
136,바다늑대,,"북쪽 바다에서 덮쳐오는 공포의 '바다늑대 해적'으로 잘 알려진 부족.
해양도시 '림사 로민사'를 이루는 주요 부족으로
뱃사람이나 해병이 되는 사람이 많다.
대대로 내려오는 관습에 따라 고대 루가딘어로 지은 이름을 쓰고 있다.",0,0,0
137,,,,0,0,0
138,불꽃지킴이,,"북부 아발라시아 산맥 속에 자리 잡은 소수 부족.
옛날부터 용병직에 종사하는 사람이 많아서, 다른 사람이 외우기 쉽게
에오르제아 공용어로 된 이름을 본명 대신 따로 쓰고 있다.
지금도 '울다하'에 가면 검투사나 경호원으로 일하는 
그들의 모습을 찾아볼 수 있다.",0,0,0
139,,,,0,0,0
140,아우라 남,,"머나먼 동방에 있는 오사드 소대륙에 뿌리를 둔 민족.
피부 일부분이 비늘처럼 굳어져 아름다운 무늬를 그린다.
옆머리에 난 뿔은 이들의 자랑이자
청각과 공간 감각을 느끼는 기관이기도 하다.
남성은 체격이 크고 우람한 한편,
여성은 아담하고 유연한 몸매를 지녀
성별에 따른 외모 차이가 큰 것으로 알려져 있다.",0,0,0
141,,,,0,0,0
142,아우라 렌,,"하얀색 비늘이 어렴풋이 빛나는 아우라 부족.
이들의 창세 신화에 등장하는 일족의 시조 '여명의 아버지'가 가진 특징을
고스란히 물려받았다고 전해지며, 평온과 고요를 사랑하고 인내심이 강하다.
고향은 동주 변두리에 있는 계곡 지대이지만, 최근에 바닷길을 통해
에오르제아로 건너왔다.",0,0,0
143,,,,0,0,0
144,아우라 젤라,,"어둠 속에서 빛나는 검은 비늘을 가진 아우라 부족.
이들의 창세 신화에 등장하는 일족의 시조 '황혼의 어머니'가 가진 특징을
고스란히 물려받았다고 전해지며, 무위와 용맹을 사랑하고 호방한 기질을 지녔다.
또한, 이들은 소수의 가족 단위로 각지를 떠돌며 생활하는
유랑 민족으로도 알려졌다.",0,0,0
145,,,,0,0,0
146,,,,0,0,0
147,,,,0,0,0
148,,,,0,0,0
149,,,,0,0,0
150,,,,0,0,0
151,,,,0,0,0
152,사용자 설정,,,0,0,0
153,,,,0,0,0
154,할로네,,,0,0,0
155,,,,0,0,0
156,메느피나,,,0,0,0
157,,,,0,0,0
158,살리아크,,,0,0,0
159,,,,0,0,0
160,니메이아,,,0,0,0
161,,,,0,0,0
162,리믈렌,,,0,0,0
163,,,,0,0,0
164,오쉬온,,,0,0,0
165,,,,0,0,0
166,비레고,,,0,0,0
167,,,,0,0,0
168,랄거,,,0,0,0
169,,,,0,0,0
170,아제마,,,0,0,0
171,,,,0,0,0
172,날달,,,0,0,0
173,,,,0,0,0
174,노피카,,,0,0,0
175,,,,0,0,0
176,알디크,,,0,0,0
177,,,,0,0,0
178,검술사, ,"양날 직검에서 편날 곡도까지 폭넓은 종류의 '한손검'을 주 무기로 삼는 투사.
'관객에게 보여주는 싸움'이 필요했던 검투사들의 기술을 바탕으로, 
방패로 절묘하게 상대의 공격을 막으며 물 흐르듯 검을 휘둘러
적을 쓰러뜨리는 방어 중심의 검술이 발달했다.
집단 전투에서는 선봉장이 되어 가장 먼저 공격하러 달려감과 동시에
적을 유인해서 아군을 지키는, 말 그대로 '방패' 역할을 맡는다.

검술사가 초기 클래스인 잡: 나이트
시작 도시: 울다하",0,230904,0
179,,,,0,0,0
180,격투사, ,"전통적인 호신술을 습득한 투사.
철저하게 단련된 주먹은 이미 무기나 마찬가지지만,
그 손에 '격투무기'를 장착하여 파괴력을 더욱 배가시킨다.
육체의 움직임을 방해하는 갑옷을 싫어하고
가벼운 장비를 선호하는 그들은 언뜻 무방비상태로 보이나,
빠른 몸놀림으로 연속해서 타격을 입히며 
적을 확실하게 사지로 몰아넣는다.

격투사가 초기 클래스인 잡: 몽크
시작 도시: 울다하",0,230905,0
181,,,,0,0,0
182,도끼술사, ,"해적이 적 선박 파괴나 상륙작전을 펼칠 때 쓰는
'양손도끼'를 주 무기로 쓰는 투사.
예로부터 해적들의 무기라는 인상이 강하지만, 각 도시 간의 전쟁이나
강력한 마물의 토벌전 등에서 큰 활약을 펼쳐
영웅으로 추앙받으며 역사에 이름을 남긴 도끼술사도 많다.
극한까지 단련된 육체로 거대한 전투도끼를 힘껏 휘두르는
호쾌한 전투 스타일을 보이며, 적진 한가운데로 태연하게 뛰어드는
그 배짱이야말로 도끼술사의 가장 강한 무기라 할 수 있을 것이다.

도끼술사가 초기 클래스인 잡: 전사
시작 도시: 림사 로민사",0,230906,0
183,,,,0,0,0
184,창술사, ,"수렵용 창이나 작살에서 발전한 '양손창'을 주 무기로 쓰는 투사.
용맹을 떨치던 알라미고 창병의 영향으로, 과거에는 서로 경쟁하듯
창의 길이를 늘이곤 했으나, 현재는 다양한 형식의 창이 쓰이고 있다.
길이가 긴 창을 자유자재로 다루는 것은 결코 쉬운 일이 아니지만,
일단 창술을 제대로 배우게 되면 불어닥치는 폭풍우처럼
화려한 기술을 펼치게 된다.

창술사가 초기 클래스인 잡: 용기사
시작 도시: 그리다니아",0,230907,0
185,,,,0,0,0
186,궁술사, ,"활을 주 무기로 사용하며 원거리 저격 및 곡선 사격을 그 특기로 하는 투사.
에오르제아에는 엘레젠족 궁병이 쓰는 장궁술과
미코테족 사냥꾼들의 전통 기술인 단궁술 등이 보급되어 있다.
각기 다른 활의 특성을 이해하고, 활시위를 당기기에 유리하도록
위치를 잘 선정하는 것이 좋은 궁술사가 되는 첫걸음이다.
숙련된 궁술사들은 화살을 적의 머리 위에 
빗줄기처럼 쏟아부을 수도 있다고 한다.

궁술사가 초기 클래스인 잡: 음유시인
시작 도시: 그리다니아",0,230908,0
187,,,,0,0,0
188,환술사, ,"속성의 영향력이 강한 환술 마법을 다루는 마법사.
주위의 만물로부터 흙, 바람, 물의 속성원소를 찾아낼 수 있다.
자연에서 온 물건으로 만든 지팡이 '환술도구'를 소지하고 다니며,
이를 매개로 하여 자신의 에테르나 주위 원소를 마법으로 변환한다.
회복이나 강화 등 육체에 직접 작용하는 마법에 특화되어,
고위 환술사는 치유사로서 뛰어난 실력을 발휘한다.

환술사가 초기 클래스인 잡: 백마도사
시작 도시: 그리다니아",0,230909,0
189,,,,0,0,0
190,주술사, ,"파괴적 성향이 강한 주술 마법을 다루는 마법사.
자신의 본성을 성찰하여 내면에 잠재된 힘을 사용할 수 있다.
사념의 구슬을 장착한 '주술도구'를 소지하고 다니며
이를 매개로 하여 자신의 에테르를 마법으로 변환한다.
그들이 구사하는 저주와 파괴의 마법은, 칼날보다 거센 날카로움으로
적들에게 치명상을 입힌다.

주술사가 초기 클래스인 잡: 흑마도사
시작 도시: 울다하",0,230910,0
191,,,,0,0,0
192,비술사, ,"비술이라 부르는 마법으로 소환수를 조종하는 마법사.
남해에서 전래된 산술을 기반으로 발전하였으며,
독특한 기하학적 '마법 문양'으로 정신력을 제어한다.
수많은 마법 문양이 그려진 '마도서'를 가지고 다니며
이 마도서에 에테르를 주입해 마법을 일으킨다.
보석의 신비를 기술한 '마법 문양'을 사용해
소환수 '카벙클'을 불러내어 부리기도 한다.

비술사가 초기 클래스인 잡: 소환사(공격 역할) 및 학자(회복 역할)
시작 도시: 림사 로민사",0,230929,0
193,,,,0,0,0
194,,,,0,0,0
195,,,,0,0,0
196,,,,0,0,0
197,,,,0,0,0
198,,,,0,0,0
199,,,,0,0,0
200,기본 설정,,,0,0,0
201,키,,,0,0,0
202,피부색,,,0,0,0
203,목소리 유형,,,0,0,0
204,체격,,,0,0,0
205,,,,0,0,0
206,,,,0,0,0
207,체격,,,0,0,0
208,,,,0,0,0
209,가슴둘레,,,0,0,0
210,귀 크기,,,0,0,0
211,귀 모양,,,0,0,0
212,,,,0,0,0
213,귀 크기,,,0,0,0
214,귀 모양,,,0,0,0
215,가슴둘레,,,0,0,0
216,귀 크기,,,0,0,0
217,귀 모양,,,0,0,0
218,,,,0,0,0
219,귀 크기,,,0,0,0
220,귀 모양,,,0,0,0
221,가슴둘레,,,0,0,0
222,꼬리 길이,,,0,0,0
223,꼬리 모양,,,0,0,0
224,,,,0,0,0
225,꼬리 길이,,,0,0,0
226,꼬리 모양,,,0,0,0
227,가슴둘레,,,0,0,0
228,체격,,,0,0,0
229,,,,0,0,0
230,,,,0,0,0
231,체격,,,0,0,0
232,,,,0,0,0
233,가슴둘레,,,0,0,0
234,머리 모양,,,0,0,0
235,머리 특징,,,0,0,0
236,머리 색,,,0,0,0
237,부분염색 색상,,,0,0,0
238,얼굴 유형,,,0,0,0
239,수염 및 흉터,,,0,0,0
240,수염 및 흉터 색상,,,0,0,0
241,얼굴 윤곽,,,0,0,0
242,눈썹,,,0,0,0
243,눈,,,0,0,0
244,눈동자 크기,,,0,0,0
245,눈동자 색,,,0,0,0
246,코 모양,,,0,0,0
247,입 모양,,,0,0,0
248,입술 색,,,0,0,0
249,얼굴 치장,,,0,0,0
250,얼굴 치장 색,,,0,0,0
251,확인,,,0,0,0
252,얼굴 유형,,,0,0,0
253,꼬리 길이,,,0,0,0
254,꼬리 모양,,,0,0,0
255,,,,0,0,0
256,꼬리 길이,,,0,0,0
257,꼬리 모양,,,0,0,0
258,가슴둘레,,,0,0,0
259,,,,0,0,0
260,,,,0,0,0
261,,,,0,0,0
262,,,,0,0,0
263,,,,0,0,0
264,,,,0,0,0
265,작음,,,0,0,0
266,약간 작음,,,0,0,0
267,보통,,,0,0,0
268,약간 큼,,,0,0,0
269,큼,,,0,0,0
270,약 UNKNOWN.UNKNOWNcm,,,0,0,0
271,,,,0,0,0
272,,,,0,0,0
273,,,,0,0,0
274,,,,0,0,0
275,유형 1,,,0,0,0
276,유형 2,,,0,0,0
277,유형 3,,,0,0,0
278,유형 4,,,0,0,0
279,유형 5,,,0,0,0
280,유형 6,,,0,0,0
281,유형 7,,,0,0,0
282,유형 8,,,0,0,0
283,유형 9,,,0,0,0
284,유형 10,,,0,0,0
285,유형 11,,,0,0,0
286,유형 12,,,0,0,0
287,,,,0,0,0
288,,,,0,0,0
289,,,,0,0,0
290,마름,,,0,0,0
291,약간 마름,,,0,0,0
292,보통,,,0,0,0
293,약간 다부짐,,,0,0,0
294,다부짐,,,0,0,0
295,,,,0,0,0
296,,,,0,0,0
297,,,,0,0,0
298,,,,0,0,0
299,,,,0,0,0
300,,,,0,0,0
301,,,,0,0,0
302,,,,0,0,0
303,,,,0,0,0
304,,,,0,0,0
305,마름,,,0,0,0
306,약간 마름,,,0,0,0
307,보통,,,0,0,0
308,약간 다부짐,,,0,0,0
309,다부짐,,,0,0,0
310,,,,0,0,0
311,,,,0,0,0
312,,,,0,0,0
313,,,,0,0,0
314,,,,0,0,0
315,작음,,,0,0,0
316,약간 작음,,,0,0,0
317,보통,,,0,0,0
318,약간 큼,,,0,0,0
319,큼,,,0,0,0
320,짧음,,,0,0,0
321,약간 짧음,,,0,0,0
322,보통,,,0,0,0
323,약간 긺,,,0,0,0
324,긺,,,0,0,0
325,유형 1,,,0,0,0
326,유형 2,,,0,0,0
327,유형 3,,,0,0,0
328,유형 4,,,0,0,0
329,,,,0,0,0
330,,,,0,0,0
331,,,,0,0,0
332,,,,0,0,0
333,,,,0,0,0
334,,,,0,0,0
335,짧음,,,0,0,0
336,약간 짧음,,,0,0,0
337,보통,,,0,0,0
338,약간 긺,,,0,0,0
339,긺,,,0,0,0
340,유형 1,,,0,0,0
341,유형 2,,,0,0,0
342,유형 3,,,0,0,0
343,유형 4,,,0,0,0
344,,,,0,0,0
345,작음,,,0,0,0
346,약간 작음,,,0,0,0
347,보통,,,0,0,0
348,약간 큼,,,0,0,0
349,큼,,,0,0,0
350,짧음,,,0,0,0
351,약간 짧음,,,0,0,0
352,보통,,,0,0,0
353,약간 긺,,,0,0,0
354,긺,,,0,0,0
355,유형 1,,,0,0,0
356,유형 2,,,0,0,0
357,유형 3,,,0,0,0
358,유형 4,,,0,0,0
359,,,,0,0,0
360,,,,0,0,0
361,,,,0,0,0
362,,,,0,0,0
363,,,,0,0,0
364,,,,0,0,0
365,짧음,,,0,0,0
366,약간 짧음,,,0,0,0
367,보통,,,0,0,0
368,약간 긺,,,0,0,0
369,긺,,,0,0,0
370,유형 1,,,0,0,0
371,유형 2,,,0,0,0
372,유형 3,,,0,0,0
373,유형 4,,,0,0,0
374,,,,0,0,0
375,작음,,,0,0,0
376,약간 작음,,,0,0,0
377,보통,,,0,0,0
378,약간 큼,,,0,0,0
379,큼,,,0,0,0
380,짧음,,,0,0,0
381,약간 짧음,,,0,0,0
382,보통,,,0,0,0
383,약간 긺,,,0,0,0
384,긺,,,0,0,0
385,유형 1,,,0,0,0
386,유형 2,,,0,0,0
387,유형 3,,,0,0,0
388,유형 4,,,0,0,0
389,,,,0,0,0
390,,,,0,0,0
391,,,,0,0,0
392,,,,0,0,0
393,,,,0,0,0
394,,,,0,0,0
395,짧음,,,0,0,0
396,약간 짧음,,,0,0,0
397,보통,,,0,0,0
398,약간 긺,,,0,0,0
399,긺,,,0,0,0
400,유형 1,,,0,0,0
401,유형 2,,,0,0,0
402,유형 3,,,0,0,0
403,유형 4,,,0,0,0
404,,,,0,0,0
405,작음,,,0,0,0
406,약간 작음,,,0,0,0
407,보통,,,0,0,0
408,약간 큼,,,0,0,0
409,큼,,,0,0,0
410,마름,,,0,0,0
411,약간 마름,,,0,0,0
412,표준,,,0,0,0
413,약간 다부짐,,,0,0,0
414,다부짐,,,0,0,0
415,,,,0,0,0
416,,,,0,0,0
417,,,,0,0,0
418,,,,0,0,0
419,,,,0,0,0
420,,,,0,0,0
421,,,,0,0,0
422,,,,0,0,0
423,,,,0,0,0
424,,,,0,0,0
425,마름,,,0,0,0
426,약간 마름,,,0,0,0
427,보통,,,0,0,0
428,약간 다부짐,,,0,0,0
429,다부짐,,,0,0,0
430,,,,0,0,0
431,,,,0,0,0
432,,,,0,0,0
433,,,,0,0,0
434,,,,0,0,0
435,작음,,,0,0,0
436,약간 작음,,,0,0,0
437,보통,,,0,0,0
438,약간 큼,,,0,0,0
439,큼,,,0,0,0
440,,,,0,0,0
441,,,,0,0,0
442,,,,0,0,0
443,,,,0,0,0
444,,,,0,0,0
445,투사,,,0,0,0
446,,,,0,0,0
447,마법사,,,0,0,0
448,,,,0,0,0
449,,,,0,1200,0
450,,,,0,0,0
451,,,,0,0,0
452,,,,0,1210,0
453,,,,0,36020,0
454,,,,0,1420,0
455,,,,0,36015,0
456,,,,0,930,0
457,,,,0,38130,0
458,로스가르 남,,"일사바드 대륙에서 온 민족. 
잘 발달된 근육에 예리한 손톱과 엄니를 가진 모습은 마치 사자나 표범을 연상시킨다. 
생김새 때문에 고대에는 야만족 취급을 받아 다른 종족과의 싸움이 끊이지 않았지만, 
공용어가 보급되면서 서로를 이해하게 되고 점차 교류가 증가했다. 
남녀 출생 비율이 극단적으로 치우쳐 여성은 거의 볼 수 없다.",0,0,0
459,,,,0,0,0
460,비에라 남,,"오사드 소대륙의 소수민족이며, 이름은 '숲의 주민'이라는 뜻이다. 
예로부터 숲속 깊은 곳에서 독자적인 공동체를 구축하여 생활해왔으며, 
최근까지 다른 종족의 생활권에는 거의 모습을 드러내지 않았다. 
특히 성인 남성은 단독으로 방랑 생활을 하는 관습 때문에 목격한 예조차 드물다. 
외모는 휴런이나 엘레젠에 가깝지만 귀가 커다랗게 발달한 것이 특징이다.",0,0,0
461,,,,0,0,0
