#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
38,G　잿빛 바다 03,G,548410,660,350,480,300,2,3,60,6,15,False
39,H　수도사들의 묘비,H,548410,660,340,330,600,2,3,60,6,15,False
40,I　 화장로 해구 중턱,I,548410,660,500,580,600,2,3,60,6,15,False
41,J　신부의 바위굴,J,548410,660,460,420,600,2,3,60,6,15,False
42,K　잿빛 바다 04,K,548410,660,140,310,300,2,3,60,6,15,False
43,L　자갈 해분,L,595020,720,440,200,600,2,4,63,6,16,False
44,M　짝짝이 장갑 섬,M,595020,720,820,550,100,2,4,63,6,16,False
45,N　구멍난 밑창 섬,N,645590,780,870,400,100,2,4,65,6,17,False
46,O　밀수업자의 거래소,O,645590,780,760,660,300,2,4,65,6,17,False
47,P　해진 로브 섬,P,645590,780,584,195,100,2,4,65,6,20,False
48,Q　날달의 담뱃대,Q,661730,800,761,885,600,2,4,66,6,20,False
49,R　미끄러진 닻 해역,R,678274,820,818,145,400,2,5,67,6,21,False
50,S　탐욕스러운 위장,S,712612,860,680,285,300,2,5,69,6,21,False
51,T　푸른 구멍,T,730428,880,168,140,600,2,5,70,6,22,False
52,,,0,0,64,591,0,3,0,0,0,0,True
53,A　제단섬,A,730428,880,199,455,100,3,1,70,6,22,False
54,B　문어단지 안곡,B,730428,880,246,703,1000,3,1,70,6,22,False
55,C　비취 바다 01,C,730428,880,261,289,400,3,1,70,6,22,False
56,D　로고투무헤레의 사냥터,D,767407,900,101,203,1000,3,1,72,6,23,False
57,E　흡반초,E,767407,900,474,89,700,3,1,72,6,23,False
58,F　로고투무헤레의 침소,F,786593,920,214,98,1000,3,1,73,6,24,False
59,G　타나로아의 낚싯바늘,G,806258,930,689,253,500,3,1,74,6,24,False
60,H　비취 바다 02,H,826415,940,676,76,400,3,2,75,6,25,False
61,I　눈가림 협만,I,826415,940,842,186,200,3,2,75,6,25,False
62,J　비취 바다 03,J,826415,940,723,387,300,3,2,75,6,25,False
63,K　뫼르긴의 대장간,K,847076,950,855,96,500,3,2,76,6,26,False
64,L　타나로아의 부표,L,889960,960,889,305,100,3,3,78,6,28,False
65,M　비취 바다 04,M,935015,980,659,637,300,3,3,80,6,30,False
66,N　해조수림,N,958391,1000,626,805,500,3,3,81,6,31,False
67,O　비취 바다 05,O,1006910,1040,938,188,600,3,4,83,6,32,False
68,P　무딘 절벽,P,1057886,1080,481,918,100,3,4,85,6,33,False
69,Q　바람의 쉼터,Q,1111443,1120,889,445,500,3,5,87,6,34,False
70,R　용뼈무덤,R,1139230,1140,736,764,600,3,5,88,6,35,False
71,S　비취 바다 06,S,1167711,1160,852,617,1000,3,5,89,6,36,False
72,T　바다짐승 묘지,T,1751567,1180,832,888,1000,3,5,90,6,37,False
73,,,0,0,177,927,0,4,0,0,0,0,True
74,A　귀마개 어장,A,1751567,1180,201,748,200,4,1,90,6,37,False
75,B　세이렌 해 01,B,1751567,1180,427,704,700,4,1,90,6,37,False
76,C　세이렌 해 02,C,1751567,1180,340,532,300,4,1,90,6,37,False
77,D　안테모에사 섬,D,1926724,1190,447,253,200,4,1,91,6,38,False
78,E　바다마물의 입,E,2119397,1210,583,593,800,4,1,92,6,39,False
79,F　표류 해역,F,2331337,1220,687,644,400,4,2,93,6,40,False
80,G　죽음이 내리는 암초,G,2820919,1250,66,383,900,4,2,95,6,41,False
81,H　세이렌 해 03,H,3074802,1270,352,118,500,4,3,96,6,42,False
82,I　안테모에사 암류,I,3074802,1270,557,183,800,4,3,96,6,42,False
83,J　세이렌 해 04,J,3351535,1280,738,555,400,4,3,97,6,42,False
84,K　소용돌이 해협,K,3653174,1300,802,436,800,4,3,98,6,43,False
85,L　새부리 만,L,3981960,1310,620,806,300,4,4,99,6,44,False
86,M　바다마물 감옥,M,4340337,1330,136,138,1000,4,4,100,6,44,False
87,N　버려진 귀양지,N,4687564,1340,533,68,100,4,4,101,6,45,False
88,O　루가트의 해변,O,4687564,1340,885,400,400,4,4,101,6,45,False
89,P　얼음무지 샘,P,5062570,1360,502,899,200,4,5,102,6,46,False
90,Q　세이렌 해 05,Q,5467576,1370,873,106,1000,4,5,103,6,47,False
91,R　소용돌이 섬,R,5904983,1390,678,289,0,4,5,104,6,47,False
92,S　붉은피 해구,S,6377382,1400,937,651,1000,4,5,105,6,48,False
93,T　바다수정 샘,T,6377382,1400,747,901,200,4,5,105,6,48,False
94,,,0,0,49,928,0,5,0,0,0,0,True
95,A　등나무 시렁,A,6377382,1400,177,858,600,5,1,105,6,48,False
96,B　백화도,B,6377382,1400,189,713,100,5,1,105,6,48,False
97,C　철새 여울,C,6377382,1400,494,744,300,5,1,105,6,48,False
98,D　자색 바다 01,D,6536817,1420,90,514,300,5,1,106,6,48,False
99,E　계관도,E,6700238,1430,545,898,100,5,1,107,6,48,False
100,F　도라지 해구 중앙,F,6867744,1450,366,534,1000,5,2,108,6,49,False
101,G　자색 바다 02,G,7215424,1480,741,797,300,5,2,110,6,49,False
102,H　자색 바다 03,H,7395810,1490,901,898,300,5,3,111,6,50,False
103,I　도라지 해구 북남쪽,I,7580706,1510,174,394,1000,5,3,112,6,50,False
104,J　화관도,J,7770224,1520,533,457,100,5,3,113,6,50,False
105,K　도라지 해구 남동쪽,K,7964480,1540,646,677,1000,5,3,114,6,50,False
106,L　화려한 암초 석호,L,8163592,1550,562,320,600,5,4,115,6,51,False
107,M　익판도,M,8163592,1550,806,570,100,5,4,115,6,51,False
108,N　기판도,N,8367682,1570,690,212,100,5,4,116,6,51,False
109,O　나비꼴 만,O,8576875,1580,737,433,600,5,4,117,6,51,False
110,P　자색 바다 04,P,8791297,1600,62,88,600,5,5,118,6,52,False
111,Q　주판도,Q,9011080,1610,374,296,100,5,5,119,6,52,False
112,R　도디 해저 협곡 동쪽,R,9011080,1610,922,340,1000,5,5,119,6,52,False
113,S　자색 바다 05,S,9236357,1630,804,64,1000,5,5,120,6,52,False
114,T　도디 해저 협곡 서쪽,T,9236357,1630,485,62,1000,5,5,120,6,52,False
115,,,0,0,934,60,0,6,0,0,0,0,True
116,A　남빛 물여울,A,9236357,1630,822,159,100,6,1,120,6,52,False
117,B　탐험가의 중계 기지,B,9236357,1630,661,378,0,6,1,120,6,52,False
118,C　감색 해저붕 북쪽,C,9236357,1630,624,168,400,6,1,120,6,52,False
119,D　비부름 해저 협곡,D,9467266,1640,907,517,1000,6,1,121,6,52,False
120,E　창망의 바다 남쪽 01,E,9703948,1660,431,86,700,6,1,122,6,52,False
121,F　푸른 중앙,F,9946547,1670,480,438,800,6,2,123,6,53,False
122,G　창망의 바다 남쪽 02,G,10450092,1700,393,257,700,6,2,125,6,53,False
123,H　갈고리발톱 섬,H,10711345,1720,286,364,0,6,3,126,6,54,False
124,I　푸른 중앙 남쪽,I,10979129,1730,508,600,500,6,3,127,6,54,False
125,J　창망의 바다 남쪽 03,J,11253608,1750,85,93,500,6,3,128,6,54,False
126,K　갈고리발톱 섬 먼바다,K,11534949,1760,76,316,700,6,3,129,6,54,False
127,L　푸른눈동자 섬,L,11823323,1780,728,764,100,6,4,130,6,55,False
128,M　별깎이 수로 상부,M,11823323,1780,331,660,400,6,4,130,6,55,False
129,N　조각달 섬,N,12118907,1790,206,650,0,6,4,131,6,55,False
130,O　깊은 연녹,O,12421880,1810,895,919,1000,6,4,132,6,55,False
131,P　창망의 바다 남쪽 04,P,12732427,1820,86,494,800,6,5,133,6,56,False
132,Q　감색 해저붕 남쪽,Q,13050738,1840,461,816,800,6,5,134,6,56,False
133,R　별깎이 수로 중부,R,13050738,1840,196,810,900,6,5,134,6,56,False
134,S　바람샘 해저 협곡,S,13377007,1850,520,926,1000,6,5,135,6,56,False
135,T　별깎이 수로 심부,T,13377007,1850,88,927,1000,6,5,135,6,56,False
136,,,0,0,0,0,0,0,0,0,0,0,False
137,,,0,0,0,0,0,0,0,0,0,0,False
138,,,0,0,0,0,0,0,0,0,0,0,False
139,,,0,0,0,0,0,0,0,0,0,0,False
140,,,0,0,0,0,0,0,0,0,0,0,False
141,,,0,0,0,0,0,0,0,0,0,0,False
142,,,0,0,0,0,0,0,0,0,0,0,False
143,,,0,0,0,0,0,0,0,0,0,0,False
144,,,0,0,0,0,0,0,0,0,0,0,False
145,,,0,0,0,0,0,0,0,0,0,0,False
146,,,0,0,0,0,0,0,0,0,0,0,False
147,,,0,0,0,0,0,0,0,0,0,0,False
148,,,0,0,0,0,0,0,0,0,0,0,False
149,,,0,0,0,0,0,0,0,0,0,0,False
150,,,0,0,0,0,0,0,0,0,0,0,False
151,,,0,0,0,0,0,0,0,0,0,0,False
152,,,0,0,0,0,0,0,0,0,0,0,False
153,,,0,0,0,0,0,0,0,0,0,0,False
154,,,0,0,0,0,0,0,0,0,0,0,False
155,,,0,0,0,0,0,0,0,0,0,0,False
156,,,0,0,0,0,0,0,0,0,0,0,False
157,,,0,0,0,0,0,0,0,0,0,0,False
158,,,0,0,0,0,0,0,0,0,0,0,False
159,,,0,0,0,0,0,0,0,0,0,0,False
