#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,SortKey,FontColor,Unknown3,Category,Unknown1,Unknown2
69,딥 던전: 에우레카 오르토스 1,193710,465,0,0,0,2358,1,0,4,True,True
70,딥 던전: 에우레카 오르토스 2,193711,466,0,0,0,2359,1,0,4,True,True
71,연대기 퀘스트: 사성수기담,193712,467,0,0,0,2251,2,0,3,True,True
72,무인도 개척 1,193713,468,0,0,0,2340,2,0,8,True,True
73,무인도 개척 2,193714,469,0,0,0,2341,1,0,8,True,True
74,코우진족 '푸른등 보물찾기단',193960,524,0,0,0,2308,1,0,3,True,True
75,아난타족 '아르파 국경경비대',193959,525,0,0,0,2309,1,0,3,True,True
76,나마즈오족 '큰메기 대제전 실행위원회',193961,526,0,0,0,2310,1,0,3,True,True
77,시대의 종언,193715,527,0,0,0,2250,1,0,3,True,True
78,10주년 기념,193716,523,0,0,0,3950,1,0,7,True,True
79,세계를 낚는 자,193717,529,0,0,0,2345,1,0,8,True,True
80,강태공이 되는 길,193718,530,0,0,0,2346,1,0,8,True,True
81,월하의 작패꾼,193719,531,0,0,0,2350,1,0,8,True,True
82,바누바누족 '유려한 군두',193956,567,0,0,0,2305,1,0,3,True,True
83,그나스족 '끊어진 자들',193957,568,0,0,0,2306,1,0,3,True,True
84,모그리족 '모그모그 복원단',193958,569,0,0,0,2307,1,0,3,True,True
85,에오르제아의 신화: 할로네,193723,572,0,0,0,2252,2,0,3,True,True
86,에오르제아의 신화: 메느피나,193724,572,0,0,0,2253,2,0,3,True,True
87,에오르제아의 신화: 살리아크,193725,572,0,0,0,2254,2,0,3,True,True
88,에오르제아의 신화: 니메이아,193726,572,0,0,0,2255,2,0,3,True,True
89,에오르제아의 신화: 리믈렌,193727,572,0,0,0,2256,2,0,3,True,True
90,에오르제아의 신화: 오쉬온,193728,572,0,0,0,2257,2,0,3,True,True
91,에오르제아의 신화: 비레고,193729,572,0,0,0,2258,2,0,3,True,True
92,에오르제아의 신화: 랄거,193730,572,0,0,0,2259,2,0,3,True,True
93,에오르제아의 신화: 아제마,193731,572,0,0,0,2260,2,0,3,True,True
94,에오르제아의 신화: 날달,193732,572,0,0,0,2261,2,0,3,True,True
95,에오르제아의 신화: 노피카,193733,572,0,0,0,2262,2,0,3,True,True
96,에오르제아의 신화: 알디크,193734,572,0,0,0,2263,2,0,3,True,True
97,타타루의 대박 상점,193722,573,0,0,0,2242,1,0,3,True,True
98,쿠로의 공상 수첩,193720,570,0,0,0,2351,2,0,8,True,True
99,총당님의 환상반,193721,571,0,0,0,2352,1,0,8,True,True
100,블런더빌 1,193735,575,0,0,0,3951,1,0,7,True,True
101,블런더빌 2,193736,576,0,0,0,3952,1,0,7,True,True
102,블런더빌 3,193737,577,0,0,0,3953,1,0,7,True,True
103,요괴워치 뿌니뿌니,193738,607,0,0,0,3954,1,0,7,True,True
104,코볼드족 '제789땅굴단',193954,694,0,0,0,2302,1,0,3,True,True
105,실프족 '임시 주거지 실프',193952,695,0,0,0,2301,1,0,3,True,True
106,아말쟈족 '잿빛 일당',193951,696,0,0,0,2300,1,0,3,True,True
107,사하긴족 '노부 일족',193955,697,0,0,0,2303,1,0,3,True,True
108,이크살족 '에카틀 비행단',193953,698,0,0,0,2304,1,0,3,True,True
109,툴라이욜라 1,193662,701,0,0,0,1036,1,0,9,True,True
110,툴라이욜라 2,193663,702,0,0,0,1037,1,0,9,True,True
111,솔루션 나인 1,193664,699,0,0,0,1038,1,0,9,True,True
112,솔루션 나인 2,193665,700,0,0,0,1039,2,0,9,True,True
113,펠루펠루족 '투랄 여행사',193968,767,0,0,0,2317,1,0,3,True,True
114,이슈가르드 1,193654,768,0,0,0,1020,2,0,9,True,True
115,이슈가르드 2,193672,769,0,0,0,1021,1,0,9,True,True
116,이딜샤이어 1,193655,770,0,0,0,1022,2,0,9,True,True
117,이딜샤이어 2,193673,771,0,0,0,1023,1,0,9,True,True
118,쿠가네 1,193656,772,0,0,0,1024,1,0,9,True,True
119,쿠가네 2,193668,773,0,0,0,1025,2,0,9,True,True
120,랄거의 손길 1,193657,774,0,0,0,1026,1,0,9,True,True
121,랄거의 손길 2,193669,775,0,0,0,1027,2,0,9,True,True
122,크리스타리움 1,193658,776,0,0,0,1028,2,0,9,True,True
123,크리스타리움 2,193670,777,0,0,0,1029,1,0,9,True,True
124,율모어 1,193659,778,0,0,0,1030,1,0,9,True,True
125,율모어 2,193671,779,0,0,0,1031,1,0,9,True,True
126,올드 샬레이안 1,193660,780,0,0,0,1032,1,0,9,True,True
127,올드 샬레이안 2,193666,781,0,0,0,1033,2,0,9,True,True
128,라자한 1,193661,782,0,0,0,1034,1,0,9,True,True
129,라자한 2,193667,783,0,0,0,1035,1,0,9,True,True
130,절 또 하나의 미래,193739,872,0,0,0,2505,2,0,4,True,True
131,마무쟈족 '고크골마 농원',193969,873,0,0,0,2318,1,0,3,True,True
132,딥 던전: 망자의 궁전 1,193706,874,0,0,0,2354,1,0,4,True,True
133,딥 던전: 망자의 궁전 2,193707,875,0,0,0,2355,2,0,4,True,True
134,딥 던전: 천궁탑 1,193708,876,0,0,0,2356,1,0,4,True,True
135,딥 던전: 천궁탑 2,193709,877,0,0,0,2357,1,0,4,True,True
136,초승달 섬,193740,879,0,0,0,2403,1,0,4,True,True
137,우주 개척 1,193741,878,0,0,0,2343,1,0,8,True,True
138,,0,0,0,0,0,0,0,0,0,False,False
139,,0,0,0,0,0,0,0,0,0,False,False
140,,0,0,0,0,0,0,0,0,0,False,False
141,,0,0,0,0,0,0,0,0,0,False,False
142,,0,0,0,0,0,0,0,0,0,False,False
143,우주 개척 2,193746,940,0,0,0,2344,1,0,8,True,True
144,무인도 개척 3,193747,939,0,0,0,2342,2,0,8,True,True
145,,0,0,0,0,0,0,0,0,0,False,False
146,,0,0,0,0,0,0,0,0,0,False,False
147,,0,0,0,0,0,0,0,0,0,False,False
148,,0,0,0,0,0,0,0,0,0,False,False
149,,0,0,0,0,0,0,0,0,0,False,False
150,,0,0,0,0,0,0,0,0,0,False,False
