#,Singular,Plural,Description,Name,Unknown_70_1,Unknown_70_2,Unknown_70_3,Unknown_70_4,Unknown_70_5,Unknown_70_6,Unknown_70_7,Icon,Unknown_70_8,Style
22,구리색 검은알 안경,,구리색 얼굴 소품,구리색 검은알 안경,0,0,0,1,0,0,660862,200087,0,1
23,보라색 검은알 안경,,보라색 얼굴 소품,보라색 검은알 안경,0,0,0,1,0,0,726398,200091,0,1
24,갈색 검은알 안경,,갈색 얼굴 소품,갈색 검은알 안경,0,0,0,1,0,0,791934,200094,0,1
25,뿔테 안경,,고유색 얼굴 소품,뿔테 안경,0,0,0,1,0,0,71039,200061,0,2
26,은색 뿔테 안경,,은색 얼굴 소품,은색 뿔테 안경,0,0,0,1,0,0,136575,200065,0,2
27,금색 뿔테 안경,,금색 얼굴 소품,금색 뿔테 안경,0,0,0,1,0,0,202111,200064,0,2
28,검은색 뿔테 안경,,검은색 얼굴 소품,검은색 뿔테 안경,0,0,0,1,0,0,267647,200066,0,2
29,흰색 뿔테 안경,,흰색 얼굴 소품,흰색 뿔테 안경,0,0,0,1,0,0,333183,200071,0,2
30,회색 뿔테 안경,,회색 얼굴 소품,회색 뿔테 안경,0,0,0,1,0,0,398719,200062,0,2
31,빨간색 뿔테 안경,,빨간색 얼굴 소품,빨간색 뿔테 안경,0,0,0,1,0,0,464255,200069,0,2
32,파란색 뿔테 안경,,파란색 얼굴 소품,파란색 뿔테 안경,0,0,0,1,0,0,529791,200068,0,2
33,초록색 뿔테 안경,,초록색 얼굴 소품,초록색 뿔테 안경,0,0,0,1,0,0,595327,200072,0,2
34,구리색 뿔테 안경,,구리색 얼굴 소품,구리색 뿔테 안경,0,0,0,1,0,0,660863,200063,0,2
35,보라색 뿔테 안경,,보라색 얼굴 소품,보라색 뿔테 안경,0,0,0,1,0,0,726399,200067,0,2
36,갈색 뿔테 안경,,갈색 얼굴 소품,갈색 뿔테 안경,0,0,0,1,0,0,791935,200070,0,2
37,분홍알 안경,,고유색 얼굴 소품,분홍알 안경,0,0,0,1,0,0,71040,200013,0,3
38,은색 분홍알 안경,,은색 얼굴 소품,은색 분홍알 안경,0,0,0,1,0,0,136576,200017,0,3
39,금색 분홍알 안경,,금색 얼굴 소품,금색 분홍알 안경,0,0,0,1,0,0,202112,200016,0,3
40,검은색 분홍알 안경,,검은색 얼굴 소품,검은색 분홍알 안경,0,0,0,1,0,0,267648,200018,0,3
41,흰색 분홍알 안경,,흰색 얼굴 소품,흰색 분홍알 안경,0,0,0,1,0,0,333184,200023,0,3
42,회색 분홍알 안경,,회색 얼굴 소품,회색 분홍알 안경,0,0,0,1,0,0,398720,200014,0,3
43,빨간색 분홍알 안경,,빨간색 얼굴 소품,빨간색 분홍알 안경,0,0,0,1,0,0,464256,200021,0,3
44,파란색 분홍알 안경,,파란색 얼굴 소품,파란색 분홍알 안경,0,0,0,1,0,0,529792,200020,0,3
45,초록색 분홍알 안경,,초록색 얼굴 소품,초록색 분홍알 안경,0,0,0,1,0,0,595328,200024,0,3
46,구리색 분홍알 안경,,구리색 얼굴 소품,구리색 분홍알 안경,0,0,0,1,0,0,660864,200015,0,3
47,보라색 분홍알 안경,,보라색 얼굴 소품,보라색 분홍알 안경,0,0,0,1,0,0,726400,200019,0,3
48,갈색 분홍알 안경,,갈색 얼굴 소품,갈색 분홍알 안경,0,0,0,1,0,0,791936,200022,0,3
49,기본 안경,,고유색 얼굴 소품,기본 안경,0,0,0,1,0,0,71041,200001,0,4
50,은색 기본 안경,,은색 얼굴 소품,은색 기본 안경,0,0,0,1,0,0,136577,200005,0,4
51,금색 기본 안경,,금색 얼굴 소품,금색 기본 안경,0,0,0,1,0,0,202113,200004,0,4
52,검은색 기본 안경,,검은색 얼굴 소품,검은색 기본 안경,0,0,0,1,0,0,267649,200006,0,4
53,흰색 기본 안경,,흰색 얼굴 소품,흰색 기본 안경,0,0,0,1,0,0,333185,200011,0,4
54,회색 기본 안경,,회색 얼굴 소품,회색 기본 안경,0,0,0,1,0,0,398721,200002,0,4
55,빨간색 기본 안경,,빨간색 얼굴 소품,빨간색 기본 안경,0,0,0,1,0,0,464257,200009,0,4
56,파란색 기본 안경,,파란색 얼굴 소품,파란색 기본 안경,0,0,0,1,0,0,529793,200008,0,4
57,초록색 기본 안경,,초록색 얼굴 소품,초록색 기본 안경,0,0,0,1,0,0,595329,200012,0,4
58,구리색 기본 안경,,구리색 얼굴 소품,구리색 기본 안경,0,0,0,1,0,0,660865,200003,0,4
59,보라색 기본 안경,,보라색 얼굴 소품,보라색 기본 안경,0,0,0,1,0,0,726401,200007,0,4
60,갈색 기본 안경,,갈색 얼굴 소품,갈색 기본 안경,0,0,0,1,0,0,791937,200010,0,4
61,단안경,,고유색 얼굴 소품,단안경,0,0,0,1,0,0,71042,200025,0,5
62,은색 단안경,,은색 얼굴 소품,은색 단안경,0,0,0,1,0,0,136578,200029,0,5
63,금색 단안경,,금색 얼굴 소품,금색 단안경,0,0,0,1,0,0,202114,200028,0,5
64,검은색 단안경,,검은색 얼굴 소품,검은색 단안경,0,0,0,1,0,0,267650,200030,0,5
65,흰색 단안경,,흰색 얼굴 소품,흰색 단안경,0,0,0,1,0,0,333186,200035,0,5
66,회색 단안경,,회색 얼굴 소품,회색 단안경,0,0,0,1,0,0,398722,200026,0,5
67,빨간색 단안경,,빨간색 얼굴 소품,빨간색 단안경,0,0,0,1,0,0,464258,200033,0,5
68,파란색 단안경,,파란색 얼굴 소품,파란색 단안경,0,0,0,1,0,0,529794,200032,0,5
69,초록색 단안경,,초록색 얼굴 소품,초록색 단안경,0,0,0,1,0,0,595330,200036,0,5
70,구리색 단안경,,구리색 얼굴 소품,구리색 단안경,0,0,0,1,0,0,660866,200027,0,5
71,보라색 단안경,,보라색 얼굴 소품,보라색 단안경,0,0,0,1,0,0,726402,200031,0,5
72,갈색 단안경,,갈색 얼굴 소품,갈색 단안경,0,0,0,1,0,0,791938,200034,0,5
73,현대식 코안경,,고유색 얼굴 소품,현대식 코안경,0,0,0,1,0,0,71043,200037,0,6
74,은색 현대식 코안경,,은색 얼굴 소품,은색 현대식 코안경,0,0,0,1,0,0,136579,200041,0,6
75,금색 현대식 코안경,,금색 얼굴 소품,금색 현대식 코안경,0,0,0,1,0,0,202115,200040,0,6
76,검은색 현대식 코안경,,검은색 얼굴 소품,검은색 현대식 코안경,0,0,0,1,0,0,267651,200042,0,6
77,흰색 현대식 코안경,,흰색 얼굴 소품,흰색 현대식 코안경,0,0,0,1,0,0,333187,200047,0,6
78,회색 현대식 코안경,,회색 얼굴 소품,회색 현대식 코안경,0,0,0,1,0,0,398723,200038,0,6
79,빨간색 현대식 코안경,,빨간색 얼굴 소품,빨간색 현대식 코안경,0,0,0,1,0,0,464259,200045,0,6
80,파란색 현대식 코안경,,파란색 얼굴 소품,파란색 현대식 코안경,0,0,0,1,0,0,529795,200044,0,6
81,초록색 현대식 코안경,,초록색 얼굴 소품,초록색 현대식 코안경,0,0,0,1,0,0,595331,200048,0,6
82,구리색 현대식 코안경,,구리색 얼굴 소품,구리색 현대식 코안경,0,0,0,1,0,0,660867,200039,0,6
83,보라색 현대식 코안경,,보라색 얼굴 소품,보라색 현대식 코안경,0,0,0,1,0,0,726403,200043,0,6
84,갈색 현대식 코안경,,갈색 얼굴 소품,갈색 현대식 코안경,0,0,0,1,0,0,791939,200046,0,6
85,무테 안경,,고유색 얼굴 소품,무테 안경,0,0,0,1,0,0,71044,200097,0,7
86,은색 무테 안경,,은색 얼굴 소품,은색 무테 안경,0,0,0,1,0,0,136580,200101,0,7
87,금색 무테 안경,,금색 얼굴 소품,금색 무테 안경,0,0,0,1,0,0,202116,200100,0,7
88,검은색 무테 안경,,검은색 얼굴 소품,검은색 무테 안경,0,0,0,1,0,0,267652,200102,0,7
89,흰색 무테 안경,,흰색 얼굴 소품,흰색 무테 안경,0,0,0,1,0,0,333188,200107,0,7
90,회색 무테 안경,,회색 얼굴 소품,회색 무테 안경,0,0,0,1,0,0,398724,200098,0,7
91,빨간색 무테 안경,,빨간색 얼굴 소품,빨간색 무테 안경,0,0,0,1,0,0,464260,200105,0,7
92,파란색 무테 안경,,파란색 얼굴 소품,파란색 무테 안경,0,0,0,1,0,0,529796,200104,0,7
93,초록색 무테 안경,,초록색 얼굴 소품,초록색 무테 안경,0,0,0,1,0,0,595332,200108,0,7
94,구리색 무테 안경,,구리색 얼굴 소품,구리색 무테 안경,0,0,0,1,0,0,660868,200099,0,7
95,보라색 무테 안경,,보라색 얼굴 소품,보라색 무테 안경,0,0,0,1,0,0,726404,200103,0,7
96,갈색 무테 안경,,갈색 얼굴 소품,갈색 무테 안경,0,0,0,1,0,0,791940,200106,0,7
97,굵은테 안경,,고유색 얼굴 소품,굵은테 안경,0,0,0,1,0,0,71045,200109,0,8
98,은색 굵은테 안경,,은색 얼굴 소품,은색 굵은테 안경,0,0,0,1,0,0,136581,200113,0,8
99,금색 굵은테 안경,,금색 얼굴 소품,금색 굵은테 안경,0,0,0,1,0,0,202117,200112,0,8
100,검은색 굵은테 안경,,검은색 얼굴 소품,검은색 굵은테 안경,0,0,0,1,0,0,267653,200114,0,8
101,흰색 굵은테 안경,,흰색 얼굴 소품,흰색 굵은테 안경,0,0,0,1,0,0,333189,200119,0,8
102,회색 굵은테 안경,,회색 얼굴 소품,회색 굵은테 안경,0,0,0,1,0,0,398725,200110,0,8
103,빨간색 굵은테 안경,,빨간색 얼굴 소품,빨간색 굵은테 안경,0,0,0,1,0,0,464261,200117,0,8
104,파란색 굵은테 안경,,파란색 얼굴 소품,파란색 굵은테 안경,0,0,0,1,0,0,529797,200116,0,8
105,초록색 굵은테 안경,,초록색 얼굴 소품,초록색 굵은테 안경,0,0,0,1,0,0,595333,200120,0,8
106,구리색 굵은테 안경,,구리색 얼굴 소품,구리색 굵은테 안경,0,0,0,1,0,0,660869,200111,0,8
107,보라색 굵은테 안경,,보라색 얼굴 소품,보라색 굵은테 안경,0,0,0,1,0,0,726405,200115,0,8
108,갈색 굵은테 안경,,갈색 얼굴 소품,갈색 굵은테 안경,0,0,0,1,0,0,791941,200118,0,8
109,예인의 안경,,고유색 얼굴 소품,예인의 안경,0,0,0,1,0,0,71046,200073,0,9
110,은색 예인의 안경,,은색 얼굴 소품,은색 예인의 안경,0,0,0,1,0,0,136582,200077,0,9
111,금색 예인의 안경,,금색 얼굴 소품,금색 예인의 안경,0,0,0,1,0,0,202118,200076,0,9
112,검은색 예인의 안경,,검은색 얼굴 소품,검은색 예인의 안경,0,0,0,1,0,0,267654,200078,0,9
113,흰색 예인의 안경,,흰색 얼굴 소품,흰색 예인의 안경,0,0,0,1,0,0,333190,200083,0,9
114,회색 예인의 안경,,회색 얼굴 소품,회색 예인의 안경,0,0,0,1,0,0,398726,200074,0,9
115,빨간색 예인의 안경,,빨간색 얼굴 소품,빨간색 예인의 안경,0,0,0,1,0,0,464262,200081,0,9
116,파란색 예인의 안경,,파란색 얼굴 소품,파란색 예인의 안경,0,0,0,1,0,0,529798,200080,0,9
117,초록색 예인의 안경,,초록색 얼굴 소품,초록색 예인의 안경,0,0,0,1,0,0,595334,200084,0,9
118,구리색 예인의 안경,,구리색 얼굴 소품,구리색 예인의 안경,0,0,0,1,0,0,660870,200075,0,9
119,보라색 예인의 안경,,보라색 얼굴 소품,보라색 예인의 안경,0,0,0,1,0,0,726406,200079,0,9
120,갈색 예인의 안경,,갈색 얼굴 소품,갈색 예인의 안경,0,0,0,1,0,0,791942,200082,0,9
121,코안경,,고유색 얼굴 소품,코안경,0,0,0,1,0,0,71047,200121,0,10
122,은색 코안경,,은색 얼굴 소품,은색 코안경,0,0,0,1,0,0,136583,200122,0,10
123,금색 코안경,,금색 얼굴 소품,금색 코안경,0,0,0,1,0,0,202119,200123,0,10
124,검은색 코안경,,검은색 얼굴 소품,검은색 코안경,0,0,0,1,0,0,267655,200124,0,10
125,흰색 코안경,,흰색 얼굴 소품,흰색 코안경,0,0,0,1,0,0,333191,200125,0,10
126,회색 코안경,,회색 얼굴 소품,회색 코안경,0,0,0,1,0,0,398727,200126,0,10
127,빨간색 코안경,,빨간색 얼굴 소품,빨간색 코안경,0,0,0,1,0,0,464263,200127,0,10
128,파란색 코안경,,파란색 얼굴 소품,파란색 코안경,0,0,0,1,0,0,529799,200128,0,10
129,초록색 코안경,,초록색 얼굴 소품,초록색 코안경,0,0,0,1,0,0,595335,200129,0,10
130,구리색 코안경,,구리색 얼굴 소품,구리색 코안경,0,0,0,1,0,0,660871,200130,0,10
131,보라색 코안경,,보라색 얼굴 소품,보라색 코안경,0,0,0,1,0,0,726407,200131,0,10
132,갈색 코안경,,갈색 얼굴 소품,갈색 코안경,0,0,0,1,0,0,791943,200132,0,10
133,확대경,,고유색 얼굴 소품,확대경,0,0,0,1,0,0,71048,200133,0,11
134,은색 확대경,,은색 얼굴 소품,은색 확대경,0,0,0,1,0,0,136584,200134,0,11
135,금색 확대경,,금색 얼굴 소품,금색 확대경,0,0,0,1,0,0,202120,200135,0,11
136,검은색 확대경,,검은색 얼굴 소품,검은색 확대경,0,0,0,1,0,0,267656,200136,0,11
137,흰색 확대경,,흰색 얼굴 소품,흰색 확대경,0,0,0,1,0,0,333192,200137,0,11
138,회색 확대경,,회색 얼굴 소품,회색 확대경,0,0,0,1,0,0,398728,200138,0,11
139,빨간색 확대경,,빨간색 얼굴 소품,빨간색 확대경,0,0,0,1,0,0,464264,200139,0,11
140,파란색 확대경,,파란색 얼굴 소품,파란색 확대경,0,0,0,1,0,0,529800,200140,0,11
141,초록색 확대경,,초록색 얼굴 소품,초록색 확대경,0,0,0,1,0,0,595336,200141,0,11
142,구리색 확대경,,구리색 얼굴 소품,구리색 확대경,0,0,0,1,0,0,660872,200142,0,11
143,보라색 확대경,,보라색 얼굴 소품,보라색 확대경,0,0,0,1,0,0,726408,200143,0,11
144,갈색 확대경,,갈색 얼굴 소품,갈색 확대경,0,0,0,1,0,0,791944,200144,0,11
145,황동 고글,,고유색 얼굴 소품,황동 고글,0,0,0,1,0,0,71049,200145,0,12
146,은색 황동 고글,,은색 얼굴 소품,은색 황동 고글,0,0,0,1,0,0,136585,200146,0,12
147,금색 황동 고글,,금색 얼굴 소품,금색 황동 고글,0,0,0,1,0,0,202121,200147,0,12
148,검은색 황동 고글,,검은색 얼굴 소품,검은색 황동 고글,0,0,0,1,0,0,267657,200148,0,12
149,흰색 황동 고글,,흰색 얼굴 소품,흰색 황동 고글,0,0,0,1,0,0,333193,200149,0,12
150,회색 황동 고글,,회색 얼굴 소품,회색 황동 고글,0,0,0,1,0,0,398729,200150,0,12
151,빨간색 황동 고글,,빨간색 얼굴 소품,빨간색 황동 고글,0,0,0,1,0,0,464265,200151,0,12
152,파란색 황동 고글,,파란색 얼굴 소품,파란색 황동 고글,0,0,0,1,0,0,529801,200152,0,12
153,초록색 황동 고글,,초록색 얼굴 소품,초록색 황동 고글,0,0,0,1,0,0,595337,200153,0,12
154,구리색 황동 고글,,구리색 얼굴 소품,구리색 황동 고글,0,0,0,1,0,0,660873,200154,0,12
155,보라색 황동 고글,,보라색 얼굴 소품,보라색 황동 고글,0,0,0,1,0,0,726409,200155,0,12
156,갈색 황동 고글,,갈색 얼굴 소품,갈색 황동 고글,0,0,0,1,0,0,791945,200156,0,12
157,역반무테 안경,,고유색 얼굴 소품,역반무테 안경,0,0,0,1,0,0,71050,200157,0,13
158,은색 역반무테 안경,,은색 얼굴 소품,은색 역반무테 안경,0,0,0,1,0,0,136586,200158,0,13
159,금색 역반무테 안경,,금색 얼굴 소품,금색 역반무테 안경,0,0,0,1,0,0,202122,200159,0,13
160,검은색 역반무테 안경,,검은색 얼굴 소품,검은색 역반무테 안경,0,0,0,1,0,0,267658,200160,0,13
161,흰색 역반무테 안경,,흰색 얼굴 소품,흰색 역반무테 안경,0,0,0,1,0,0,333194,200161,0,13
162,회색 역반무테 안경,,회색 얼굴 소품,회색 역반무테 안경,0,0,0,1,0,0,398730,200162,0,13
163,빨간색 역반무테 안경,,빨간색 얼굴 소품,빨간색 역반무테 안경,0,0,0,1,0,0,464266,200163,0,13
164,파란색 역반무테 안경,,파란색 얼굴 소품,파란색 역반무테 안경,0,0,0,1,0,0,529802,200164,0,13
165,초록색 역반무테 안경,,초록색 얼굴 소품,초록색 역반무테 안경,0,0,0,1,0,0,595338,200165,0,13
166,구리색 역반무테 안경,,구리색 얼굴 소품,구리색 역반무테 안경,0,0,0,1,0,0,660874,200166,0,13
167,보라색 역반무테 안경,,보라색 얼굴 소품,보라색 역반무테 안경,0,0,0,1,0,0,726410,200167,0,13
168,갈색 역반무테 안경,,갈색 얼굴 소품,갈색 역반무테 안경,0,0,0,1,0,0,791946,200168,0,13
169,타원형 뿔테 안경,,고유색 얼굴 소품,타원형 뿔테 안경,0,0,0,1,0,0,71051,200169,0,14
170,은색 타원형 뿔테 안경,,은색 얼굴 소품,은색 타원형 뿔테 안경,0,0,0,1,0,0,136587,200170,0,14
171,금색 타원형 뿔테 안경,,금색 얼굴 소품,금색 타원형 뿔테 안경,0,0,0,1,0,0,202123,200171,0,14
172,검은색 타원형 뿔테 안경,,검은색 얼굴 소품,검은색 타원형 뿔테 안경,0,0,0,1,0,0,267659,200172,0,14
173,흰색 타원형 뿔테 안경,,흰색 얼굴 소품,흰색 타원형 뿔테 안경,0,0,0,1,0,0,333195,200173,0,14
174,회색 타원형 뿔테 안경,,회색 얼굴 소품,회색 타원형 뿔테 안경,0,0,0,1,0,0,398731,200174,0,14
175,빨간색 타원형 뿔테 안경,,빨간색 얼굴 소품,빨간색 타원형 뿔테 안경,0,0,0,1,0,0,464267,200175,0,14
176,파란색 타원형 뿔테 안경,,파란색 얼굴 소품,파란색 타원형 뿔테 안경,0,0,0,1,0,0,529803,200176,0,14
177,초록색 타원형 뿔테 안경,,초록색 얼굴 소품,초록색 타원형 뿔테 안경,0,0,0,1,0,0,595339,200177,0,14
178,구리색 타원형 뿔테 안경,,구리색 얼굴 소품,구리색 타원형 뿔테 안경,0,0,0,1,0,0,660875,200178,0,14
179,보라색 타원형 뿔테 안경,,보라색 얼굴 소품,보라색 타원형 뿔테 안경,0,0,0,1,0,0,726411,200179,0,14
180,갈색 타원형 뿔테 안경,,갈색 얼굴 소품,갈색 타원형 뿔테 안경,0,0,0,1,0,0,791947,200180,0,14
181,고품격 무테 안경,,고유색 얼굴 소품,고품격 무테 안경,0,0,0,1,0,0,71052,200181,0,15
182,은색 고품격 무테 안경,,은색 얼굴 소품,은색 고품격 무테 안경,0,0,0,1,0,0,136588,200182,0,15
183,금색 고품격 무테 안경,,금색 얼굴 소품,금색 고품격 무테 안경,0,0,0,1,0,0,202124,200183,0,15
184,검은색 고품격 무테 안경,,검은색 얼굴 소품,검은색 고품격 무테 안경,0,0,0,1,0,0,267660,200184,0,15
185,흰색 고품격 무테 안경,,흰색 얼굴 소품,흰색 고품격 무테 안경,0,0,0,1,0,0,333196,200185,0,15
186,회색 고품격 무테 안경,,회색 얼굴 소품,회색 고품격 무테 안경,0,0,0,1,0,0,398732,200186,0,15
187,빨간색 고품격 무테 안경,,빨간색 얼굴 소품,빨간색 고품격 무테 안경,0,0,0,1,0,0,464268,200187,0,15
188,파란색 고품격 무테 안경,,파란색 얼굴 소품,파란색 고품격 무테 안경,0,0,0,1,0,0,529804,200188,0,15
189,초록색 고품격 무테 안경,,초록색 얼굴 소품,초록색 고품격 무테 안경,0,0,0,1,0,0,595340,200189,0,15
190,구리색 고품격 무테 안경,,구리색 얼굴 소품,구리색 고품격 무테 안경,0,0,0,1,0,0,660876,200190,0,15
191,보라색 고품격 무테 안경,,보라색 얼굴 소품,보라색 고품격 무테 안경,0,0,0,1,0,0,726412,200191,0,15
192,갈색 고품격 무테 안경,,갈색 얼굴 소품,갈색 고품격 무테 안경,0,0,0,1,0,0,791948,200192,0,15
193,고양이 눈 안경,,고유색 얼굴 소품,고양이 눈 안경,0,0,0,1,0,0,71053,200193,0,16
194,은색 고양이 눈 안경,,은색 얼굴 소품,은색 고양이 눈 안경,0,0,0,1,0,0,136589,200194,0,16
195,금색 고양이 눈 안경,,금색 얼굴 소품,금색 고양이 눈 안경,0,0,0,1,0,0,202125,200195,0,16
196,검은색 고양이 눈 안경,,검은색 얼굴 소품,검은색 고양이 눈 안경,0,0,0,1,0,0,267661,200196,0,16
197,흰색 고양이 눈 안경,,흰색 얼굴 소품,흰색 고양이 눈 안경,0,0,0,1,0,0,333197,200197,0,16
198,회색 고양이 눈 안경,,회색 얼굴 소품,회색 고양이 눈 안경,0,0,0,1,0,0,398733,200198,0,16
199,빨간색 고양이 눈 안경,,빨간색 얼굴 소품,빨간색 고양이 눈 안경,0,0,0,1,0,0,464269,200199,0,16
200,파란색 고양이 눈 안경,,파란색 얼굴 소품,파란색 고양이 눈 안경,0,0,0,1,0,0,529805,200200,0,16
201,초록색 고양이 눈 안경,,초록색 얼굴 소품,초록색 고양이 눈 안경,0,0,0,1,0,0,595341,200201,0,16
202,구리색 고양이 눈 안경,,구리색 얼굴 소품,구리색 고양이 눈 안경,0,0,0,1,0,0,660877,200202,0,16
203,보라색 고양이 눈 안경,,보라색 얼굴 소품,보라색 고양이 눈 안경,0,0,0,1,0,0,726413,200203,0,16
204,갈색 고양이 눈 안경,,갈색 얼굴 소품,갈색 고양이 눈 안경,0,0,0,1,0,0,791949,200204,0,16
205,얇은테 안경,,고유색 얼굴 소품,얇은테 안경,0,0,0,1,0,0,71054,200205,0,17
206,은색 얇은테 안경,,은색 얼굴 소품,은색 얇은테 안경,0,0,0,1,0,0,136590,200206,0,17
207,금색 얇은테 안경,,금색 얼굴 소품,금색 얇은테 안경,0,0,0,1,0,0,202126,200207,0,17
208,검은색 얇은테 안경,,검은색 얼굴 소품,검은색 얇은테 안경,0,0,0,1,0,0,267662,200208,0,17
209,흰색 얇은테 안경,,흰색 얼굴 소품,흰색 얇은테 안경,0,0,0,1,0,0,333198,200209,0,17
210,회색 얇은테 안경,,회색 얼굴 소품,회색 얇은테 안경,0,0,0,1,0,0,398734,200210,0,17
211,빨간색 얇은테 안경,,빨간색 얼굴 소품,빨간색 얇은테 안경,0,0,0,1,0,0,464270,200211,0,17
212,파란색 얇은테 안경,,파란색 얼굴 소품,파란색 얇은테 안경,0,0,0,1,0,0,529806,200212,0,17
213,초록색 얇은테 안경,,초록색 얼굴 소품,초록색 얇은테 안경,0,0,0,1,0,0,595342,200213,0,17
214,구리색 얇은테 안경,,구리색 얼굴 소품,구리색 얇은테 안경,0,0,0,1,0,0,660878,200214,0,17
215,보라색 얇은테 안경,,보라색 얼굴 소품,보라색 얇은테 안경,0,0,0,1,0,0,726414,200215,0,17
216,갈색 얇은테 안경,,갈색 얼굴 소품,갈색 얇은테 안경,0,0,0,1,0,0,791950,200216,0,17
217,스모크 고글,,고유색 얼굴 소품,스모크 고글,0,0,0,1,0,0,71055,200217,0,18
218,은색 스모크 고글,,은색 얼굴 소품,은색 스모크 고글,0,0,0,1,0,0,136591,200218,0,18
219,금색 스모크 고글,,금색 얼굴 소품,금색 스모크 고글,0,0,0,1,0,0,202127,200219,0,18
220,검은색 스모크 고글,,검은색 얼굴 소품,검은색 스모크 고글,0,0,0,1,0,0,267663,200220,0,18
221,흰색 스모크 고글,,흰색 얼굴 소품,흰색 스모크 고글,0,0,0,1,0,0,333199,200221,0,18
222,회색 스모크 고글,,회색 얼굴 소품,회색 스모크 고글,0,0,0,1,0,0,398735,200222,0,18
223,빨간색 스모크 고글,,빨간색 얼굴 소품,빨간색 스모크 고글,0,0,0,1,0,0,464271,200223,0,18
224,파란색 스모크 고글,,파란색 얼굴 소품,파란색 스모크 고글,0,0,0,1,0,0,529807,200224,0,18
225,초록색 스모크 고글,,초록색 얼굴 소품,초록색 스모크 고글,0,0,0,1,0,0,595343,200225,0,18
226,구리색 스모크 고글,,구리색 얼굴 소품,구리색 스모크 고글,0,0,0,1,0,0,660879,200226,0,18
227,보라색 스모크 고글,,보라색 얼굴 소품,보라색 스모크 고글,0,0,0,1,0,0,726415,200227,0,18
228,갈색 스모크 고글,,갈색 얼굴 소품,갈색 스모크 고글,0,0,0,1,0,0,791951,200228,0,18
229,안대(왼쪽),,고유색 얼굴 소품,안대(왼쪽),0,0,0,1,0,0,71056,200229,0,19
230,은색 안대(왼쪽),,은색 얼굴 소품,은색 안대(왼쪽),0,0,0,1,0,0,136592,200230,0,19
231,금색 안대(왼쪽),,금색 얼굴 소품,금색 안대(왼쪽),0,0,0,1,0,0,202128,200231,0,19
232,검은색 안대(왼쪽),,검은색 얼굴 소품,검은색 안대(왼쪽),0,0,0,1,0,0,267664,200232,0,19
233,흰색 안대(왼쪽),,흰색 얼굴 소품,흰색 안대(왼쪽),0,0,0,1,0,0,333200,200233,0,19
234,회색 안대(왼쪽),,회색 얼굴 소품,회색 안대(왼쪽),0,0,0,1,0,0,398736,200234,0,19
235,빨간색 안대(왼쪽),,빨간색 얼굴 소품,빨간색 안대(왼쪽),0,0,0,1,0,0,464272,200235,0,19
