#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
106,"/링(/ㅣ) 내용
현재 활성화되어 있는 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.
/링(/ㅣ)만 입력한 경우에는 기본 대화 방식을 현재 링크셸 대화로 변경합니다.",/링,/ㅣ,/linkshell,/l,0,1021,1,0,0,0,0
107,"/링1(/ㅣ1) 내용
1번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링1,/ㅣ1,/linkshell1,/l1,0,1021,1,0,0,0,0
108,"/링2(/ㅣ2) 내용
2번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링2,/ㅣ2,/linkshell2,/l2,0,1021,1,0,0,0,0
109,"/링3(/ㅣ3) 내용
3번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링3,/ㅣ3,/linkshell3,/l3,0,1021,1,0,0,0,0
110,"/링4(/ㅣ4) 내용
4번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링4,/ㅣ4,/linkshell4,/l4,0,1021,1,0,0,0,0
111,"/링5(/ㅣ5) 내용
5번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링5,/ㅣ5,/linkshell5,/l5,0,1021,1,0,0,0,0
112,"/링6(/ㅣ6) 내용
6번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링6,/ㅣ6,/linkshell6,/l6,0,1021,1,0,0,0,0
113,"/링7(/ㅣ7) 내용
7번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링7,/ㅣ7,/linkshell7,/l7,0,1021,1,0,0,0,0
114,"/링8(/ㅣ8) 내용
8번 링크셸에 소속된 플레이어 모두에게 보이도록 말합니다.",/링8,/ㅣ8,/linkshell8,/l8,0,1021,1,0,0,0,0
115,"/자(/ㅈ) 내용
자신이 소속된 자유부대 부대원 전체에게 보이도록 말합니다.
/자(/ㅈ)만 입력한 경우에는 기본 대화 방식을 자유부대로 변경합니다.",/자,/ㅈ,/freecompany,/fc,0,1021,1,0,0,0,0
116,"/혼(/ㄷ) 내용
자신에게만 보이도록 말합니다.",/혼,/ㄷ,/echo,/e,0,1021,1,0,0,0,0
117,"/떠(/ㅛ) 내용
자신 주변의 넓은 범위에 있는 사람들에게 보이도록 말합니다. 
/떠(/ㅛ)만 입력한 경우에는 기본 대화 방식을 떠들기로 변경합니다.",/떠,/ㅛ,/yell,/y,0,1021,1,0,0,0,0
118,"/대답(/답) 내용
나에게 마지막으로 귓속말을 한 상대에게 귓속말을 보냅니다.",/대답,/답,/reply,/r,0,1021,1,0,0,0,0
119,"/연(/ㅁ) 내용
같은 연합 파티원 모두에게 보이도록 말합니다.
/연(/ㅁ)만 입력한 경우에는 기본 대화 방식을 연합 파티로 변경합니다.",/연,/ㅁ,/alliance,/a,0,1021,1,0,0,0,0
120,,,,,,0,0,0,0,0,0,0
121,"/참가
파티 초대를 수락합니다.",/참가,,/join,,0,4,1,0,0,0,0
122,"/거절
파티 초대를 거절합니다.",/거절,,/decline,,0,4,1,0,0,0,0
123,"/초대 ""대명사""
지정한 플레이어를 파티에 초대합니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어를 초대합니다.",/초대,,/invite,,0,4,2,0,0,0,0
124,"/추방 ""대명사""
지정한 플레이어를 파티에서 추방합니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어를 추방합니다.",/추방,,/kick,,0,4,2,0,0,0,0
125,"/파티장 ""대명사""
지정한 플레이어에게 파티장 권한을 위임합니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어에게 파티장 권한을 넘깁니다.",/파티장,,/leader,,0,4,2,0,0,0,0
126,"/탈퇴(/탈)
파티에서 탈퇴합니다.",/탈퇴,/탈,/leave,,0,4,2,0,0,0,0
127,,,,,,0,0,0,0,0,0,0
128,,,,,,0,0,0,0,0,0,0
129,,,,,,0,0,0,0,0,0,0
130,,,,,,0,0,0,0,0,0,0
131,"/조사 ""대명사""
지정한 플레이어를 살펴봅니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어를 살펴봅니다.",/조사,,/check,/c,0,160,2,0,0,0,0
132,"/거래 ""대명사""
지정한 플레이어에게 거래를 신청합니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어에게 거래를 신청합니다.",/거래,,/trade,,0,32,2,0,0,0,0
133,"/자동달리기 보조명령어
자동 달리기 상태를 설정합니다.
>>보조명령어
켜기(on) 
 …자동 달리기를 시작합니다.
끄기(off) 
 …자동 달리기를 해제합니다.
※ 보조명령어 생략
 …자동 달리기 상태를 전환합니다.",/자동달리기,,/automove,,0,36,2,1,2,0,0
134,"/따라가기(/따라) ""대명사""
지정한 플레이어를 자동으로 따라갑니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어를 따라갑니다.",/따라가기,/따라,/follow,,0,36,2,0,0,0,0
135,,,,,,0,0,0,0,0,0,0
136,"/마테리아요청(/마테요청) ""대명사""
지정한 플레이어에게 마테리아 장착을 요청합니다. 대명사를 생략한 경우에는 현재 대상으로 지정한 플레이어에게 마테리아 장착을 요청합니다.",/마테리아요청,/마테요청,/meldrequest,,0,32,2,0,0,0,0
137,,,,,,0,0,0,0,0,0,0
138,,,,,,0,0,0,0,0,0,0
139,,,,,,0,0,0,0,0,0,0
140,,,,,,0,0,0,0,0,0,0
141,"/캐릭터
캐릭터 메뉴를 엽니다.",/캐릭터,,/character,/gear,0,32,1,0,0,0,0
142,"/퀘스트
퀘스트 메뉴를 엽니다.",/퀘스트,,/journal,,0,32,1,0,0,0,0
143,"/임무찾기(/임무)
임무 찾기 메뉴를 엽니다.",/임무찾기,/임무,/dutyfinder,/dfinder,0,800,1,0,0,0,0
