#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
115,,0,0,0,0,0,0,0,False,False,False
116,,0,0,0,0,0,0,0,False,False,False
117,0,0,230131,0,28,0,1,10,True,False,False
118,1,0,230132,0,28,0,2,10,True,False,False
119,2,0,230133,0,28,0,3,10,True,False,False
120,3,0,230134,0,28,0,4,10,True,False,False
121,4,0,230135,0,28,0,5,10,True,False,False
122,5,0,230136,0,28,0,6,10,True,False,False
123,6,0,230137,0,28,0,7,10,True,False,False
124,7,0,230138,0,28,0,8,10,True,False,False
125,8,0,230139,0,28,0,9,10,True,False,False
126,9,0,230140,0,28,0,10,10,True,False,False
127,모그리,0,230141,0,28,0,11,10,True,True,True
128,왕관,0,230142,0,28,0,12,10,True,True,True
129,풍선,0,230143,0,28,0,13,10,True,True,True
130,반짝이 1,0,230201,1,9,0,2,10,True,True,True
131,하트,0,230202,1,9,0,43,10,True,True,True
132,빛방울,0,230203,1,9,0,21,10,True,True,True
133,발자국,0,230204,1,9,0,61,10,True,True,True
134,반짝이 1,0,230301,1,9,0,1,10,True,True,True
135,선글라스,0,230302,1,9,0,110,10,True,True,True
136,하트,0,230303,1,9,0,42,10,True,True,True
137,빛방울,0,230304,1,9,0,20,10,True,True,True
138,입술,0,230305,1,9,0,111,10,True,True,True
139,발자국,0,230306,1,9,0,60,10,True,True,True
140,화살표,0,230307,1,9,0,100,10,True,True,True
141,삼각형,0,230210,1,9,0,31,10,True,True,True
142,사각형,0,230211,1,9,0,33,10,True,True,True
143,오각형,0,230209,1,9,0,35,10,True,True,True
144,꽃,0,230205,1,9,0,45,10,True,True,True
145,동그라미,0,230208,1,9,0,41,10,True,True,True
146,음표 1,0,230206,1,9,0,51,10,True,True,True
147,음표 2,0,230207,1,9,0,52,10,True,True,True
148,음표,0,230309,1,9,0,50,10,True,True,True
149,삼각형,0,230312,1,9,0,30,10,True,True,True
150,사각형,0,230313,1,9,0,32,10,True,True,True
151,오각형,0,230311,1,9,0,34,10,True,True,True
152,꽃,0,230308,1,9,0,44,10,True,True,True
153,동그라미,0,230310,1,9,0,40,10,True,True,True
154,반짝이 2,0,230314,1,9,0,3,10,True,True,True
155,반짝이 2,0,230212,1,9,0,4,10,True,True,True
156,반짝이 3,0,230315,1,9,0,5,10,True,True,True
157,반짝이 3,0,230213,1,9,0,6,10,True,True,True
158,반짝이 4,0,230316,1,9,0,7,10,True,True,True
159,반짝이 4,0,230214,1,9,0,8,10,True,True,True
160,별,0,230215,1,9,0,53,10,True,True,True
161,꽃종이,0,230317,1,9,0,90,10,True,True,True
162,,0,0,0,0,0,0,0,False,False,False
163,,0,0,0,0,0,0,0,False,False,False
164,,0,0,0,0,0,0,0,False,False,False
165,,0,0,0,0,0,0,0,False,False,False
166,,0,0,0,0,0,0,0,False,False,False
167,,0,0,0,0,0,0,0,False,False,False
168,,0,0,0,0,0,0,0,False,False,False
169,,0,0,0,0,0,0,0,False,False,False
170,미코테식 고기산적,0,230501,1,8,0,1,10,True,True,True
171,영양 스테이크,0,230502,1,8,0,2,10,True,True,True
172,도도 오믈렛,0,230503,1,8,0,3,10,True,True,True
173,달걀 프라이,0,230504,1,8,0,4,10,True,True,True
174,송어구이,0,230505,1,8,0,5,10,True,True,True
175,미코테식 해물산적,0,230506,1,8,0,6,10,True,True,True
176,설탕당근 샐러드,0,230507,1,8,0,7,10,True,True,True
177,미코테식 버섯산적,0,230508,1,8,0,8,10,True,True,True
178,납작빵,0,230509,1,8,0,9,10,True,True,True
179,프레첼,0,230510,1,8,0,10,10,True,True,True
180,기사빵,0,230511,1,8,0,11,10,True,True,True
181,비스마르크 달걀 샌드위치,0,230512,1,8,0,12,10,True,True,True
182,사과 타르트,0,230513,1,8,0,13,10,True,True,True
183,완두콩 수프,0,230514,1,8,0,14,10,True,True,True
184,생강 쿠키,0,230515,1,8,0,15,10,True,True,True
185,하트 초콜릿,0,230516,1,8,0,16,10,True,True,True
186,호박 쿠키,0,230517,1,8,0,17,10,True,True,True
187,오렌지 주스,0,230518,1,8,0,18,10,True,True,True
188,향차,0,230519,1,8,0,19,10,True,True,True
189,생선 감자 튀김,0,230520,1,8,0,20,10,True,True,True
190,이슈가르드 머핀,0,230521,1,8,0,21,10,True,True,True
191,바게트,0,230522,1,8,0,22,10,True,True,True
192,,0,0,0,0,0,0,0,False,False,False
193,,0,0,0,0,0,0,0,False,False,False
194,,0,0,0,0,0,0,0,False,False,False
195,,0,0,0,0,0,0,0,False,False,False
196,,0,0,0,0,0,0,0,False,False,False
197,,0,0,0,0,0,0,0,False,False,False
198,,0,0,0,0,0,0,0,False,False,False
199,,0,0,0,0,0,0,0,False,False,False
200,음표,70789,230318,1,30,0,1,1,True,True,True
201,별,70789,230319,1,30,0,2,1,True,True,True
202,안경,70789,230320,1,30,0,3,1,True,True,True
203,푸딩,70789,230321,1,30,0,4,1,True,True,True
204,행성,70789,230322,1,30,0,5,1,True,True,True
205,당근,70789,230323,1,30,0,6,1,True,True,True
206,하트,70789,230324,1,30,0,7,1,True,True,True
207,레포릿,70789,230325,1,30,0,8,1,True,True,True
208,픽셀 레포릿,70789,230326,1,30,0,9,1,True,True,True
209,,0,0,0,0,0,0,0,False,False,False
210,,0,0,0,0,0,0,0,False,False,False
211,,0,0,0,0,0,0,0,False,False,False
212,,0,0,0,0,0,0,0,False,False,False
213,,0,0,0,0,0,0,0,False,False,False
214,,0,0,0,0,0,0,0,False,False,False
215,,0,0,0,0,0,0,0,False,False,False
216,,0,0,0,0,0,0,0,False,False,False
217,분홍 젤리빈,499,234899,1,1,0,1306,6,True,True,True
218,페그윈,500,234900,1,1,0,1307,6,True,True,True
219,아기 토르갈,498,234898,1,1,0,1301,6,True,True,True
220,니드호그 인형,233,234633,1,1,0,1075,6,True,True,True
221,자동인형 001,0,234401,1,1,0,1200,10,True,True,True
222,초코초코보,0,234402,1,1,0,1,10,True,True,True
223,꼬마 봄,0,234403,1,1,0,100,10,True,True,True
224,베이비모스,0,234405,1,1,0,101,10,True,True,True
225,몰볼 묘목,0,234412,1,1,0,102,10,True,True,True
226,먼지토끼,0,234424,1,1,0,111,10,True,True,True
227,미니텐더,0,234429,1,1,0,112,10,True,True,True
228,아기 게,0,234430,1,1,0,113,10,True,True,True
229,새싹 구부,0,234436,1,1,0,125,10,True,True,True
230,악마의 벽돌,0,234439,1,1,0,126,10,True,True,True
231,자동 커서,0,234444,1,1,0,1215,10,True,True,True
232,키키룬 인형,0,234446,1,1,0,700,10,True,True,True
233,아기 늑대,0,234450,1,1,0,114,10,True,True,True
234,꼬마 커얼,0,234452,1,1,0,106,10,True,True,True
235,톤베리 인형,0,234453,1,1,0,109,10,True,True,True
236,빗자루 인형,0,234471,1,1,0,1216,10,True,True,True
237,모그리 인형,0,234472,1,1,0,3,10,True,True,True
238,너츠 이터,0,234487,1,1,0,401,10,True,True,True
239,뚱냥이,0,234507,1,1,0,402,10,True,True,True
240,꼬마 물요정,0,234511,1,1,0,1302,10,True,True,True
241,추종 시스템,0,234542,1,1,0,1210,10,True,True,True
242,꼬마 파이싸,0,234558,1,1,0,138,10,True,True,True
243,꼬마 머윗잎 요정,0,234566,1,1,0,140,10,True,True,True
244,달달이,0,234641,1,1,0,501,10,True,True,True
245,나마즈오 인형,0,234653,1,1,0,701,10,True,True,True
246,쿠로 인형,0,234660,1,1,0,1042,10,True,True,True
247,콩알시바,0,234667,1,1,0,410,10,True,True,True
248,롱카의 물뱀?,0,234737,1,1,0,417,10,True,True,True
249,자이언트 비버,0,234742,1,1,0,703,10,True,True,True
250,지휘관 상어,0,234775,1,1,0,508,10,True,True,True
251,캐트시 인형,0,234404,1,1,0,1202,10,True,True,True
252,파랑새,0,234416,1,1,0,600,10,True,True,True
253,꼬마 도도,0,234432,1,1,0,115,10,True,True,True
254,꼬마 아프칼루,0,234435,1,1,0,124,10,True,True,True
255,꼬마 양,0,234441,1,1,0,127,10,True,True,True
256,작은 만드라고라,0,234442,1,1,0,116,10,True,True,True
257,말 없는 콜리브리,0,234462,1,1,0,130,10,True,True,True
258,서큐버스 인형,0,234475,1,1,0,132,10,True,True,True
259,길가메시 인형,0,234476,1,1,0,1070,10,True,True,True
260,양파 왕자,0,234477,1,1,0,117,10,True,True,True
261,가지 기사,0,234478,1,1,0,118,10,True,True,True
262,마늘 광대,0,234479,1,1,0,119,10,True,True,True
263,토마토 왕,0,234480,1,1,0,120,10,True,True,True
264,만드라 왕비,0,234481,1,1,0,121,10,True,True,True
265,오르트로스 인형,0,234504,1,1,0,1072,10,True,True,True
266,엔키두,0,234521,1,1,0,1071,10,True,True,True
267,미니 아토모스,0,234529,1,1,0,135,10,True,True,True
268,게일리키튼,0,234532,1,1,0,136,10,True,True,True
269,레서판다,0,234534,1,1,0,404,10,True,True,True
270,왕자 펭귄,0,234564,1,1,0,604,10,True,True,True
271,아기돼지,0,234600,1,1,0,1303,10,True,True,True
272,아기 멧돼지,0,234616,1,1,0,154,10,True,True,True
273,길참새,0,234647,1,1,0,605,10,True,True,True
274,키메라 인형,0,234655,1,1,0,1205,10,True,True,True
275,꼬마 눈요정,0,234719,1,1,0,155,10,True,True,True
276,콩알여우,0,234642,1,1,0,407,10,True,True,True
277,넓적부리황새,0,234749,1,1,0,606,10,True,True,True
278,한입 포크시,0,234753,1,1,0,156,10,True,True,True
279,모래여우,0,234787,1,1,0,421,10,True,True,True
280,모모라 모라!!!,0,234796,1,1,0,510,10,True,True,True
281,통통 초코보,0,234506,1,1,0,2,10,True,True,True
282,작은 슬라임,0,234451,1,1,0,128,10,True,True,True
283,아기 오포오포,0,234470,1,1,0,131,10,True,True,True
284,리틀풋,0,234508,1,1,0,133,10,True,True,True
285,뽈록눈,0,234563,1,1,0,139,10,True,True,True
286,모르포,0,234579,1,1,0,150,10,True,True,True
287,포로 록고,0,234580,1,1,0,151,10,True,True,True
288,또륵이,0,234805,1,1,0,158,10,True,True,True
289,봄보코,0,234646,1,1,0,409,10,True,True,True
290,고슴도치,0,234730,1,1,0,415,10,True,True,True
291,하늘다람쥐,0,234862,1,1,0,429,10,True,True,True
292,기드,0,234658,1,1,0,502,10,True,True,True
293,깨알물범,0,234672,1,1,0,503,10,True,True,True
294,우파루파,0,234673,1,1,0,504,10,True,True,True
295,오리부리,0,234740,1,1,0,506,10,True,True,True
296,미운 아기 오리,0,234531,1,1,0,602,10,True,True,True
297,백호랑,0,234684,1,1,0,913,10,True,True,True
298,주공작,0,234703,1,1,0,914,10,True,True,True
299,청제,0,234727,1,1,0,916,10,True,True,True
300,야슈톨라 인형,91,234500,1,1,0,1000,6,True,True,True
301,민필리아 인형,98,234488,1,1,0,1003,6,True,True,True
302,산크레드 인형,99,234489,1,1,0,1004,6,True,True,True
303,이다 인형,107,234501,1,1,0,1006,6,True,True,True
304,파파리모 인형,108,234502,1,1,0,1008,6,True,True,True
305,위리앙제 인형,109,234503,1,1,0,1009,6,True,True,True
306,알피노 인형,130,234519,1,1,0,1013,6,True,True,True
307,알리제 인형,131,234520,1,1,0,1014,6,True,True,True
308,타타루 인형,132,234526,1,1,0,1016,6,True,True,True
309,시드 인형,133,234527,1,1,0,1018,6,True,True,True
310,야옹 소선생,0,234856,1,1,0,1207,10,True,True,True
311,스펀지 실키,0,234863,1,1,0,200,10,True,True,True
312,치와왕,0,234848,1,1,0,430,10,True,True,True
313,포동포동 게일리캣,0,234784,1,1,0,137,10,True,True,True
314,나나 곰인형,0,234485,1,1,0,400,10,True,True,True
315,깜장시바,0,234733,1,1,0,411,10,True,True,True
316,꼬알라,0,234671,1,1,0,412,10,True,True,True
317,까삐바라,0,234716,1,1,0,414,10,True,True,True
318,팔랑이,0,234822,1,1,0,423,10,True,True,True
319,코기,0,234867,1,1,0,431,10,True,True,True
320,섬오목눈이,0,234771,1,1,0,607,10,True,True,True
321,초록 조달꾼,0,234838,1,1,0,161,10,True,True,True
322,아르카소다라 인형,444,234844,1,1,0,800,6,True,True,True
323,그레불로프 인형,439,234839,1,1,0,704,6,True,True,True
324,파인딩웨이,472,234872,1,1,0,705,6,True,True,True
325,옵티머스 오미크론,425,234825,1,1,0,1211,6,True,True,True
326,오메가 M 인형,344,234744,1,1,0,301,6,True,True,True
327,오메가 F 인형,345,234745,1,1,0,302,6,True,True,True
328,꼬메가,305,234705,1,1,0,300,6,True,True,True
329,알파 인형,304,234704,1,1,0,1077,6,True,True,True
330,쿠루루 인형,192,234605,1,1,0,1019,6,True,True,True
331,문브뤼다 인형,224,234624,1,1,0,1021,6,True,True,True
332,힐디 인형,21,234515,1,1,0,1022,6,True,True,True
333,나나모 인형,84,234499,1,1,0,1028,6,True,True,True
334,오르슈팡 인형,173,234568,1,1,0,1032,6,True,True,True
335,아이메리크 인형,193,234606,1,1,0,1034,6,True,True,True
336,에스티니앙 인형,228,234628,1,1,0,1036,6,True,True,True
337,네로 인형,174,234575,1,1,0,1033,6,True,True,True
338,라우반 인형,71,234555,1,1,0,1026,6,True,True,True
339,카느 에 센나 인형,71,234553,1,1,0,1025,6,True,True,True
340,멜위브 인형,71,234554,1,1,0,1024,6,True,True,True
341,졸병 파키포디움,0,234873,1,1,0,122,10,True,True,True
342,닌자개 시로마루,0,234886,1,1,0,433,10,True,True,True
343,닌자개 쿠로마루,0,234890,1,1,0,434,10,True,True,True
344,꼬마 모아이,0,234678,1,1,0,1217,10,True,True,True
345,아제마 인형,451,234851,1,1,0,304,6,True,True,True
346,할로네 인형,474,234874,1,1,0,305,6,True,True,True
347,오쉬온 인형,494,234894,1,1,0,306,6,True,True,True
348,자갈 골렘,0,234419,1,1,0,108,10,True,True,True
349,작은 미라,0,234509,1,1,0,134,10,True,True,True
350,어린 펜리르,0,234582,1,1,0,152,10,True,True,True
351,꼬마 랴난시,0,234761,1,1,0,157,10,True,True,True
352,드워프 토끼,0,234609,1,1,0,406,10,True,True,True
353,미어캣,0,234756,1,1,0,420,10,True,True,True
354,암살치어,0,234510,1,1,0,500,10,True,True,True
355,아기 올빼미,0,234530,1,1,0,601,10,True,True,True
356,사냥매,0,234562,1,1,0,603,10,True,True,True
357,푸른발얼가니새,0,234853,1,1,0,609,10,True,True,True
358,신 야슈톨라,177,234596,1,1,0,1001,6,True,True,True
359,신 산크레드,217,234617,1,1,0,1005,6,True,True,True
360,루이수아 인형,118,234512,1,1,0,1011,6,True,True,True
361,신 알리제,218,234618,1,1,0,1015,6,True,True,True
362,고드베르트 인형,476,234876,1,1,0,1023,6,True,True,True
363,이젤 인형,145,234538,1,1,0,1029,6,True,True,True
364,유우기리 인형,150,234543,1,1,0,1030,6,True,True,True
365,에다 인형,219,234619,1,1,0,1035,6,True,True,True
366,시로 인형,298,234698,1,1,0,1041,6,True,True,True
367,그라하 인형,306,234706,1,1,0,1048,6,True,True,True
368,미드가르드오름,119,234518,1,1,0,1073,6,True,True,True
369,흐레스벨그 인형,229,234629,1,1,0,1074,6,True,True,True
370,그리다니아식,0,230801,1,23,0,2,10,True,True,True
371,림사 로민사식,0,230802,1,23,0,1,10,True,True,True
372,울다하식,0,230803,1,23,0,3,10,True,True,True
373,이슈가르드식,0,230804,1,23,0,4,10,True,True,True
374,알라미고식,0,230805,1,23,0,5,10,True,True,True
375,쿠가네식,0,230806,1,23,0,6,10,True,True,True
376,도마식,0,230807,1,23,0,7,10,True,True,True
377,크리스타리움식,0,230808,1,23,0,8,10,True,True,True
378,율모어식,0,230809,1,23,0,9,10,True,True,True
379,보즈야식,0,230810,1,23,0,10,10,True,True,True
380,갈레말식,70000,230811,1,23,0,13,1,True,True,True
381,샬레이안식,70000,230812,1,23,0,11,1,True,True,True
382,라자한식,70000,230813,1,23,0,12,1,True,True,True
383,툴라이욜라식,70495,230814,1,23,0,14,1,True,True,True
384,알렉산드리아식,70495,230815,1,23,0,15,1,True,True,True
385,,0,0,0,0,0,0,0,False,False,False
386,,0,0,0,0,0,0,0,False,False,False
387,,0,0,0,0,0,0,0,False,False,False
388,,0,0,0,0,0,0,0,False,False,False
389,,0,0,0,0,0,0,0,False,False,False
390,,0,0,0,0,0,0,0,False,False,False
391,,0,0,0,0,0,0,0,False,False,False
392,,0,0,0,0,0,0,0,False,False,False
393,,0,0,0,0,0,0,0,False,False,False
394,,0,0,0,0,0,0,0,False,False,False
395,,0,0,0,0,0,0,0,False,False,False
396,,0,0,0,0,0,0,0,False,False,False
397,,0,0,0,0,0,0,0,False,False,False
398,,0,0,0,0,0,0,0,False,False,False
399,,0,0,0,0,0,0,0,False,False,False
400,포션,0,230523,1,18,0,1,10,True,True,True
401,하이 포션,0,230524,1,18,0,2,10,True,True,True
402,메가 포션,0,230525,1,18,0,3,10,True,True,True
403,슈퍼 포션,0,230526,1,18,0,4,10,True,True,True
404,에테르,0,230527,1,18,0,5,10,True,True,True
405,하이 에테르,0,230528,1,18,0,6,10,True,True,True
406,메가 에테르,0,230529,1,18,0,7,10,True,True,True
407,슈퍼 에테르,0,230530,1,18,0,8,10,True,True,True
408,엘릭서,0,230531,1,18,0,9,10,True,True,True
409,환상약,0,230532,1,18,0,10,10,True,True,True
410,,0,0,0,0,0,0,0,False,False,False
411,,0,0,0,0,0,0,0,False,False,False
412,,0,0,0,0,0,0,0,False,False,False
413,,0,0,0,0,0,0,0,False,False,False
414,,0,0,0,0,0,0,0,False,False,False
415,,0,0,0,0,0,0,0,False,False,False
416,,0,0,0,0,0,0,0,False,False,False
417,,0,0,0,0,0,0,0,False,False,False
418,,0,0,0,0,0,0,0,False,False,False
419,,0,0,0,0,0,0,0,False,False,False
420,,0,0,0,0,0,0,0,False,False,False
421,,0,0,0,0,0,0,0,False,False,False
422,,0,0,0,0,0,0,0,False,False,False
423,,0,0,0,0,0,0,0,False,False,False
424,,0,0,0,0,0,0,0,False,False,False
425,,0,0,0,0,0,0,0,False,False,False
426,,0,0,0,0,0,0,0,False,False,False
427,,0,0,0,0,0,0,0,False,False,False
428,,0,0,0,0,0,0,0,False,False,False
429,,0,0,0,0,0,0,0,False,False,False
430,주요 퀘스트 시작,0,230601,1,19,0,1,10,True,True,True
431,주요 퀘스트 진행,0,230602,1,19,0,2,10,True,True,True
432,주요 퀘스트 완료,0,230603,1,19,0,3,10,True,True,True
433,부가 퀘스트 시작,0,230604,1,19,0,4,10,True,True,True
434,부가 퀘스트 진행,0,230605,1,19,0,5,10,True,True,True
435,부가 퀘스트 완료,0,230606,1,19,0,6,10,True,True,True
436,기능 개방 퀘스트 시작,0,230607,1,19,0,7,10,True,True,True
437,기능 개방 퀘스트 진행,0,230608,1,19,0,8,10,True,True,True
438,기능 개방 퀘스트 완료,0,230609,1,19,0,9,10,True,True,True
439,,0,0,0,0,0,0,0,False,False,False
440,,0,0,0,0,0,0,0,False,False,False
441,,0,0,0,0,0,0,0,False,False,False
442,꽃 1,0,230416,1,17,0,100,10,True,True,True
443,꽃 2,0,230417,1,17,0,101,10,True,True,True
444,반창고,0,230418,1,17,0,102,10,True,True,True
445,체크 표시,0,230419,1,17,0,103,10,True,True,True
446,가위표,0,230420,1,17,0,104,10,True,True,True
447,찬바람,0,230421,1,17,0,105,10,True,True,True
448,어지러움,0,230422,1,17,0,106,10,True,True,True
449,?,0,230423,1,17,0,107,10,True,True,True
450,!,0,230424,1,17,0,108,10,True,True,True
451,혼란,0,230425,1,17,0,109,10,True,True,True
452,수면,0,230426,1,17,0,110,10,True,True,True
453,폭발,0,230427,1,17,0,111,10,True,True,True
454,폭탄,0,230428,1,17,0,112,10,True,True,True
455,분노,0,230429,1,17,0,113,10,True,True,True
456,번뜩,0,230430,1,17,0,114,10,True,True,True
457,하트,0,230431,1,17,0,115,10,True,True,True
458,벼락,0,230432,1,17,0,116,10,True,True,True
459,반짝반짝,0,230433,1,17,0,117,10,True,True,True
460,삐질,0,230415,1,17,0,1,10,True,True,True
461,뻘뻘,0,230406,1,17,0,2,10,True,True,True
462,까르륵,0,230407,1,17,0,3,10,True,True,True
463,깜짝,0,230408,1,17,0,4,10,True,True,True
464,끄응,0,230409,1,17,0,5,10,True,True,True
465,한숨,0,230410,1,17,0,6,10,True,True,True
466,아하,0,230411,1,17,0,7,10,True,True,True
467,음표,0,230412,1,17,0,8,10,True,True,True
468,별,0,230413,1,17,0,9,10,True,True,True
469,침울,0,230414,1,17,0,10,10,True,True,True
470,,0,0,0,0,0,0,0,False,False,False
471,코요코요 인형,0,234045,1,20,0,45,10,True,True,True
472,꼬마 도도,0,234046,1,20,0,46,10,True,True,True
473,꼬마 풀인간,0,234047,1,20,0,47,10,True,True,True
474,키메라 인형,0,234048,1,20,0,48,10,True,True,True
