#,Name,Text,Image
25,'복장 변환' 상태로 행동하세요!,"퀘스트 진행 중에는 일시적으로 장비 외형이 바뀌기도 합니다.
이 상태를 '복장 변환'이라고 합니다.

진행 중에는 '복장 변환' 상태가 부여됩니다.
복장 변환 상태 지속시간 안에 행동을 마쳐야만 합니다.",86915
26,'복장 변환' 상태가 해제되었다면?,"지속시간이 0이 되거나
유효 범위를 벗어나 '복장 변환' 상태가 해제되면
퀘스트를 진행할 수 없게 됩니다.

지속시간이 끝나기 전에
시작 지점으로 돌아와 지속시간을 연장하세요.

상태가 해제된 경우에도
시작 지점에서 다시 '복장 변환'을 할 수 있습니다.",86916
27,'호위'하면서 나아가세요!,"따라오는 호위 대상을 목적지까지 무사히 데려다주세요!

호위 대상은 너무 멀어지거나
적에게 공격을 받으면 움직일 수 없게 됩니다.

대상에게서 너무 떨어지지 않도록 주의하며
적이 습격해 왔을 때는 신속하게 제거하고, 함께 목적지로 향하세요.",86917
28,'호위'가 실패했다면?,"호위 대상이 적에게 공격당해 HP가 0이 되면,
'호위'는 실패합니다.

또한 대상과 너무 멀리 떨어지거나
지역을 이동해도 실패합니다.

이때는 '호위' 시작 지점에서 다시 도전할 수 있습니다.",86918
29,TP를 100까지 모으세요!,"'수심기 연계 1'을 쿠시와 함께 사용해 보세요.

먼저 마수조련사와 쿠시의 TP를 각각 100까지 모으세요.
마수조련사는 무기 기술 콤보를 사용하면 TP가 모이고,
사역마수는 자동 공격을 하면 TP가 모입니다.",86919
30,기술을 연속으로 사용하세요!,"TP를 각각 100 이상 모았다면
쿠시의 '궁극기'를 사용하세요.
그다음 7초 안에 마수조련사의 '산사태 도끼'를 사용하세요.

그러면 연계에 성공하여 '수심기 연계 1: 맹렬'이 발생합니다.",86920
31,수심기 연계란?,"수심기 연계란 이와 같은 마수조련사와 사역마수의 연계를 뜻합니다.

마수조련사와 사역마수가 각각 TP를 소비하여 실행하는
'수심기'를 연속으로 사용하면 발생하며,
상대에게 추가 피해를 줄 수 있습니다.

마수조련사와 사역마수의 수심기는 순서와 상관없이
7초 안에 사용하면 발생하므로 침착하게 실행해 보세요.",86920
32,나무인형 적개심을 초기화하려면?,"나무인형 적개심을 초기화하고 싶다면
나무인형을 대상으로 선택한 상태에서
'대상 정보'의 세부 메뉴를 열어
'나무인형 적개심 초기화'를 누르면 됩니다.",86920
33,TP를 100까지 모으세요!,"'수심기 연계 2'를 쿠시와 함께 사용해 보세요.

기본적으로는 '수심기 연계 1'과 동일합니다.
먼저 마수조련사와 쿠시의 TP를 각각 100까지 모으세요.",86919
34,멸명격을 발생시키세요!,"TP를 100 이상 모았다면
먼저 쿠시의 '궁극기'를 사용하세요.
그다음 7초 안에 마수조련사의 '삭풍 도끼'를 사용하세요.

그러면 연계에 성공하여 '수심기 연계 2: 멸명격'이 발생합니다.",86921
35,속성을 확인하세요!,"마수조련사와 사역마수의 수심기에는 마수들의 특징이 드러나는
비상, 맹렬, 견고, 마력이라는 4종류의 속성이 있습니다.

이 속성은 상위 수심기 연계를 발동시키는
중요한 요소이므로 꼭 기억해 두세요.

수심기 속성은 무기 기술 아이콘으로 알 수 있으며,
도움말에도 적혀 있습니다.",86924
36,속성을 의식하며 연계를 이어 나가세요! ①,"수심기 연계 2는 '멸명격'과 '활명격' 두 종류로 나눠집니다.

'멸명격'은 동적인 기술에서 정적인 기술로 이어지는
'맹렬→견고' 또는 '마력→비상' 순서로 속성을 연속시키면 발동합니다.

예를 들면, 쿠시의 수심기 속성은 '맹렬'이므로
'궁극기'→'삭풍 도끼'를 사용하면 멸명격이 발동합니다.",86922
37,속성을 의식하며 연계를 이어 나가세요! ②,"한편, '활명격'은 정적인 기술에서 동적인 기술로 이어지는
'비상→맹렬' 또는 '견고→마력' 순서로 속성을 연속시키면 발동합니다.

속성 순서만 맞으면
마수조련사와 사역마수가 기술을 사용하는 순서는 반대여도 됩니다.
'맹렬' 속성인 쿠시는
'돌풍 도끼'→'궁극기'를 사용하면 활명격이 발동합니다.",86923
38,수심[주]를 모으세요!,"'수심기 연계 3'을 쿠시와 함께 사용해 보세요.

우선 미리 '수심[주]'를 3개 축적시켜 둡니다.
이 수심[주]는 '기 모으기'의 효과를 높여 주며,
3개 축적한 뒤, 기 모으기를 사용하면 TP를 250까지 올릴 수 있습니다.

'쿠시'→'마수조련사' 순서로 수심기를 사용하여
수심기 연계 1 또는 수심기 연계 2를 성공시키며 축적하세요.",86925
39,멸명격을 발생시키세요!,"수심[주]가 3개 축적되면 준비는 끝입니다.
만상유전을 발동시키려면 맨 처음 멸명격을 발동시킵니다.

※ 멸명격 발동 후, 7초 안에 다음 단계를 실행하세요.

쿠시의 '궁극기'→마수조련사의 '삭풍 도끼' 순서로
수심기 연계를 실행하여
'수심기 연계 2: 멸명격'을 발동시키세요.",86921
40,기 모으기로 TP를 250으로 만드세요!,"다음으로 수심[주]가 3개 축적된 상태에서
'기 모으기'를 실행하여 마수조련사의 TP를 250으로 만드세요.

마수조련사의 TP가 250이 되면 4개의 수심기가
각각 '활명격', '멸명격' 속성 수심기로 변화합니다.",86926
41,만상유전을 발생시키세요!,"방금 전 '수심기 연계 2: 멸명격'을 발생시켰으니
마지막으로 반대 속성 수심기를 실행해야 합니다.

활명격 속성으로 변화한
'잔혹한 분노' 또는 '도약 낙하'를 실행하면
수심기 연계 3인 '만상유전'을 발동시킬 수 있습니다.

멸명격 발동 후 7초 안에 실행해야 합니다.",86927
42,핵심만 정리하면?,"1. '수심[주]'를 3개 축적시킵니다.
2. '수심기 연계 2'를 실행합니다.
3. '기 모으기'를 사용하여 마수조련사의 TP를 250으로 만듭니다.
   TP가 250이 되면 마수조련사의 수심기가 변화합니다.
4. 현재 속성과 반대 속성인 수심기를 실행합니다.

마수조련사 - 연계를 확인하며 시험해 보세요.",86927
43,적극적으로 사용하세요!,"이와 같이 수심기 연계 3은
'활명격'과 '멸명격'을 조합하여 발생시키는
최고위 연계입니다.

연계에 성공하면 발동하는 추가 피해 '만상유전'은
마수조련사의 공격 중 가장 피해량이 많으므로
강적과 싸울 때 적극적으로 사용해 보세요.",86927
