#,HyurMidlanderMale,HyurMidlanderFemale,HyurMidlanderLastName,HyurHighlanderMale,HyurHighlanderFemale,HyurHighlanderLastName,ElezenMale,ElezenFemale,ElezenWildwoodLastName,ElezenDuskwightLastName,MiqoteSunMale,MiqoteSunFemale,MiqoteSunMaleLastName,MiqoteSunFemaleLastName,MiqoteMoonMale,MiqoteMoonFemale,MiqoteMoonLastname,LalafellPlainsfolkFirstNameStart,LalafellPlainsfolkLastNameStart,LalafellPlainsfolkEndOfNames,LalafellDunesfolkMale,LalafellDunesfolkMaleLastName,LalafellDunesfolkFemale,LalafellDunesfolkFemaleLastName,RoegadynSeaWolfMale,RoegadynSeaWolfMaleLastName,RoegadynSeaWolfFemale,RoegadynSeaWolfFemaleLastName,RoegadynHellsguardFirstName,RoegadynHellsguardMaleLastName,RoegadynHellsguardFemaleLastName,AuRaRaenMale,AuRaRaenFemale,AuRaRaenLastName,AuRaXaelaMale,AuRaXaelaFemale,AuRaXaelaLastName,HrothgarHellionsFirstName,HrothgarHellionsLastName,HrothgarLostFirstName,HrothgarLostLastName,Unknown0,Unknown1,Unknown2,VieraFirstName,VieraRavaLastName,VieraVeenaLastName,Unknown_70_1,Unknown_70_2,Unknown_70_3
10,아서,미라벨,Bell,와이엇,알레이디스,Beck,밥티스토,브렌,Branchais,Bontensont,에마티,크리야,Tia,Mhasi,다카리,다카,Jinjahl,골,Gu,르비,가가,라타,푸,레,퓌멀,Sunnskyfsyn,프레이스위스,Sunnskyfwyn,튀어오르는쥐,Griffin,Lake,카이엔,이부키,Hatasashi,아나르바,칼룬,Iriq,보고밀,Aredna,이반,Anatalyasch,마르야,아레드나,이니비쉬,브옐,Rehw-Setlas,Phiitewesfv,코엘리,Ljanta,Cahuac
11,오거스틴,애디타,Bellveil,위마,앨러손,Benbow,바르나베,브리지,Cahernaut,Braitognieux,조마티,메라이볼리,Tia,Odh,루브리,어크,Polaali,하,Ha,르고,기기,마이,가,로,퓌릴스퀴프,Seiksatzsyn,퓌릴스위스,Seiksatzwyn,날렵한용,Dragon,Spring,카게토라,우토,Tabito,아마사르,체체이켄,Jhungid,라티미르,Azetina,브세밀,Inivisch,톨나,아제티나,조바쉬,코엘리,Djt-Setlas,Gahjewesfv,이제라,Miret-Moor,Isshu
12,바야드,알디에트,Berry,위문드,앨버레드,Blackburn,베르농,솔리,Carrilaut,Brucemont,리올,리콜리웨,Tia,Tykha,리누아,리누,Maimhov,호,Hamy,린,고고,마야,고,루,헬반트,Rhansathsyn,김스위스,Rhansathwyn,달리는쥐,Rat,Waterfall,카게로,우메,Kaujin,아마산지,참부이,Kharlu,라디사,Astolla,미스가르,Jovasch,텟사,아스톨라,오나쉬,코바,,,유르히,Miret-Njer,Cebe
13,벨먼트,오드라이,Bishop,티므,앨리언,Brood,브루아지랑,셀리,Charlemend,Cedrepierre,키올,응옹고,Tia,Khuba,위라리,위라,Lyehga,카,Hon,리토,구구,무코,하,모,홀스크가이스,Pfymseiksyn,할트스위스,Pfymseikwyn,산책하는매,Mouse,Creek,카사사기,엔레이,Gyoji,아라기발,체체이겐,Khatayin,카치,Amarya,야로미르,Onasch,유르야,아마르야,울가쉬,엘야,,,페나제,Otoel,Yapih
14,베네딕트,아일루파,Braddock,타이언,앨리즈,Blacke,후아즐롱,세빌리아,Chaunollet,Chamberliaux,응벰,오얄라모,Tia,Rhid,위라토,치무,Kaatapoh,캄,Ke,르카,하하,문,히,무,케텐본,Ostornsyn,이질스위스,Ostornwyn,흐느끼는물줄기,Falcon,Stream,카잔,오치미,Daisho,아라부차,도르게네,Malqir,즈보니미르,Atolna,볼로스,Petyasch,펠라,아톨나,힌카쉬,지에다,,,우키나,Qoet,Yaxin
15,베네거,디아만다,Brasher,우르타,아멜롯,Bloode,위리아르디앙,클리오,Cimeaurant,Charledore,카벰,페와바티,Tia,Bhen,테프아,테프,Khamazom,케,Kelu,르노,히히,나수,자,나,메를치른,Rosnsathsyn,칸토타,Rosnsathwyn,활기찬도미,Eagle,Bream,카무이,카에데,Kanshi,아리크,도르고노,Mankhad,네크라스,Atessa,세아드,Linasch,모브,아텟사,마에브쉬,흐에케,,,조니아,Rysto,Huin
16,보일,에드버가,Brewer,움프레이,아를레트,Brand,브뤼나디에,데니아,Corentiaux,Chassebel,데로히,키잘리코,Tia,Qolnh,티오리,티오,Panipahr,코,Kesu,르토,자자,네자,지,네,뫼르피안,Niunaglsyn,클륀토타,Moeramohtwyn,몰아치는독수리,Buzzard,Siren,카라쿠,카게츠,Godo,아르가사르,에베게이,Mierqid,브세스가르,Ayurya,바슬라프,Ulgasch,디안나,아유르야,오바쉬,조비,,,즐레샤,Sjasaris,Oghu
17,브랜,에다,Broadbent,왈라프리드,아탈라,Bullock,셀레스토,도세트,Coultenet,Chatelfort,프로히,르를룬,Tia,Loha,몰리토,몰리,Moshroca,리프,Kog,루기,지지,넨,케,니,뉘스트뷔름,Moeramohtsyn,퀸드토타,Moegmhuwyn,분노한도롱뇽,Crow,Whirlpool,칸스이,카스미,Ishiku,알루구,고르벨진,Noykin,타만,Amov,루데비트,Maevsch,리랴,아펠라,슬로바쉬,리이야,,,케스라,Tym,Tswarra
18,브루스,에드킨,Brooks,월처,아틀리스,Butcher,시세루아,돌레,Dailemont,Cibleroit,그아지,스나이자,Tia,Phen,몰리라,티햐,Garanjy,모,Loh,리오,조조,니마,키,노,프뤼믈루프,Moegmhusyn,라곤토타,Marmannwyn,광란하는까마귀,Dragonfly,Current,교쿠세이,키쿄우,Urabito,아르슬란크,구르베스,Olkund,제벤,Adeanna,안드리야,Lentyasch,졸라,아모브,피르야쉬,리옷,,,페트라,Viras,Guguerro
19,클리프턴,에디바,Browne,월디버트,오아신,Byrde,실리앙,도리스,Dariustel,Colbernoux,자아지,차브로카,Tia,Falh,펠리새,펠리,Jawantal,나,Ma,르자,코코,느지,코,포,리타튄,Marmannsyn,뤼나토타,Oebmannwyn,빛나는잠자리,Peiste,Eddy,쿄쿠호,키쿠스이,Edakumi,알치그,호겔룬,Dazkar,믈라덴,Ajolla,울포,Ovasch,브란카,아디안나,보트야쉬,네이,,,노이라,Wolt,Gugoza
20,클라이브,엘디드,Carmine,왈도머,오엘린,Byrne,클라망탕,딜라즈,Drillemont,Dechamberre,크팔크,우샤칼,Tia,Banhi,카타아,카타,Lihzeh,노,Maba,마가,쿠쿠,노리,쿠,푸,스캔뤼스,Oebmannsyn,노르토타,Ostyrmannwyn,회전하는시냇물,Yarzon,Turtle,교도,쿠이나,Okeya,아루크타이,홀루이칸,Oronir,라디미르,,라클라브,Yorvasch,리우바,아졸라,아노브쉬,오스크,,,니르샤,Yascaret,Tormelados
21,콜버트,엘플레다,Carver,월버트,아우리아나,Cordwyk,클로테르,에드멜,Drividot,Deresnels,메발로,우종고,Tia,Malha,카타토,야아,Mujuuk,오,Mada,마니,라라,응파,라,레,스카른마르,Ostyrmannsyn,람토타,Loezmannwyn,급강하하는조류,Morbol,Orobon,케이텐,쿠모키리,Onishi,암바가이,후자그후르,Oroq,엘라디오,,지프,Slobasch,즐라타,,엘라쉬,시올,,,네이,Voras,
22,콜슨,에플레드,Clarke,워렌허리,아우릴디스,Cotter,클로테리옹,엘드,Duimessand,Derinloire,르다이,와바하라,Tia,Pahlo,라야리,라야,Jaab,페,Magu,미차,리리,응조,레,로,스튐벤,Loezmannsyn,륌토타,Lubbloefwyn,기어오르는말벌,Hornet,Apple,케이호,쿠레나이,Kaisuri,예렌타이,이바카,Qerel,데브야트코,,마트코,Piryasch,라트야,,스탈야쉬,아라크야,,,리이야,,
23,컨파즈,에셀린다,Clay,테오드릭,애비스,Crewe,다시앵,엘비드,Duremert,Drancelmans,스다이,바피코이,Tia,Tyatu,라야로,응구아,Tayuun,푸,Mena,모노,로로,포키,리,사,죄머레이트,Lubbloefsyn,사츤토타,Loetrlihtwyn,떠도는구부,Wasp,Plum,케이메이,코우교쿠,Kaifu,이투르겐,잘리카이,Torgud,프라토판,,슬라드케이,Votyasch,엔야,,젤라쉬,다엔,,,르이샤,,
24,코넬,프리스위드,Clayworth,토이도발트,애버킨,Dalvag,다르스루아,에민,Ebrelnaux,Dubeltaire,우쿠이,시고나코,Tia,Naweh,라야라,우르하,Bajhiri,라,Mesha,난,마마,라지,로,샤,쥐어데그,Loetrlihtsyn,스쾬토타,Klynkestwyn,잠자는백조,Goobbue,Swan,겐부,코자쿠라,Gakunin,일루게이,카다간,Tumet,스바토미르,,도마고이,Anovsch,나타,,베타쉬,미아라,,,요딜,,
25,코스터,가트릿,Cooke,테오데마르,아빌라,Denman,도미시앵,에르미앙스,Estrelaint,Duchesnelt,와쿠이,야달라니,Tia,Ndai,타타새,타타,Zhwan,로,Mol,응코,메메,라카,루,슈,쥐빈마스,Klynkestsyn,스테르토타,Hyllkestwyn,돌진하는두더지,Mole,Gull,고세츠,코토카제,Kasanui,우치킨,코가그친,Ugund,벨리보르,,브야치코,Ellasch,스베나,,스테바쉬,리르야,,,이벳,,
26,시리악,거트,Corwell,세웰,어빈,Elder,듀비코루아,페인,Eurelt,Eudestand,아바노,조몰드바,Tia,Halha,쿠마지,쿠마,Molkoh,샤,Na,네코,미미,랴,마,시,트라크춤,Hyllkestsyn,준토타,Horskhundwyn,물에빠진도도,Crab,Dodo,콘고,코토츠키,Kazarishi,우두타이,코진,Uyagir,그루구르,,보릭,Lantasch,디타,,우트야쉬,샤라,,,헬린,,
27,데임버트,기나데,Covey,실지언,발텔다,Forester,엠마넬랭,피니아,Faintillaud,Eugeoiret,카바노,비아를,Tia,Quah,아므아,아므,Mewrilah,쇼,Po,넬리,나나,사무,미,스,베이박트,Horskhundsyn,쥐츤토타,Glazhwabwyn,길잃은염소,Goat,Pelican,사이운,코하루,Kawanami,에수겐,코리진,Dhoro,데얀,,즈드라브코,Stalyasch,아나탈야,,롤바쉬,이리스,,,이우마,,
28,달마스,가들리바,Dorne,시보르드,발틸디스,Frost,앙게랑,플레비엘,Faucertaux,Evrardoux,하라카,아그나약,Tia,Vanih,케다리,케다,Rabntah,스,Poto,응가,노노,샨,모,타,워스트라흐,Glazhwabsyn,우빌뷔다,Glazghotwyn,노래하는사다새,Drake,Doe,사간,코마치,Kusakari,엠리크,쿠구르친,Orben,야로미르,,미오드라크,Zelasch,이니바,,웬야쉬,바지,,,아크야,,
29,대니얼,구더프,Dracht,시드먼드,브레타,Garrott,유스티니앙,플로린,Faucillien,Fauchetemps,차라카,아도쥐비,Tia,Laqi,케다토,파나,Wahcondalo,테,Ra,응기,파파,투니,나,토,빌프문,Glazghotsyn,우쥔뷔다,Guhtgeiswyn,말하는토끼,Wyvern,Rabbit,사쿄,코루리,Kusushi,오고데이,나렌가와,Ejinn,체티보르,,블라스티밀,Vetasch,조바,,올라나쉬,가드얀,,,엘린,,
30,디트리히,그데타,Eugene,시프릿,버가드,Goffe,유제누아,프린,Ferdillaix,Fauconnoix,비알리,비레이마,Tia,Amih,케다아,바소,Jomalah,와,Rala,응고,페페,울루,니,츠,윈스토라,Guhtgeissyn,완뷔다,Haerfruskwyn,속삭이는와이번,Toad,Squirrel,잔세이,자쿠로,Kodakumi,오즈베크,노몰룬,Dotharl,드미타르,,두비냐,Lianasch,패트야,,밀다쉬,제르푸르,,,디올레,,
31,덴스턴,헤듀,Fairclough,로릭,버틸리아나,Grayve,페브릴렛,가엘,Forchetaix,Feuillelains,조알리,비아보쥐,Tia,Chaho,우나아,우나,Relanah,야,Rom,온,포포,바치,노,와,뷔스춘,Haerfrusksyn,빌튀다,Ghimfolgwyn,노려보는두꺼비,Ghost,Calf,잔세츠,사자나미,Sashihai,칼,오겔렌,Hotgo,보리미르,,라도반,Stevasch,리나,,리드니쉬,리오키,,,테사,,
32,더윈,히다,Fields,라진문드,실리아,Grey,펠릭시옹,그웨놀리,Forsemart,Fierlaine,데차,카란타,Tia,Jhamei,우나토,클로에,Akhabila,유,Tam,파스,쿠쿠,와이,누,워,분튀믈,Ghimfolgsyn,볼뷔다,Geimfoetwyn,떨어지는곰,Bear,Sparrow,시운,사요,Sarugaku,칼자,오르베이,Sagahl,로에만,,일리코,Utyasch,힌카,,틸비쉬,라샹,,,흐에케,,
33,데릭,힐데야드,Fisher,랜드,클레어먼드,Hammil,페리올,에르망스,Fraideoux,Fortanceste,자카,데말라듀,Tia,Khah,우나리,사흐자,Awandah,자,Taya,피포,라라,와주,파,야,뷔슬로어,Geimfoetsyn,뷔스위다,Fhilfhiwyn,뛰어오르는참새,Galago,Crow,시덴,시온,Shibunuri,카이샨,소카타이,Kahkol,루체자르,,드라스코,Rolvasch,마에브,,슬렌디쉬,텔젤,,,케얏,,
34,엘레자르,레프차일,Fletcher,오디브랜드,데머스,Hart,피르미앙,에르산디,Frilaix,Fourchenault,에카야,에주사나,Tia,Yarhu,우나새,차고,Anbolho,바,Tha,랄,레레,야디,페,요,뷔츤굴트,Fhilfhisyn,지른뷔다,Farredzawyn,찬란한왜가리,Gnat,Heron,시라나미,스이,Tanshi,카이다이,소르카그타니,Kha,도브리,,다르코,Wenyasch,렌트야,,에라야쉬,우브로,,,브옐,,
35,에마뉴엘,레플레다,Fulke,오디넬,도다,Hawke,피르미낭,일리에트,Fromelaut,Fousquenet,이카야,오주람,Tia,Iahe,시자리,오기이,Betwanhe,자,Tun,리무,리리,야코,포,자,체죄야,Farredzasyn,최르뷔다,Eifaentwyn,상앗빛멧돼지,Boar,Stork,시로지시,스즈메,Chosai,키실리그,소로찬,Mol,푸티미르,,벤셀,Nintasch,오바,,베이타쉬,뷸레,,,엘릿,,
36,에라스무스,밀버,Gardner,오톨프,에버힐드,Hext,플로렌텔,이올렌,Georjeaux,Frageorloix,프야호,카타다라,Tia,Rhuwa,사미토,피야,Binbotaj,조,Vu,로크,로로,용,푸,제,케흐크레프,Eifaentsyn,아이즈뷔다,Doerdyrfwyn,우아한학,Beetle,Crane,신토,스미레,Dejiki,쿠즈후크,수르쿠크테니,Gesi,로브로,,벤체슬라스,Olanasch,요르바,,위라쉬,지에로,,,미아라,,
37,에릭,밀드리스,Gelson,오트윈,에딜라,Hicke,플로리몽,이렌,Gibrillont,Franchemontiaux,리야호,에파글로,Tia,Belhi,시자토,시자,Burwani,,Yara,탄,루루,잔,쿠,,체륌,Doerdyrfsyn,알뤼르뷔다,Fiandoenwyn,뒤뚱거리는오리,Ant,Duck,즈이코,세이카,Torioi,쿠차르,타초탄,Kagon,유라이,,크리프,Mildasch,슬로바,,스바나쉬,아우보,,,시올,,
38,에즈먼드,마이드레드,Glover,오텔린,엘리아,Horne,프랑퀘,장셰트,Grillairmais,Francmontois,메웰리,오보큰,Tia,Celah,사미아,사미,Dolabnha,,Yu,토니,사사,지고,루,,츠벨파렌,Fiandoensyn,바라뷔다,Bryndoenwyn,휘감은유령,Raptor,Fawn,센테이,세카,Naeuri,쿠유크,타르쿤,Goro,보론,,발데마르,Ridnisch,피르야,,이르랴쉬,베트널프,,,이리스,,
39,에스모어,오스기스,Goode,오토,엘리스,Hunt,가비뉴,제니,Grinnaux,Gerraldieux,응웰리,프마나파,Tia,Denma,사미탄,코타,Dakwhil,,Za,토파,헤헤,,사,,귀베툰트,Bryndoensyn,블루뷔다,Blaetibaenwyn,굽은거미전갈,Mite,Bee,센료,치구사,Hakuuchi,구유그,테구스켄,Gharl,스베티스가르,,고란,Tilvisch,보트야,,,쿠이비,,,아르나,,
40,에스페런,오시사,Goode,래덜프,엘리에노라,Keene,가에탕,줄리,Guerrique,Godriquelain,차젠마,자다심,Tia,Fhey,키트리,흐나바,Entialpoh,,Zo,와지,세세,,세,,오스취그,Blaetibaensyn,보른위다,Floeraskwyn,치장한박쥐,Ale,Bat,탄스이,치도리,Banjo,쿠오리부차,토게네,Dataq,야릭,,조리야,Slendisch,아노브,,,다그토르,,,아디스,,
41,에트거,오스트리스,Goodfellow,래폴드,엘리샌드,Kemp,가스파르,줄랜,Hanrieaux,Goudernoux,페젠마,오응다냐,Tia,Genhu,코나리,코나,Elakha,,Zu,자이,타타,,쇼,,론뵈르트,Floerasksyn,브로튀다,Guolfyrwyn,매듭진청설모,Wine,Lamb,츠키카게,치하야,Fukiku,제브케,토라가나,Haragin,스반테,,벨룬,Erayasch,엘라,,,이라트,,,피올라,,
42,프레드릭,세부르가,Greave,래그널드,에메인,Knight,기요노,라유,Hobriaut,Grandeterre,우홀라,자라마니,Tia,Heleh,코나토,마시아,Fashonti,,Zuka,자크,투투,,소,,알드푸트,Guolfyrsyn,뷔글위다,Hezzfyrwyn,피투성이여우,Fox,Ladybug,토우겐,츠구미,Furukane,제베이,우추겐,Ura,벨리스가르,,메체크,Yanavsch,란타,,,게우케,,,리르야,,
43,제프리,선가이브,Greene,라간프리드,에멜린,Lak,길리프렌,리앰,Hortimont,Guillestet,와홀라,이낭갈,Tia,Jesal,고타리,고타,Ganajai,,,존,와와,,타,,아트마스,Hezzfyrsyn,덴뷔다,Fyrlihtwyn,그을린개구리,Fire,Frog,토세츠,츠바키,Bunja,젤메,예순테이,Moks,밀로라드,,베르나르딘,Veitasch,스탈랴,,,호그닐,,,리옷,,
44,제럴드,시노브,Happer,마인프리드,에메트,Langdale,거스타베인,리지,Hourlinet,Handeloup,아베트,시파탈로,Tia,Kett,포키아,포키,Lanbatal,,,질,야야,,테,,발트위른,Fyrlihtsyn,데온가임,Merlskyfwyn,상냥한화염,Flame,Condor,도우와레,나츠메,Maibito,젠크시,알라크,Geneq,베리미르,,밀로반,Lunyasch,젤라,,,키엣,,,오스크,,
45,거볼드,텔드리,Hill,무니프리드,엔나,Lodall,기들루,로안,Hubairtin,Haurtefert,시베트,와라얀,Tia,Lhea,쿠자아,쿠자,Moshantu,,,진,요요,,토,,체어징크,Merlskyfsyn,드리스가임,Swyroeganwyn,끔찍한포도주,Smoke,Marmot,나와시로,나루미,Benitoki,시두르구,알란,Horo,브토라크,,브라스가르,Wirasch,베타,,,미브로,,,테이야,,
46,거스턴,우리스,Hodder,레웬하트,에르미나,Lowe,아드르포르,루사인,Iseterre,Haustefort,비네아,크얄완,Tia,Menh,쿠자토,케니,Chelewae,,,,유유,,투,,덴퀴르트라흐,Swyroegansyn,아인가임,Maetironnwyn,시끄러운산토끼,Spear,Firefly,바이엔,하자쿠라,Mizuhiki,자가다이,알트,Himaa,야로폴,,미르코,Liorasch,롤바,,,리이디,,,우나,,
47,그웨인,울피유,Holmes,리가트,업스위드,Marshall,에리베르,루니,Janlenoux,Hortefense,바네아,크비왈리,Tia,Neneh,탈라토,탈라,Wolndara,,,,자자,,바,,아이리준,Maetironnsyn,퓌어가임,Eynfoetwyn,고요한형제,Herd,Hare,하야부사,하나메,Yumitori,자무가,알타니,Malaguld,다렌,,하리스,Svanasch,웬야,,,사벨,,,피크타,,
48,길버트,비디,Holt,조프리드,에스키나,Moore,에르메노스트,리셀,Jantellot,Ignemortel,이펠,야응불레아,Tia,Rhel,이엔이르,레이,Wilzuun,,,,제제,,와,,페츠문,Eynfoetsyn,간츠가임,Eynmoenwyn,그늘진비둘기,Brother,Dove,한사쿠,히바리,Yumishi,시라문,알툰,Urumet,바젠,,밀렌코,Irryasch,닌타,,,우듀스,,,미디아,,
49,할스타인,브레야,Hunt,램버드,포돌라,Outlawe,아우노랭,마엔,Jehantel,Imbertain,크펠,이다키아,Tia,Sheqa,이엔워,오아,Quowaital,,,,주주,,워,,융그파,Eynmoensyn,구트가임,Zwynwyrstwyn,미끄러운난초,Cyclone,Orchid,히운,후우란,Doshin,실루게이,알룬,Qalli,부디미르,,아이딘,,밀다,,,발랸,,,알루엣,,
50,휴레이,엘룬드,Jeanne,로드릭,가일라,Payne,우베르티앙,마르세트,Josseloux,Jandelaine,오텐페,조아타노,Tia,Tenbe,이엔아,이엔,Jawantal,,,,,,야,,켈트랭,Zwynwyrstsyn,헬가임,Zeinkletwyn,굳건한탑,Tower,Moss,히엔,보탄,Jizutsu,스케게이,안기르,Qestir,스베토자르,,보이노미르,,리드니,,,아프리드,,,팔렌틴,,
51,호딘,에모니,Kirk,로드리치,젤르,Pytte,위게몽,마르젤린,Lanquairt,Jeulerand,그텐페,우보와키,Tia,Vheo,레르이르,레르,Molkot,,,,,,요,,루츠페이크,Zeinkletsyn,하르트가임,Hyllingilwyn,느린아귀,Snake,Elm,뱌쿠부,마코토,Musa,다이두쿨,베키,,더지스가르,,요브,,틸비,,,에렌빌,,,페레,,
52,험프리,에실트,Lannis,라돌프,젤렌,Quick,이자르무아,마리우트,Lanverlais,Juliembert,야웨타,키날키,Tia,Wetae,레르라,세나,Mhakaracca,,,,,,유,,루츠커츠,Hyllingilsyn,휘르트가임,Helbmannwyn,재빠른독사,Adder,Oak,후우게츠,마나,Buhen,타마차그,보도,,흐르보예,,다미르,,슬렌디,,,갈빈,,,피아네,,
53,조아네스,퓔레,Leach,로트마르,게럴드,Rakes,이조도렐,마리엘,Larsonient,Lamberteint,조웨타,시도바카,Tia,Yelho,레르워,세이,Epocan,,,,,,제,,오스튀르가인,Helbmannsyn,루트가임,Guldgarawyn,현명한떡갈나무,Cedar,Mahogany,후쿠도,마나즈루,Tsuwamono,치구,보르테,,야렉,,고스티밀,,에라야,,,세이그로익스,,,소피에,,
