#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
36,에너지 충전율,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
37,해킹 진행률,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,빛의 범람,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,에너지 충전율,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,달라가브 에테르 밀도,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,리미트 브레이크,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,마더 포크시의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,가이아의 기억,,35,50,0,0,2,3,1,1,1,False
44,자 다의 영혼 변이율,,-1,-1,0,0,3,0,0,1,1,False
45,에테르 충전율,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,혼돈,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,절망,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,육합결계 술식,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,적군 경계도,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,조디아크의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,에테르 충전율,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,사룡의 그림자 지배율,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,위신수 파프니르의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,페넥스의 마력,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,베네스의 에테르,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,가이우스의 검기,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,미드가르드오름 에테르,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,스카르밀리오네의 마력,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,아씨엔 라하브레아의 마력,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,니드호그의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,포만감,,30,50,0,0,2,3,1,1,1,False
64,마법 장벽 외층 내구도,,30,70,0,0,2,3,1,1,1,False
65,루키아 부대의 체력,,30,70,0,0,2,3,1,1,1,False
66,카냐초의 마력,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,마법 장벽 중간층 내구도,,30,70,0,0,2,3,1,1,1,False
68,마법 장벽 내층 내구도,,30,70,0,0,2,3,1,1,1,False
69,루비칸테의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,안드로말리우스의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,아씨엔 프라임의 마력,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,할로네의 한기,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,메느피나의 마력,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,아테나의 마력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,에너지 충전율,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,에테르 응축률,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,구미호의 요기,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,60,180,0,1,0,0,0,1,1,True
79,그위드리트의 뇌력,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,오티스의 내구도,,30,70,0,0,2,3,1,1,1,False
81,재앙의 상징,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,이크소크 슈마준의 마력,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,봉인의 마력,,100,-1,0,0,3,1,0,1,1,True
84,하울링 블레이드의 검기,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
85,그루브감,,-1,-1,0,0,1,0,0,1,1,True
86,젤레니아의 에테르,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
87,죽음에 대한 공포,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
88,,,-1,-1,0,1,0,0,0,1,1,True
89,글라시아 라볼라스의 마력,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
90,쿠루루의 마력,ContentGaugeMax_positive,-1,-1,0,0,1,0,0,1,1,True
91,풀베기 혼,,50,100,0,0,1,3,2,1,1,True
92,,,0,0,0,0,0,0,0,0,0,False
93,거대 그라비데 덩어리,,-1,-1,0,0,2,0,0,1,1,False
94,,,0,0,0,0,0,0,0,0,0,False
