#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
38,타인의 전투 관련 시스템 메시지,세피로스가 무당벌레를 쓰러뜨렸습니다.,2193,65535,58,2,3,0
39,NPC 대화(알림),"브레몽데: 어이, 이보게.",65535,65535,68,2,17,1
40,자유부대 알림,자유부대 계급 서열을 변경했습니다.,65535,65535,69,2,11,1
41,자유부대 부대원 로그인 알림,세피로스 님이 접속했습니다.,65535,65535,70,2,13,1
42,파티의 레벨 업 및 아이템 획득,레벨 업! 에어리스가 레벨 50이 되었습니다.,1548,65535,64,2,26,1
43,장터 판매 알림,그리다니아 장터에 100길에 출품한 <아이템>이 판매되어 95길을 획득했습니다.,65535,65535,71,2,15,1
44,새 파티 찾기 정보,"전체 12건의 파티 모집 중, 조건에 맞는 파티가 3건 검색되었습니다.",65535,65535,72,2,45,1
45,표식 설정 정보,클라우드 님이 티파 님에게 '동그라미'를 설정했습니다.,65535,65535,73,2,46,1
46,주사위 메시지,클라우드 님이 주사위를 굴려 999가 나왔습니다!,65535,65535,74,2,47,1
47,초보자 채널 알림,"초보자 채널에 참가했습니다.
현재 인원: 멘토 10명 / 초보자 30명",65535,65535,75,2,10,1
48,오케스트리온 재생 정보,'Prelude - Discoveries'를 재생했습니다.,65535,65535,76,2,48,1
49,PvP팀 알림,빈센트 님이 가입했습니다.,65535,65535,77,2,12,1
50,PvP팀 접속 알림,빈센트 님이 접속했습니다.,65535,65535,78,2,14,1
51,자신이 준 피해,클라우드의 공격  무당벌레에게 피해를 123 주었습니다.,2,65535,41,4,1,2
52,자신이 실패한 공격,클라우드의 공격  빗나갔습니다! 무당벌레에게 적중하지 않았습니다.,2,65535,42,4,2,2
53,자신의 기술 시작 및 중단,"클라우드가 <기술>을 시전했습니다.
클라우드가 <기술>을 중단했습니다.",2,65535,43,4,3,2
54,자신의 아이템 사용 및 중단,"클라우드가 <아이템>을 사용했습니다.
클라우드가 <아이템> 사용을 중단했습니다.",2,65535,44,4,4,2
55,자신이 한 회복,   티파가 HP를 123 회복했습니다.,2,65535,45,4,5,2
56,자신이 부여한 강화 효과,   유피가 <강화 효과 이름> 효과를 받았습니다.,2,65535,46,4,6,2
57,자신이 부여한 약화 효과,   무당벌레가 <약화 효과 이름> 효과를 받았습니다.,2,65535,47,4,7,2
58,자신이 받은 피해,무당벌레의 공격  클라우드에게 피해를 123 주었습니다.,65535,2,41,4,8,2
59,자신이 회피한 공격,무당벌레의 공격  빗나갔습니다! 클라우드에게 적중하지 않았습니다.,65535,2,42,4,9,2
60,자신에 대한 기술 시작 및 중단,"에어리스가 <기술>을 시전했습니다.
에어리스가 <기술>을 중단했습니다.",65535,2,43,4,10,2
61,자신에 대한 아이템 사용 및 중단,"에어리스가 <아이템>을 사용했습니다.
에어리스가 <아이템> 사용을 중단했습니다.",65535,2,44,4,11,2
62,자신이 받은 회복,   클라우드가 HP를 123 회복했습니다.,65535,2,45,4,12,2
63,자신이 받은 강화 효과,   클라우드가 <강화 효과 이름> 효과를 받았습니다.,65535,2,46,4,13,2
64,자신이 받은 약화 효과,   클라우드가 <강화 효과 이름> 효과를 받았습니다.,65535,2,47,4,14,2
65,자신의 강화 효과 종료,클라우드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,2,48,4,15,2
66,자신의 약화 효과 종료,클라우드의 <약화 효과 이름> 효과가 사라졌습니다.,65535,2,49,4,16,2
67,알람 알림 정보, 알람 -  12:34 ,65535,65535,55,2,50,1
68,장비 투영 알림,클라우드 님이 <아이템>에  <외관 아이템>의 외관을 투영했습니다.,65535,65535,54,2,51,1
69,,,0,0,0,0,0,0
70,,,0,0,0,0,0,0
71,파티원이 준 피해,세리스의 공격  청설모에게 123 피해를 주었습니다.,4,65535,41,5,1,2
72,파티원이 실패한 공격,세리스의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,4,65535,42,5,2,2
73,파티원의 기술 시작 및 중단,"티나가 <기술>을 시전했습니다.
티나가 <기술>을 중단했습니다.",4,65535,43,5,3,2
74,파티원의 아이템 사용 및 중단,"티나가 <아이템>을 사용했습니다.
티나가 <아이템> 사용을 중단했습니다.",4,65535,44,5,4,2
75,파티원이 한 회복, 클라우드가 HP를 123 회복했습니다.,4,65535,45,5,5,2
76,파티원이 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,4,65535,46,5,6,2
77,파티원이 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,4,65535,47,5,7,2
78,파티원이 받은 피해,청설모의 공격  세리스에게 123 피해를 주었습니다.,65535,4,41,5,8,2
79,파티원이 회피한 공격,청설모의 공격  빗나갔습니다! 세리스에게 적중하지 않았습니다.,65535,4,42,5,9,2
80,파티원에 대한 기술 시작 및 중단,"티나가 <기술>을 시전했습니다.
티나가 <기술> 시전을 중단했습니다.",65535,4,43,5,10,2
81,파티원에 대한 아이템 사용 및 중단,"티나가 <아이템>을 사용했습니다.
티나가 <아이템> 사용을 중단했습니다.",65535,4,44,5,11,2
82,파티원이 받은 회복, 세리스가 HP를 123 회복했습니다.,65535,4,45,5,12,2
83,파티원이 받은 강화 효과, 세리스가 <강화 효과 이름> 효과를 받았습니다.,65535,4,46,5,13,2
84,파티원이 받은 약화 효과, 세리스가 <약화 효과 이름> 효과를 받았습니다.,65535,4,47,5,14,2
85,파티원의 강화 효과 종료,세리스의 <강화 효과 이름> 효과가 사라졌습니다.,65535,4,48,5,15,2
86,파티원의 약화 효과 종료,세리스의 <강화 효과 이름> 효과가 사라졌습니다.,65535,4,49,5,16,2
87,,,0,0,0,0,0,0
88,,,0,0,0,0,0,0
89,,,0,0,0,0,0,0
90,,,0,0,0,0,0,0
91,타인이 준 피해,케프카의 공격  무당벌레에게 123 피해를 주었습니다.,16,65535,41,7,1,0
92,타인이 실패한 공격,케프카의 공격  빗나갔습니다! 무당벌레에게 적중하지 않았습니다.,16,65535,42,7,2,0
93,타인의 기술 시작 및 중단,"케프카가 <기술>을 시전했습니다.
케프카가 <기술>을 중단했습니다.",16,65535,43,7,3,0
94,타인의 아이템 사용 및 중단,"케프카가 <아이템>을 사용했습니다.
케프카가 <아이템> 사용을 중단했습니다.",16,65535,44,7,4,0
95,타인이 한 회복, 클라우드가 HP를 123 회복했습니다.,16,65535,45,7,5,0
96,타인이 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,16,65535,46,7,6,0
97,타인이 부여한 약화 효과, 무당벌레가 <약화 효과 이름> 효과를 받았습니다.,16,65535,47,7,7,0
98,타인이 받은 피해,무당벌레의 공격  케프카에게 123 피해를 주었습니다.,65535,16,41,7,8,0
99,타인이 회피한 공격,무당벌레의 공격  빗나갔습니다! 케프카에게 적중하지 않았습니다.,65535,16,42,7,9,0
100,타인에 대한 기술 시작 및 중단,"케프카가 <기술>을 시전했습니다.
케프카가 <기술>을 중단했습니다.",65535,16,43,7,10,0
101,타인에 대한 아이템 사용 및 중단,"케프카가 <아이템>을 사용했습니다.
케프카가 <아이템> 사용을 중단했습니다.",65535,16,44,7,11,0
102,타인이 받은 회복, 케프카가 HP를 123 회복했습니다.,65535,16,45,7,12,0
103,타인이 받은 강화 효과, 케프카가 <강화 효과 이름> 효과를 받았습니다.,65535,16,46,7,13,0
104,타인이 받은 약화 효과, 케프카가 <약화 효과 이름> 효과를 받았습니다.,65535,16,47,7,14,0
105,타인의 강화 효과 종료,케프카의 <강화 효과 이름> 효과가 사라졌습니다.,65535,16,48,7,15,0
106,타인의 약화 효과 종료,케프카의 <강화 효과 이름> 효과가 사라졌습니다.,65535,16,49,7,16,0
107,,,0,0,0,0,0,0
108,,,0,0,0,0,0,0
109,,,0,0,0,0,0,0
110,,,0,0,0,0,0,0
111,교전 상태인 적이 준 피해,청설모의 공격  클라우드에게 123 피해를 주었습니다.,32,65535,41,8,1,2
112,교전 상태인 적이 실패한 공격,청설모의 공격  빗나갔습니다! 클라우드에게 적중하지 않았습니다.,32,65535,42,8,2,2
113,교전 상태인 적의 기술 시작 및 중단,"청설모가 <기술>을 시전했습니다.
청설모가 <기술>을 중단했습니다.",32,65535,43,8,3,2
114,교전 상태인 적의 아이템 사용 및 중단,"청설모가 <아이템>을 사용했습니다.
청설모가 <아이템> 사용을 중단했습니다.",32,65535,44,8,4,2
115,교전 상태인 적이 한 회복, 청설모가 HP를 123 회복했습니다.,32,65535,45,8,5,2
116,교전 상태인 적이 부여한 강화 효과, 청설모가 <강화 효과 이름> 효과를 받았습니다.,32,65535,46,8,6,2
117,교전 상태인 적이 부여한 약화 효과, 클라우드가 <약화 효과 이름> 효과를 받았습니다.,32,65535,47,8,7,2
118,교전 상태인 적이 받은 피해,클라우드의 공격  청설모에게 123 피해를 주었습니다.,65535,32,41,8,8,2
119,교전 상태인 적이 회피한 공격,클라우드의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,65535,32,42,8,9,2
120,교전 상태인 적에 대한 기술 시작 및 중단,"청설모가 <기술>을 시전했습니다.
청설모가 <기술>을 중단했습니다.",65535,32,43,8,10,2
121,교전 상태인 적에 대한 아이템 사용 및 중단,"청설모가 <아이템>을 사용했습니다.
청설모가 <아이템> 사용을 중단했습니다.",65535,32,44,8,11,2
122,교전 상태인 적이 받은 회복, 청설모가 HP를 123 회복했습니다.,65535,32,45,8,12,2
123,교전 상태인 적이 받은 강화 효과, 청설모가 <강화 효과 이름> 효과를 받았습니다.,65535,32,46,8,13,2
124,교전 상태인 적이 받은 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,65535,32,47,8,14,2
125,교전 상태인 적의 강화 효과 종료,청설모의 <강화 효과 이름> 효과가 사라졌습니다.,65535,32,48,8,15,2
126,교전 상태인 적의 약화 효과 종료,청설모의 <강화 효과 이름> 효과가 사라졌습니다.,65535,32,49,8,16,2
127,,,0,0,0,0,0,0
128,,,0,0,0,0,0,0
129,,,0,0,0,0,0,0
130,,,0,0,0,0,0,0
131,비교전 상태인 적이 준 피해,청설모의 공격  클라우드에게 123 피해를 주었습니다.,64,65535,41,9,1,0
132,비교전 상태인 적이 실패한 공격,청설모의 공격  빗나갔습니다! 클라우드에게 적중하지 않았습니다.,64,65535,42,9,2,0
133,비교전 상태인 적의 기술 시작 및 중단,"청설모가 <기술>을 시전했습니다.
청설모가 <기술>을 중단했습니다.",64,65535,43,9,3,0
134,비교전 상태인 적의 아이템 사용 및 중단,"청설모가 <아이템>을 사용했습니다.
청설모가 <아이템> 사용을 중단했습니다.",64,65535,44,9,4,0
135,비교전 상태인 적이 한 회복, 청설모가 HP를 123 회복했습니다.,64,65535,45,9,5,0
136,비교전 상태인 적이 부여한 강화 효과, 청설모가 <강화 효과 이름> 효과를 받았습니다.,64,65535,46,9,6,0
137,비교전 상태인 적이 부여한 약화 효과, 클라우드가 <약화 효과 이름> 효과를 받았습니다.,64,65535,47,9,7,0
138,비교전 상태인 적이 받은 피해,클라우드의 공격  청설모에게 123 피해를 주었습니다.,65535,64,41,9,8,0
139,비교전 상태인 적이 회피한 공격,클라우드의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,65535,64,42,9,9,0
140,비교전 상태인 적에 대한 기술 시작 및 중단,"청설모가 <기술>을 시전했습니다.
청설모가 <기술>을 중단했습니다.",65535,64,43,9,10,0
141,비교전 상태인 적에 대한 아이템 사용 및 중단,"청설모가 <아이템>을 사용했습니다.
청설모가 <아이템> 사용을 중단했습니다.",65535,64,44,9,11,0
142,비교전 상태인 적이 받은 회복, 청설모가 HP를 123 회복했습니다.,65535,64,45,9,12,0
143,비교전 상태인 적이 받은 강화 효과, 청설모가 <강화 효과 이름> 효과를 받았습니다.,65535,64,46,9,13,0
144,비교전 상태인 적이 받은 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,65535,64,47,9,14,0
145,비교전 상태인 적의 강화 효과 종료,청설모의 <강화 효과 이름> 효과가 사라졌습니다.,65535,64,48,9,15,0
146,비교전 상태인 적의 약화 효과 종료,청설모의 <강화 효과 이름> 효과가 사라졌습니다.,65535,64,49,9,16,0
147,,,0,0,0,0,0,0
148,,,0,0,0,0,0,0
149,,,0,0,0,0,0,0
150,,,0,0,0,0,0,0
151,연합 파티원이 준 피해,파리스의 공격  청설모에게 123 피해를 주었습니다.,8,65535,41,6,1,0
152,연합 파티원이 실패한 공격,파리스의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,8,65535,42,6,2,0
153,연합 파티원의 기술 시작 및 중단,"파리스가 <기술>을 시전했습니다.
파리스가 <기술>을 중단했습니다.",8,65535,43,6,3,0
154,연합 파티원의 아이템 사용 및 중단,"파리스가 <아이템>을 사용했습니다.
파리스가 <아이템> 사용을 중단했습니다.",8,65535,44,6,4,0
155,연합 파티원이 한 회복, 클라우드가 HP를 123 회복했습니다.,8,65535,45,6,5,0
156,연합 파티원이 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,8,65535,46,6,6,0
157,연합 파티원이 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,8,65535,47,6,7,0
158,연합 파티원이 받은 피해,청설모의 공격  파리스에게 123 피해를 주었습니다.,65535,8,41,6,8,0
159,연합 파티원이 회피한 공격,청설모의 공격  빗나갔습니다! 파리스에게 적중하지 않았습니다.,65535,8,42,6,9,0
160,연합 파티원에 대한 기술 시작 및 중단,"파리스가 <기술>을 시전했습니다.
파리스가 <기술> 시전을 중단했습니다.",65535,8,43,6,10,0
161,연합 파티원에 대한 아이템 사용 및 중단,"파리스가 <아이템>을 사용했습니다.
파리스가 <아이템> 사용을 중단했습니다.",65535,8,44,6,11,0
162,연합 파티원이 받은 회복, 파리스가 HP를 123 회복했습니다.,65535,8,45,6,12,0
163,연합 파티원이 받은 강화 효과, 파리스가 <강화 효과 이름> 효과를 받았습니다.,65535,8,46,6,13,0
164,연합 파티원이 받은 약화 효과, 파리스가 <약화 효과 이름> 효과를 받았습니다.,65535,8,47,6,14,0
165,연합 파티원의 강화 효과 종료,파리스의 <강화 효과 이름> 효과가 사라졌습니다.,65535,8,48,6,15,0
166,연합 파티원의 약화 효과 종료,파리스의 <강화 효과 이름> 효과가 사라졌습니다.,65535,8,49,6,16,0
167,,,0,0,0,0,0,0
168,,,0,0,0,0,0,0
169,,,0,0,0,0,0,0
170,,,0,0,0,0,0,0
171,우호적인 NPC가 준 피해,람자의 공격  청설모에게 123 피해를 주었습니다.,128,65535,41,10,1,2
172,우호적인 NPC가 실패한 공격,람자의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,128,65535,42,10,2,2
173,우호적인 NPC의 기술 시작 및 중단,"람자가 <기술>을 시전했습니다.
람자가 <기술>을 중단했습니다.",128,65535,43,10,3,2
174,우호적인 NPC의 아이템 사용 및 중단,"람자가 <아이템>을 사용했습니다.
람자가 <아이템> 사용을 중단했습니다.",128,65535,44,10,4,2
175,우호적인 NPC가 한 회복, 클라우드가 HP를 123 회복했습니다.,128,65535,45,10,5,2
176,우호적인 NPC가 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,128,65535,46,10,6,2
177,우호적인 NPC가 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,128,65535,47,10,7,2
178,우호적인 NPC가 받은 피해,청설모의 공격  람자에게 123 피해를 주었습니다.,65535,128,41,10,8,2
179,우호적인 NPC가 회피한 공격,청설모의 공격  빗나갔습니다! 람자에게 적중하지 않았습니다.,65535,128,42,10,9,2
180,우호적인 NPC에 대한 기술 시작 및 중단,"람자가 <기술>을 시전했습니다.
람자가 <기술> 시전을 중단했습니다.",65535,128,43,10,10,2
181,우호적인 NPC에 대한 아이템 사용 및 중단,"람자가 <아이템>을 사용했습니다.
람자가 <아이템> 사용을 중단했습니다.",65535,128,44,10,11,2
182,우호적인 NPC가 받은 회복, 람자가 HP를 123 회복했습니다.,65535,128,45,10,12,2
183,우호적인 NPC가 받은 강화 효과, 람자가 <강화 효과 이름> 효과를 받았습니다.,65535,128,46,10,13,2
184,우호적인 NPC가 받은 약화 효과, 람자가 <약화 효과 이름> 효과를 받았습니다.,65535,128,47,10,14,2
185,우호적인 NPC의 강화 효과 종료,람자의 <강화 효과 이름> 효과가 사라졌습니다.,65535,128,48,10,15,2
186,우호적인 NPC의 약화 효과 종료,람자의 <강화 효과 이름> 효과가 사라졌습니다.,65535,128,49,10,16,2
187,,,0,0,0,0,0,0
188,,,0,0,0,0,0,0
189,,,0,0,0,0,0,0
190,,,0,0,0,0,0,0
191,내 소환수/버디가 준 피해,카벙클 에메랄드의 공격  청설모에게 123 피해를 주었습니다.,256,65535,41,11,1,2
192,내 소환수/버디가 실패한 공격,카벙클 에메랄드의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,256,65535,42,11,2,2
193,내 소환수/버디의 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술>을 중단했습니다.",256,65535,43,11,3,2
194,내 소환수/버디의 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",256,65535,44,11,4,2
195,내 소환수/버디가 한 회복, 클라우드가 HP를 123 회복했습니다.,256,65535,45,11,5,2
196,내 소환수/버디가 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,256,65535,46,11,6,2
197,내 소환수/버디가 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,256,65535,47,11,7,2
198,내 소환수/버디가 받은 피해,청설모의 공격  카벙클 에메랄드에게 123 피해를 주었습니다.,65535,256,41,11,8,2
199,내 소환수/버디가 회피한 공격,청설모의 공격  빗나갔습니다! 카벙클 에메랄드에게 적중하지 않았습니다.,65535,256,42,11,9,2
200,내 소환수/버디에 대한 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술> 시전을 중단했습니다.",65535,256,43,11,10,2
201,내 소환수/버디에 대한 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",65535,256,44,11,11,2
202,내 소환수/버디가 받은 회복, 카벙클 에메랄드가 HP를 123 회복했습니다.,65535,256,45,11,12,2
203,내 소환수/버디가 받은 강화 효과, 카벙클 에메랄드가 <강화 효과 이름> 효과를 받았습니다.,65535,256,46,11,13,2
204,내 소환수/버디가 받은 약화 효과, 카벙클 에메랄드가 <약화 효과 이름> 효과를 받았습니다.,65535,256,47,11,14,2
205,내 소환수/버디의 강화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,256,48,11,15,2
206,내 소환수/버디의 약화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,256,49,11,16,2
207,,,0,0,0,0,0,0
208,,,0,0,0,0,0,0
209,,,0,0,0,0,0,0
210,,,0,0,0,0,0,0
211,파티원의 소환수/버디가 준 피해,카벙클 에메랄드의 공격  청설모에게 123 피해를 주었습니다.,512,65535,41,12,1,2
212,파티원의 소환수/버디가 실패한 공격,카벙클 에메랄드의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,512,65535,42,12,2,2
213,파티원의 소환수/버디의 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술>을 중단했습니다.",512,65535,43,12,3,2
214,파티원의 소환수/버디의 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",512,65535,44,12,4,2
215,파티원의 소환수/버디가 한 회복, 클라우드가 HP를 123 회복했습니다.,512,65535,45,12,5,2
216,파티원의 소환수/버디가 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,512,65535,46,12,6,2
217,파티원의 소환수/버디가 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,512,65535,47,12,7,2
218,파티원의 소환수/버디가 받은 피해,청설모의 공격  카벙클 에메랄드에게 123 피해를 주었습니다.,65535,512,41,12,8,2
219,파티원의 소환수/버디가 회피한 공격,청설모의 공격  빗나갔습니다! 카벙클 에메랄드에게 적중하지 않았습니다.,65535,512,42,12,9,2
220,파티원의 소환수/버디에 대한 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술> 시전을 중단했습니다.",65535,512,43,12,10,2
221,파티원의 소환수/버디에 대한 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",65535,512,44,12,11,2
222,파티원의 소환수/버디가 받은 회복, 카벙클 에메랄드가 HP를 123 회복했습니다.,65535,512,45,12,12,2
223,파티원의 소환수/버디가 받은 강화 효과, 카벙클 에메랄드가 <강화 효과 이름> 효과를 받았습니다.,65535,512,46,12,13,2
224,파티원의 소환수/버디가 받은 약화 효과, 카벙클 에메랄드가 <약화 효과 이름> 효과를 받았습니다.,65535,512,47,12,14,2
225,파티원의 소환수/버디의 강화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,512,48,12,15,2
226,파티원의 소환수/버디의 약화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,512,49,12,16,2
227,,,0,0,0,0,0,0
228,,,0,0,0,0,0,0
229,,,0,0,0,0,0,0
230,,,0,0,0,0,0,0
231,연합 파티원의 소환수/버디가 준 피해,카벙클 에메랄드의 공격  청설모에게 123 피해를 주었습니다.,1024,65535,41,13,1,0
232,연합 파티원의 소환수/버디가 실패한 공격,카벙클 에메랄드의 공격  빗나갔습니다! 청설모에게 적중하지 않았습니다.,1024,65535,42,13,2,0
233,연합 파티원의 소환수/버디의 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술>을 중단했습니다.",1024,65535,43,13,3,0
234,연합 파티원의 소환수/버디의 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",1024,65535,44,13,4,0
235,연합 파티원의 소환수/버디가 한 회복, 클라우드가 HP를 123 회복했습니다.,1024,65535,45,13,5,0
236,연합 파티원의 소환수/버디가 부여한 강화 효과, 클라우드가 <강화 효과 이름> 효과를 받았습니다.,1024,65535,46,13,6,0
237,연합 파티원의 소환수/버디가 부여한 약화 효과, 청설모가 <약화 효과 이름> 효과를 받았습니다.,1024,65535,47,13,7,0
238,연합 파티원의 소환수/버디가 받은 피해,청설모의 공격  카벙클 에메랄드에게 123 피해를 주었습니다.,65535,1024,41,13,8,0
239,연합 파티원의 소환수/버디가 회피한 공격,청설모의 공격  빗나갔습니다! 카벙클 에메랄드에게 적중하지 않았습니다.,65535,1024,42,13,9,0
240,연합 파티원의 소환수/버디에 대한 기술 시작 및 중단,"카벙클 에메랄드가 <기술>을 시전했습니다.
카벙클 에메랄드가 <기술> 시전을 중단했습니다.",65535,1024,43,13,10,0
241,연합 파티원의 소환수/버디에 대한 아이템 사용 및 중단,"카벙클 에메랄드가 <아이템>을 사용했습니다.
카벙클 에메랄드가 <아이템> 사용을 중단했습니다.",65535,1024,44,13,11,0
242,연합 파티원의 소환수/버디가 받은 회복, 카벙클 에메랄드가 HP를 123 회복했습니다.,65535,1024,45,13,12,0
243,연합 파티원의 소환수/버디가 받은 강화 효과, 카벙클 에메랄드가 <강화 효과 이름> 효과를 받았습니다.,65535,1024,46,13,13,0
244,연합 파티원의 소환수/버디가 받은 약화 효과, 카벙클 에메랄드가 <약화 효과 이름> 효과를 받았습니다.,65535,1024,47,13,14,0
245,연합 파티원의 소환수/버디의 강화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,1024,48,13,15,0
246,연합 파티원의 소환수/버디의 약화 효과 종료,카벙클 에메랄드의 <강화 효과 이름> 효과가 사라졌습니다.,65535,1024,49,13,16,0
247,,,0,0,0,0,0,0
248,,,0,0,0,0,0,0
249,,,0,0,0,0,0,0
250,,,0,0,0,0,0,0
