#,Name,Shop[0],Shop[1],Shop[2],Shop[3],Shop[4],Shop[5],Shop[6],Shop[7],Shop[8],Shop[9],Unknown0,Unknown1,Unknown2
3276839,직업 전용 장비 재구입,262445,262443,262444,262951,262896,262897,262898,262899,263213,262926,0,0,False
3276840,보상 재구입,262446,263134,262449,262450,263045,0,0,0,0,0,0,0,False
3276841,성별 전용 장비 거래,1769513,1769688,1769512,1769687,0,0,0,0,0,0,0,0,False
3276842,특수품 거래,1769753,1769607,1769610,1769988,1769989,1770475,1770756,0,0,0,0,0,False
3276843,,721154,721343,0,0,0,0,0,0,0,0,0,0,False
3276844,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276845,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276846,도구 구입,262911,262912,262913,0,0,0,0,0,0,0,0,0,False
3276847,방어구 구입,262914,262915,262916,0,0,0,0,0,0,0,0,0,False
3276848,기간 한정 이벤트 보상 재구입,262626,262627,262628,262629,262630,262631,262632,262633,262634,0,0,0,False
3276849,업적 달성 보상 재구입,262449,262450,263045,0,0,0,0,0,0,0,0,0,False
3276850,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276851,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276852,보강된 해방군 장비 거래(아이템 레벨 350→360 NQ),1769891,1769892,1769893,1769888,1769885,1769889,1769886,1769890,1769887,0,0,0,False
3276853,보강된 해방군 장비 거래(아이템 레벨 350→360 HQ),1769894,1769895,1769896,1769888,1769885,1769889,1769886,1769890,1769887,0,0,0,False
3276854,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276855,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276856,보강된 나찰 장비 거래(아이템 레벨 380→390),1769947,1769948,1769949,1769944,1769941,1769945,1769942,1769946,1769943,0,0,0,False
3276857,방어구 구입(투사),3538969,3538970,3538976,3538977,3538978,0,0,0,0,0,0,0,False
3276858,방어구 구입(마법사),3538979,3538980,3538981,3538982,3538983,0,0,0,0,0,0,0,False
3276859,제작자용 화폐 거래,3539004,3539008,3538996,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276860,채집가용 화폐 거래,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276861,제작자용 화폐 거래,3539004,3539008,3538997,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276862,채집가용 화폐 거래,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276863,제작자용 화폐 거래,3539004,3539008,3538998,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276864,채집가용 화폐 거래,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276865,제작자용 화폐 거래,3539004,3539008,3538999,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276866,채집가용 화폐 거래,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276867,제작자용 화폐 거래,3539005,3539008,3539000,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276868,채집가용 화폐 거래,3539022,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276869,제작자용 화폐 거래,3539006,3539008,3539001,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276870,채집가용 화폐 거래,3539023,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276871,제작자용 화폐 거래,3539007,3539009,3539003,3539011,3539013,3539017,3539018,3539019,3539055,3539020,0,0,False
3276872,채집가용 화폐 거래,3539024,3539026,3539028,3539030,3539034,3539035,3539036,3539056,3539037,0,0,0,False
3276873,제작자용 화폐 거래,3539006,3539008,3539002,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276874,채집가용 화폐 거래,3539023,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276875,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276876,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276877,보강된 중용의 장비 거래(아이템 레벨 450→460),1770025,1770026,1770027,1770022,1770019,1770023,1770020,1770024,1770021,0,0,0,False
3276878,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276879,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276880,보강된 신이슈가르드 장비 거래(아이템 레벨 480→490),1770294,1770295,1770296,1770291,1770288,1770292,1770289,1770293,1770290,0,0,0,False
3276881,제작자용 화폐 거래,3539005,3539008,3539050,3539010,3539012,3539016,3539018,3539019,3539055,3539020,0,0,False
3276882,채집가용 화폐 거래,3539022,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0,0,0,False
3276883,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276884,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276885,보강된 수정공 장비 거래(아이템 레벨 510→520),1770351,1770352,1770353,1770348,1770345,1770349,1770346,1770350,1770347,0,0,0,False
3276886,방어구 구입(투사),263089,263090,263091,263092,263093,263094,0,0,0,0,0,0,False
3276887,방어구 구입(마법사),263095,263096,263097,263098,263099,263100,0,0,0,0,0,0,False
3276888,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276889,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276890,보강된 고전 장비 거래(아이템 레벨 580→590),1770545,1770546,1770547,1770542,1770539,1770543,1770540,1770544,1770541,0,0,0,False
3276891,가로 장비 거래(투사 2),262682,262683,262684,263138,0,0,0,0,0,0,0,0,False
3276892,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276893,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276894,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276895,보강된 재탄생 장비 거래(아이템 레벨 610→620),1770656,1770657,1770658,1770653,1770650,1770654,1770651,1770655,1770652,0,0,0,False
3276896,실디하 골동품 거래,1770621,1770622,1770623,0,0,0,0,0,0,0,0,0,False
3276897,육근산 골동품 거래,1770663,1770664,1770665,0,0,0,0,0,0,0,0,0,False
3276898,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276899,보강된 후계자 장비 거래(아이템 레벨 640→650),1770720,1770721,1770722,1770717,1770714,1770718,1770715,1770719,1770716,0,0,0,False
3276900,'케츠할리' 장비 강화(아이템 레벨 720→730),1770771,1770772,1770773,0,0,0,0,0,0,0,0,0,False
3276901,'왕국설화' 장비 강화(아이템 레벨 750→760),1770914,1770915,1770916,0,0,0,0,0,0,0,0,0,False
3276902,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276903,라이트헤비급 홀로그램 장비 거래(아이템 레벨 710),1770774,1770775,1770776,0,0,0,0,0,0,0,0,0,False
3276904,라이트헤비급 낱장 거래(아이템 레벨 730~735),1770777,1770778,1770779,0,0,0,0,0,0,0,0,0,False
3276905,크루저급 홀로그램 장비 거래(아이템 레벨 740),1770917,1770918,1770919,0,0,0,0,0,0,0,0,0,False
3276906,크루저급 낱장 거래(아이템 레벨 760~765),1770920,1770921,1770922,0,0,0,0,0,0,0,0,0,False
3276907,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276908,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276909,고르디우스 낱장 거래(아이템 레벨 210),1769581,1769606,1769582,0,0,0,0,0,0,0,0,0,False
3276910,미다스 낱장 거래(아이템 레벨 240~245),1769646,1769647,1769648,0,0,0,0,0,0,0,0,0,False
3276911,알렉산더 낱장 거래(아이템 레벨 270~275),1769692,1769693,1769694,0,0,0,0,0,0,0,0,0,False
3276912,델타 부품 거래(아이템 레벨 320),1769793,1769794,1769795,0,0,0,0,0,0,0,0,0,False
3276913,델타 데이터로그 거래(아이템 레벨 340~345),1769796,1769797,1769798,0,0,0,0,0,0,0,0,0,False
3276914,시그마 부품 거래(아이템 레벨 350),1769855,1769856,1769857,0,0,0,0,0,0,0,0,0,False
3276915,시그마 데이터로그 거래(아이템 레벨 370~375),1769858,1769859,1769860,0,0,0,0,0,0,0,0,0,False
3276916,알파 부품 거래(아이템 레벨 380),1769917,1769918,1769919,0,0,0,0,0,0,0,0,0,False
3276917,알파 데이터로그 거래(아이템 레벨 400~405),1769920,1769921,1769922,0,0,0,0,0,0,0,0,0,False
3276918,낡은 각성 장비 거래(아이템 레벨 450),1769977,1769978,1769979,0,0,0,0,0,0,0,0,0,False
3276919,각성 낱장 거래(아이템 레벨 470~475),1769980,1769981,1769982,0,0,0,0,0,0,0,0,0,False
3276920,낡은 공명 장비 거래(아이템 레벨 480),1770058,1770059,1770060,0,0,0,0,0,0,0,0,0,False
3276921,공명 낱장 거래(아이템 레벨 500~505),1770061,1770062,1770063,0,0,0,0,0,0,0,0,0,False
3276922,낡은 재생 장비 거래(아이템 레벨 510),1770326,1770327,1770328,0,0,0,0,0,0,0,0,0,False
3276923,재생 낱장 거래(아이템 레벨 530~535),1770329,1770330,1770331,0,0,0,0,0,0,0,0,0,False
3276924,낡은 변옥 장비 거래(아이템 레벨 580),1770440,1770441,1770442,0,0,0,0,0,0,0,0,0,False
3276925,변옥 낱장 거래(아이템 레벨 600~605),1770443,1770444,1770445,0,0,0,0,0,0,0,0,0,False
3276926,낡은 연옥 장비 거래(아이템 레벨 610),1770608,1770609,1770610,0,0,0,0,0,0,0,0,0,False
3276927,연옥 낱장 거래(아이템 레벨 630~635),1770611,1770612,1770613,0,0,0,0,0,0,0,0,0,False
3276928,낡은 천옥 장비 거래(아이템 레벨 640),1770693,1770694,1770695,0,0,0,0,0,0,0,0,0,False
3276929,천옥 낱장 거래(아이템 레벨 660~665),1770696,1770697,1770698,0,0,0,0,0,0,0,0,0,False
3276930,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276931,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276932,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276933,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276934,'잃어버린 알라그' 장비 강화(아이템 레벨 330→340),1769799,1769800,1769801,0,0,0,0,0,0,0,0,0,False
3276935,'용맥' 장비 강화(아이템 레벨 360→370),1769861,1769862,1769863,0,0,0,0,0,0,0,0,0,False
3276936,'스카이와' 장비 강화(아이템 레벨 390→400),1769911,1769912,1769913,0,0,0,0,0,0,0,0,0,False
3276937,'암영' 장비 강화(아이템 레벨 460→470),1769984,1769985,1769986,0,0,0,0,0,0,0,0,0,False
3276938,'크리스타리움' 장비 강화(아이템 레벨 490→500),1770055,1770056,1770057,0,0,0,0,0,0,0,0,0,False
3276939,'지하매복자' 장비 강화(아이템 레벨 520→530),1770323,1770324,1770325,0,0,0,0,0,0,0,0,0,False
3276940,'별빛전사단' 장비 강화(아이템 레벨 590→600),1770447,1770448,1770449,0,0,0,0,0,0,0,0,0,False
3276941,'달사절단' 장비 강화(아이템 레벨 620→630),1770615,1770616,1770617,0,0,0,0,0,0,0,0,0,False
3276942,'신조' 장비 강화(아이템 레벨 650→660),1770700,1770701,1770702,0,0,0,0,0,0,0,0,0,False
3276943,보강된 구왕국 장비 거래(아이템 레벨 710→720),1770897,1770898,1770899,1770894,1770891,1770895,1770892,1770896,1770893,0,0,0,False
3276944,보강된 의전 장비 거래(아이템 레벨 740→750),1770961,1770962,1770963,1770958,1770955,1770959,1770956,1770960,1770957,0,0,0,False
3276945,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276946,마법문양 기동증 교환,1770946,1770947,0,0,0,0,0,0,0,0,0,0,False
3276947,장인용 장비 구입(레벨 1~20),263248,263253,263278,263258,263263,263268,263273,0,0,0,0,0,False
3276948,장인용 장비 구입(레벨 21~40),263249,263254,263279,263259,263264,263269,263274,0,0,0,0,0,False
3276949,장인용 장비 구입(레벨 41~60),263250,263255,263280,263260,263265,263270,263275,0,0,0,0,0,False
3276950,장인용 장비 구입(레벨 61~80),263251,263256,263281,263261,263266,263271,263276,0,0,0,0,0,False
3276951,장인용 장비 구입(레벨 81~100),263252,263257,263282,263262,263267,263272,263277,0,0,0,0,0,False
