#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
73,솔루션 나인 2,112,466,0,467,468,0,1039,53,0
74,이슈가르드 1,114,497,0,498,499,0,1020,55,0
75,이슈가르드 2,115,500,0,501,502,0,1021,56,0
76,이딜샤이어 1,116,503,0,504,505,0,1022,57,0
77,이딜샤이어 2,117,506,0,507,508,0,1023,58,0
78,쿠가네 1,118,509,0,510,511,0,1024,59,0
79,쿠가네 2,119,512,0,513,514,0,1025,60,0
80,랄거의 손길 1,120,515,0,516,517,0,1026,61,0
81,랄거의 손길 2,121,518,0,519,520,0,1027,62,0
82,크리스타리움 1,122,521,0,522,523,0,1028,63,0
83,크리스타리움 2,123,524,0,525,526,0,1029,64,0
84,율모어 1,124,527,0,528,529,0,1030,65,0
85,율모어 2,125,530,0,531,532,0,1031,66,0
86,올드 샬레이안 1,126,533,0,534,535,0,1032,67,0
87,올드 샬레이안 2,127,536,0,537,538,0,1033,68,0
88,라자한 1,128,539,0,540,541,0,1034,69,0
89,라자한 2,129,542,0,543,544,0,1035,70,0
90,펠루펠루족 '투랄 여행사',113,0,0,0,0,496,2317,54,54
91,절 또 하나의 미래,130,575,0,576,577,578,2505,71,0
92,마무쟈족 '고크골마 농원',131,0,0,0,0,579,2318,72,72
93,딥 던전: 망자의 궁전 1,132,0,0,580,0,0,2354,0,0
94,딥 던전: 망자의 궁전 2,133,0,0,581,0,0,2355,0,0
95,딥 던전: 천궁탑 1,134,0,0,582,0,0,2356,0,0
96,딥 던전: 천궁탑 2,135,0,0,583,0,0,2357,0,0
97,초승달 섬,136,584,0,585,586,0,2405,73,0
98,우주 개척 1,137,587,0,0,588,589,2343,74,0
99,Monster Hunter Wilds 1,138,622,621,623,624,625,3955,75,0
100,Monster Hunter Wilds 2,139,626,0,627,628,629,3956,76,0
101,요카후이족 '지고테 제단 복구단',140,0,0,0,0,630,2319,77,77
102,딥 던전: 노르브란트 순례길 1,141,0,0,631,0,0,2400,0,0
103,딥 던전: 노르브란트 순례길 2,142,0,0,632,0,0,2401,0,0
104,우주 개척 2,143,633,0,0,634,635,2344,78,0
105,무인도 개척 3,144,0,0,636,637,638,2342,79,79
106,,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0
108,,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,0
