key,0,1,2,3,4,5,6,7,8,9
21,67930,3,6,0,113815,113615,113715,"고대의 신들","","마대륙 아지스 라에 봉인된 고대의 세 야만신, '삼투신'.
그중 하나인 마신 '세피로트'가 눈을 뜨려 하고 있다.
'새벽의 혈맹'에서 찾아온 수수께끼에 싸인 소년 우누칼하이의 경고로
마신 부활 위기를 알게 된 빛의 전사들은 새로운 '사투'로 향한다……."
22,68693,3,4,0,113816,113616,113716,"차원의 틈 오메가","","에오르제아를 야만신의 위협에서 지키기 위해
시드와 네로가 재기동시킨 고대 병기 '오메가'.
각성한 신룡과 결전을 벌인 뒤 기라바니아 방면으로 사라진 이 존재를 둘러싸고
차원의 틈에서 상상을 초월하는 싸움이 시작된다."
23,68726,3,5,0,113817,113617,113717,"이발리스로의 귀환","","동쪽 나라의 항구 도시 쿠가네에 이동식 공중 극장 '프리마비스타'가 찾아왔다.
갈레말 제국에서 뮤지컬 '조디악 브레이브 스토리'를 흥행시킨 유명 극단은
어째서 동쪽 끝에 있는 무역항을 찾아온 것일까?
이야기는 지금 환상의 왕국 '이발리스'로 회귀한다."
24,68702,3,6,0,113818,113618,113718,"사성수기담","","한 무사가 희귀한 힘을 지닌 짐승들인 '사성수'를 이끌고
귀신을 물리치는 옛날이야기, '요괴 잡는 텐젠'.
하지만 그 뒤에 숨겨진 진실이 있다면?
홍옥해 한구석에서 기묘한 이야기가 시작된다."
25,66038,2,7,0,113819,113619,113719,"힐디브랜드","","제7재해 때 죽은 줄 알았던 그 남자가 돌아왔다!
하늘이 알고 땅이 알고 사건도 아는, 바람의 사건해결사 힐디브랜드!
대담하고 지적인 신사와 함께
에오르제아 사람들을 곤란에 빠뜨린 사건을 해결하라!"
26,67908,2,7,0,113820,113620,113720,"힐디브랜드 창천편","","하늘 높이 날아올라 북쪽 하늘로 사라진 사건해결사 힐디브랜드.
사건해결사의 조수인 나슈 마카라카가 그를 쫓아 성도 이슈가르드에 찾아왔다.
과연 힐디브랜드는 살아 있을까…….
얼어 붙은 북쪽 땅에서 사건해결사 극장의 막이 오른다!"
27,68704,2,7,0,113821,113621,113721,"힐디브랜드 홍련편","","동쪽 하늘로 사라진 신사를 찾아, 나슈 마카라카는 동방으로 향한다.
그곳에서 무역항 '쿠가네'를 들썩이게 한
신출귀몰한 '좀도둑 외로운 늑대'의 소문을 듣게 되고…….
사건해결사 극장, 동방에서 또다시 개막!"
28,67900,2,8,0,113822,113622,113722,"성 앙달림 신학원기","","빛의 전사들이 밝혀낸 용시전쟁을 둘러싼 '진실'은
성도의 역사와 종교를 뿌리째 뒤흔드는 것이었다.
그 영향은 이슈가르드 정교의 성직자 양성기관 '성 앙달림 신학원'까지 미쳐
많은 신학생들을 끌어들이는 소동으로 발전하게 된다."
29,67015,2,9,0,113823,113623,113723,"용시전쟁 번외편","","눈을 밟으며 떠난 여행 끝에서
눈앞에 그려지는 친구의 미소.
용시전쟁이 종결되고, 빛의 전사는 추억 여행을 떠난다."
30,0,0,0,0,0,0,0,"","",""
31,0,0,0,0,0,0,0,"","",""
32,0,0,0,0,0,0,0,"","",""
33,0,0,0,0,0,0,0,"","",""
34,0,0,0,0,0,0,0,"","",""
35,0,0,0,0,0,0,0,"","",""
36,0,0,0,0,0,0,0,"","",""
37,0,0,0,0,0,0,0,"","",""
38,0,0,0,0,0,0,0,"","",""
39,0,0,0,0,0,0,0,"","",""
40,0,0,0,0,0,0,0,"","",""
41,0,0,0,0,0,0,0,"","",""
42,0,0,0,0,0,0,0,"","",""
43,0,0,0,0,0,0,0,"","",""
44,0,0,0,0,0,0,0,"","",""
45,0,0,0,0,0,0,0,"","",""
46,0,0,0,0,0,0,0,"","",""
47,0,0,0,0,0,0,0,"","",""
48,0,0,0,0,0,0,0,"","",""
49,0,0,0,0,0,0,0,"","",""
50,0,0,0,0,0,0,0,"","",""
51,0,0,0,0,0,0,0,"","",""
52,0,0,0,0,0,0,0,"","",""
53,0,0,0,0,0,0,0,"","",""
54,0,0,0,0,0,0,0,"","",""
55,0,0,0,0,0,0,0,"","",""
56,0,0,0,0,0,0,0,"","",""
57,0,0,0,0,0,0,0,"","",""
58,0,0,0,0,0,0,0,"","",""
59,0,0,0,0,0,0,0,"","",""
60,0,0,0,0,0,0,0,"","",""
61,0,0,0,0,0,0,0,"","",""
62,0,0,0,0,0,0,0,"","",""
63,0,0,0,0,0,0,0,"","",""
64,0,0,0,0,0,0,0,"","",""
65,0,0,0,0,0,0,0,"","",""
66,0,0,0,0,0,0,0,"","",""
67,0,0,0,0,0,0,0,"","",""
68,0,0,0,0,0,0,0,"","",""
69,0,0,0,0,0,0,0,"","",""
70,0,0,0,0,0,0,0,"","",""
71,0,0,0,0,0,0,0,"","",""
72,0,0,0,0,0,0,0,"","",""
73,0,0,0,0,0,0,0,"","",""
74,0,0,0,0,0,0,0,"","",""
75,0,0,0,0,0,0,0,"","",""
76,0,0,0,0,0,0,0,"","",""
77,0,0,0,0,0,0,0,"","",""
78,0,0,0,0,0,0,0,"","",""
79,0,0,0,0,0,0,0,"","",""
80,0,0,0,0,0,0,0,"","",""
81,0,0,0,0,0,0,0,"","",""
82,0,0,0,0,0,0,0,"","",""
83,0,0,0,0,0,0,0,"","",""
84,0,0,0,0,0,0,0,"","",""
85,0,0,0,0,0,0,0,"","",""
86,0,0,0,0,0,0,0,"","",""
87,0,0,0,0,0,0,0,"","",""
88,0,0,0,0,0,0,0,"","",""
89,0,0,0,0,0,0,0,"","",""
90,0,0,0,0,0,0,0,"","",""
91,0,0,0,0,0,0,0,"","",""
92,0,0,0,0,0,0,0,"","",""
93,0,0,0,0,0,0,0,"","",""
94,0,0,0,0,0,0,0,"","",""
95,0,0,0,0,0,0,0,"","",""
96,0,0,0,0,0,0,0,"","",""
97,0,0,0,0,0,0,0,"","",""
98,0,0,0,0,0,0,0,"","",""
99,0,0,0,0,0,0,0,"","",""
100,0,0,0,0,0,0,0,"","",""
101,0,0,0,0,0,0,0,"","",""
102,0,0,0,0,0,0,0,"","",""
103,0,0,0,0,0,0,0,"","",""
104,0,0,0,0,0,0,0,"","",""
105,0,0,0,0,0,0,0,"","",""
106,0,0,0,0,0,0,0,"","",""
107,0,0,0,0,0,0,0,"","",""
108,0,0,0,0,0,0,0,"","",""
109,0,0,0,0,0,0,0,"","",""
110,0,0,0,0,0,0,0,"","",""
111,0,0,0,0,0,0,0,"","",""
112,0,0,0,0,0,0,0,"","",""
113,0,0,0,0,0,0,0,"","",""
114,0,0,0,0,0,0,0,"","",""
115,0,0,0,0,0,0,0,"","",""
116,0,0,0,0,0,0,0,"","",""
117,0,0,0,0,0,0,0,"","",""
118,0,0,0,0,0,0,0,"","",""
119,0,0,0,0,0,0,0,"","",""
120,0,0,0,0,0,0,0,"","",""
121,0,0,0,0,0,0,0,"","",""
122,0,0,0,0,0,0,0,"","",""
123,0,0,0,0,0,0,0,"","",""
124,0,0,0,0,0,0,0,"","",""
125,0,0,0,0,0,0,0,"","",""
126,0,0,0,0,0,0,0,"","",""
127,0,0,0,0,0,0,0,"","",""
128,0,0,0,0,0,0,0,"","",""
129,0,0,0,0,0,0,0,"","",""
130,0,0,0,0,0,0,0,"","",""
131,0,0,0,0,0,0,0,"","",""
132,0,0,0,0,0,0,0,"","",""
133,0,0,0,0,0,0,0,"","",""
134,0,0,0,0,0,0,0,"","",""
135,0,0,0,0,0,0,0,"","",""
136,0,0,0,0,0,0,0,"","",""
137,0,0,0,0,0,0,0,"","",""
138,0,0,0,0,0,0,0,"","",""
139,0,0,0,0,0,0,0,"","",""
140,0,0,0,0,0,0,0,"","",""
141,0,0,0,0,0,0,0,"","",""
142,0,0,0,0,0,0,0,"","",""
143,0,0,0,0,0,0,0,"","",""
144,0,0,0,0,0,0,0,"","",""
145,0,0,0,0,0,0,0,"","",""
