#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
38,월면에서 가죽공예가 C급 임무 4종류 달성,4,19,100,41,2
39,"월면에서 가죽공예가 B급 임무 3종류
골드 등급 획득",3,19,200,42,2
40,월면에서 재봉사 D급 임무 3종류 달성,3,23,50,43,2
41,월면에서 재봉사 C급 임무 4종류 달성,4,23,100,44,2
42,"월면에서 재봉사 B급 임무 3종류
골드 등급 획득",3,23,200,45,2
43,월면에서 연금술사 D급 임무 3종류 달성,3,27,50,46,2
44,월면에서 연금술사 C급 임무 4종류 달성,4,27,100,47,2
45,"월면에서 연금술사 B급 임무 3종류
골드 등급 획득",3,27,200,48,2
46,월면에서 요리사 D급 임무 3종류 달성,3,31,50,49,2
47,월면에서 요리사 C급 임무 4종류 달성,4,31,100,50,2
48,"월면에서 요리사 B급 임무 3종류
골드 등급 획득",3,31,200,51,2
49,월면에서 원예가 D급 임무 3종류 달성,3,39,50,55,2
50,월면에서 원예가 C급 임무 4종류 달성,4,39,100,56,2
51,"월면에서 원예가 B급 임무 3종류
골드 등급 획득",3,39,200,57,2
52,월면에서 광부 D급 임무 3종류 달성,3,35,50,52,2
53,월면에서 광부 C급 임무 4종류 달성,4,35,100,53,2
54,"월면에서 광부 B급 임무 3종류
골드 등급 획득",3,35,200,54,2
55,월면에서 어부 D급 임무 3종류 달성,3,43,50,58,2
56,월면에서 어부 C급 임무 4종류 달성,4,43,100,59,2
57,"월면에서 어부 B급 임무 3종류
골드 등급 획득",3,43,200,60,2
58,월면 우주 복권에 5번 도전,5,1,300,61,2
59,월면 우주 복권에 30번 도전,30,1,600,62,2
60,월면 우주 복권에 100번 도전,100,1,900,63,2
61,월면 긴급 임무 5종류 달성,5,2,1000,19,2
62,월면 긴급 임무 15종류 달성,15,2,2000,20,2
63,월면 긴급 임무 33종류 달성,33,2,3000,21,2
64,행성 파엔나 우주 임무 10회 달성,10,1,500,6,2
65,행성 파엔나 우주 임무 50회 달성,50,1,800,7,2
66,행성 파엔나 우주 임무 100회 달성,100,1,1600,8,2
67,행성 파엔나 우주 임무 500회 달성,500,1,2500,9,2
68,행성 파엔나 우주 임무 10종류 달성,10,1,500,10,2
69,행성 파엔나 우주 임무 50종류 달성,50,1,1500,11,2
70,행성 파엔나 우주 임무 100종류 달성,100,1,4000,12,2
71,"행성 파엔나 우주 임무 10종류에서
골드 등급 획득",10,1,500,13,2
72,"행성 파엔나 우주 임무 50종류에서
골드 등급 획득",50,1,1500,14,2
73,"행성 파엔나 우주 임무 100종류에서
골드 등급 획득",100,1,4000,15,2
74,행성 파엔나 긴급 임무 1회 달성,1,47,500,16,2
75,행성 파엔나 긴급 임무 10회 달성,10,47,1000,17,2
76,행성 파엔나 긴급 임무 30회 달성,30,47,3000,18,2
77,"조종사로 행성 파엔나 기체 작전에 참가하여 
1회 달성",1,1,1500,22,2
78,"조종사로 행성 파엔나 기체 작전에 참가하여 
5회 달성",5,1,3000,23,2
79,"조종사로 행성 파엔나 기체 작전에 참가하여 
10회 달성",10,1,4500,24,2
80,"지원군으로 행성 파엔나 기체 작전에 참가하여 
5회 달성",5,1,300,25,2
81,"지원군으로 행성 파엔나 기체 작전에 참가하여 
20회 달성",20,1,900,26,2
82,"지원군으로 행성 파엔나 기체 작전에 참가하여 
50회 달성",50,1,2100,27,2
83,행성 파엔나에서 목수 임무 5종류 달성,5,3,75,28,2
84,행성 파엔나에서 목수 임무 10종류 달성,10,3,150,29,2
85,행성 파엔나에서 목수 임무 15종류 달성,15,3,300,30,2
86,행성 파엔나에서 대장장이 임무 5종류 달성,5,7,75,31,2
87,행성 파엔나에서 대장장이 임무 10종류 달성,10,7,150,32,2
88,행성 파엔나에서 대장장이 임무 15종류 달성,15,7,300,33,2
89,행성 파엔나에서 갑주제작사 임무 5종류 달성,5,11,75,34,2
90,행성 파엔나에서 갑주제작사 임무 10종류 달성,10,11,150,35,2
91,행성 파엔나에서 갑주제작사 임무 15종류 달성,15,11,300,36,2
92,행성 파엔나에서 보석공예가 임무 5종류 달성,5,15,75,37,2
93,행성 파엔나에서 보석공예가 임무 10종류 달성,10,15,150,38,2
94,행성 파엔나에서 보석공예가 임무 15종류 달성,15,15,300,39,2
95,행성 파엔나에서 가죽공예가 임무 5종류 달성,5,19,75,40,2
96,행성 파엔나에서 가죽공예가 임무 10종류 달성,10,19,150,41,2
97,행성 파엔나에서 가죽공예가 임무 15종류 달성,15,19,300,42,2
98,행성 파엔나에서 재봉사 임무 5종류 달성,5,23,75,43,2
99,행성 파엔나에서 재봉사 임무 10종류 달성,10,23,150,44,2
100,행성 파엔나에서 재봉사 임무 15종류 달성,15,23,300,45,2
101,행성 파엔나에서 연금술사 임무 5종류 달성,5,27,75,46,2
102,행성 파엔나에서 연금술사 임무 10종류 달성,10,27,150,47,2
103,행성 파엔나에서 연금술사 임무 15종류 달성,15,27,300,48,2
104,행성 파엔나에서 요리사 임무 5종류 달성,5,31,75,49,2
105,행성 파엔나에서 요리사 임무 10종류 달성,10,31,150,50,2
106,행성 파엔나에서 요리사 임무 15종류 달성,15,31,300,51,2
107,행성 파엔나에서 원예가 임무 5종류 달성,5,39,75,55,2
108,행성 파엔나에서 원예가 임무 10종류 달성,10,39,150,56,2
109,행성 파엔나에서 원예가 임무 15종류 달성,15,39,300,57,2
110,행성 파엔나에서 광부 임무 5종류 달성,5,35,75,52,2
111,행성 파엔나에서 광부 임무 10종류 달성,10,35,150,53,2
112,행성 파엔나에서 광부 임무 15종류 달성,15,35,300,54,2
113,행성 파엔나에서 어부 임무 5종류 달성,5,43,75,58,2
114,행성 파엔나에서 어부 임무 10종류 달성,10,43,150,59,2
115,행성 파엔나에서 어부 임무 15종류 달성,15,43,300,60,2
116,행성 파엔나 우주 복권 5번 도전,5,1,500,61,2
117,행성 파엔나 우주 복권 30번 도전,30,1,1000,62,2
118,행성 파엔나 우주 복권 100번 도전,100,1,1500,63,2
119,행성 파엔나 긴급 임무 5종류 달성,5,47,1000,19,2
120,행성 파엔나 긴급 임무 15종류 달성,15,47,2000,20,2
121,행성 파엔나 긴급 임무 33종류 달성,33,47,3000,21,2
