#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
37, 님이  UNKNOWN구 UNKNOWN번지의 토지를 구매했습니다.,4,7,0,5,11
38, 님이  UNKNOWN구 UNKNOWN번지의 토지를 포기했습니다.,4,7,0,5,11
39, UNKNOWN구 UNKNOWN번지의 토지가 자동으로 포기되었습니다.,0,7,0,5,11
40, 님이  UNKNOWN구 UNKNOWN번지에  건축했습니다.,4,7,1,5,11
41, 님이  철거했습니다.,4,8,0,5,11
42, 님이 의 외장을 변경했습니다.,4,8,0,5,11
43, 님이 의 내장을 변경했습니다.,4,8,0,5,11
44, 님이 의 소품 배치를 변경했습니다.,4,8,0,5,11
45, 님이 의 조경물 배치를 변경했습니다.,4,8,0,5,11
46, 님이 의 방명록 메시지를 삭제했습니다.,4,8,0,5,11
47, 님이 가입 신청을 보냈습니다.,4,0,0,2,12
48, 님이 보낸 가입 신청이 취소되었습니다.,4,0,0,2,12
49, 님의 캐릭터가 삭제되었습니다.,4,0,0,2,12
50, 님이 보낸 가입 신청을 거절했습니다.,4,0,0,2,12
51,가입 신청 한도에 도달하여 신청을 받을 수 없습니다.,0,0,0,2,12
52, 님이 에  심었습니다.,4,10,1,6,13
53, 님이 의 작물에  주었습니다.,4,10,1,6,13
54, 님이 의 작물을 돌봐주었습니다.,4,10,0,6,13
55, 님이 의 작물에서  UNKNOWN개 수확했습니다.,4,11,1,6,13
56,또한 교잡에 성공하여  UNKNOWN개 획득했습니다.,0,11,1,6,13
57, 님이 장기간 접속하지 않아  양도되었습니다.,4,5,0,2,3
58, 님이 의 작물을 처분했습니다.,4,10,0,6,13
59, 님이 개인실 UNKNOWN호실을 증축했습니다.,4,0,1,5,11
60, 님이 개인실 UNKNOWN호실을 철거했습니다.,4,0,1,5,11
61, 님이 축사를 청소했습니다.,4,0,0,7,11
62, 님이  훈련했습니다.,4,12,0,7,11
63, 님이 에테르석 충전대 UNKNOWN번 홈에  설치했습니다.,16,14,1,5,11
64, 님이 에테르석 충전대 UNKNOWN번 홈에서  제거했습니다.,16,14,1,5,11
65, 님이 에테르석 충전대 UNKNOWN번 홈에서  획득했습니다.,16,14,1,5,11
66, 님이  변환하여  예약했습니다.,16,14,1,4,9
67, 님이 지하공방을 증축했습니다.,16,0,0,8,15
68, 님이 지하공방을 철거했습니다.,16,0,0,8,15
69, 님이 부대 제작설비로  제작을 시작했습니다.,16,14,0,8,15
70,의 작업 공정 진행에 필요한 재료가 모두 납품되었습니다.,0,14,0,8,15
71,의 작업 공정이 진행되었습니다.,0,14,1,8,15
72,작업 공정이 진행되어  완성되었습니다.,0,14,1,8,15
73, 님이 부대 제작설비에서  회수했습니다.,16,14,0,8,15
74, 님이 부대 제작설비에서 제작을 중단했습니다.,16,0,0,8,15
75, 님이  제작했습니다.,16,0,1,8,15
76, 님이 UNKNOWN호 비공정  등록했습니다.,16,15,1,9,14
77, 님이 UNKNOWN호 비공정의 이름을  변경했습니다.,16,15,1,9,14
78, 님이 UNKNOWN호 비공정  해체했습니다.,16,15,1,9,14
79, 님이 비공정  탐사를 보냈습니다.,16,15,0,9,14
80, 님이 비공정 의 탐사를 중단했습니다.,16,15,0,9,14
81, 님이 비공정 의 탐사 결과를 확인했습니다.,16,15,0,9,14
82,비공정 의 랭크가 UNKNOWN 되었습니다.,16,15,1,9,14
83,비공정 의 탐사에 힘입어 UNKNOWN번째 비공정을 등록할 수 있게 되었습니다.,16,15,1,9,14
84, 님이 부대 명성을 0 소비하여  UNKNOWN개 얻었습니다.,16,22,1,1,0
85, 님이 의 재료  필요한 양의 60% 이상(UNKNOWN회) 납품했습니다.,16,22,1,8,15
86, 님이 '디아뎀 제도(어려움)'로 가는 항로를 발견했습니다!,16,0,0,9,14
87,장기간 이용되지 않아  UNKNOWN구 UNKNOWN번지의 토지가 철거되었습니다. 일부 자산은 거주구 담당관이 보관하고 있습니다.,0,7,0,5,11
88, 님이 주택에 입실하여 자동 철거 준비가 취소되었습니다.,16,0,0,5,11
89,자산 회수 기한이 만료되어  UNKNOWN구 UNKNOWN번지의 토지에서 회수된 자산이 소멸하였습니다.,0,7,0,5,11
90, 님이 화분에  심었습니다.,16,14,0,6,13
91, 님이 화분의 작물을 돌봐주었습니다.,16,0,0,6,13
92, 님이 화분의 작물에서  UNKNOWN개 수확했습니다.,16,14,1,6,13
93, 님이 화분의 작물을 처분했습니다.,16,0,0,6,13
94, 님이  UNKNOWN구 UNKNOWN번지로 이사했습니다.,4,7,0,5,11
95, 님이 UNKNOWN호 잠수함  등록했습니다.,16,15,1,9,14
96, 님이 UNKNOWN호 잠수함의 이름을  변경했습니다.,16,15,1,9,14
97, 님이 UNKNOWN호 잠수함  해체했습니다.,16,15,1,9,14
98, 님이 잠수함  탐사를 보냈습니다.,16,15,0,9,14
99, 님이 잠수함 의 탐사를 중단했습니다.,16,15,0,9,14
100, 님이 잠수함 의 탐사 결과를 확인했습니다.,16,15,0,9,14
101,잠수함 의 랭크가 UNKNOWN 되었습니다.,16,15,1,9,14
102,잠수함 의 탐사에 힘입어 UNKNOWN번째 비공정을 등록할 수 있게 되었습니다.,16,15,1,9,14
103, 님이  님의 메시지를 삭제했습니다.,16,23,0,5,11
104, 님이 방명록 설정을 변경했습니다.,16,0,0,5,11
105, 님이 주택 활동 목적을 설정했습니다.,16,0,0,5,11
106, 님이 의 내장 스타일을 변경했습니다.,16,15,0,5,11
107,,0,0,0,0,0
