#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
35,"유인향 덫으로 '제우글로돈'을 꾀어내 처치하고
'구름바다종 골격 표본' 수집","여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","다른 표본 채취를 추가 의뢰하겠다.
'유인향 덫'으로 대상 생물을 유인하여 표본을 수집해다오.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,0,3,-1
36,풍요호 좌초 지점에서 아유나르트 가 비행사에게 수집물 납품,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","마지막으로 '풍요호 좌초 지점'으로 이동하여
'아유나르트 가 비행사'에게 수집물을 전달하라.","제군의 협력에 감사한다.
보상은 좌초 지점에서 지급하겠다!",0,0,0,2,0,0,-1
37,「シルバーシェル」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
38,'점박이 하쿨라크' 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 알 확보를 의뢰한다.
우선 주변을 탐색하며 알을 노리는 쥐가 나타나길 기다려라.",,0,0,0,1,5,0,-1
39,'구름누에' 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 알 확보를 의뢰한다.
우선 주변을 탐색하며 알을 노리는 쥐가 나타나길 기다려라.",,0,0,0,1,6,0,-1
40,'검치호랑이' 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 알 확보를 의뢰한다.
우선 주변을 탐색하며 알을 노리는 쥐가 나타나길 기다려라.",,0,0,0,1,6,0,-1
41,「エイジレス・サンクチンニ」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
42,「サンソルデス」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
43,'개미매' 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 박물학 연구에 필요한 알 확보를 의뢰한다.
우선 주변을 탐색하며 알을 노리는 쥐가 나타나길 기다려라.",,0,0,0,1,6,0,-1
44,'알도둑쥐' 처치,쥐가 나타난 것 같군.,"서둘러 쥐떼가 몰려드는 곳에 가서
'알도둑쥐'를 처치하라!",,0,0,0,7,8,0,-1
45,'알도둑쥐' 처치,쥐가 나타난 것 같군.,"서둘러 쥐떼가 몰려드는 곳에 가서
'알도둑쥐'를 처치하라!",,0,0,0,7,8,0,-1
46,'알도둑쥐' 처치,쥐가 나타난 것 같군.,"서둘러 쥐떼가 몰려드는 곳에 가서
'알도둑쥐'를 처치하라!",,0,0,0,7,8,0,-1
47,'고대종의 알'을 회수 지점으로 운반,쥐를 처리했으면 주위에 알이 떨어져 있는지 확인하라.,"'고대종의 알'을 발견하면
회수 지점까지 운반해주길 바란다.",,2007782,15,2992,5,0,0,-1
48,'구름풀'을 처치하고 '구름요괴꽃 꽃가루' 수집,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가에게 특수한 향의 재료 확보를 의뢰하겠다.
구름풀을 처치하고 '구름요괴꽃 꽃가루'를 모아다오.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,0,5,-1
49,'홍수 지렁이'를 처치하고 '지렁이 간' 수집,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 향 재료를 수집해 다오.
홍수 지렁이를 처치하고 '지렁이 간'을 확보하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,0,3,-1
50,풍요호 좌초 지점에서 아유나르트 가 비행사에게 수집물 납품,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","마지막으로 '풍요호 좌초 지점'으로 이동하여
'아유나르트 가 비행사'에게 수집물을 전달하라.","제군의 협력에 감사한다.
보상은 좌초 지점에서 지급하겠다!",0,0,0,2,0,0,-1
51,풍요호 좌초 지점에 있는 아유나르트 가 비행사에게 시약 받기,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","강력한 생물에 대항하기 위해 약품을 개발하고 있다.
그 시약의 약효를 모험가 제군이 검증해주길 바란다.","우선 '풍요호 좌초 지점'에 가서
'아유나르트 가 비행사'가 주는 시약을 받도록.",1,0,0,3,0,0,-1
52,'은껍질게'에게 '약화 시약' 사용 후 처치,'은껍질게'에게 '약화 시약'을 사용한 다음 처치하라.,"시약을 언제 사용할지는 모험가의 판단에 맡긴다.
효과를 시험하는 임무이니, 꼭 사용한 상태로 처치하도록.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,10,0,0
53,'구름누에'에게 '약화 시약' 사용 후 처치,'구름누에'에게 '약화 시약'을 사용한 다음 처치하라.,"시약을 언제 사용할지는 모험가의 판단에 맡긴다.
효과를 시험하는 임무이니, 꼭 사용한 상태로 처치하도록.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,8,0,0
54,'검치호랑이'에게 '약화 시약' 사용 후 처치,'검치호랑이'에게 '약화 시약'을 사용한 다음 처치하라.,"시약을 언제 사용할지는 모험가의 판단에 맡긴다.
효과를 시험하는 임무이니, 꼭 사용한 상태로 처치하도록.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,8,0,0
55,'늙지 않는 상크친니'에게 '약화 시약' 사용 후 처치,'늙지 않는 상크친니'에게 '약화 시약'을 사용한 다음 처치하라.,"시약을 언제 사용할지는 모험가의 판단에 맡긴다.
효과를 시험하는 임무이니, 꼭 사용한 상태로 처치하도록.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,10,0,0
56,'태양 소르데스'에게 '약화 시약' 사용 후 처치,'태양 소르데스'에게 '약화 시약'을 사용한 다음 처치하라.,"시약을 언제 사용할지는 모험가의 판단에 맡긴다.
효과를 시험하는 임무이니, 꼭 사용한 상태로 처치하도록.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,10,0,0
57,'디아뎀 엔디미온'에게 '약화 시약' 사용 후 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 목표는 '디아뎀 엔디미온'이다.
'약화 시약'을 사용한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,4,0,0
58,'점박이 하쿨라크'에게 '약화 시약' 사용 후 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 목표는 '점박이 하쿨라크'이다.
'약화 시약'을 사용한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,6,0,0
59,'왕관 사다새'에게 '약화 시약' 사용 후 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 목표는 '왕관 사다새'이다.
'약화 시약'을 사용한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,4,0,0
60,'디플로카울루스'에게 '약화 시약' 사용 후 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 목표는 '디플로카울루스'다.
'약화 시약'을 사용한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,1,4,0,0
61,유인향 덫으로 '뿔잠자리'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
62,유인향 덫으로 '기간토피테쿠스'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
63,유인향 덫으로 '검치호랑이'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
64,유인향 덫으로 '구름사자'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
65,유인향 덫으로 '디아뎀 유니콘'을 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
66,유인향 덫으로 '디아뎀 마리드'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
67,「クラウン・トラマ」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
68,「ケルケス」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
69,「ディアデム・ペガサス」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
70,「ビッグビロコ」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
71,유인향 덫으로 '디아뎀 엔디미온'을 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 단계만 처리하면 임무는 완전히 끝난다.
지정 지점에서 '유인향 덫'을 이용해 목표를 처리하라.","다음 목표는 만만치 않을 것이다.
주변 지역 탐사보다는 처치에 집중하라.",0,0,0,8,3,0,-1
72,유인향 덫으로 '프로케라토사우루스'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 단계만 처리하면 임무는 완전히 끝난다.
지정 지점에서 '유인향 덫'을 이용해 목표를 처리하라.","다음 목표는 만만치 않을 것이다.
주변 지역 탐사보다는 처치에 집중하라.",0,0,0,8,3,0,-1
73,유인향 덫으로 '하늬바람 사누와'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 단계만 처리하면 임무는 완전히 끝난다.
지정 지점에서 '유인향 덫'을 이용해 목표를 처리하라.","다음 목표는 만만치 않을 것이다.
주변 지역 탐사보다는 처치에 집중하라.",0,0,0,8,3,0,-1
74,유인향 덫으로 '왕관 사다새'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제2단계 완료를 확인했다.","다음 단계만 처리하면 임무는 완전히 끝난다.
지정 지점에서 '유인향 덫'을 이용해 목표를 처리하라.","다음 목표는 만만치 않을 것이다.
주변 지역 탐사보다는 처치에 집중하라.",0,0,0,8,3,0,-1
75,유인향 덫으로 '왕관 총총새'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
76,유인향 덫으로 '네오츄'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
77,유인향 덫으로 '서걱게'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
78,유인향 덫으로 '태양 소르데스'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
79,유인향 덫으로 '무리 파이싸'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
80,유인향 덫으로 '보석 파리'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
81,유인향 덫으로 '늙지 않는 상크친니'를 유인하여 처치,"여기는 아유나르트 관제탑, 제군의 진입을 확인했다.
디아뎀 제도에 온 것을 환영한다!","모험가 제군에게 위험생물 제거를 의뢰한다.
목표 지점에서 '유인향 덫'으로 표적을 유인한 후 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,8,0,-1
82,유인향 덫으로 '개미매'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,6,0,-1
83,유인향 덫으로 '살인개미'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
84,유인향 덫으로 '점박이 하쿨라크'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
85,유인향 덫으로 '하늘 닉스'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
86,유인향 덫으로 '트리케라톱스'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,5,0,-1
87,유인향 덫으로 '아기 브라키오레이도스'를 유인하여 처치,"여기는 아유나르트 관제탑……
탐사 임무 제1단계 완료를 확인했다.","계속해서 탐사를 방해하는 위험생물을 제거하라.
다음 목표 지점에서 '유인향 덫'으로 표적을 유인하여 처치하라.",임무 중에는 '활동 평가'를 확인하며 주변 탐사도 병행해주기 바란다.,0,0,0,4,2,0,-1
