#,ShopName,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
3473427,모조 장인 장비 회수(칠흑),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473428,모조 장인 장비 회수(효월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473429,해방군의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473430,해방군의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473431,해방군의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473432,나찰 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473433,나찰 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473434,나찰 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473435,1등급 율모어의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473436,1등급 율모어의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473437,1등급 율모어의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473438,2등급 율모어의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473439,2등급 율모어의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473440,2등급 율모어의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473441,3등급 율모어의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473442,3등급 율모어의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473443,3등급 율모어의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473444,1등급 라자한의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473445,1등급 라자한의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473446,1등급 라자한의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473447,2등급 라자한의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473448,2등급 라자한의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473449,2등급 라자한의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473450,3등급 라자한의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473451,3등급 라자한의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473452,3등급 라자한의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473453,1등급 에버킵의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473454,1등급 에버킵의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473455,1등급 에버킵의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473456,2등급 에버킵의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473457,2등급 에버킵의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473458,2등급 에버킵의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473459,3등급 에버킵의 증서로 교환(무기),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473460,3등급 에버킵의 증서로 교환(방어구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473461,3등급 에버킵의 증서로 교환(장신구),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473462,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
