#,Text,NpcName,Image
20,"'부흥 공동 작업'이란
많은 수의 작업자를 필요로 하는 대규모 작업 계획입니다.
납품받은 물자가 일정량에 다다르면 시작됩니다.

조금이라도 많은 작업자를 모으기 위하여
작업 시작 전에 이 ''에 공지를 게재하겠습니다.
수시로 진척 상황을 확인해 주세요.

공동 작업 시에는 폐자재를 제거하거나 건물을 건설하므로,
참가 직업을 제작자 및 채집가로 제한합니다.
상세한 내용은 작업 시에 별도로 공지하오니
해당 공지를 확인하십시오.

도움을 주신 분께는 '' 드립니다.
모쪼록 적극 참가해 주시기 바랍니다.

**부흥 사업 계획이 완료되어
부흥 공동 작업자 모집은 종료되었습니다.**",,0
21,"'이슈가르드 부흥'은
이슈가르드의 귀족원과 서민원에서 승인한 공적 사업 계획입니다.
신분과 출신을 불문하고 인원을 공모하고 있습니다.
외부에서 오신 장인 여러분께서는 기술 지도 및 고도의 제작을 부탁드리고 있습니다.

이곳 '창천 거리'에서는 특별한 증서인 ''
도입하기로 했습니다.
부흥 사업에 관련된 보상은 이것으로 지불하며,
창천 거리에서 여러 가지 물건으로 교환할 수 있습니다.
취급하는 물건은 담당자인 '에니'에게 확인해 주세요.

또한 이 거리에 방문해 주시는 장인 여러분이 부흥 상황을
확인할 수 있도록 '' 설치하였습니다.
현재 부흥 사업 진행 중인 곳이나 '부흥 공동 작업'에 관한 정보를
담당자가 게재하고 있사오니,
정기적으로 확인하실 것을 권장드립니다.

이슈가르드 부흥을 위해 많은 협력 부탁드립니다!

**부흥 사업 계획이 완료되어
부흥 공동 작업자 모집은 종료되었습니다.**",,0
22,곡괭이 거리 정비 계획을 시작합니다!,프란셀,0
23,성 로엘 광장 정비 계획을 시작합니다!,프란셀,0
24,새보금자리 거주구 정비 계획을 시작합니다!,프란셀,0
25,이번 부흥 사업 계획은 모두 완료되었습니다!,프란셀,0
26,"여러분, 나날이 계속되는 부흥 사업에 도움을 주셔서 감사합니다.
창천 거리 부흥 사업의 총감독을 맡은 프란셀 드 아유나르트입니다.

지난 정비 계획에서는 예상을 초월하는 여러분의 협력에
일일이 답해드리지 못하여 죄송합니다.
앞으로 정진하겠사오니 계속해서 도움 부탁드립니다.

이번 계획에서는 전쟁의 여파로 집을 잃은 시민들을 위해
새보금자리 거주구를 완성하려 합니다.
그전에 먼저, 거주구에 인접한 통로가 되는
곡괭이 거리와 성 로엘 광장을 정비할 예정입니다.
부디 협력해 주시기 바랍니다.

프란셀",,70308
27,"창천 거리 부흥 사업의 현장 감독, 오그베르트다.
이번 단계에서 맨 처음 실시할 부흥 공동 작업은
이 광장 바로 북쪽에 쓰러져 있는 탑의 잔해를 치우는 것이다.
아래의 공정을 진행해다오.

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

이상이다. 잘 부탁한다.

오그베르트",,70309
28,"검품 담당자 플로파상입니다!
다음 부흥 공동 작업에서는 지난번에 이어
곡괭이 거리의 잔해를 치우려고 합니다!
길이 좁으니 떨어지지 않도록 조심하세요!
공정을 적어놓겠습니다!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

채집가분들께서도 부흥 공동 작업에 참가하실 수 있습니다!
디아뎀 제도에서 자원을 채집하시는 것도 좋지만,
짬이 나시면 부디 참가해 주셨으면 합니다!

플로파상",,70310
29,"안녕하세요! 쿠뽀 복권 담당자 리즈베스입니다!
곡괭이 거리 부흥이 진행되고 있습니다!
다음 부흥 공동 작업은 2종류입니다!

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

공동 작업이 없을 때는 쿠뽀 복권에도 도전해 보세요!

리즈베스",,70311
30,"곡괭이 거리 작업도 막바지다!
중앙 광장에는 시민들의 쉼터가 될 만한 조형물이 있으면 좋겠지.
작업 공정을 아래에 적어두겠다.

1. 물자 적재소에서 물자 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

이상이다. 잘 부탁한다.

오그베르트",,70312
31,"장인 여러분 덕분에 곡괭이 거리가 완성되었습니다!
이 거리는 부흥 작업 물자 운반의 요충지가 되겠지요.
협력해 주셔서 감사합니다!

다음에는 성 로엘 광장을 정비할 예정입니다.
높낮이가 고르지 못한 곳이 많으니,
작업하실 때는 부디 안전을 우선해 주세요.
모쪼록 잘 부탁드립니다.

프란셀",,70313
32,"너희 덕분에 곡괭이 거리가 완성되었다!
이제 다음 통로의 발판을 만들어야지!
부흥 공동 작업의 내용은 아래와 같다.

1. 물자 적재소에서 물자 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

오그베르트",,70314
33,"여러분, 안녕들 하신가요? 순위 집계 담당 루도브랭입니다.
성 로엘 광장의 잔해를 제거하는 부흥 공동 작업에
참가해 주시기를 학수고대하고 있습니다.
순서는 아래와 같습니다.

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

여러분이 날마다 부흥 활동에 쏟아주시는 노력을,
확실하게 집계해 드리겠습니다!

루도브랭",,70315
34,"다음에는 성 로엘 광장을 청소하고
도로를 포장하는 공동 작업을 할 예정이다.
아래의 공정을 진행해다오.

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

이상이다. 잘 부탁한다.

오그베르트",,70316
35,"다음에는 단상과 수로를 건설하는 공동 작업을 하려고 한다!
순서는 아래와 같다!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재로 가공
3. 최종 작업장에서 건축

이상이다. 잘 부탁한다.

오그베르트",,70317
36,"성 로엘 광장이 완성되었습니다!
광장과 수로를 아름답게 꾸며주셔서 감사합니다.
여러분도 이곳에서 오가는 사람들을 바라보거나
담소를 나누며 휴식을 취하셨으면 좋겠습니다.

이제 드디어 거주구 정비에 들어갑니다.
부지가 광대하기 때문에 작업량도 많겠지만,
모쪼록 협력해 주시기를 부탁드립니다.

프란셀",,70318
37,"드디어 거주구 작업에 들어간다!
아래의 순서에 따라 잔해 제거 공동 작업에 참가해다오!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

넓어서 고생스럽겠지만, 힘 좀 써줘.

오그베르트",,70319
38,"여러분, 언제나 대량의 물자를 납품해 주셔서 감사합니다!
덕분에 부흥 공동 작업 계획도 순조롭게 진행되고 있습니다.
지난 작업에 이어, 계속해서 잔해 제거에 협력해 주시기 바랍니다!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

이상입니다. 잘 부탁드립니다!

포트킨",,70320
39,"여러분 덕분에 새보금자리 거주구의 잔해 제거 작업도
거의 다 완료되었습니다!
조금만 더 아래의 부흥 공동 작업에 협력해 주세요!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반


틈틈이 쿠뽀 복권도 즐겨 주시고요!

리즈베스",,70321
40,"너희 덕분에 이번 부흥 사업 계획의 잔해 제거 작업이 끝났다!
다음 부흥 공동 작업은 새보금자리 거주구 전체를
청소하고 포장하는 일이다.
넓으니까 분담해서 작업해줘.

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

이상이다, 잘 부탁한다.

오그베르트",,70322
41,"드디어 주택을 지을 단계가 되었다!
끊임없이 물자를 납품해준 장인 여러분 덕분이다!
그럼 아래의 순서대로 부흥 공동 작업을 부탁한다.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재로 가공
3. 최종 작업장에서 건축

주민들이 추위에 떨지 않도록 따뜻한 집을 만들어 주자.

오그베르트",,70323
42,"새로운 집이 연이어 완성되는 모습을 보자니 기분이 좋네요.
이 기세로 계속 짓자고요!
작업 내용은 지난 번과 같습니다~.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재로 가공
3. 최종 작업장에서 건축

창천 거리 진흥권이 모이면 잊지 말고 교환하러 오시고요~.

에니",,70324
43,"이제 집을 3채만 더 건설하면 된다!
이것으로 이번 정비 계획의 마지막 공동 작업이다!
작업 순서는 아래와 같다!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재로 가공
3. 최종 작업장에서 건축

이상이다. 잘 부탁한다.

오그베르트",,70325
44,"여러분 덕분에 드디어 새보금자리 거주구의
모든 정비 계획을 마쳤습니다!
이로써 구름안개 거리에서 추위에 떨던 시민분들께
따뜻한 집을 제공할 수 있게 되었습니다!
진심으로 감사드립니다!

다음 부흥 사업 계획이 결정될 때까지 조금만 기다려 주십시오.
물자 납품은 계속해서 받고 있습니다.
부디 앞으로도 협력해 주시기 바랍니다!

프란셀",,70326
45,"'쿠뽀 복권'은 물자를 납품함으로써 도전할 수 있는
이슈가르드 부흥 전용 복권입니다.

대상 의뢰물을 '포트킨'에게 납품하면 도장을 찍어줍니다.
도장을 5개 받으면 쿠뽀 복권을 1번 긁을 수 있습니다.

복권은 왼쪽에 1칸, 오른쪽에 3칸이 배치되어 있으며,
4칸 중에 1칸을 선택하여 긁을 수 있습니다.
칸의 위치에 따라 당첨되는 등수가 다릅니다.
(왼쪽 칸: 2등~4등/오른쪽 칸: 1등~5등)

경품은 매번 바뀝니다.
복권에 기재된 배당표를 확인해 주세요.
복권으로만 얻을 수 있는 희귀한 경품이 있을지도 모릅니다!?

관심 있는 분은 쿠뽀 복권 담당자인 '리즈베스'를 찾아 주세요!",,0
46,"자원이 풍부한 '디아뎀 제도'가 이슈가르드 부흥 사업의
공적 자원 채집지로 결정되었습니다.

이에 따라 실력 있는 채집가 여러분을 '디아뎀 제도'로 안내합니다.
특수한 기공 도구인 '에테르 착암기'를 사용하여,
모쪼록 많은 자재를 채집해 주세요!

디아뎀 제도에서 채집하신 자재는 품질 관리를 위해
검품 절차를 거치게 됩니다.
자원을 채집하시거든 '플로파상'에게 건네 주세요.
검품 시에는 사례로 '' 드립니다.

자세한 내용은 구름바다 탐사 담당자 '오르바엘'에게
문의하시기 바랍니다.",,0
47,깃털비 상업구 정비 계획을 시작합니다!,프란셀,0
48,주판 거리 정비 계획을 시작합니다!,프란셀,0
49,흰서리 관사 정비 계획을 시작합니다!,프란셀,0
50,이번 부흥 사업 계획은 모두 완료되었습니다!,프란셀,0
51,"창천 거리 부흥 사업 총감독, 프란셀 드 아유나르트입니다.

덕분에 새보금자리 거주구의 정비가 무사히 완료되어,
주민 이주 계획이 순조롭게 진행되고 있습니다.
여러분, 협력해 주셔서 감사합니다.
이번 계획에서는 서쪽 구획을 창천 거리의 경제를 지탱하는
상업구로 정비할 예정입니다.
활기가 넘치는 지역으로 완성될 수 있도록
총감독으로서 최선을 다하겠습니다.
앞으로도 계속해서 협력해 주시기 바랍니다.

프란셀",,70327
52,"창천 거리 부흥 사업 현장 감독 오그베르트다.
이번 계획에서는 서쪽 구획을 창천 거리의 경제를 지탱하는
상업구로 정비할 예정이니 도와다오.
우선 이름 없는 자들의 광장 서쪽에 있는 잔해를
아래 순서에 따라 치우겠다!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

운반하려면 힘을 써야 하니, 힘꾼들이 참가해 주기를 기다리마.

오그베르트",,70328
53,"장비 수리 담당 에일롱위입니다……!
깃털비 상업구 정비를 위하여, 계속해서 아래 순서대로
잔해를 치워주시기 바랍니다……!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

또한 저는 여러분께서 작업하실 때 필요한 '수리 재료'나
염료 등도 취급하고 있으니, 꼭 이용해 주세요……!

에일롱위",,70329
54,"부흥 공동 작업에 종사하는 여러분, 언제나 도와주셔서 감사합니다.
가까이에서 펼쳐지는 장인 여러분의 절묘한 기술에
가슴이 두방망이질치는, 순위 집계 담당 루도브랭입니다.
장인 여러분, 부디 아래의 부흥 공동 작업에 참가해 주시기 바랍니다.

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

그리고 누적 점수 보상도 잊지 말고 받아가세요.

루도브랭",,70330
55,"여러분, 깃털비 상업구 정비에 협력해 주세요~!

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

협력해 주시는 여러분께 감사의 마음을 담아
답례품 목록을 점점 늘려가고 있으니,
꼭 교환하러 와 주셔야 해요~.

에니",,70331
56,"깃털비 상업구를 포장하느라 수고했다!
이제부터 깃털비 상업구에 주택과 대규모 설비를 건설한다.
작업 순서는 아래와 같다.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

잘 부탁한다!

오그베르트",,70332
57,"장인 여러분, 의뢰물을 납품해 주셔서 언제나 감사합니다!
부흥 공동 작업에도 참가해 주시길 기다리고 있습니다!
작업 계획은 아래와 같습니다!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

이상, 잘 부탁드립니다!

포트킨",,70333
58,"깃털비 상업구 주택 건설도 막바지입니다!
장인 여러분, 아래 순서대로 건설 작업을 도와주시기 바랍니다!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

디아뎀 제도에서 활약할 채집가 여러분의 도움도 기다리고 있습니다!

플로파상",,70334
59,"깃털비 상업구 정비 계획이 무사히 완료되었습니다!
하늘강철 기공방 분관이 완성되었으니
부흥과 생활에 도움이 되는 물건들을
보다 효율적으로 제작할 수 있겠지요.
 계속해서 상인들의 상징인 계산기의 이름을 딴
'주판 거리' 정비에 부디 협력해 주시기 바랍니다……!

프란셀",,70335
60,"이번에는 곡괭이 거리로 통하는 길이 될
'주판 거리'의 잔해 제거 작업을 시작한다!
아래 순서에 따라 부흥 공동 작업에 참가해주길 바란다!

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

가파른 경사면이 많으니까 조심해서 작업해!

오그베르트",,70336
61,"쿠뽀 열매는 없어요! 쿠뽀 복권이라면 있고요!
리즈베스가 다음 부흥 공동 작업 내용을 알려 드립니다!

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

도장을 모으면 꼭 쿠뽀 복권에 도전해 보세요!

리즈베스",,70337
62,"장인 여러분께 부탁드릴 일이 있습니다.
주판 거리의 경관을 보기 좋게 만들기 위한
부흥 공동 작업에 참가해 주셨으면 합니다.
작업 내용은 아래와 같습니다.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

아름다운 장인 여러분의 아름다운 기술로,
아름답게 장식되는 모습을 기대하겠습니다.

루도브랭",,70338
63,"여러분 덕분에 훌륭한 거리가 완성되었습니다! 감사합니다!
이어서, 부흥 사업에 종사하는 성도의 장인과 입주 노동자들이 거주할, 흰서리 관사 건축 계획을 진행하고자 합니다.
대규모 시설을 건설하는 계획이므로
부흥 공동 작업도 많이 발생할 겁니다.
여러분의 협력을 기다리고 있겠습니다.

프란셀",,70339
64,"흰서리 관사는 많은 사람들이 거주하는 대규모 시설이 될 예정이다!
아래의 건축 공동 작업을 연속으로 하게 될 테니까,
모두 힘닿는 데까지 참가해다오!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

이번 계획의 마지막 부흥 공동 작업이니, 잘 부탁한다!

오그베르트",,70340
65,"흰서리 관사를 완성했으므로, 이번 정비 계획은 모두 완료되었습니다!
여러분, 협력해 주셔서 감사합니다!
깃털비 상업구에서는 경제 활성화를 촉진하기 위하여, 제조업과 상업에 관련된 세금 완화 정책과 행상인 보호 정책 등을 실시할 예정입니다.
사람과 물자가 활발하게 드나드는 활기찬 거리가 되었으면 좋겠습니다.
부흥 사업에 힘써 주시는 장인 여러분께 무한한 감사를 드립니다.

프란셀",,70341
66,부흥시 문화구 서쪽 정비 계획을 시작합니다!,프란셀,0
67,시인의 문 정비 계획을 시작합니다!,프란셀,0
68,부흥시 문화구 동쪽 정비 계획을 시작합니다!,프란셀,0
69,고명한 장인 기념비 건설 작업을 시작합니다!,프란셀,0
70,창천 거리 부흥 사업 계획을 모두 완료하였습니다!,프란셀,0
71,"창천 거리 부흥 사업 총감독, 프란셀 드 아유나르트입니다.

여러분께서 협력해 주신 덕분에 드디어 제4차 부흥 사업 계획을 시작하게 되었습니다.
이번이 마지막 부흥 사업 계획입니다.
창천 거리를 완성시키기 위해, 협력을 부탁드립니다!

프란셀",,70342
72,"제4차 부흥 사업 계획의 첫 부흥 공동 작업을 시작한다.
작업 공정은 아래와 같다.

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

이상이다. 잘 부탁한다.

오그베르트",,70343
73,"다음 부흥 공동 작업은 두 단계로 진행됩니다.

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

여러분들의 멋진 모습을 제가 확실히 기록하겠습니다.

루도브랭",,70344
74,"덕분에 도로 포장이 완료되었다.
이제 주택 건설 부흥 공동 작업을 시작하자!
작업 공정은 아래와 같다.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

모두 솜씨를 발휘해주길 기대하겠다!

오그베르트",,70345
75,"쿠뽀 열매는 없어요! 쿠뽀 복권이라면 있고요!
계속해서 문화구 서쪽 주택 건설 작업에 협력해 주시길 부탁드립니다!
작업 공정은 아래에 적어둘게요!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

이상입니다! 쿠뽀 복권도 잊지마세요!

리즈베스",,70346
76,"여러분, 언제나 물자를 납품해 주셔서 감사합니다!
덕분에 부흥 공동 작업도 예정대로 순조롭게 진행되고 있습니다!
이번 작업 공정은 아래와 같습니다!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

부디 잘 부탁드립니다!

포트킨",,70347
77,"여러분께서 협력해 주신 덕분에 부흥시 문화구 서쪽 정비 계획이 무사히 완료되었습니다.
이어서 '시인의 문' 정비 계획에 착수하겠습니다.
창천 거리에서 이슈가르드 상층으로 가는 문까지 연결되면, 더 많은 사람들이 오갈 수 있겠지요.
부디 많은 협력 부탁드립니다……!

프란셀",,70353
78,"디아뎀 제도 재료 검품 담당 플로파상입니다!
부흥 공동 작업에 대해 안내해 드립니다!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

이번 작업으로 시인의 문이 완성될 예정이니, 잘 부탁합니다!


플로파상",,70354
79,"여러분께서 협력해 주신 덕분에 시인의 문이 완성되었습니다!
다음 부흥 예정지는 부흥시 문화구 동쪽입니다.
부흥 공동 작업이 준비될 때까지, 모쪼록 자재를 납품해 주시길 부탁드립니다.

프란셀",,70348
80,"문화구 동쪽의 잔해 제거 부흥 공동 작업을 시작하자!
작업 공정은 아래와 같다.

1. 커다란 잔해를 잘게 파쇄
2. 옮길 수 있는 잔해 파편을 선별
3. 잔해 파편을 적재소까지 운반

잔해 제거 작업은 이번이 마지막이다. 협력을 부탁한다.

오그베르트",,70349
81,"청소 및 포장 부흥 공동 작업에 대해 안내해 드립니다~!

[청소 작업]
1. 통로에 남아 있는 자잘한 잔해 파편을 청소

[포장 작업]
1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 토목 자재로 가공
3. 파손된 곳 포장

창천 거리 포장 작업은 이제 완전히 끝이랍니다~!

리즈베스",,70350
82,"부흥시 문화구 동쪽의 건설 사업이 시작되어 안내해 드립니다.
아래의 순서에 따라 부흥 공동 작업에 참가해 주시기 바랍니다.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

잡화 구입 및 장비 수리는 저에게 맡겨 주세요!

에일롱위",,70351
83,"물자를 많이 납품해주신 덕분에 주택 건설도 곧 완료됩니다!
아래 순서대로 부흥 공동 작업을 진행해 주세요!

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재로 가공
3. 최종 작업장에서 건축

장인 여러분께서 열심히 만드신 집을 기대하겠습니다!

포트킨",,70352
84,"부흥시 문화구 동쪽의 정비 계획이 완료되었습니다!
다음은 '설중탕'을 정비하겠습니다.
따뜻한 온천수를 끌어다가, 모두가 편히 쉴 수 있는 장소를 만들고자 합니다. 부디 도와주시기 바랍니다……!

프란셀",,70355
85,"따끈따끈한 목욕탕을 만들기 위해 일손을 모집하고 있습니다.
작업 순서는 아래와 같사오니, 많은 참가 부탁드립니다~.

1. 물자 적재소에서 물자를 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

완성되면 남녀노소 불문하고 다 함께 온천에 들어가자고요~.

에니",,70356
86,"진짜 진짜 마지막으로,
부흥 사업 계획을 도와준 장인들을 위해 기념비를 세우고자 한다!
주판 거리에서 부흥 공동 작업에 참가해다오!
건설 작업은 아래 순서로 진행한다!

1. 물자 적재소에서 물자 입수
2. 1차 작업장에서 자재 가공
3. 최종 작업장에서 건축

정말 고생 많았다! 모두 고맙다!

오그베르트",,70357
87,"여러분 덕분에
창천 거리의 모든 부흥 계획이 완료되었습니다.

긴 시간 동안 계속된 이 부흥 사업 계획에 함께 해주신 장인 여러분을 비롯하여, 모든 분들께 감사의 말씀을 올립니다.
정말로, 정말로 감사합니다!

[추신]
부흥 계획 완료 후에도 물자를 제공해 주시는 장인 여러분들께는 계속해서 사례를 드릴 예정입니다.

프란셀",,70358
88,창천 거리 부흥 축제가 열립니다!,프란셀,0
89,"출신을 불문하고 수많은 장인분들께서 도와주신 덕분에
창천 거리 부흥 사업 계획을 무사히 완료할 수 있었습니다.

현재 이 거리에서는 각국에서 오신 여러분을 환대하기 위하여
창천 거리 부흥 축제 '창천 운동회'를 개최하고 있습니다.
참가해주신 분들께는 작은 선물을 드리오니, 많은 참가 바랍니다!

프란셀",,70359
90,"'창천 운동회'란, 창천 거리 부흥 축제의 일환으로
정기적으로 개최되는 대규모 참가 행사입니다.

개최 기간 동안에 여러 경기가 연속으로 열립니다.

참가하신 분들께는 선물을 드리오니,
각국에서 오신 여러분의 많은 참가 부탁드립니다.",,0
