#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
10,도시 외곽 도로 순찰,"동부 라노시아 주요 가도 순찰을 명한다. 물자 운송의 요지이니, 치안 확보에 최선을 다하라.",0,425,285,160,0,20,20,20,20,0,140,450,280,0,20,20,20,20,0,280,155,435,0,20,20,20,20,0,425,160,285,0,20,20,20,20,0,280,450,140,0,20,20,20,20,0,155,280,435,0,20,20,20,20,19500,1000,12,0,25,20,0,2
11,야만족 거점 위력 정찰,"코볼드군 시굴지의 세력을 정찰하라. 적 야만군의 요격이 예상되나, 물리치고 정보를 확보한 뒤 귀환하라.",0,170,295,450,0,20,20,20,20,0,440,300,175,0,20,20,20,20,0,440,175,300,0,20,20,20,20,0,295,465,155,0,20,20,20,20,0,155,465,295,0,20,20,20,20,0,295,170,450,0,20,20,20,20,22500,1000,12,0,30,20,0,2
12,실종자 수색,"외지 라노시아의 아군 부대에서 행방불명자가 나왔다. 적 세력의 영향력이 강한 지역이니, 신속히 수색하여 구출하라.",0,310,480,170,0,20,20,20,20,0,185,310,465,0,20,20,20,20,0,455,315,190,0,20,20,20,20,0,170,480,310,0,20,20,20,20,0,310,185,465,0,20,20,20,20,0,455,190,315,0,20,20,20,20,25500,1000,12,0,35,20,0,2
13,동맹군 합동 훈련,"불멸대와의 합동 훈련이 열린다. 흑와단 대표로 참가하여, 우리 군의 저력을 보여라.",14945,455,190,315,1,20,20,20,20,14945,310,480,170,1,20,20,20,20,14945,170,480,310,1,20,20,20,20,14945,310,185,465,1,20,20,20,20,14945,185,310,465,1,20,20,20,20,14945,455,315,190,1,20,20,20,20,27000,1000,12,0,35,20,0,2
14,중요 임무: 크리스탈 탈환 작전,"야만신 타이탄 소환을 막고자 코볼드군 시굴지에서 크리스탈 탈취 작전이 진행된다. 아군 부대와 협력하여 적 거점에 침입한 뒤, 목표물을 탈취하라.",0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,13,15,40,0,0,2
15,중요 임무: 크리스탈 탈환 작전,"야만신 타이탄 소환을 막고자 코볼드군 시굴지에서 크리스탈 탈취 작전이 진행된다. 아군 부대와 협력하여 적 거점에 침입한 뒤, 목표물을 탈취하라.",0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,16,17,40,0,0,2
16,야만족 거점 습격,우가마로 무장광산 공습 작전이 진행된다. 즉시 아군 부대와 합류하여 전력을 더하라.,14946,530,385,275,5,20,20,20,20,14946,530,275,385,5,20,20,20,20,14946,385,560,245,5,20,20,20,20,14946,245,560,385,5,20,20,20,20,14946,385,265,540,5,20,20,20,20,14946,265,385,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
17,불법 무기 거래 적발,첩보 부대가 불법 무기 거래 정보를 가지고 왔다. 지정된 거래 장소로 가서 범죄자들을 일망타진하라.,14947,385,560,245,5,20,20,20,20,14947,245,560,385,5,20,20,20,20,14947,385,265,540,5,20,20,20,20,14947,265,385,540,5,20,20,20,20,14947,530,385,275,5,20,20,20,20,14947,530,275,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
18,제국군 거점 강행 정찰,카스트룸 옥시덴스 주변 강행 정찰을 명한다. 현지 제국군 부대 동향 상세 정보를 확보한 뒤 귀환하라.,14948,385,265,540,5,20,20,20,20,14948,265,385,540,5,20,20,20,20,14948,530,385,275,5,20,20,20,20,14948,530,275,385,5,20,20,20,20,14948,385,560,245,5,20,20,20,20,14948,245,560,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
19,제국군 탈영병 추적,"동부 라노시아에서 제국군 탈영병으로 보이는 인물이 목격되었다. 즉시 현장으로 가서 수상한 자를 수색하고, 신병을 확보하라.",14949,530,275,385,5,20,20,20,20,14949,385,560,245,5,20,20,20,20,14949,245,560,385,5,20,20,20,20,14949,385,265,540,5,20,20,20,20,14949,265,385,540,5,20,20,20,20,14949,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
20,제국군 부대 견제 공격,에오르제아 동맹군은 모르도나 지역 제국군 부대에 견제 공격을 하기로 결정했다. 흑와단 대표로 참가하여 작전을 성공으로 이끌어라.,14950,245,560,385,5,20,20,20,20,14950,385,265,540,5,20,20,20,20,14950,265,385,540,5,20,20,20,20,14950,530,385,275,5,20,20,20,20,14950,530,275,385,5,20,20,20,20,14950,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
21,야만족 보급로 차단 작전,"서부 라노시아 사하긴족의 보급로를 차단하고자, 대규모 부대를 투입한 작전이 진행된다. 군령부의 지시에 따라 전력에 가세하라.",14951,265,385,540,5,20,20,20,20,14951,530,385,275,5,20,20,20,20,14951,530,275,385,5,20,20,20,20,14951,385,560,245,5,20,20,20,20,14951,245,560,385,5,20,20,20,20,14951,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
22,지명수배범 추적,불멸대이 지명수배 중인 범죄자가 라노시아에서 목격되었다. 불멸대 특무사관과 협조하여 추적하라.,14952,530,275,385,5,20,20,20,20,14952,530,385,275,5,20,20,20,20,14952,245,560,385,5,20,20,20,20,14952,385,560,245,5,20,20,20,20,14952,265,385,540,5,20,20,20,20,14952,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
23,제국군 보급부대 섬멸,첩보 부대가 제국군 보급부대에 관한 중요 정보를 가지고 왔다. 카스트룸 옥시덴스로 가는 보급부대를 섬멸하라.,14953,245,560,385,5,20,20,20,20,14953,385,560,245,5,20,20,20,20,14953,265,385,540,5,20,20,20,20,14953,385,265,540,5,20,20,20,20,14953,530,275,385,5,20,20,20,20,14953,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
24,키메라 생물 제거,"우리 영내에서 끔찍한 키메라 생물이 발견되었다. 거구를 자랑하는 미노타우로스를 추격하여, 확실하게 제거하라.",14954,265,385,540,5,20,20,20,20,14954,385,265,540,5,20,20,20,20,14954,530,275,385,5,20,20,20,20,14954,530,385,275,5,20,20,20,20,14954,245,560,385,5,20,20,20,20,14954,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
25,새벽의 혈맹 공동 작전,코볼드족의 야만신 소환 전조를 살피기 위해 '새벽의 혈맹'과 공동 작전을 전개한다. 이 조직에 소속된 슬라프스위스과 합류하여 지시를 따르라.,14946,295,430,600,10,20,20,20,20,14946,430,295,600,10,20,20,20,20,14946,590,305,430,10,20,20,20,20,14946,590,430,305,10,20,20,20,20,14946,275,620,430,10,20,20,20,20,14946,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
26,마도 병기 대응 전술 고안,노획한 제국군 마도 병기를 이용한 모의전을 치르게 되었다. 보다 효과적인 마도 병기 대응 전술을 고안해내기 위해 귀관의 부대도 참가해주기를 바란다.,14947,275,620,430,10,20,20,20,20,14947,430,620,275,10,20,20,20,20,14947,295,430,600,10,20,20,20,20,14947,430,295,600,10,20,20,20,20,14947,590,305,430,10,20,20,20,20,14947,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
27,인질 구출 작전,사하긴족의 수하에 있는 해적단 바다뱀의 혀가 일반 시민을 납치했다는 정보를 받았다. 인질들이 야만신 소환의 제물이 되기 전에 적의 거점으로 잠입하여 구출하라.,14948,590,305,430,10,20,20,20,20,14948,590,430,305,10,20,20,20,20,14948,275,620,430,10,20,20,20,20,14948,430,620,275,10,20,20,20,20,14948,295,430,600,10,20,20,20,20,14948,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
28,무장 집단 섬멸,"마무쟈족 전투단의 유파로 보이는 무장 집단이 우리 영지에서 불법 행위를 하여, 큰 위협이 되고 있다. 서둘러 현지로 가서 섬멸하라.",14949,295,430,600,10,20,20,20,20,14949,590,430,305,10,20,20,20,20,14949,590,305,430,10,20,20,20,20,14949,430,620,275,10,20,20,20,20,14949,275,620,430,10,20,20,20,20,14949,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
29,불법 이단 종교 집단 적발,종말 사상을 내세우는 이단 종교 집단 '마지막 백성'이 불법 권유 활동을 계속하고 있다. 평범한 시민으로 위장해 림사 로민사 시내를 돌아다니며 권유해 오는 일당을 적발하라.,14950,275,620,430,10,20,20,20,20,14950,430,295,600,10,20,20,20,20,14950,295,430,600,10,20,20,20,20,14950,590,430,305,10,20,20,20,20,14950,590,305,430,10,20,20,20,20,14950,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
30,불법 요마 처치,"우리 영지에서 불법으로 소환된 요마가 목격되었다. 서큐버스형 요마를 추척하여, 확실하게 제거하라.",14951,590,305,430,10,20,20,20,20,14951,430,620,275,10,20,20,20,20,14951,275,620,430,10,20,20,20,20,14951,430,295,600,10,20,20,20,20,14951,295,430,600,10,20,20,20,20,14951,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
31,제국군 폐기 병기 격파,"제국군이 폐기한 마도 병기가 어떤 원인으로 인하여 폭주, 우리 영지를 위협하고 있다. 즉시 현장으로 가서 특무 사관과 연계하여 목표를 격파하라.",14952,430,295,600,10,20,20,20,20,14952,295,430,600,10,20,20,20,20,14952,590,430,305,10,20,20,20,20,14952,590,305,430,10,20,20,20,20,14952,430,620,275,10,20,20,20,20,14952,275,620,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
32,고블린족 집단 처치,고블린족 과학자 집단 '푸른손'의 하부 조직이 우리 영토에서 기공병기 검증 실험을 하고 있다. 무허가 실험을 저지하기 위해 즉시 현장으로 향하라.,14953,430,620,275,10,20,20,20,20,14953,275,620,430,10,20,20,20,20,14953,430,295,600,10,20,20,20,20,14953,295,430,600,10,20,20,20,20,14953,590,430,305,10,20,20,20,20,14953,590,305,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
33,가짜 쌍사당 중사 적발,'그리다니아 출신 쌍사당 중사'라고 자칭하는 건장한 남성이 죄없는 시민을 큰 소리로 위협하는 사안이 발생했다. 에오르제아 동맹군의 위신을 걸고 이 쌍사당 중사를 적발하라.,14954,590,430,305,10,20,20,20,20,14954,590,305,430,10,20,20,20,20,14954,430,620,275,10,20,20,20,20,14954,275,620,430,10,20,20,20,20,14954,430,295,600,10,20,20,20,20,14954,295,430,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
34,중요 임무: 제국군 특수부대 섬멸,"첩보 부대가 입수한 정보에 따르면, 동부 라노시아에서 제국군 특수부대가 출격 준비를 하고 있다고 한다. 아무래도 도시 파괴 공작으로 후방을 교란시키려는 듯하다. 서둘러 현장으로 가서 적 부대를 섬멸하라.",0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,40000,5000,17,19,50,0,0,2
