key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
100008,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1517,8,9,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100009,"비레고의 축복","내구도를 소비하여 품질을 높입니다.
'정신 집중'으로 능력치가 상승한 횟수×20만큼 효율이 향상됩니다.
사용 후 '정신 집중' 효과가 종료됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 최소 100(정신 집중 중첩 수에 비례)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1521,8,33,50,0,False,0,24,100009,100009,100009,100009,100009,100009,100009,100009
100010,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1518,8,9,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100012,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100013,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100014,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100015,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1551,9,10,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100016,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1552,9,10,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100017,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1557,9,10,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100018,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1566,9,10,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100019,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1570,9,10,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100020,"불의 인장","내구도를 소비하여 작업을 진행합니다.
불속성 제작법일 경우 효율이 2배가 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100(불속성 200)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1559,9,33,37,0,False,0,6,100020,100020,100020,100020,100020,100020,100020,100020
100021,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1565,9,10,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100022,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1567,9,10,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100023,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1568,9,10,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100024,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100025,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100026,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100027,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100028,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100029,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100030,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1601,10,11,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100031,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1602,10,11,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100032,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1607,10,11,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100033,"강행 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 250
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 50%",241,248,1619,10,33,15,0,False,0,0,100033,100033,100033,100033,100033,100033,100033,100033
100034,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1616,10,11,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100035,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1621,10,11,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100036,"얼음의 인장","내구도를 소비하여 작업을 진행합니다.
얼음속성 제작법일 경우 효율이 2배가 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100(얼음속성 200)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1609,10,33,37,0,False,0,6,100036,100036,100036,100036,100036,100036,100036,100036
100037,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1615,10,11,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100038,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1617,10,11,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100039,"꾸준한 진척","내구도를 소비하여 남은 작업량의 약 1/3을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1622,10,33,50,0,False,0,15,100039,100039,100039,100039,100039,100039,100039,100039
100040,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1618,10,11,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100041,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100042,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100043,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100044,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100045,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1701,12,13,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100046,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1702,12,13,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100047,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1707,12,13,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100048,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1716,12,13,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100049,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1720,12,13,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100050,"땅의 인장","내구도를 소비하여 작업을 진행합니다.
땅속성 제작법일 경우 효율이 2배가 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100(땅속성 200)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1709,12,33,37,0,False,0,6,100050,100050,100050,100050,100050,100050,100050,100050
100051,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1715,12,13,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100052,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1717,12,13,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100053,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1718,12,13,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100054,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100055,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100056,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100057,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100058,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100059,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100060,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1751,13,14,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100061,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1752,13,14,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100062,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1757,13,14,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100063,"모범 작업","내구도를 소비하여 작업을 진행합니다.
반드시 성공합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100%",240,247,1768,13,33,15,0,False,0,0,100063,100063,100063,100063,100063,100063,100063,100063
100064,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1765,13,14,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100065,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1770,13,14,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100066,"번개의 인장","내구도를 소비하여 작업을 진행합니다.
번개속성 제작법일 경우 효율이 2배가 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100(번개속성 200)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1758,13,33,37,0,False,0,6,100066,100066,100066,100066,100066,100066,100066,100066
100067,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1764,13,14,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100068,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1766,13,14,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100069,"모범 작업 2","내구도를 소비하여 작업을 진행합니다.
반드시 성공합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 120
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100%",240,247,1771,13,33,50,0,False,0,0,100069,100069,100069,100069,100069,100069,100069,100069
100070,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1767,13,14,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100071,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100072,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100073,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100074,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100075,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1651,11,12,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100076,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1652,11,12,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100077,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1657,11,12,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100078,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1665,11,12,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100079,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1670,11,12,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100080,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1664,11,12,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100081,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1666,11,12,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100082,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1667,11,12,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100083,"견실한 작업","내구도를 소비하여 작업을 40만큼 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1673,11,33,37,0,False,0,15,100083,100083,100083,100083,100083,100083,100083,100083
100084,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100085,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100086,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100087,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100088,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100089,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100090,"작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1801,14,15,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100091,"가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 70%",240,247,1802,14,15,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100092,"능숙한 땜질","내구도를 30 회복합니다.",242,249,1807,14,15,7,0,False,0,92,100003,100017,100032,100077,100047,100062,100092,100107
100093,"중급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 125
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 80%",240,247,1816,14,15,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100094,"능숙한 땜질 2","내구도를 60 회복합니다.",242,249,1821,14,15,25,0,False,0,160,100005,100019,100035,100079,100049,100065,100094,100110
100095,"물의 인장","내구도를 소비하여 작업을 진행합니다.
물속성 제작법일 경우 효율이 2배가 됩니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 100(물속성 200)
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1809,14,33,37,0,False,0,6,100095,100095,100095,100095,100095,100095,100095,100095
100096,"중급 작업","내구도를 소비하여 작업을 진행합니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",239,246,1815,14,15,31,0,False,0,15,100007,100021,100037,100080,100051,100067,100096,100111
100097,"고급 가공","내구도를 소비하여 품질을 높입니다.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>효율<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 150
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>성공률<UIGlow>01</UIGlow><UIForeground>01</UIForeground>: 90%",240,247,1817,14,15,43,0,False,0,48,100008,100022,100038,100081,100052,100068,100097,100112
100098,"비결","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>고품질<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 상태일 때만 사용 가능합니다.
CP를 20 회복합니다.",242,249,1819,14,33,15,0,False,0,0,100098,100098,100098,100098,100098,100098,100098,100098
100099,"경과 관찰","1턴 동안 아무것도 하지 않고 지켜봅니다.",242,249,1818,14,15,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100100,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100101,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100102,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100103,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100104,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
