#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
29,낚시: 월척,어부가 되어 월척 10회 낚기,0,61815,10,5,2000,0,0,0,5,7,5,3
30,제작활동,30회 제작,0,61816,30,10,1000,0,0,0,5,1,5,3
31,제작활동: HQ,HQ 아이템 20회 제작,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,집사 수행: 완료 횟수,집사 수행 10회 완료,0,61818,10,0,1000,0,0,168,9,1,0,3
34,집사 수행: 탐색 횟수,집사 탐색수행 15회 완료,0,61818,15,0,4000,0,0,169,9,2,0,3
35,전장: 참전 횟수,전장에 7번 참전,0,61806,7,0,1000,0,0,176,2,3,0,9
36,전장: 승리 횟수,전장에서 3번 승리,0,61806,3,0,1000,0,0,176,2,4,0,9
37,미니 게임: 완료 횟수,미니 게임 3회 완료,0,61820,3,0,1000,0,0,201,10,1,0,8
38,미니 게임: 획득 MGP,미니 게임에서 100MGP 획득,0,61820,100,0,1500,0,0,201,10,2,0,8
39,돌발 게임: 참가 횟수,돌발 게임에 5회 참가,0,61820,5,0,5000,0,0,201,10,3,0,8
40,돌발 게임: 완료 횟수,돌발 게임 3회 완료,0,61820,3,0,8000,0,0,201,10,4,0,8
41,초코보 경주: 출전 횟수 1,초코보 경주 3회 출전,0,61820,3,0,5000,0,0,196,10,5,0,8
42,초코보 경주: 출전 횟수 2,초코보 경주 20회 출전,0,61820,20,0,8000,0,0,196,10,6,0,8
43,초코보 경주: 승리 횟수 1,초코보 경주에서 1회 우승,0,61820,1,0,5000,0,0,196,10,7,0,8
44,초코보 경주: 승리 횟수 2,초코보 경주에서 10회 우승,0,61820,10,0,8000,0,0,196,10,8,0,8
45,트리플 트라이어드: 대결 횟수,트리플 트라이어드 대결 10회 완료,0,61820,10,0,5000,0,0,199,10,9,0,8
46,트리플 트라이어드: 승리 횟수,트리플 트라이어드 대결에서 10회 승리,0,61820,10,0,8000,0,0,199,10,10,0,8
47,꼬마 친구 공방전: 대결 횟수 2,꼬마 친구 공방전 대결 3회 완료,0,61820,3,0,10000,0,0,224,10,15,0,8
48,공략수첩: 달성 수 5,공략수첩에 적힌 과제 30종류 달성,0,61810,30,0,15000,0,30,0,12,5,0,3
49,카드 대결장: 대결 횟수,카드 대결장에 입장하여 트리플 트라이어드 대결 5회 완료,0,61820,5,0,2500,0,0,200,10,11,0,8
50,카드 대결장: 승리 횟수,카드 대결장에 입장하여 트리플 트라이어드 대결 3회 승리,0,61820,3,0,3000,0,0,200,10,12,0,8
51,단골 거래: 납품 횟수,단골에게 6회 납품,0,61827,6,0,1000,0,60,219,5,10,0,3
52,작살질,작살질로 아이템 50회 채집,0,61815,50,5,1000,0,0,241,5,8,5,3
53,작살질: 월척,작살질로 월척 20회 채집,0,61815,20,5,2000,0,0,241,5,9,5,3
54,경쟁의 날개: 참전 횟수,경쟁의 날개 10회 참전,0,61806,10,0,1000,0,0,240,2,5,0,9
55,경쟁의 날개: 승리 횟수,경쟁의 날개 5회 승리,0,61806,5,0,1000,0,0,240,2,6,0,9
56,에우레카: 번개/얼음속성 처치 수 1,'내 엘리멘탈레벨-2' 이상 레벨인 번개속성 또는 얼음속성 적을 30마리 처치,0,61833,30,5,1000,0,0,251,13,9,10,3
57,에우레카: 번개/얼음속성 처치 수 2,'내 엘리멘탈레벨-2' 이상 레벨인 번개속성 또는 얼음속성 적을 60마리 처치,0,61833,60,15,1000,0,0,251,13,10,10,3
58,에우레카: 불/땅속성 처치 수 1,'내 엘리멘탈레벨-2' 이상 레벨인 불속성 또는 땅속성 적을 30마리 처치,0,61833,30,5,1000,0,0,251,13,11,10,3
59,에우레카: 불/땅속성 처치 수 2,'내 엘리멘탈레벨-2' 이상 레벨인 불속성 또는 땅속성 적을 60마리 처치,0,61833,60,15,1000,0,0,251,13,12,10,3
60,에우레카: 물/바람속성 처치 수 1,'내 엘리멘탈레벨-2' 이상 레벨인 물속성 또는 바람속성 적을 30마리 처치,0,61833,30,5,1000,0,0,251,13,13,10,3
61,에우레카: 물/바람속성 처치 수 2,'내 엘리멘탈레벨-2' 이상 레벨인 물속성 또는 바람속성 적을 60마리 처치,0,61833,60,15,1000,0,0,251,13,14,10,3
62,에우레카: 언데드 처치 수 1,자신과 엘리멘탈레벨이 같거나 높은 언데드 계열 적을 20마리 처치,0,61833,20,5,1000,0,0,251,13,15,10,3
63,에우레카: 언데드 처치 수 2,자신과 엘리멘탈레벨이 같거나 높은 언데드 계열 적을 40마리 처치,0,61833,40,15,1000,0,0,251,13,16,10,3
64,에우레카: 정령 처치 수 1,자신과 엘리멘탈레벨이 같거나 높은 정령 계열 적을 10마리 처치,0,61833,10,5,1000,0,0,251,13,17,10,3
65,에우레카: 정령 처치 수 2,자신과 엘리멘탈레벨이 같거나 높은 정령 계열 적을 20마리 처치,0,61833,20,15,1000,0,0,251,13,18,10,3
66,꼬마 친구 공방전: 대결 횟수 1,꼬마 친구 공방전 대결 1회 완료,0,61820,1,0,5000,0,0,224,10,14,0,8
67,꼬마 친구 공방전: 대결 횟수 3,꼬마 친구 공방전 대결 5회 완료,0,61820,5,0,12000,0,0,224,10,16,0,8
68,공략 임무: 달성 횟수,공략 임무 3회 달성,372,61812,3,0,5000,0,0,0,8,3,0,6
69,작패유희: 대국 횟수,작패유희 플레이어 대국 2회 참가,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,돌발 임무: 최고 평가 횟수 1,돌발 임무에서 최고 평가 5회 획득,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,돌발 임무: 최고 평가 횟수 2,돌발 임무에서 최고 평가 10회 획득,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,아이템 분해,아이템 분해 5회 실행 (제작자 직업일 때에만 경험치 보상 획득),95,61816,5,10,2000,0,0,0,5,3,5,3
73,트리플 트라이어드: 토너먼트 참가,공식 토너먼트에 1회 참가하여 보상 수령,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,무인도 개척: 재료 획득 수,무인도에서 재료 100개 획득,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,무인도 개척: 특산품 생산 수,무인도에서 특산품 20개 생산 및 출하,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,초승달 섬: 마물 처치 수 1,자신과 지식 레벨이 같거나 높은 마물을 30마리 처치,70847,61851,30,30,140,0,0,0,13,1,12,13
77,초승달 섬: 마물 처치 수 2,자신과 지식 레벨이 같거나 높은 마물을 60마리 처치,70847,61851,60,70,240,0,0,0,13,2,12,13
78,초승달 섬: 비상 조우 완료 횟수 1,초승달 섬에서 비상 조우 8회 완료,70847,61851,8,30,140,0,0,0,13,3,12,13
79,초승달 섬: 비상 조우 완료 횟수 2,초승달 섬에서 비상 조우 15회 완료,70847,61851,15,70,240,0,0,0,13,4,12,13
80,초승달 섬: 돌발 임무 완료 횟수 1,초승달 섬에서 돌발 임무 10회 완료,70847,61851,10,30,140,0,0,0,13,5,12,13
81,초승달 섬: 돌발 임무 완료 횟수 2,초승달 섬에서 돌발 임무 20회 완료,70847,61851,20,70,240,0,0,0,13,6,12,13
82,초승달 섬: 연속 처치 횟수 1,초승달 섬에서 20체인 달성,70847,61851,1,30,140,0,0,0,13,7,12,13
83,초승달 섬: 연속 처치 횟수 2,초승달 섬에서 40체인 달성,70847,61851,1,70,240,0,0,0,13,8,12,13
84,노르브란트 순례길: 순례길 돌파 도전 1,제20순례길 돌파,70941,61824,1,7,0,0,0,0,14,1,14,0
85,노르브란트 순례길: 순례길 돌파 도전 2,제30순례길 돌파,70941,61824,1,2,0,0,0,0,14,2,15,0
86,노르브란트 순례길: 순례길 돌파 도전 3,제50순례길 돌파,70942,61824,1,8,0,0,0,0,14,3,14,0
87,노르브란트 순례길: 순례길 돌파 도전 4,제70순례길 돌파,70942,61824,1,3,0,0,0,0,14,4,15,0
88,노르브란트 순례길: 순례길 돌파 도전 5,제100순례길 돌파,70942,61824,1,10,0,0,0,0,14,5,14,0
89,,,0,0,0,0,0,0,0,0,0,0,0,0
90,,,0,0,0,0,0,0,0,0,0,0,0,0
91,,,0,0,0,0,0,0,0,0,0,0,0,0
92,,,0,0,0,0,0,0,0,0,0,0,0,0
93,,,0,0,0,0,0,0,0,0,0,0,0,0
94,,,0,0,0,0,0,0,0,0,0,0,0,0
95,,,0,0,0,0,0,0,0,0,0,0,0,0
96,,,0,0,0,0,0,0,0,0,0,0,0,0
97,,,0,0,0,0,0,0,0,0,0,0,0,0
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,0,0,0,0,0,0,0,0
100,,,0,0,0,0,0,0,0,0,0,0,0,0
101,,,0,0,0,0,0,0,0,0,0,0,0,0
102,,,0,0,0,0,0,0,0,0,0,0,0,0
103,,,0,0,0,0,0,0,0,0,0,0,0,0
