#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,Unknown3,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
10,GP,,20,20,20,20,20,0,20,40,250,250,250,130,20,20,40,80,0,40,100,60,60,40,40,35,100,100,100,100,100,100,100,100,100,100,100,100,100,9,False
11,CP,,20,20,30,20,30,30,30,30,250,250,250,130,20,20,50,110,0,60,140,80,80,50,50,32,100,100,100,100,100,100,100,100,100,100,100,100,100,10,False
12,물리 기본 성능,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,1,100,100,100,100,100,100,100,100,100,50,100,100,100,-1,False
13,마법 기본 성능,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,2,50,50,50,50,50,100,100,50,100,30,50,50,50,-1,False
14,공격 주기,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,100,100,100,100,100,100,100,100,100,100,100,100,11,False
15,추가 효과,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
16,공격 횟수,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
17,방패 막기 발동력,,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,100,100,100,50,50,100,50,100,100,100,100,-1,False
18,방패 막기 성능,,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,100,100,100,100,50,50,100,50,100,100,100,100,-1,False
19,불굴,"방어 역할 직업의 주는 피해량, 회복량, 받는 피해량에 영향을 줍니다.
불굴이 높을수록 주는 피해량과 회복량이 증가하고, 받는 피해량이 감소합니다.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,24,100,100,100,100,100,100,100,100,100,100,100,100,100,12,False
20,물리 공격력,"물리 공격에 의한 피해량에 영향을 줍니다.
물리 공격력이 높을수록 물리 공격으로 적에게 주는 피해가 커집니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,100,100,100,100,100,100,100,100,100,100,100,100,13,False
21,물리 방어력,"물리 공격을 받았을 때의 피해량이 줄어듭니다.
물리 방어력이 높을수록 물리 공격에 의해 받는 피해가 작아집니다.",0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,472,5,66,100,70,55,55,40,40,100,40,33,55,55,55,14,False
22,직격,"물리/마법 공격으로 주는 피해량이 일정 비율 증가합니다.
수치가 높을수록 직격 발생 확률이 높아지며, 반드시 직격으로 적중하는 기술은 주는 피해량이 증가합니다.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,23,100,100,100,100,100,100,100,100,100,100,100,100,100,15,False
23,회피력,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,100,100,100,100,100,100,100,100,100,100,100,100,100,16,False
24,마법 방어력,"마법 공격으로 받는 피해가 감소합니다.
수치가 높을수록 효과가 증가합니다.",0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,472,6,33,100,55,55,55,70,70,100,70,66,55,55,55,17,False
25,극대화 공격력,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
26,극대화 방어력,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
27,극대화,"공격 또는 회복 시 주는 피해량과 회복량에 영향을 줍니다.
수치가 높을수록  극대화 발생 확률과 주는 피해량, 회복량이 증가합니다.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,19,100,100,100,100,100,100,100,100,100,100,100,100,100,18,False
28,극대화 회피력,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
29,베기 저항,베기속성 피해를 줄여줍니다.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,43,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
30,찌르기 저항,찌르기속성 피해를 줄여줍니다.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,44,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
31,타격 저항,타격속성 피해를 줄여줍니다.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,45,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
32,사격 저항,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
33,공격마법 위력,"공격마법 피해량에 영향을 줍니다.
공격마법 위력이 높을수록 공격마법으로 적에게 주는 피해가 커집니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,100,100,100,100,100,100,100,100,100,100,100,100,19,False
34,회복마법 위력,"회복마법 회복량에 영향을 줍니다.
회복마법 위력이 높을수록 회복마법에 의한 회복량이 늘어납니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,100,100,100,100,100,100,100,100,100,100,100,20,False
35,강화마법 위력,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
36,속성치,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,36,100,100,100,100,100,100,100,100,100,100,100,100,100,21,False
37,불,불속성 피해를 줄여줍니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,37,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
38,얼음,얼음속성 피해를 줄여줍니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,38,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
39,바람,바람속성 피해를 줄여줍니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,39,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
40,땅,땅속성 피해를 줄여줍니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,40,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
41,번개,번개속성 피해를 줄여줍니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,41,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
42,물,물속성 피해를 줄여줍니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,42,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
43,모든 마법 저항,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
44,의지력,의지력이 높을수록 자신이 주는 피해량과 회복량이 증가합니다.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,20,100,100,100,100,100,100,100,100,100,100,100,100,100,22,False
45,기술 시전 속도,"무기 기술의 시전 시간과 재사용 대기 시간, 자동 공격, 물리 공격으로 주는 지속 피해량에 영향을 줍니다.
기술 시전 속도가 높을수록 무기 기술에 필요한 시전 시간과 재사용 대기 시간이 단축되며,
자동 공격과 지속 피해 효과의 피해량이 증가합니다.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,21,100,100,100,100,100,100,100,100,100,100,100,100,100,23,False
46,마법 시전 속도,"마법 시전 시간, 재사용 대기 시간, 지속 피해량, 지속 회복량에 영향을 줍니다.
마법 시전 속도가 높을수록 마법 시전 시간과 재사용 대기 시간이 짧아집니다.
또한, 지속 피해 효과의 피해량과 지속 회복 효과의 회복량도 증가합니다.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,22,100,100,100,100,100,100,100,100,100,100,100,100,100,24,False
47,헤이스트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,100,100,100,100,100,100,100,100,100,100,100,100,25,True
48,투쟁심,"PvP에서 물리 방어력과 마법 방어력 대신다른 플레이어로부터 받는 피해량에 영향을 줍니다.
또 다른 플레이어에게 주는 피해량에도 영향을 줍니다.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,73,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
49,적개심,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
50,적개심-,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
51,분해 숙련도 상승률,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
52,경험치 획득량,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
53,리제네,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
54,특수 보정,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
55,주 능력치,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,11,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
56,보조 능력치,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,18,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
57,둔화 저항,둔화 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,61,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
58,석화 저항,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,62,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
59,마비 저항,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,63,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
60,침묵 저항,침묵 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,64,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
61,실명 저항,실명 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,65,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
62,독 저항,독 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,66,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
63,기절 저항,기절 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,67,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
64,수면 저항,수면 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,68,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
65,속박 저항,속박 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,69,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
66,과중력 저항,과중력 지속시간을 줄여줍니다.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,70,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
67,죽음의 선고 저항,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,71,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
68,장비 소모 저항,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
69,결속도 증가량,,100,20,80,80,80,80,80,80,80,80,80,80,120,60,160,320,0,160,400,240,240,160,160,56,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
70,작업 숙련도,"제작 시 작업 진행에 영향을 줍니다.
작업 숙련도가 높을수록 작업이 많이 진행됩니다.",350,350,20,300,20,20,20,20,20,20,20,30,350,350,320,360,0,40,380,340,340,320,320,30,100,100,100,100,100,100,100,100,100,100,100,100,100,26,False
71,가공 숙련도,"제작 시 품질 향상에 영향을 줍니다.
가공 숙련도가 높을수록 품질이 많이 높아집니다.",200,200,120,120,120,100,120,120,30,30,30,40,200,200,200,400,0,200,500,300,300,240,240,31,100,100,100,100,100,100,100,100,100,100,100,100,100,27,False
72,획득력,"채집 시 아이템 획득률에 영향을 줍니다.
획득력이 높을수록 획득률이 높아집니다.",350,200,20,200,150,0,100,10,10,10,10,10,350,350,210,460,0,110,470,450,310,350,300,33,100,100,100,100,100,100,100,100,100,100,100,100,100,28,False
73,기술력,"광부 및 원예가의 아이템 획득량에 영향을 줍니다.
기술력이 높을수록 아이템을 더 많이 얻을 수 있습니다.
어부의 물고기 크기에 영향을 줍니다.
기술력이 높을수록 큰 물고기를 잡기 쉬워집니다.",200,350,200,100,10,0,50,110,10,10,10,10,200,200,300,220,0,110,420,120,210,110,150,34,100,100,100,100,100,100,100,100,100,100,100,100,100,29,False
