#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
21,별빛축제 갑주,,별빛축제 갑주,0,0,0,1,0,0,65540,65540,65540,58564,58565,58566,0,101
22,리바이어선 갑주,,리바이어선 갑주,0,0,0,1,0,0,65556,65556,65556,58567,58568,58569,0,125
23,빛의 갑주,,빛의 갑주,0,0,0,1,0,0,65557,65557,65557,58570,58571,58572,0,41
24,달걀 갑주,,달걀 갑주,0,0,0,1,0,0,65558,0,0,58573,0,0,0,102
25,라무 갑주,,라무 갑주,0,0,0,1,0,0,65560,65560,65560,58576,58577,58578,0,126
26,깃털장식 갑주,,깃털장식 갑주,0,0,0,1,0,0,65559,0,0,58579,0,0,0,53
27,마녀 갑주,,마녀 갑주,0,0,0,1,0,0,65561,65561,65561,58582,58583,58584,0,103
28,시바 갑주,,시바 갑주,0,0,0,1,0,0,65562,65562,65562,58585,58586,58587,0,127
29,도박사 갑주,,도박사 갑주,0,0,0,1,0,0,65565,65565,65565,58591,58592,58593,0,42
30,연인의 갑주,,연인의 갑주,0,0,0,1,0,0,65566,65566,65566,58588,58589,58590,0,104
31,이슈가르드 경갑주,,이슈가르드 경갑주,0,0,0,1,0,0,65567,65567,65567,58594,58595,58596,0,54
32,이슈가르드 갑주,,이슈가르드 갑주,0,0,0,1,0,0,131103,131103,131103,58597,58598,58599,0,55
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,비스마르크 갑주,,비스마르크 갑주,0,0,0,1,0,0,65568,65568,65568,58603,58604,58605,0,128
35,라바나 갑주,,라바나 갑주,0,0,0,1,0,0,65569,65569,65569,58606,58607,58608,0,129
36,귀족의 갑주,,귀족의 갑주,0,0,0,1,0,0,65570,65570,65570,58609,58610,58611,0,57
37,정교도 갑주,,정교도 갑주,0,0,0,1,0,0,131106,131106,131106,58612,58613,58614,0,58
38,고원 갑주,,고원 갑주,0,0,0,1,0,0,65571,65571,65571,58615,58616,58617,0,59
39,들장미 갑주,,들장미 갑주,0,0,0,1,0,0,65573,65573,65573,58618,58619,58620,0,43
40,기사신 갑주,,기사신 갑주,0,0,0,1,0,0,65574,65574,65574,58621,58622,58623,0,130
41,세피로트 갑주,,세피로트 갑주,0,0,0,1,0,0,65572,65572,65572,58624,58626,58625,0,131
42,알 사냥 갑주,,알 사냥 갑주,0,0,0,1,0,0,65575,65575,65575,58627,58629,58628,0,105
43,동방 갑주,,동방 갑주,0,0,0,1,0,0,65577,65577,65577,58630,58632,58631,0,60
44,경주용 갑주,,경주용 갑주,0,0,0,1,0,0,65579,65579,65579,58633,58635,58634,0,61
45,니드호그 갑주,,니드호그 갑주,0,0,0,1,0,0,65578,65578,65578,58636,58638,58637,0,132
46,집사 갑주,,집사 갑주,0,0,0,1,0,0,65580,65580,65580,58639,58641,58640,0,62
47,소피아 갑주,,소피아 갑주,0,0,0,1,0,0,65576,65576,65576,58642,58644,58643,0,133
48,메이드 갑주,,메이드 갑주,0,0,0,1,0,0,65581,65581,65581,58645,58647,58646,0,63
49,맨더빌 메이드 갑주,,맨더빌 메이드 갑주,0,0,0,1,0,0,131117,131117,131117,58648,58650,58649,0,64
50,천사 갑주,,천사 갑주,0,0,0,1,0,0,65583,65583,65583,58651,58653,58652,0,65
51,악마 갑주,,악마 갑주,0,0,0,1,0,0,65584,65584,65584,58654,58656,58655,0,66
52,주르반 갑주,,주르반 갑주,0,0,0,1,0,0,65582,65582,65582,58657,58659,58658,0,134
53,스사노오 갑주,,스사노오 갑주,0,0,0,1,0,0,65585,65585,65585,58660,58662,58661,0,135
54,알라미고 갑주,,알라미고 갑주,0,0,0,1,0,0,65586,65586,65586,58663,58665,58664,0,67
55,락슈미 갑주,,락슈미 갑주,0,0,0,1,0,0,65587,65587,65587,58666,58668,58667,0,136
56,동국 갑주,,동국 갑주,0,0,0,1,0,0,65588,65588,65588,58669,58671,58670,0,68
57,동양 갑주,,동양 갑주,0,0,0,1,0,0,131124,131124,131124,58672,58674,58673,0,69
58,나타 갑주,,나타 갑주,0,0,0,1,0,0,65589,65589,65589,58675,58677,58676,0,70
59,신룡 갑주,,신룡 갑주,0,0,0,1,0,0,65590,65590,65590,58678,58680,58679,0,137
60,익시온 갑주,,익시온 갑주,0,0,0,1,0,0,65591,65591,65591,58681,58683,58682,0,173
61,적마도사 갑주,,적마도사 갑주,0,0,0,1,0,0,65592,65592,65592,58684,58686,58685,0,22
62,백호 갑주,,백호 갑주,0,0,0,1,0,0,65593,65593,65593,58687,58689,58688,0,138
63,초코보 우비,,초코보 우비,0,0,0,1,0,0,65594,65594,65594,58690,58692,58691,0,71
64,츠쿠요미 갑주,,츠쿠요미 갑주,0,0,0,1,0,0,65595,65595,65595,58693,58695,58694,0,139
65,주작 갑주,,주작 갑주,0,0,0,1,0,0,65596,65596,65596,58696,58698,58697,0,140
66,사무라이 갑주,,사무라이 갑주,0,0,0,1,0,0,65597,65597,65597,58699,58701,58700,0,23
67,청룡 갑주,,청룡 갑주,0,0,0,1,0,0,65598,65598,65598,58702,58704,58703,0,141
68,요우진보 갑주,,요우진보 갑주,0,0,0,1,0,0,65599,65599,65599,58705,58707,58706,0,174
69,티타니아 갑주,,티타니아 갑주,0,0,0,1,0,0,65600,65600,65600,58708,58710,58709,0,142
70,이노센스 갑주,,이노센스 갑주,0,0,0,1,0,0,65601,65601,65601,58711,58713,58712,0,143
71,무도가 갑주,,무도가 갑주,0,0,0,1,0,0,65602,65602,65602,58714,58716,58715,0,24
72,암영 갑주,,암영 갑주,0,0,0,1,0,0,65603,65603,65603,58717,58719,58718,0,72
73,하데스 갑주,,하데스 갑주,0,0,0,1,0,0,65604,65604,65604,58720,58722,58721,0,144
74,성인의 수행원 갑주,,성인의 수행원 갑주,0,0,0,1,0,0,65605,65605,65605,58723,58725,58724,0,106
75,루비 웨폰 갑주,,루비 웨폰 갑주,0,0,0,1,0,0,65606,65606,65606,58726,58728,58727,0,145
76,기공사 갑주,,기공사 갑주,0,0,0,1,0,0,65607,65607,65607,58729,58731,58730,0,25
77,진정한 빛의 갑주,,진정한 빛의 갑주,0,0,0,1,0,0,65608,65608,65608,58732,58734,58733,0,146
78,에메랄드 웨폰 갑주,,에메랄드 웨폰 갑주,0,0,0,1,0,0,65609,65609,65609,58735,58737,58736,0,147
79,세이브 더 퀸 갑주,,세이브 더 퀸 갑주,0,0,0,1,0,0,65610,65610,65610,58738,58740,58739,0,148
80,보즈야 갑주,,보즈야 갑주,0,0,0,1,0,0,65611,65611,65611,58741,58743,58742,0,150
81,다이아몬드 웨폰 갑주,,다이아몬드 웨폰 갑주,0,0,0,1,0,0,65612,65612,65612,58744,58746,58745,0,149
82,영원한 어둠 갑주,,영원한 어둠 갑주,0,0,0,1,0,0,65613,65613,65613,58747,58749,58748,0,151
83,신성한 빛 갑주,,신성한 빛 갑주,0,0,0,1,0,0,65614,65614,65614,58750,58752,58751,0,152
84,배달부 갑주,,배달부 갑주,0,0,0,1,0,0,65615,65615,65615,58753,58755,58754,0,107
85,사베네어 갑주,,사베네어 갑주,0,0,0,1,0,0,65616,65616,65616,58756,58758,58757,0,73
86,파란깃 갑주,,파란깃 갑주,0,0,0,1,0,0,65617,65617,65617,58759,58761,58760,0,153
87,늑대 갑주,,늑대 갑주,0,0,0,1,0,0,65618,65618,65618,58762,58764,58763,0,74
88,바르바리차 갑주,,바르바리차 갑주,0,0,0,1,0,0,65619,65619,65619,58768,58770,58769,0,154
89,섬 개척자 갑주,,섬 개척자 갑주,0,0,0,1,0,0,65620,65620,65620,58765,58767,58766,0,75
90,루비칸테 갑주,,루비칸테 갑주,0,0,0,1,0,0,65621,65621,65621,58771,58773,58772,0,155
91,알라그 갑주,,알라그 갑주,0,0,0,1,0,0,65622,65622,65622,58774,58776,58775,0,76
92,골베자 갑주,,골베자 갑주,0,0,0,1,0,0,65623,65623,65623,58777,58779,58778,0,156
93,야옹 선생 갑주,,야옹 선생 갑주,0,0,0,1,0,0,65624,65624,65624,58780,58782,58781,0,78
94,제로무스 갑주,,제로무스 갑주,0,0,0,1,0,0,65625,65625,65625,58783,58785,58784,0,157
95,여행자 갑주,,여행자 갑주,0,0,0,1,0,0,65626,65626,65626,58786,58788,58787,0,79
96,투랄 모험가 갑주,,투랄 모험가 갑주,0,0,0,1,0,0,65627,65627,65627,58789,58791,58790,0,80
97,발리가르만다 갑주,,발리가르만다 갑주,0,0,0,1,0,0,65628,65628,65628,58792,58794,58793,0,161
98,일렉트로프 갑주,,일렉트로프 갑주,0,0,0,1,0,0,65629,65629,65629,58795,58797,58796,0,162
99,야생의 땅 갑주,,야생의 땅 갑주,0,0,0,1,0,0,65630,65630,65630,58798,58800,58799,0,83
100,이터널 갑주,,이터널 갑주,0,0,0,1,0,0,65631,65631,65631,58801,58803,58802,0,163
101,별빛 시장 갑주,,별빛 시장 갑주,0,0,0,1,0,0,65632,65632,65632,58804,58806,58805,0,108
102,여왕의 기사 갑주,,여왕의 기사 갑주,0,0,0,1,0,0,65633,65633,65633,58807,58809,58808,0,164
103,죽음의 갑주,,죽음의 갑주,0,0,0,1,0,0,65634,65634,65634,58810,58812,58811,0,165
104,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
