key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
28,1,4,48,20,True,8664695,8664772,69629,0,0,0,"뿔 달린 흉조 '알코노스트'","마수대대의 새조련사가
전선을 밀어올리고자 비장의 수단을 투입했다
뿔 달린 흉조, 알코노스트를 쓰러뜨려라",0,0,0,0,0
29,1,8,48,20,True,8664696,8664773,69620,0,0,0,"모조 통제자 'IV군단 하쉬말림'","마도승병대대의 이단 승병이
목숨을 걸고 성석 조각의 힘을 풀었다
IV군단 하쉬말림을 쓰러뜨려라",0,0,0,0,0
30,1,2,48,20,True,8664697,8664774,69629,0,0,0,"빛나는 무지개뱀 '아이다'","술사대대가 전선을 방어하고자
새로운 마법 생물을 소환했다
빛나는 무지개뱀, 아이다를 쓰러뜨려라",0,0,0,0,0
31,2,3,1,20,True,8664698,8664775,69629,0,6,0,"전율하는 백수의 왕 '마수왕 라이언'","호걸을 찾아다니는 천인대장
라이언에게 도전을 받았다
결투에 응하여 마수왕 라이언을 쓰러뜨려라",0,0,0,0,0
32,4,6,48,20,True,0,0,69624,5,0,9678,"기함 달리아다 공략전","적 기함이 행동불능 상태가 되었다
이 틈에 동료들과 함께 기함에 올라
최심부에 숨어 있는 적을 무찔러라",222,302,-661,0,0
33,1,4,72,20,True,10962704,0,0,0,0,0,"뇌수 애호가 '정신탈취자'","신선한 뇌를 좋아하는 요마가
사냥감을 찾아 습격해 왔다
뇌수 애호가, 정신탈취자를 쓰러뜨려라",0,0,0,0,0
34,3,4,72,20,True,10940977,0,0,0,0,0,"검은 연대","초승달 섬의 검은 초코보들이
무리 지어 습격해 왔다
검은 초코보들을 섬멸하라",0,0,0,0,0
35,1,4,72,20,True,10962716,0,0,0,0,0,"분노한 인조인간 '초승달 광전사'","창조주에게 특정 감정을 주입당한
인간형 사역마가 날뛰고 있다
분노한 인조인간, 초승달 광전사를 쓰러뜨려라",0,0,0,0,0
36,1,4,72,20,True,10940989,0,0,0,0,0,"은밀히 다가오는 손톱 '죽음손아귀'","금단마법으로 만들어진 사령이
산 자를 찾아 떠돌고 있다
은밀히 다가오는 손톱, 죽음손아귀를 쓰러뜨려라",0,0,0,0,0
37,1,4,72,20,True,10941018,0,0,0,0,0,"봉인된 대요마 '회랑 악마'","섬의 주인에게 봉인당한 대요마가
봉인을 풀기 위해 이공간에서 나타났다
봉인된 대요마, 회랑 악마를 쓰러뜨려라",0,0,0,0,0
38,1,4,72,20,True,10962728,0,0,0,0,0,"모조된 존재 '수정룡'","섬 주인이 만든 사역마가
침입자의 힘을 측정하기 위해 모습을 드러냈다
모조된 존재, 수정룡을 쓰러뜨려라",0,0,0,0,0
39,1,4,72,20,True,10937430,0,0,0,0,0,"수수께끼에 싸인 토우 '신비로운 우상'","불길함과 신성함이 동시에 느껴지는 토우가
모험가 앞에 나타났다
수수께끼에 싸인 토우, 신비로운 우상을 쓰러뜨려라",0,0,0,0,0
40,3,4,72,20,True,11131960,0,0,0,0,0,"돌로 만들어진 수호 기사들","건축물을 지키기 위해
기사상이 싸움을 걸어왔다
초승달 기사들을 쓰러뜨려라",0,0,0,0,0
41,1,4,72,20,True,11102245,0,0,0,0,0,"전설의 상어 '니므 페탈로두스'","해양도시 니므의 전설에 등장하는
흉포한 상어인간이 나타났다
전설의 상어, 니므 페탈로두스를 쓰러뜨려라",0,0,0,0,0
42,1,4,72,20,True,10937461,0,0,0,0,0,"두 발로 선 사자 '직립 사자'","백마법이 담긴 석상이
석조 성채에 나타났다
두 발로 선 사자, 직립 사자를 쓰러뜨려라",0,0,0,0,0
43,1,4,72,20,True,11102367,0,0,0,0,0,"보안 명령","치안 유지용 돌 인형이
모험가를 위험 인자로 판단했다
지휘관 항아리와 그 무리를 쓰러뜨려라",0,0,0,0,0
44,1,4,72,20,True,10941033,0,0,0,0,0,"새를 싫어하는 거대 짐승 '네오 가루라'","성가신 새가 영역을 침범해
분노에 찬 짐승이 나타났다
새를 싫어하는 거대 짐승, 네오 가루라를 쓰러뜨려라",0,0,0,0,0
45,1,4,72,20,True,10962741,0,0,0,0,0,"저주를 파는 거북 '동전거북'","마법으로 지혜를 얻은 육지거북이
저주 물건을 팔려고 수를 쓰고 있다
저주를 파는 거북, 동전거북을 쓰러뜨려라",0,0,0,0,0
46,1,4,72,20,True,10937473,0,0,0,0,0,"오래된 사자상 '복원된 사자'","마법대전 때 쓰인 방어 기구가
침입자를 가로막았다
오래된 사자상, 복원된 사자를 쓰러뜨려라",0,0,0,0,0
47,1,4,72,20,True,10962753,0,0,0,0,0,"어둑한 화톳불 '힝키펑크'","새를 본뜬 고대의 조각상에
요마의 혼이 빙의하여 움직이기 시작했다
어둑한 화톳불, 힝키펑크를 쓰러뜨려라",0,0,0,0,0
48,4,6,48,30,False,0,0,70853,0,0,0,"포크 타워: 힘의 탑","초승달 섬 남부에
수수께끼에 싸인 탑이 신기루처럼 나타났다
동료들과 함께 돌입해 최상층을 돌파하라",0,0,0,63978,63978
