key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,0,0,0,0,76,6710285,3,0,0,88,6710328,3,0,0,73,6710310,3,0,0,6887968,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
11,2002064,2002062,0,0,28,6710298,3,0,0,32,6710316,3,0,0,36,6710324,1,0,0,6710323,111101,"탐사 임무: 구름바다종 표본 수집","하늘섬 특유의 격리된 환경 덕에 디아뎀 제도에는 희귀한 고대종 생물이 서식하고 있다. 개중에는 속성의 힘이 작용하여 변이를 일으킨 개체도 있는 듯하다.
이 특이한 생물군의 표본을 채취해 박물학적으로 조사하려고 한다. '유인향 덫'을 사용하여 대상 생물을 유인한 뒤 처치하고, 표본을 채취하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
12,2002059,2002060,0,0,48,6710333,3,0,0,49,6710286,3,0,0,50,6710324,1,0,0,6710323,111101,"탐사 임무: 유인향 재료 확보","우리 아유나르트 가에서 탐사 사업을 진행한 결과, 디아뎀 제도에 서식하는 일부 생물이 다른 종을 유인하는 냄새를 풍긴다는 사실이 판명되었다.
이 효과를 이용한 '유인향'을 제작하여 전투를 효율적으로 이끌고자 한다. 지정한 두 지점에 가, 특정 종을 처치하고 재료를 확보하기 바란다.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
13,0,0,0,0,40,6710303,3,0,0,45,6710337,3,0,0,47,6710337,2,6798627,5,6798626,111101,"탐사 임무: 고대종 알 확보","박물학 연구의 일환으로 고대종의 알을 확보했으면 한다. 꼭꼭 숨긴 알은 찾기가 어려우니, 알을 좋아하는 탐욕스러운 쥐들을 이용하라.
우선 마물을 처리하면서 주변을 탐색하다가, 쥐가 나타나면 신속히 제거한 후 알을 빼앗아 회수 지점으로 운반하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","회수 지점 도착 확인……
거기까지만 옮겨주면 나머지는 우리가 회수하겠다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
14,0,0,0,0,43,6710325,3,0,0,45,6710311,3,0,0,47,6710311,2,6798619,5,6798618,111101,"탐사 임무: 고대종 알 확보","박물학 연구의 일환으로 고대종의 알을 확보했으면 한다. 꼭꼭 숨긴 알은 찾기가 어려우니, 알을 좋아하는 탐욕스러운 쥐들을 이용하라.
우선 마물을 처리하면서 주변을 탐색하다가, 쥐가 나타나면 신속히 제거한 후 알을 빼앗아 회수 지점으로 운반하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","회수 지점 도착 확인……
거기까지만 옮겨주면 나머지는 우리가 회수하겠다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
15,2002061,0,2745,0,51,6710324,1,0,0,55,6710289,3,0,0,58,6710306,3,0,0,6887967,111101,"탐사 임무: 시약 효과 시험","우리 아유나르트 가에서는 디아뎀 제도 탐사 사업을 원활하게 진행하고자 기술 개발에도 힘쓰고 있다. 이번에 그 일환으로 어떤 시약을 조제하는 데 성공했지.
이 '약화 시약'은 특정 생물의 전투 능력을 감소시키는 효과가 있을 것으로 기대되는데, 약효를 직접 확인하고자 하니 모험가 제군이 효과를 시험해 다오.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
시약의 약효 시험이 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
17,2002043,2002046,0,0,15,6798648,4,0,0,23,6798628,4,0,0,25,6710324,1,0,0,6710323,111101,"탐사 임무: 과다성 크리스탈 수집","속성의 힘이 급변하는 디아뎀 제도에서는 에테르 결정화가 진행되고 있다. 강력한 속성의 힘을 띤 이 크리스탈은 중요한 자원이 될 수도 있으므로, 모험가 제군에게 이 '과다성 크리스탈' 수집을 의뢰하고자 한다. 수집한 자원은 '풍요호 좌초 지점'에 있는 '아유나르트 가 비행사'에게 납품하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
18,0,0,0,0,78,6710295,3,0,0,65,6788805,3,0,0,93,6788805,2,0,0,6887984,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
예상 밖의 강적이 나타났으나, 제거된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
19,0,0,0,0,75,6710340,3,0,0,83,6710314,3,0,0,90,6710314,2,0,0,6887969,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
예상 밖의 강적이 나타났으나, 제거된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
20,0,0,0,0,80,6710307,3,0,0,85,6710345,3,0,0,72,6710286,3,0,0,6887958,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
21,2002064,2002062,0,0,29,6710306,3,0,0,32,6710321,3,0,0,36,6710324,1,0,0,6710323,111101,"탐사 임무: 구름바다종 표본 수집","하늘섬 특유의 격리된 환경 덕에 디아뎀 제도에는 희귀한 고대종 생물이 서식하고 있다. 개중에는 속성의 힘이 작용하여 변이를 일으킨 개체도 있는 듯하다.
이 특이한 생물군의 표본을 채취해 박물학적으로 조사하려고 한다. '유인향 덫'을 사용하여 대상 생물을 유인한 뒤 처치하고, 표본을 채취하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
22,2002059,2002060,0,0,48,6710336,3,0,0,49,6710298,3,0,0,50,6710324,1,0,0,6710323,111101,"탐사 임무: 유인향 재료 확보","우리 아유나르트 가에서 탐사 사업을 진행한 결과, 디아뎀 제도에 서식하는 일부 생물이 다른 종을 유인하는 냄새를 풍긴다는 사실이 판명되었다.
이 효과를 이용한 '유인향'을 제작하여 전투를 효율적으로 이끌고자 한다. 지정한 두 지점에 가, 특정 종을 처치하고 재료를 확보하기 바란다.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
23,0,0,0,0,38,6710317,3,0,0,44,6710329,3,0,0,47,6710329,2,6798623,5,6798622,111101,"탐사 임무: 고대종 알 확보","박물학 연구의 일환으로 고대종의 알을 확보했으면 한다. 꼭꼭 숨긴 알은 찾기가 어려우니, 알을 좋아하는 탐욕스러운 쥐들을 이용하라.
우선 마물을 처리하면서 주변을 탐색하다가, 쥐가 나타나면 신속히 제거한 후 알을 빼앗아 회수 지점으로 운반하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","회수 지점 도착 확인……
거기까지만 옮겨주면 나머지는 우리가 회수하겠다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
24,0,0,0,0,40,6710289,3,0,0,46,6710320,3,0,0,47,6710320,2,6798621,5,6798620,111101,"탐사 임무: 고대종 알 확보","박물학 연구의 일환으로 고대종의 알을 확보했으면 한다. 꼭꼭 숨긴 알은 찾기가 어려우니, 알을 좋아하는 탐욕스러운 쥐들을 이용하라.
우선 마물을 처리하면서 주변을 탐색하다가, 쥐가 나타나면 신속히 제거한 후 알을 빼앗아 회수 지점으로 운반하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","회수 지점 도착 확인……
거기까지만 옮겨주면 나머지는 우리가 회수하겠다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
25,2002061,0,2745,0,51,6710324,1,0,0,53,6710299,3,0,0,57,6710285,3,0,0,6887957,111101,"탐사 임무: 시약 효과 시험","우리 아유나르트 가에서는 디아뎀 제도 탐사 사업을 원활하게 진행하고자 기술 개발에도 힘쓰고 있다. 이번에 그 일환으로 어떤 시약을 조제하는 데 성공했지.
이 '약화 시약'은 특정 생물의 전투 능력을 감소시키는 효과가 있을 것으로 기대되는데, 약효를 직접 확인하고자 하니 모험가 제군이 효과를 시험해 다오.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
시약의 약효 시험이 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
27,2002044,2002041,0,0,16,6798651,4,0,0,24,6798659,4,0,0,25,6710324,1,0,0,6710323,111101,"탐사 임무: 과다성 크리스탈 수집","속성의 힘이 급변하는 디아뎀 제도에서는 에테르 결정화가 진행되고 있다. 강력한 속성의 힘을 띤 이 크리스탈은 중요한 자원이 될 수도 있으므로, 모험가 제군에게 이 '과다성 크리스탈' 수집을 의뢰하고자 한다. 수집한 자원은 '풍요호 좌초 지점'에 있는 '아유나르트 가 비행사'에게 납품하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
28,0,0,0,0,63,6710316,3,0,0,66,6710341,3,0,0,74,6788805,3,0,0,6887984,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
29,0,0,0,0,76,6710285,3,0,0,88,6710328,3,0,0,93,6710328,3,0,0,6887975,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
예상 밖의 강적이 나타났으나, 제거된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
30,0,0,0,0,79,6710320,3,0,0,84,6710306,3,0,0,71,6710291,3,0,0,6887960,111101,"탐사 임무: 위험한 마수 처치 ","짙은 에테르에 이끌려서인지, 디아뎀 제도에는 위험한 생물이 넘쳐난다. 이들이 우리 탐사 사업에 큰 방해가 되리라는 것은 자명하다.
이에 모험가 제군이 전투력을 발휘하여 위험한 생물을 처치해줬으면 한다. 특수한 향이 나는 '유인향 덫'을 사용해여 해당 생물을 끌어내 처치하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
31,2002064,2002062,0,0,28,6710303,3,0,0,33,6710333,3,0,0,36,6710324,1,0,0,6710323,111101,"탐사 임무: 구름바다종 표본 수집","하늘섬 특유의 격리된 환경 덕에 디아뎀 제도에는 희귀한 고대종 생물이 서식하고 있다. 개중에는 속성의 힘이 작용하여 변이를 일으킨 개체도 있는 듯하다.
이 특이한 생물군의 표본을 채취해 박물학적으로 조사하려고 한다. '유인향 덫'을 사용하여 대상 생물을 유인한 뒤 처치하고, 표본을 채취하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
32,2002059,2002060,0,0,48,6710337,3,0,0,49,6782944,3,0,0,50,6710324,1,0,0,6710323,111101,"탐사 임무: 유인향 재료 확보","우리 아유나르트 가에서 탐사 사업을 진행한 결과, 디아뎀 제도에 서식하는 일부 생물이 다른 종을 유인하는 냄새를 풍긴다는 사실이 판명되었다.
이 효과를 이용한 '유인향'을 제작하여 전투를 효율적으로 이끌고자 한다. 지정한 두 지점에 가, 특정 종을 처치하고 재료를 확보하기 바란다.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
모든 탐사 임무가 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
33,0,0,0,0,43,6710294,3,0,0,44,6710329,3,0,0,47,6710329,2,6798623,5,6798622,111101,"탐사 임무: 고대종 알 확보","박물학 연구의 일환으로 고대종의 알을 확보했으면 한다. 꼭꼭 숨긴 알은 찾기가 어려우니, 알을 좋아하는 탐욕스러운 쥐들을 이용하라.
우선 마물을 처리하면서 주변을 탐색하다가, 쥐가 나타나면 신속히 제거한 후 알을 빼앗아 회수 지점으로 운반하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","회수 지점 도착 확인……
거기까지만 옮겨주면 나머지는 우리가 회수하겠다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
34,0,0,0,0,39,6710332,3,0,0,45,6710311,3,0,0,47,6710311,2,6798619,5,6798618,111101,"탐사 임무: 고대종 알 확보","박물학 연구의 일환으로 고대종의 알을 확보했으면 한다. 꼭꼭 숨긴 알은 찾기가 어려우니, 알을 좋아하는 탐욕스러운 쥐들을 이용하라.
우선 마물을 처리하면서 주변을 탐색하다가, 쥐가 나타나면 신속히 제거한 후 알을 빼앗아 회수 지점으로 운반하라.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","회수 지점 도착 확인……
거기까지만 옮겨주면 나머지는 우리가 회수하겠다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
35,2002061,0,2745,0,51,6710324,1,0,0,55,6710302,3,0,0,60,6710289,3,0,0,6887959,111101,"탐사 임무: 시약 효과 시험","우리 아유나르트 가에서는 디아뎀 제도 탐사 사업을 원활하게 진행하고자 기술 개발에도 힘쓰고 있다. 이번에 그 일환으로 어떤 시약을 조제하는 데 성공했지.
이 '약화 시약'은 특정 생물의 전투 능력을 감소시키는 효과가 있을 것으로 기대되는데, 약효를 직접 확인하고자 하니 모험가 제군이 효과를 시험해 다오.

임무 중에는 '활동 평가'를 확인하며 주변 탐사를 병행하기 바란다.

※ 돌발 임무를 완료하면 '활동 평가'가 쌓입니다.","여기는 아유나르트 관제탑……
시약의 약효 시험이 완료된 것을 확인했다.","모험가 제군의 협조에 감사한다.
보상을 받아갈 수 있도록 조치했다.","이제부터는 에테르홀을 이용하여 경계 저편으로 가보거나
자유롭게 탐사하기 바란다…… 모두에게 행운이 있기를!"
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
