#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
20,제4호,거주 모듈 준공,"행성 파엔나에 '거주 모듈'이 준공되었습니다!
이번에는 동경의 만보다 공용 공간을 넉넉하게 확보하는 등, 편리하고 쾌적한 구조가 되도록 설계했답니다.

사실 이 탐색 계획의 전신인 방주계획에서는 아이테리스 시민의 장기적인 외계 생활을 염두에 두었기 때문에…… 가능한 한 여러분이 편안하게 지낼 수 있도록 여러모로 연구했습니다.

이번에 이곳에서 생활하게 될 연구자와 기술자 여러분은 누울 곳만 있으면 된다고 하시길래, 프로젝트 매니저인 무무코 씨와 의논해서 방주계획 때 설계했던 것보다는 아담한 크기로 만들었지만 말이지요!"
21,제5호,기반 시설 관련 설비 준공,"행성 파엔나의 환경에 맞춘 발뢰소와 급수장이 완성되었습니다!

이 별의 수원지는 대부분 수중 규소 함량이 매우 높아, 생활용수로는 적합하지 않습니다.
그래서 반드시 '수자원관'을 통해 정수 과정을 거쳐야 하지요!
그리고 이번에도 뇌력을 공급하는 '동력 공급관'이 탐색 계획에 사용되는 에너지를 책임지고 있답니다.
자, 이제 두 시설의 가동이 시작되었으니 이 별을 탐색하는 데도 점점 속도가 붙을 겁니다!"
22,제6호,로더 격납고 기능 강화,"각종 로더는 이 행성 파엔나에서도 크게 활약하고 있습니다.
물론 잘된 일이지만, 반대로 말해서 단 한 대라도 사고로 잃는다면 계획에 악영향을 미칠 수밖에 없다는 뜻이기도 하지요!

따라서 각 방면에 쉽게 드나들 수 있으면서도 천장과 암벽에 둘러싸인 터널 입구에 격납고를 설치하기로 했습니다.
이번에 격납고를 물자함 형태로 개량한 덕분에 안전성도 더욱 높아졌으니, 더욱 안정적으로 가동할 수 있을 겁니다!"
23,제7호,강 건너 구역으로 우주 라이너 연장,"소다석회 강 건너편에 해당하는 서부에서 남부에 걸친 구역까지 우주 라이너를 연장했습니다!

이 일대는 강물에 침식되어 만들어진 협곡으로 보이는데, 지형이 매우 복잡하여 물자나 인원을 이동시키기 어려웠습니다.
그래서 우주 라이너를 서둘러 설치하려 했지만, 행성 파엔나 특유의 유리질 대지 탓에 시설이나 중장비의 무게를 견디지 못하는 경우가 있어서 장소를 선정하는 데 시간이 오래 걸렸습니다.
기술자 여러분이 신중하게 지반을 조사한 덕분에 드디어 이번 연장에 성공하게 된 것이지요!"
24,제8호,아플리케 기중기 준공,"나락의 구덩이라 불리는 캡슐 협곡은 소다석회 강이 쏟아지는 폭포 바로 아래에 이어진 큰 동굴로, 커다란 유리구슬이 겹겹이 쌓여 바닥이 만들어졌다고 합니다. 지상과 단절된 환경에는 가슴이 설레는 미지가 우리를 기다리고 있겠지요!
'아플리케 기중기'는 그 안을 탐색하기 위해 개발되었습니다!

아플리케란, 따로 제작한 부품에 열을 가해 본체에 붙이는 유리 공예 기법을 뜻합니다.
그 점에 착안해서 구덩이 바깥 둘레의 단단한 지반에 기중기를 설치하여, 그걸 발판 삼아 깊은 곳으로 내려가는 장치를 만든 겁니다.

우주 라이너를 연장하는 과정에서 갈고닦은 지반 조사 기술과, 동경의 만에서 터널과 승강기를 건설했던 정교한 공법이 여기서 빛을 발했다고 할 수 있겠군요!"
25,제9호,캡슐 협곡 지하로 우주 라이너 연장,"드디어 캡슐 협곡 지하로 우주 라이너를 연장하는 데 성공했습니다!

실은 불안정한 유리 구체가 겹겹이 쌓여 있는 이곳으로 우주 라이너를 연장하기는 매우 어려울 것으로 예상되었답니다.
우주 라이너를 설치하려면 두 거점 사이의 부품을 연결해야 할 뿐만 아니라 정확한 좌표를 설정해야 하니까요.
그러나 지금까지의 경험을 최대한 살려, 유리구슬과 퇴적물의 균형을 신중히 파악함으로써 안정된 곳에 거점을 설치할 수 있었습니다!

이렇게 어려운 연장 작업을 성공한 경험은 곧 우리의 자신감으로 이어질 겁니다!"
26,제10호,유리직공 기지 추가 확장,"여러분이 협력해 주신 덕분에 유리직공 기지가 새 단장을 하여, 아늑한 거점이 되었습니다.

세밀한 계산을 통하여 동굴 형태에 맞춰 시설을 신중하게 배치한 결과라 할 수 있겠군요.
단순히 시설만 배치한다고 되는 게 아닙니다. 로더와 무인기의 이동 경로부터 배선과 배관에 이르기까지, 검토할 사항이 산더미처럼 많았지요!
계획 수립에 참여한 기술자 여러분의 자랑 섞인 푸념이 제 귀에도 잔뜩 들어오고 있답니다!

우리에겐 아직 중대한 건설 계획이 남아 있습니다. 탐색을 계속하기 위해 꼭 필요한 시설을 이 기지에 건설해야 하거든요. 완성까지는 아직 갈 길이 멀지만……
계속해서 힘내 봅시다!"
27,제11호,로더 격납고 추가 기능 강화,"기지에 있는 시설에 행성 파엔나에서 나는 유리 자원을 이용한 외장재를 차례차례 설치하고 있습니다.
이번에는 로더 격납고에 설치를 완료했답니다!

강철판 못지않게 튼튼하면서도 아름다운 데다, 태양광을 뇌력 에너지로 변환할 수 있어 그야말로 만능이지요!
이 새로운 건축재는 아이테리스에서 초빙한 유리 공예 전문가와 이곳의 기술자 여러분이 최신 기술을 결집하여 개발했다고 하더군요!
시설 운영에 관련된 뇌력 부족 문제도 크게 개선될 것으로 보입니다!"
28,제12호,우주 공항 다기능화,"우리 우주 공항의 기능이 확장되었습니다!

이제 동경의 만과 오갈 수 있을 뿐만 아니라, 더욱 깊은 우주의 심연으로 떠날 수도 있게 되었답니다.
전용 발뢰소를 증설한 덕에 에너지 충전 시간을 대폭 단축할 수 있었고, 시간 단위 물자 운반량도 늘어났지요!

바위굴 안에 있는 유리직공 기지에서 이착륙한다니 위험해 보이지만, 세세한 경로를 설정했기에 안전한 자동 조종이 가능해졌다고 합니다.
물론 첫 착륙 때는 크루징웨이가 신들린 수동 조종을 선보였지만 말입니다!"
29,제13호,거대 뇌력판 설치,"이번에 완성한 거대 뇌력판은 유리직공 기지의 에너지를 책임지는 중요한 시설입니다!

발뢰 시설인 동력 공급관도 있지만, 그 시설은 에테르로 속성을 변환하여 뇌력을 발생시키는 구조입니다.
한편, 거대 뇌력판은 행성 파엔나가 위치한 행성계의 태양에서 오는 광선을 변환하여 뇌력 에너지를 발생시키지요.

기지 안팎에서 다양한 기기가 사용되다 보니, 뇌력은 아무리 많아도 부족할 정도입니다.
하지만 두 시설을 동시에 운용하면 더 이상 허리띠를 졸라맬 필요는 없을 겁니다!"
30,제14호,녹은 유리 냉각에 따른 탐색 구역 확대,"무인기 기지인 '동원관' 건설을 거쳐, 퓨징웨이 분화구의 녹은 유리 냉각 작전을 완수했습니다!

행성 파엔나는 지열 변동 폭이 커서, 평야 지대에서도 우발적으로 분화구가 형성된다고 합니다.
퓨징웨이 분화구는 그런 열원 지대 중 하나로, 행성 환경에 악영향을 주지 않도록 조심하면서 실험적인 냉각 작전을 실시하게 되었죠.

여러분이 협력해 주신 덕분에 안전하게 탐색 지역을 확대할 수 있었습니다!
빨갛게 끓어오르던 녹은 유리를 식혀서 굳히자, 소다석회 강을 연상시키는 투명한 하늘색 유리로 변하더군요.

한번 식혀서 굳혔기에 앞으로는 무인기로 상공에서 냉각제를 뿌리기만 해도 유리 상태를 유지할 수 있어, 자유롭게 탐색할 수 있게 되었습니다.
이곳에서는 별의 지질 형성과 관련된 중요한 조사를 할 수 있을 겁니다!"
31,제15호,녹은 유리 지대로 우주 라이너 연장,"퓨징웨이 분화구의 속둘레까지 우주 라이너가 연장되었습니다!
이제 탐색 계획이 펼쳐지는 모든 구역을 편하게 이동할 수 있게 된 셈이지요!

이번 거점을 설치할 때는, 지난 녹은 유리 냉각 작전에서 사용했던 무인기들을 재이용하여 지반을 철저히 다졌습니다.
하나하나는 작은 설비일 뿐이지만, 우리의 기술이 결실을 거둔 교통망이라고 할 수 있겠군요!"
32,제16호,파엔나 별 관측경 준공,"세상에나, 우리 유리직공 기지에 하늘을 향한 커다란 천체망원경이 완성되었습니다!

'파엔나 별 관측경'은 머나먼 별들의 모습을 관측할 수 있을 뿐만 아니라, 놀랍게도 그 별에 감도는 천맥의 농도도 측정할 수 있답니다.
우리 우주 개척 계획 기구의 목표는 지적 생명체 혹은 미지 문명의 흔적을 발견하는 것……. 그 목표를 이루기 위해, 천문학을 전공하는 연구자 여러분이 이미 우주의 각 방면을 둘러보며 분석을 진행하는 중이지요!

현지 자원을 최대로 활용한 이 천체망원경의 완성으로 행성 파엔나 계획은 끝입니다.
이 별에서도 협력해 주셔서 진심으로 감사드립니다!"
33,제17호,반짝이는 별을 들여다보며,"이번에도 계획했던 모든 시설을 완성하였고, 갤럭틱웨이호는 파엔나 별 관측경에 새로운 별이 보이기를 기다리는 중입니다.

생각해 보면 앞으로의 탐색 계획을 위해서는 거대한 관측 기구가 필요한 만큼, 우리가 처음 방문한 별이 유리 행성 파엔나라는 점은 정말 천운이었습니다.
정밀한 렌즈를 정제하고 연마하여 만든 천체망원경의 눈은, 지금 머나먼 우주 너머로 뜨거운 시선을 보내고 있습니다.

아이테리스 행성계에서 한 걸음 나아가, 이 별에서의 활동을 통해서 우리 모두 진정한 우주 탐사단이 됐다고 할 수 있지 않을까요?
그 여정은 지금부터 시작입니다!
올려다본 별들을 향해 앞으로도 계속 걸어 나갑시다!"
34,제1호,도전! 행성 오이지스 탐색 계획,"이 '행성 오이지스'에서도 저 레포팅웨이가 붓을 잡고 탐색과 연구로 가득한 나날을 기록하고자 합니다.
독자 여러분에게 양질의 보고서를 전해 드릴 수 있다면 좋겠군요!

행성 파엔나에서 준공한 거대 천체망원경 '파엔나 별 관측경'의 관측 결과와, 계획 기구 연구팀, 마법대학 천문학부가 하나가 되어 다음 탐사 목표를 결정했습니다.
후보가 된 별은 여럿 관측되었으나, 이 행성이 선택된 이유는 중력 이상에 의한 특이한 환경, 그리고 무엇보다도 문명 유적이 발견되었기 때문입니다!
어떤 시간을 거쳐온 별인지, 우리 모두가 기대로 귀를 쫑긋거리고 있습니다.

중력 이상에 의한 지표면 붕괴로 인해 더 우뚝 솟아오른 행성 최대의 구조물을 '마른땅 기지'로 활용하며 앞으로도 주변에 거점 환경을 정비하고자 합니다.
협력자 여러분의 도움을 꼭 부탁드립니다!"
35,제2호,거주 모듈 준공,"마른땅 기지 내외의 정비에 맞춰 행성 오이지스에 '거주 모듈'이 준공되었습니다!
이전에 월면에서 연습하거나 행성 파엔나에서 거점을 확장할 때는 주로 자연환경을 기반으로 정비했기 때문에 유적 잔해를 정리하며 시공한다는 것이 신선하기도 했지요.

떠 있는 암석 등은 탐색 중에 위험할 수 있기 때문에 이동시킬 수밖에 없었습니다.
물론, 정비 작업과 더불어 돌들의 위치와 부유물의 중량을 계산해 연구 자료로 완벽하게 기록해 놓았지요!
거주 모듈 내부에는 그라비데 계열 마법을 철저하게 제어해, 안전하게 취침할 수 있도록 조치했습니다.
각 행성에 적절한 거주 환경을 제공할 수 있도록 다양한 시도를 하고 있다고 합니다."
36,제3호,우주 라이너 광역 전개,"'거석 도시'를 중심으로 한 황야 일대에 우주 라이너를 단숨에 설치했습니다!
이렇게 신속하게 작업이 완료된 것은 지금까지 계획을 진행하며 쌓은 비결의 산물이라 할 수 있겠죠.
시공에 참여한 기술자들에게 할 수 있는 모든 감사의 말을 적고 싶군요!
덧붙여 우주 라이너 이동 기술이란 연결한 2개의 역 사이에 강력한 에테르 길을 만드는 것입니다.
 즉 인공 풍맥 발생 장치라고 할 수 있겠습니다만, 지금까지는 상호 간에 정확한 좌표 설정이 필요했습니다.
하지만 행성 오이지스에서는 중력 이상의 영향으로 인한 흔들림을 줄이기 위해 연결 기능을 강화했고…… 다소의 변동에는 버틸 수 있도록 개량된 것이지요!

현재 갈 수 있는 장소까지 설치했으니, 우주 라이너를 많이 활용해 앞으로의 탐색을 진행해 봅시다!"
37,제4호,기반 시설 관련 설비 준공,"행성 오이지스의 환경에 맞춘 발뢰 설비와 급수 시설이 완성되었습니다!

중력 이상이 발생하고 있는 이 행성 안에서는 인력과 척력이 복잡하게 맞부딪치고 있습니다.
이런 특수한 환경은 당연하게도 우리가 가져온 기기류에도 영향을 끼치기 때문에, 특히 활동의 핵심이라고 할 수 있는 기반 시설 관련 설비의 오작동은 되도록 피해야 합니다.
예를 들면 식수를 한곳에 모아두는 것까지도 섬세하게 주의를 기울여야 하지요.

그래서 시설의 기반과 저수조, 발뢰지 내부에도 그라비데 계열 마법을 작용시켜, 기기류의 안정성을 높였답니다."
38,제5호,중력 발생기 설치,"거대한 부유 암반 '푸른줄 부유대지'의 탐색을 진행하기 위해, 닻산을 주춧돌 삼아 중력 제어 장치인 '중력 발생기'를 설치했습니다!

이 장치는 그라비데 계열 마법 술식을 반복적으로 한 방향으로 방사하여 반대쪽 암반에 반사시켜서, 인력이 강한 광선을 발생시킨답니다.
그리고 주변에 떠도는 암석을 끌어모아 육지 사이를 이어, 다리로 기능하기에 충분한 발판을 만들어 내는 것이지요.

'푸른줄 부유대지'는 원래 거석 도시와 그 주변 황야와 같은 해발에 있었던 육지가 지표에서 떨어져 나온 것으로 추측됩니다.
그 때문에 원래는 땅속 깊이 있었던 광석이 드러나거나, 다른 곳에서는 볼 수 없는 자원을 많이 확인할 수 있을지도 모릅니다……!
앞으로의 탐색이 무척 기대되는군요!"
39,제6호,부유 암반으로 우주 라이너 연장,"닻산을 넘어 푸른줄 부유대지로도 우주 라이너가 연장되었습니다!

중력 발생기로 만든 다리만으로는 무거운 시료나 자재를 운반하기에 적합하지 않았고, 무엇보다도 고소공포증이 있는 연구원들로부터 탐색하려면 눈을 감고 기어가는 수밖에 없다는 의견이 있었습니다.
하지만 우주 라이너라면 확실하게 이동할 수 있지 않겠습니까!

또한 상공에 있는 중력 구체의 영향을 더 받기 쉬울 것으로 예상되는 이 구역에서 우주 라이너를 운용하면, 우주 라이너 기술 연구에도 유용한 데이터를 얻을 수 있을 겁니다.
여러분, 매일 활용해 주시기 바랍니다!"
40,제7호,마른땅 기지 확충 정비,"마른땅 기지 내의 중앙 기구 복구 작업에 대비해 시설 내외를 본격적으로 정비하고, 유적을 보존하면서도 기지 기능을 확충했습니다!

동력 공급관에서 최대로 출력된 번개를 시설 내로 끌어오는 것뿐만 아니라, 거점 주변의 각 설비를 기능적으로 연결하는 배선 관련 작업도 이번 정비로 완료되었습니다.
계획 참가자 여러분을 맞이하는 각 창구와 로더 격납고 등도 이번에 함께 업데이트했으니 탐색 활동을 더욱 쾌적하게 진행하실 수 있을 겁니다!

주변 환경을 정비했으니, 다음에는 드디어 중앙 기구 '에우헤드론' 복구에 도전합니다!"
41,제8호,중앙 기구 에우헤드론 복구,"결정체의 에테르를 활성화하는 데 성공해 '에우헤드론'이 원래의 빛을 되찾았습니다!

연구팀은 이 구조물이 거대한 마법적 기록 매체라고 추측하고 있는 것 같습니다만, 손실된 부분도 있어 전체 내용을 알아내려면 시간이 걸릴 것 같습니다.
에우헤드론은 과거 공중을 부유하고 있었던 것으로 추정되며, 낙하로 인해 손상됐을 가능성도 높다고 하더군요.
빛을 되찾은 지금도 완전히 떠오른 상태는 아니기 때문에…… 응급 처치에 지나지 않습니다만, 철골로 받치고 있습니다.
재차 설비가 증가하며 환경 적응에 있어 불안정함이 발생했기 때문에, 거주 모듈에 행성 오이지스의 자원을 사용한 중력 이상 저항판을 설치했습니다!
더 장기적으로 안정적인 생활을 보낼 수 있을 겁니다!"
