#,Objective,Requirement,Image,Unknown0,Order
41,오징어 용기사,달성 조건: 파티 합계로 400마리 이상 오징어 낚기,65931,130,53
42,새우잡이,달성 조건: 개인 합계로 50마리 이상 새우 낚기,65932,120,54
43,풍어: 세이렌 해,달성 조건: 세이렌 해에서 파티 합계로 10종류 이상 물고기 낚기,65926,110,40
44,풍어: 세이렌 해,달성 조건: 세이렌 해에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65926,110,41
45,풍어: 세이렌 해,달성 조건: 세이렌 해에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65926,110,42
46,풍어: 쿠가네,달성 조건: 쿠가네에서 파티 합계로 10종류 이상 물고기 낚기,65927,110,43
47,풍어: 쿠가네,달성 조건: 쿠가네에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65927,110,44
48,풍어: 쿠가네,달성 조건: 쿠가네에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65927,110,45
49,풍어: 홍옥해,달성 조건: 홍옥해에서 파티 합계로 10종류 이상 물고기 낚기,65928,110,46
50,풍어: 홍옥해,달성 조건: 홍옥해에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65928,110,47
51,풍어: 홍옥해,달성 조건: 홍옥해에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65928,110,48
52,풍어: 무이강,달성 조건: 무이강에서 파티 합계로 10종류 이상 물고기 낚기,65929,110,49
53,풍어: 무이강,달성 조건: 무이강에서 파티 합계로 9종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65929,110,50
54,풍어: 무이강,달성 조건: 무이강에서 파티 합계로 8종류 이상 물고기 낚기(파티원 수에 따라 보정됨),65929,110,51
