#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
52,아래로 시선 이동,CAMERA_DOWN,18,255,255,1,6,False
53,왼쪽으로 시선 이동,CAMERA_LEFT,19,255,255,1,6,False
54,오른쪽으로 시선 이동,CAMERA_RIGHT,20,255,255,1,6,False
55,1인칭/3인칭 시점 전환,CAMERA_MODE,21,255,255,1,6,False
56,후방 카메라 표시,CAMERA_BACKWARD,22,255,255,1,6,False
57,카메라 확대 / 페이지 전환: 역순으로,CAMERA_ZOOMIN,23,255,255,1,6,False
58,카메라 축소 / 페이지 전환: 순서대로,CAMERA_ZOOMOUT,24,255,255,1,6,False
59,카메라 위치 초기화,CAMERA_LOAD,25,255,255,1,6,False
60,현재 카메라 위치 저장,CAMERA_SAVE,26,255,255,1,6,False
61,카메라 위치 저장 초기화,CAMERA_RESET,27,255,255,1,6,False
62,카메라 주시 각도 상승,CAM_TILT_UP,28,255,255,1,6,False
63,카메라 주시 각도 하강,CAM_TILT_DOWN,29,255,255,1,6,False
64,캐릭터 시선을 카메라로 고정,CAMERA_LOOKING,30,255,255,1,6,False
65,단체 자세,GROUP_POSE,32,255,255,1,1,False
66,경관 카메라,IDLING_CAMERA,31,255,255,1,1,False
67,,,0,0,0,0,0,False
68,,,0,0,0,0,0,False
69,,,0,0,0,0,0,False
70,,,0,0,0,0,0,False
71,,,0,0,0,0,0,False
72,,,0,0,0,0,0,False
73,,,0,0,0,0,0,False
74,,,0,0,0,0,0,False
75,,,0,0,0,0,0,False
76,,,0,0,0,0,0,False
77,,,0,0,0,0,0,False
78,,,0,0,0,0,0,False
79,,,0,0,0,0,0,False
80,,,0,0,0,0,0,False
81,,,0,0,0,0,0,False
82,,,0,0,0,0,0,False
83,,,0,0,0,0,0,False
84,,,0,0,0,0,0,False
85,,,0,0,0,0,0,False
86,,,0,0,0,0,0,False
87,,,0,0,0,0,0,False
88,,,0,0,0,0,0,False
89,,,0,0,0,0,0,False
90,,,0,0,0,0,0,False
91,,,0,0,0,0,0,False
92,,,0,0,0,0,0,False
93,,,0,0,0,0,0,False
94,,,0,0,0,0,0,False
95,,,0,0,0,0,0,False
96,,,0,0,0,0,0,False
97,,,0,0,0,0,0,False
98,,,0,0,0,0,0,False
99,,,0,0,0,0,0,False
100,,,0,0,0,0,0,False
101,,,0,0,0,0,0,False
102,,,0,0,0,0,0,False
103,가장 가까운 적부터 지정: 순서대로,TARGET_NEXT,1,255,255,2,2,False
104,가장 가까운 적부터 지정: 역순으로,TARGET_PREV,2,255,255,2,2,False
105,1번째 파티원 지정,TARGET_P1,3,255,255,2,2,False
106,2번째 파티원 지정,TARGET_P2,4,255,255,2,2,False
107,3번째 파티원 지정,TARGET_P3,5,255,255,2,2,False
108,4번째 파티원 지정,TARGET_P4,6,255,255,2,2,False
109,5번째 파티원 지정,TARGET_P5,7,255,255,2,2,False
110,6번째 파티원 지정,TARGET_P6,8,255,255,2,2,False
111,7번째 파티원 지정,TARGET_P7,9,255,255,2,2,False
112,8번째 파티원 지정,TARGET_P8,10,255,255,2,2,False
113,내 소환수 지정,TARGET_PET,11,255,255,2,2,False
114,대상이 지정한 대상 지정하기 (조준 따라가기),TARGET_TTOT,13,255,255,2,2,False
115,마지막으로 지정한 대상 다시 지정,TARGET_LASTTARGET,14,255,255,2,2,False
116,마지막으로 지정한 적 다시 지정,TARGET_LASTENEMY,15,255,255,2,2,False
117,나에게 적대 행동을 한 적 지정,TARGET_LASTATTACKER,16,255,255,2,2,False
118,가장 가까운 적 지정,TARGET_CLOSEST_ENEMY,17,255,255,2,2,False
119,가장 가까운 플레이어 지정,TARGET_CLOSEST_PC,18,255,255,2,2,False
120,가장 가까운 NPC/사물 지정,TARGET_CLOSEST_NPC,19,255,255,2,2,False
121,주시 대상으로 지정,TARGET_FOCUS,20,255,255,2,2,False
122,주시 대상을 현재 대상으로 지정,TARGET_SELECT,21,255,255,2,2,False
123,지정한 대상 바라보기 (정면으로 보기),FACE,22,255,255,2,2,False
124,대상 필터 사용자 설정: +,CIRCLE_ALL,23,255,255,2,2,False
125,대상 필터 사용자 설정: +,CIRCLE_ENEMY,24,255,255,2,2,False
126,대상 필터 사용자 설정: +,CIRCLE_PARTY,25,255,255,2,2,False
127,대상 필터 사용자 설정: +,CIRCLE_PC,26,255,255,2,2,False
128,,,0,0,0,0,0,False
129,,,0,0,0,0,0,False
130,,,0,0,0,0,0,False
131,,,0,0,0,0,0,False
132,,,0,0,0,0,0,False
133,,,0,0,0,0,0,False
134,,,0,0,0,0,0,False
135,,,0,0,0,0,0,False
136,적대 목록에서 선택: 위로,TARGET_ENEMY_LIST_UP_KEY,27,255,255,2,2,False
137,적대 목록에서 선택: 아래로,TARGET_ENEMY_LIST_DOWN_KEY,28,255,255,2,2,False
138,연합 파티 목록에서 선택: 순서대로,TARGET_ALLIANCE_NEXT_KEY,29,255,255,2,2,False
139,연합 파티 목록에서 선택: 역순으로,TARGET_ALLIANCE_PREV_KEY,30,255,255,2,2,False
140,연합 파티 목록 1 선택: 순서대로,TARGET_ALLIANCE1_NEXT,31,255,255,2,2,False
141,연합 파티 목록 1 선택: 역순으로,TARGET_ALLIANCE1_PREV,32,255,255,2,2,False
142,연합 파티 목록 2 선택: 순서대로,TARGET_ALLIANCE2_NEXT,33,255,255,2,2,False
143,연합 파티 목록 2 선택: 역순으로,TARGET_ALLIANCE2_PREV,34,255,255,2,2,False
144,연합 파티원 1-1 지정,TARGET_ALLIANCE1_1,35,255,255,2,2,False
145,연합 파티원 1-2 지정,TARGET_ALLIANCE1_2,36,255,255,2,2,False
146,연합 파티원 1-3 지정,TARGET_ALLIANCE1_3,37,255,255,2,2,False
147,연합 파티원 1-4 지정,TARGET_ALLIANCE1_4,38,255,255,2,2,False
148,연합 파티원 1-5 지정,TARGET_ALLIANCE1_5,39,255,255,2,2,False
149,연합 파티원 1-6 지정,TARGET_ALLIANCE1_6,40,255,255,2,2,False
150,연합 파티원 1-7 지정,TARGET_ALLIANCE1_7,41,255,255,2,2,False
151,연합 파티원 1-8 지정,TARGET_ALLIANCE1_8,42,255,255,2,2,False
152,연합 파티원 2-1 지정,TARGET_ALLIANCE2_1,43,255,255,2,2,False
153,연합 파티원 2-2 지정,TARGET_ALLIANCE2_2,44,255,255,2,2,False
154,연합 파티원 2-3 지정,TARGET_ALLIANCE2_3,45,255,255,2,2,False
155,연합 파티원 2-4 지정,TARGET_ALLIANCE2_4,46,255,255,2,2,False
156,연합 파티원 2-5 지정,TARGET_ALLIANCE2_5,47,255,255,2,2,False
157,연합 파티원 2-6 지정,TARGET_ALLIANCE2_6,48,255,255,2,2,False
158,연합 파티원 2-7 지정,TARGET_ALLIANCE2_7,49,255,255,2,2,False
159,연합 파티원 2-8 지정,TARGET_ALLIANCE2_8,50,255,255,2,2,False
160,내 버디 지정,BUDDY_TARGET,12,255,255,2,2,False
161,크리스탈라인 컨플릭트: 적군 파티원 1 지정,TARGET_PVP_OPP_P1,51,255,255,2,2,False
162,크리스탈라인 컨플릭트: 적군 파티원 2 지정,TARGET_PVP_OPP_P2,52,255,255,2,2,False
163,크리스탈라인 컨플릭트: 적군 파티원 3 지정,TARGET_PVP_OPP_P3,53,255,255,2,2,False
164,크리스탈라인 컨플릭트: 적군 파티원 4 지정,TARGET_PVP_OPP_P4,54,255,255,2,2,False
165,크리스탈라인 컨플릭트: 적군 파티원 5 지정,TARGET_PVP_OPP_P5,55,255,255,2,2,False
166,,,0,0,0,0,0,False
167,,,0,0,0,0,0,False
168,,,0,0,0,0,0,False
169,,,0,0,0,0,0,False
170,,,0,0,0,0,0,False
171,대화 입력 시작,CMD_CHAT,1,255,255,4,5,False
172,명령어 입력 시작,CMD_COMMAND,2,255,255,4,5,False
173,귓속말 일시 응답: 순서대로,CMD_REPLY,3,255,255,4,5,False
174,귓속말 일시 응답: 역순으로,CMD_REPLY_REV,4,255,255,4,5,False
175,말하기 대화로 일시 전환,CMD_SAY,5,255,255,4,5,False
176,떠들기 대화로 일시 전환,CMD_YELL,6,255,255,4,5,False
177,외치기 대화로 일시 전환,CMD_SHOUT,7,255,255,4,5,False
178,파티 대화로 일시 전환,CMD_PARTY,8,255,255,4,5,False
179,연합 파티 대화로 일시 전환,CMD_ALLIANCE,9,255,255,4,5,False
180,자유부대 대화로 일시 전환,CMD_FREECOM,10,255,255,4,5,False
181,링크셸 대화로 일시 전환: 순서대로,CMD_LINKSHELL,22,255,255,4,5,False
182,링크셸 대화로 일시 전환: 역순으로,CMD_LINKSHELL_REV,23,255,255,4,5,False
183,링크셸 대화 [1]번으로 일시 전환,CMD_LINKSHELL_1,24,255,255,4,5,False
184,링크셸 대화 [2]번으로 일시 전환,CMD_LINKSHELL_2,25,255,255,4,5,False
185,링크셸 대화 [3]번으로 일시 전환,CMD_LINKSHELL_3,26,255,255,4,5,False
186,링크셸 대화 [4]번으로 일시 전환,CMD_LINKSHELL_4,27,255,255,4,5,False
187,링크셸 대화 [5]번으로 일시 전환,CMD_LINKSHELL_5,28,255,255,4,5,False
188,링크셸 대화 [6]번으로 일시 전환,CMD_LINKSHELL_6,29,255,255,4,5,False
189,링크셸 대화 [7]번으로 일시 전환,CMD_LINKSHELL_7,30,255,255,4,5,False
190,링크셸 대화 [8]번으로 일시 전환,CMD_LINKSHELL_8,31,255,255,4,5,False
191,귓속말 응답: 순서대로,CMD_REPLY_ALWAYS,103,255,255,4,5,False
192,귓속말 응답: 역순으로,CMD_REPLY_REV_ALWAYS,104,255,255,4,5,False
193,말하기 대화로 전환,CMD_SAY_ALWAYS,105,255,255,4,5,False
194,떠들기 대화로 전환,CMD_YELL_ALWAYS,106,255,255,4,5,False
195,,,0,0,0,0,0,False
196,파티 대화로 전환,CMD_PARTY_ALWAYS,108,255,255,4,5,False
197,연합 파티 대화로 전환,CMD_ALLIANCE_ALWAYS,109,255,255,4,5,False
198,자유부대 대화로 전환,CMD_FREECOM_ALWAYS,110,255,255,4,5,False
199,링크셸 대화로 전환: 순서대로,CMD_LINKSHELL_ALWAYS,122,255,255,4,5,False
200,링크셸 대화로 전환: 역순으로,CMD_LINKSHELL_REV_ALWAYS,123,255,255,4,5,False
201,링크셸 대화 [1]번으로 전환,CMD_LINKSHELL_1_ALWAYS,124,255,255,4,5,False
202,링크셸 대화 [2]번으로 전환,CMD_LINKSHELL_2_ALWAYS,125,255,255,4,5,False
203,링크셸 대화 [3]번으로 전환,CMD_LINKSHELL_3_ALWAYS,126,255,255,4,5,False
204,링크셸 대화 [4]번으로 전환,CMD_LINKSHELL_4_ALWAYS,127,255,255,4,5,False
205,링크셸 대화 [5]번으로 전환,CMD_LINKSHELL_5_ALWAYS,128,255,255,4,5,False
206,링크셸 대화 [6]번으로 전환,CMD_LINKSHELL_6_ALWAYS,129,255,255,4,5,False
207,링크셸 대화 [7]번으로 전환,CMD_LINKSHELL_7_ALWAYS,130,255,255,4,5,False
208,링크셸 대화 [8]번으로 전환,CMD_LINKSHELL_8_ALWAYS,131,255,255,4,5,False
209,,,0,0,0,0,0,False
210,,,0,0,0,0,0,False
211,결정,OK,1,255,255,5,1,True
212,취소,CANCEL,2,255,255,5,1,True
213,나가기,ESC,3,255,255,5,1,True
214,주 메뉴,PAD_MAINMENUFOCUS,4,255,255,5,1,True
215,단축 메뉴,MENU,5,255,255,5,1,False
216,커서 / 파티 목록 위로 이동,UP,6,255,255,5,1,False
217,커서 / 파티 목록 아래로 이동,DOWN,7,255,255,5,1,False
218,커서 / 임시 대상 왼쪽 이동,LEFT,8,255,255,5,1,False
219,커서 / 임시 대상 오른쪽 이동,RIGHT,9,255,255,5,1,False
220,탭 전환: 순서대로,TAB_NEXT,10,255,255,5,1,False
221,탭 전환: 역순으로,TAB_PREV,11,255,255,5,1,False
222,단축바 전환: 순서대로,HOTBAR_UP,12,255,253,5,1,False
223,단축바 전환: 역순으로,HOTBAR_DOWN,13,255,253,5,1,False
224,스크린샷,KEY_SCREENSHOT,14,255,243,5,1,False
225,UI 표시 전환,HIDE,15,255,255,5,1,False
226,HUD 배열구성 설정,MENU_LAYOUT,16,255,255,5,1,False
227,HUD 선택: 순서대로,PAD_HUDFOCUS,21,255,255,5,1,False
228,HUD 선택: 역순으로,PAD_HUDFOCUS_PREV,22,255,255,5,1,False
229,조준 필터,TARGET_CLICK_FILTER,23,255,255,5,1,False
230,창 크기 확대/축소,MENU_SCALE,24,255,255,5,1,False
231,단축바 전환: 1번 세트,HOTBAR_SET_1,33,255,253,5,1,False
232,단축바 전환: 2번 세트,HOTBAR_SET_2,34,255,253,5,1,False
233,단축바 전환: 3번 세트,HOTBAR_SET_3,35,255,253,5,1,False
234,단축바 전환: 4번 세트,HOTBAR_SET_4,36,255,253,5,1,False
235,단축바 전환: 5번 세트,HOTBAR_SET_5,37,255,253,5,1,False
236,단축바 전환: 6번 세트,HOTBAR_SET_6,38,255,253,5,1,False
237,단축바 전환: 7번 세트,HOTBAR_SET_7,39,255,253,5,1,False
238,단축바 전환: 8번 세트,HOTBAR_SET_8,40,255,253,5,1,False
239,단축바 전환: 9번 세트,HOTBAR_SET_9,41,255,253,5,1,False
240,단축바 전환: 10번 세트,HOTBAR_SET_10,42,255,253,5,1,False
241,실행 중인 매크로 정지,MACRO_FORCED_OUTAGE,26,255,255,5,1,False
242,단축바 전환: 보조 단축바,HOTBAR_SET_EX,43,255,253,5,1,False
243,커서 위치 알림,MOUSE_CURSOR_SONAR,27,255,253,5,1,False
244,주 음량 음소거,MASTER_VOLUME_MUTE,28,255,255,5,1,False
245,임무 범용 키,MENU_CONTENTS_GENERAL,30,255,255,5,1,False
246,HUD 배열 변경: 1번 배열,HUDLAYOUT_SET1,17,255,255,5,1,False
247,HUD 배열 변경: 2번 배열,HUDLAYOUT_SET2,18,255,255,5,1,False
248,HUD 배열 변경: 3번 배열,HUDLAYOUT_SET3,19,255,255,5,1,False
249,HUD 배열 변경: 4번 배열,HUDLAYOUT_SET4,20,255,255,5,1,False
250,,,0,0,0,0,0,False
251,캐릭터,MENU_STATUS,1,255,255,3,0,False
252,소지품,MENU_BAG,6,255,255,3,0,False
253,장비함,MENU_ARMORY,7,255,255,3,0,False
254,임무용 아이템 목록,MENU_EVENT_BAG,9,255,255,3,0,False
255,지도,MENU_MAP,11,255,255,3,0,False
256,기술 목록,MENU_ACTION,12,255,255,3,0,False
257,감정 표현,MENU_EMOTE,13,255,255,3,0,False
258,탈것 목록,MENU_MOUNT_NOTEBOOK,14,255,255,3,0,False
259,꼬마 친구 목록,MENU_MINION_NOTEBOOK,15,255,255,3,0,False
260,PvP 프로필,MENU_PVP_PROFILE,19,255,255,3,0,False
261,교류,MENU_SOCIAL,21,255,255,3,0,False
262,파티원,MENU_PARTY_MEMBER,22,255,255,3,0,False
263,친구 목록,MENU_FRIEND_LIST,24,255,255,3,0,False
264,차단 목록,MENU_BLACK_LIST,26,255,255,3,0,False
265,플레이어 검색,MENU_PC_SEARCH,30,255,255,3,0,False
266,파티 찾기,MENU_LFG,32,255,255,3,0,False
267,준비 확인,MENU_READY_CHECK,33,255,255,3,0,False
268,자유부대,MENU_FREECOM,36,255,255,3,0,False
269,하우징,MENU_HOUSING,37,255,255,3,0,False
270,링크셸,MENU_LINKSHELL,39,255,255,3,0,False
271,임무 찾기,MENU_CONTENT,41,255,255,3,0,False
272,임무 정보,MENU_CONTENT_INFO,46,255,255,3,0,False
273,퀘스트,MENU_JOURNAL,47,255,255,3,0,False
274,제작수첩,MENU_CRAFT,51,255,255,3,0,False
275,채집수첩,MENU_GATHER,52,255,255,3,0,False
276,토벌수첩,MENU_MONSTER,53,255,255,3,0,False
277,낚시수첩,MENU_FISH,54,255,255,3,0,False
278,어류도감,MENU_FISH_GUIDE,55,255,255,3,0,False
279,공략수첩,MENU_CONTENTS_NOTEBOOK,57,255,255,3,0,False
280,탐험수첩,MENU_ADVENTURE_NOTEBOOK,56,255,255,3,0,False
281,대상 지시 표식,MENU_MARK,59,255,255,3,0,False
282,지면 표식,MENU_FIELD_MARK,60,255,255,3,0,False
283,버디,MENU_BUDDY,63,255,255,3,0,False
284,데존,MENU_RETURN,62,255,255,3,0,False
285,텔레포,MENU_TELEPO,64,255,255,3,0,False
286,업적,MENU_ACHIVE,65,255,255,3,0,False
287,시스템,MENU_SYSTEM,66,255,253,3,0,False
288,도움말 목록,MENU_HOWTO,70,255,255,3,0,False
289,임무 추천,MENU_RECOMMEND_LIST,71,255,255,3,0,False
290,매크로,MENU_MACRO,72,255,255,3,0,False
291,,,0,0,0,0,0,False
292,캐릭터 설정,MENU_CONFIG,76,255,255,3,0,False
293,시스템 설정,MENU_SYSCONFIG,77,255,255,3,0,False
294,대화창 글자 색상,MENU_LOGCOLOR,78,255,255,3,0,False
295,버튼 설정,MENU_PADCUSTOMIZE,79,255,255,3,0,False
296,골드 소서,MENU_GOLD_SAUCER,20,255,255,3,0,False
297,풍맥의 샘 교감 정보,MENU_AETHER_CURRENT,67,255,255,3,0,False
298,화폐 목록,MENU_CURRENCY,3,255,255,3,0,False
299,장비세트,MENU_GEAR_SET,2,255,255,3,0,False
300,,,0,0,0,0,0,False
301,1번 단축바: 1번 칸,HOTBAR_1_1,1,255,253,6,4,False
302,1번 단축바: 2번 칸,HOTBAR_1_2,2,255,253,6,4,False
303,1번 단축바: 3번 칸,HOTBAR_1_3,3,255,253,6,4,False
304,1번 단축바: 4번 칸,HOTBAR_1_4,4,255,253,6,4,False
305,1번 단축바: 5번 칸,HOTBAR_1_5,5,255,253,6,4,False
306,1번 단축바: 6번 칸,HOTBAR_1_6,6,255,253,6,4,False
307,1번 단축바: 7번 칸,HOTBAR_1_7,7,255,253,6,4,False
308,1번 단축바: 8번 칸,HOTBAR_1_8,8,255,253,6,4,False
309,1번 단축바: 9번 칸,HOTBAR_1_9,9,255,253,6,4,False
310,1번 단축바: 10번 칸,HOTBAR_1_0,10,255,253,6,4,False
311,1번 단축바: 11번 칸,HOTBAR_1_A,11,255,253,6,4,False
312,1번 단축바: 12번 칸,HOTBAR_1_B,12,255,253,6,4,False
313,2번 단축바: 1번 칸,HOTBAR_2_1,13,255,253,6,4,False
314,2번 단축바: 2번 칸,HOTBAR_2_2,14,255,253,6,4,False
315,2번 단축바: 3번 칸,HOTBAR_2_3,15,255,253,6,4,False
316,2번 단축바: 4번 칸,HOTBAR_2_4,16,255,253,6,4,False
317,2번 단축바: 5번 칸,HOTBAR_2_5,17,255,253,6,4,False
318,2번 단축바: 6번 칸,HOTBAR_2_6,18,255,253,6,4,False
319,2번 단축바: 7번 칸,HOTBAR_2_7,19,255,253,6,4,False
320,2번 단축바: 8번 칸,HOTBAR_2_8,20,255,253,6,4,False
321,2번 단축바: 9번 칸,HOTBAR_2_9,21,255,253,6,4,False
322,2번 단축바: 10번 칸,HOTBAR_2_0,22,255,253,6,4,False
323,2번 단축바: 11번 칸,HOTBAR_2_A,23,255,253,6,4,False
324,2번 단축바: 12번 칸,HOTBAR_2_B,24,255,253,6,4,False
325,3번 단축바: 1번 칸,HOTBAR_3_1,25,255,253,6,4,False
326,3번 단축바: 2번 칸,HOTBAR_3_2,26,255,253,6,4,False
327,3번 단축바: 3번 칸,HOTBAR_3_3,27,255,253,6,4,False
328,3번 단축바: 4번 칸,HOTBAR_3_4,28,255,253,6,4,False
329,3번 단축바: 5번 칸,HOTBAR_3_5,29,255,253,6,4,False
330,3번 단축바: 6번 칸,HOTBAR_3_6,30,255,253,6,4,False
331,3번 단축바: 7번 칸,HOTBAR_3_7,31,255,253,6,4,False
332,3번 단축바: 8번 칸,HOTBAR_3_8,32,255,253,6,4,False
333,3번 단축바: 9번 칸,HOTBAR_3_9,33,255,253,6,4,False
334,3번 단축바: 10번 칸,HOTBAR_3_0,34,255,253,6,4,False
335,3번 단축바: 11번 칸,HOTBAR_3_A,35,255,253,6,4,False
336,3번 단축바: 12번 칸,HOTBAR_3_B,36,255,253,6,4,False
337,4번 단축바: 1번 칸,HOTBAR_4_1,37,255,253,6,4,False
338,4번 단축바: 2번 칸,HOTBAR_4_2,38,255,253,6,4,False
339,4번 단축바: 3번 칸,HOTBAR_4_3,39,255,253,6,4,False
340,4번 단축바: 4번 칸,HOTBAR_4_4,40,255,253,6,4,False
341,4번 단축바: 5번 칸,HOTBAR_4_5,41,255,253,6,4,False
342,4번 단축바: 6번 칸,HOTBAR_4_6,42,255,253,6,4,False
343,4번 단축바: 7번 칸,HOTBAR_4_7,43,255,253,6,4,False
344,4번 단축바: 8번 칸,HOTBAR_4_8,44,255,253,6,4,False
345,4번 단축바: 9번 칸,HOTBAR_4_9,45,255,253,6,4,False
346,4번 단축바: 10번 칸,HOTBAR_4_0,46,255,253,6,4,False
347,4번 단축바: 11번 칸,HOTBAR_4_A,47,255,253,6,4,False
348,4번 단축바: 12번 칸,HOTBAR_4_B,48,255,253,6,4,False
349,5번 단축바: 1번 칸,HOTBAR_5_1,49,255,253,6,4,False
350,5번 단축바: 2번 칸,HOTBAR_5_2,50,255,253,6,4,False
351,5번 단축바: 3번 칸,HOTBAR_5_3,51,255,253,6,4,False
352,5번 단축바: 4번 칸,HOTBAR_5_4,52,255,253,6,4,False
353,5번 단축바: 5번 칸,HOTBAR_5_5,53,255,253,6,4,False
354,5번 단축바: 6번 칸,HOTBAR_5_6,54,255,253,6,4,False
355,5번 단축바: 7번 칸,HOTBAR_5_7,55,255,253,6,4,False
356,5번 단축바: 8번 칸,HOTBAR_5_8,56,255,253,6,4,False
357,5번 단축바: 9번 칸,HOTBAR_5_9,57,255,253,6,4,False
358,5번 단축바: 10번 칸,HOTBAR_5_0,58,255,253,6,4,False
359,5번 단축바: 11번 칸,HOTBAR_5_A,59,255,253,6,4,False
360,5번 단축바: 12번 칸,HOTBAR_5_B,60,255,253,6,4,False
361,6번 단축바: 1번 칸,HOTBAR_6_1,61,255,253,6,4,False
362,6번 단축바: 2번 칸,HOTBAR_6_2,62,255,253,6,4,False
363,6번 단축바: 3번 칸,HOTBAR_6_3,63,255,253,6,4,False
364,6번 단축바: 4번 칸,HOTBAR_6_4,64,255,253,6,4,False
365,6번 단축바: 5번 칸,HOTBAR_6_5,65,255,253,6,4,False
366,6번 단축바: 6번 칸,HOTBAR_6_6,66,255,253,6,4,False
367,6번 단축바: 7번 칸,HOTBAR_6_7,67,255,253,6,4,False
368,6번 단축바: 8번 칸,HOTBAR_6_8,68,255,253,6,4,False
369,6번 단축바: 9번 칸,HOTBAR_6_9,69,255,253,6,4,False
370,6번 단축바: 10번 칸,HOTBAR_6_0,70,255,253,6,4,False
371,6번 단축바: 11번 칸,HOTBAR_6_A,71,255,253,6,4,False
372,6번 단축바: 12번 칸,HOTBAR_6_B,72,255,253,6,4,False
373,7번 단축바: 1번 칸,HOTBAR_7_1,73,255,253,6,4,False
374,7번 단축바: 2번 칸,HOTBAR_7_2,74,255,253,6,4,False
375,7번 단축바: 3번 칸,HOTBAR_7_3,75,255,253,6,4,False
376,7번 단축바: 4번 칸,HOTBAR_7_4,76,255,253,6,4,False
377,7번 단축바: 5번 칸,HOTBAR_7_5,77,255,253,6,4,False
378,7번 단축바: 6번 칸,HOTBAR_7_6,78,255,253,6,4,False
379,7번 단축바: 7번 칸,HOTBAR_7_7,79,255,253,6,4,False
380,7번 단축바: 8번 칸,HOTBAR_7_8,80,255,253,6,4,False
381,7번 단축바: 9번 칸,HOTBAR_7_9,81,255,253,6,4,False
382,7번 단축바: 10번 칸,HOTBAR_7_0,82,255,253,6,4,False
383,7번 단축바: 11번 칸,HOTBAR_7_A,83,255,253,6,4,False
384,7번 단축바: 12번 칸,HOTBAR_7_B,84,255,253,6,4,False
385,8번 단축바: 1번 칸,HOTBAR_8_1,85,255,253,6,4,False
386,8번 단축바: 2번 칸,HOTBAR_8_2,86,255,253,6,4,False
387,8번 단축바: 3번 칸,HOTBAR_8_3,87,255,253,6,4,False
388,8번 단축바: 4번 칸,HOTBAR_8_4,88,255,253,6,4,False
389,8번 단축바: 5번 칸,HOTBAR_8_5,89,255,253,6,4,False
390,8번 단축바: 6번 칸,HOTBAR_8_6,90,255,253,6,4,False
391,8번 단축바: 7번 칸,HOTBAR_8_7,91,255,253,6,4,False
392,8번 단축바: 8번 칸,HOTBAR_8_8,92,255,253,6,4,False
393,8번 단축바: 9번 칸,HOTBAR_8_9,93,255,253,6,4,False
394,8번 단축바: 10번 칸,HOTBAR_8_0,94,255,253,6,4,False
395,8번 단축바: 11번 칸,HOTBAR_8_A,95,255,253,6,4,False
396,8번 단축바: 12번 칸,HOTBAR_8_B,96,255,253,6,4,False
397,9번 단축바: 1번 칸,HOTBAR_9_1,97,255,253,6,4,False
398,9번 단축바: 2번 칸,HOTBAR_9_2,98,255,253,6,4,False
399,9번 단축바: 3번 칸,HOTBAR_9_3,99,255,253,6,4,False
400,9번 단축바: 4번 칸,HOTBAR_9_4,100,255,253,6,4,False
401,9번 단축바: 5번 칸,HOTBAR_9_5,101,255,253,6,4,False
402,9번 단축바: 6번 칸,HOTBAR_9_6,102,255,253,6,4,False
403,9번 단축바: 7번 칸,HOTBAR_9_7,103,255,253,6,4,False
404,9번 단축바: 8번 칸,HOTBAR_9_8,104,255,253,6,4,False
405,9번 단축바: 9번 칸,HOTBAR_9_9,105,255,253,6,4,False
