#,Icon,PlaceNameSubtext,DataKey,X,Y,SubtextOrientation,MapMarkerRegion,Type,DataType,Unknown0,Unknown1
3.42,60412,0,0,1107,1210,2,0,0,0,255,2
4.0,60442,564,0,1350,773,2,0,0,0,255,0
4.1,60442,565,0,1350,888,2,0,0,0,255,0
4.2,60326,568,0,1156,698,4,0,0,0,255,0
4.3,60442,569,0,1189,863,3,0,0,0,255,0
4.4,60322,572,0,1350,477,4,0,0,0,255,0
4.5,0,0,0,1233,582,4,0,0,0,255,0
4.6,60442,574,0,1224,416,4,0,0,0,255,0
4.7,60442,575,0,1012,540,4,0,0,0,255,0
4.8,60319,578,0,512,977,4,0,0,0,255,0
4.9,60442,579,0,705,993,4,0,0,0,255,0
4.10,60442,580,0,926,843,4,0,0,0,255,0
4.11,60318,582,0,549,733,4,0,0,0,255,0
4.12,0,0,0,834,691,2,0,0,0,255,0
4.13,0,585,0,920,935,2,0,0,0,255,0
4.14,0,586,0,1560,710,2,0,0,0,255,0
4.15,60456,595,0,1389,543,2,0,0,0,255,0
4.16,60441,52,2,1305,981,3,0,0,1,16,0
4.17,60441,52,2,1053,849,3,0,0,1,17,0
4.18,60441,52,2,767,952,4,0,0,1,18,0
4.19,60441,57,7,590,832,4,0,0,1,18,0
4.20,60412,0,0,1352,904,2,0,0,0,255,0
4.21,60412,0,0,1361,876,2,0,0,0,255,0
4.22,60412,0,0,1332,889,2,0,0,0,255,0
4.23,60412,0,0,1342,870,2,0,0,0,255,0
4.24,60412,0,0,1363,786,2,0,0,0,255,0
4.25,60412,0,0,1342,795,2,0,0,0,255,0
4.26,60412,0,0,1336,779,2,0,0,0,255,0
4.27,60412,0,0,1351,758,2,0,0,0,255,0
4.28,60434,0,0,1330,765,2,0,0,0,255,0
4.29,60412,584,0,842,679,3,0,0,0,255,0
4.30,60551,0,0,911,723,2,0,0,0,255,0
4.31,60442,135,0,617,831,3,0,0,0,255,0
4.32,0,135,0,1188,855,0,0,0,0,255,0
4.33,60412,573,0,1232,594,4,0,0,0,255,0
4.34,60412,0,0,1154,739,2,0,0,0,255,0
4.35,60434,0,0,648,827,2,0,0,0,255,0
4.36,60430,0,783,1222,802,2,0,0,4,255,0
4.37,60430,0,784,1258,562,2,0,0,4,255,0
4.38,60430,0,785,735,1001,2,0,0,4,255,0
4.39,60430,0,786,398,669,2,0,0,4,255,0
4.40,60430,0,787,874,734,2,0,0,4,255,0
4.41,60442,581,0,531,629,4,0,0,0,255,0
4.42,0,55,5,1429,568,4,0,0,1,19,0
4.43,60427,0,0,919,733,2,0,0,0,255,0
4.44,60425,0,0,1363,821,2,0,0,0,255,0
4.45,60426,0,0,1360,832,2,0,0,0,255,0
4.46,60442,566,0,1353,830,2,0,0,0,255,0
4.47,60460,0,0,1291,844,2,0,0,0,255,0
4.48,60425,0,0,1344,912,2,0,0,0,255,0
4.49,60425,0,0,1363,860,2,0,0,0,255,0
4.50,60425,0,0,1345,751,2,0,0,0,255,0
4.51,0,426,82,1429,588,4,0,0,1,54,0
4.52,60570,0,0,1346,740,4,0,0,0,255,0
4.53,60570,0,0,1328,752,4,0,0,0,255,0
4.54,60570,0,0,1345,823,4,0,0,0,255,0
4.55,60570,0,0,1346,840,4,0,0,0,255,0
4.56,60570,0,0,1347,925,4,0,0,0,255,0
4.57,60570,0,0,1327,911,4,0,0,0,255,0
4.58,60935,0,0,902,741,2,0,0,0,255,0
4.59,60935,0,0,906,740,2,0,0,0,255,0
4.60,60910,0,0,1332,907,2,0,0,0,255,0
4.61,60935,0,0,1317,814,2,0,0,0,255,0
4.62,60935,0,0,1316,811,2,0,0,0,255,0
4.63,0,0,0,0,0,0,0,0,0,255,0
4.64,60404,0,0,961,533,2,0,0,0,255,0
4.65,0,0,504,930,806,8,0,0,2,255,0
4.66,0,0,505,930,806,8,0,0,2,255,0
4.67,0,0,506,930,806,8,0,0,2,255,0
4.68,0,0,0,0,0,0,0,0,0,0,0
5.0,60441,52,2,1151,725,2,0,0,1,20,0
5.1,0,52,0,721,732,0,0,0,0,255,0
5.2,60441,55,5,1440,791,2,0,0,1,0,0
5.3,60441,56,6,1185,1575,2,0,0,1,0,0
5.4,60441,57,7,521,661,2,0,0,1,17,0
5.5,0,68,0,1155,900,2,0,1,0,255,0
5.6,60442,87,0,1151,745,2,0,0,0,255,0
5.7,60442,88,0,721,752,2,0,0,0,255,0
5.8,60442,89,0,1244,926,2,0,0,0,255,0
5.9,60434,0,0,1107,921,2,0,0,0,255,0
5.10,60448,90,0,1112,941,2,0,0,0,255,0
5.11,0,69,0,1355,1073,2,0,1,0,255,0
5.12,60442,91,0,1305,991,2,0,0,0,255,0
5.13,60442,92,0,1481,961,2,0,0,0,255,0
5.14,60442,93,0,1340,1160,2,0,0,0,255,0
5.15,0,70,0,1089,1141,2,0,1,0,255,0
5.16,60453,0,3,1037,1059,4,0,0,3,255,0
5.17,60442,95,0,1062,1248,2,0,0,0,255,0
5.18,60442,96,0,860,949,2,0,0,0,255,0
5.19,60414,97,0,904,1372,3,0,0,0,255,0
5.20,60442,98,0,1207,1350,3,0,0,0,255,0
5.21,60442,99,0,1392,1455,2,0,0,0,255,0
5.22,60442,100,0,959,1494,2,0,0,0,255,0
5.23,60442,419,0,701,1212,4,0,0,0,255,0
5.24,0,71,0,691,944,2,0,1,0,255,0
5.25,60414,102,0,432,1092,3,0,0,0,255,0
5.26,60442,103,0,805,1059,2,0,0,0,255,0
5.27,60442,104,0,623,1036,2,0,0,0,255,0
5.28,60442,105,0,511,958,2,0,0,0,255,0
5.29,0,72,0,526,847,2,0,1,0,255,0
5.30,60442,106,0,469,815,2,0,0,0,255,0
5.31,0,156,0,1054,961,2,0,0,0,255,0
5.32,0,157,0,1280,956,2,0,0,0,255,0
5.33,60448,94,0,1007,1049,4,0,0,0,255,0
5.34,60434,0,0,1040,1006,2,0,0,0,255,0
5.35,60551,0,0,1020,1075,2,0,0,0,255,0
5.36,60434,0,0,1200,1340,3,0,0,0,255,0
5.37,60311,593,0,1045,1107,1,0,0,0,255,0
5.38,60442,348,0,1346,717,4,0,0,0,255,0
5.39,60442,439,0,800,904,2,0,0,0,255,0
5.40,60442,473,0,725,738,2,0,0,0,255,0
5.41,0,52,2,785,718,2,0,0,1,29,0
5.42,60456,475,0,1242,1349,2,0,0,0,255,0
5.43,0,426,82,1292,1364,2,0,0,1,1,0
5.44,60412,0,0,971,1090,2,0,0,0,255,0
5.45,60467,0,0,713,740,4,0,0,0,255,0
5.46,0,0,0,0,0,0,0,0,0,0,0
5.47,0,0,0,0,0,0,0,0,0,0,0
5.48,0,0,0,0,0,0,0,0,0,0,0
5.49,0,0,0,0,0,0,0,0,0,0,0
6.0,60441,54,4,511,1314,2,0,0,1,2,0
6.1,60441,56,6,862,1474,2,0,0,1,1,0
6.2,0,73,0,640,1227,2,0,0,0,255,0
6.3,60456,155,0,446,1094,1,0,0,0,255,0
6.4,0,74,0,914,1364,2,0,1,0,255,0
6.5,60442,158,0,812,1267,4,0,0,0,255,0
6.6,60448,107,0,778,1330,3,0,0,0,255,0
6.7,60442,108,0,745,1392,3,0,0,0,255,0
6.8,60442,110,0,1049,1418,2,0,0,0,255,0
6.9,60442,113,0,1053,1251,4,0,0,0,255,0
6.10,60442,111,0,1076,1545,2,0,0,0,255,0
6.11,0,75,0,794,1121,2,0,1,0,255,0
6.12,60442,112,0,830,791,4,0,0,0,255,0
6.13,0,76,0,1170,1007,2,0,1,0,255,0
6.14,60555,77,0,1247,934,4,0,1,0,255,0
6.15,60442,114,0,1409,575,4,0,0,0,255,0
6.16,60442,115,0,991,481,4,0,0,0,255,0
6.17,60442,116,0,1562,688,4,0,0,0,255,0
6.18,60442,117,0,1187,467,4,0,0,0,255,0
6.19,0,53,3,372,1115,1,0,0,1,42,0
6.20,60551,0,0,802,1323,2,0,0,0,255,0
6.21,60434,0,0,808,1326,2,0,0,0,255,0
6.22,60434,0,0,1040,1248,2,0,0,0,255,0
6.23,60442,159,0,535,1200,1,0,0,0,255,0
6.24,60453,0,4,838,1322,1,0,0,3,255,0
6.25,60434,0,0,448,1125,2,0,0,0,255,0
6.26,60311,593,0,827,1301,2,0,0,0,255,0
6.27,60434,0,0,545,1226,2,0,0,0,255,0
6.28,60935,0,0,1069,1268,2,0,0,0,255,0
6.29,60414,1857,0,1070,1516,4,0,0,0,255,24
6.30,60467,0,0,1051,1425,3,0,0,0,255,28
6.31,0,0,0,0,0,0,0,0,0,0,0
6.32,0,0,0,0,0,0,0,0,0,0,0
6.33,0,0,0,0,0,0,0,0,0,0,0
6.34,60441,2406,367,1057,1425,2,0,0,1,40,28
7.0,60441,54,4,656,780,4,0,0,1,3,0
7.1,60441,55,5,1300,764,4,0,0,1,1,0
7.2,0,44,0,740,1716,0,0,0,0,255,0
7.3,0,78,0,975,1032,4,0,1,0,255,0
7.4,60442,118,0,732,826,4,0,0,0,255,0
7.5,60448,119,0,842,975,1,0,0,0,255,0
7.6,60414,120,0,932,854,4,0,0,0,255,0
7.7,60442,121,0,796,1056,4,0,0,0,255,0
7.8,60442,122,0,718,1110,4,0,0,0,255,0
7.9,0,79,0,786,1554,4,0,1,0,255,0
7.10,60453,123,6,793,1380,2,0,0,3,255,0
7.11,60414,125,0,660,1480,4,0,0,0,255,0
7.12,0,126,0,925,1425,2,0,0,0,255,0
7.13,60442,127,0,688,1642,4,0,0,0,255,0
7.14,0,80,0,1096,1240,4,0,1,0,255,0
7.15,60414,128,0,1204,1192,4,0,0,0,255,0
7.16,0,81,0,1180,888,4,0,1,0,255,0
7.17,60453,129,5,1203,953,4,0,0,3,255,0
7.18,60442,130,0,1082,826,4,0,0,0,255,0
7.19,60442,131,0,1345,1000,4,0,0,0,255,0
7.20,60442,132,0,1462,964,4,0,0,0,255,0
7.21,0,82,0,1512,1160,4,0,1,0,255,0
7.22,60442,133,0,1644,1102,4,0,0,0,255,0
7.23,60434,0,0,860,944,2,0,0,0,255,0
7.24,60412,0,0,849,940,2,0,0,0,255,0
7.25,60442,589,0,1290,815,2,0,0,0,255,0
7.26,60551,0,0,1218,971,2,0,0,0,255,0
7.27,60448,0,0,824,1398,4,0,0,0,255,0
7.28,60448,0,0,1232,988,4,0,0,0,255,0
7.29,60434,0,0,1186,964,2,0,0,0,255,0
7.30,60311,593,0,820,965,4,0,0,0,255,0
7.31,60311,593,0,1195,977,1,0,0,0,255,0
7.32,60311,593,0,818,1365,4,0,0,0,255,0
7.33,0,0,0,869,967,2,0,0,0,255,0
7.34,60412,0,0,1233,955,2,0,0,0,255,0
7.35,60412,0,0,1225,960,2,0,0,0,255,0
7.36,0,0,0,1206,983,2,0,0,0,255,0
7.37,60434,0,0,810,1395,2,0,0,0,255,0
7.38,60412,0,0,803,1391,2,0,0,0,255,0
7.39,0,0,0,800,1387,2,0,0,0,255,0
7.40,0,0,0,932,859,2,0,0,0,255,0
7.41,60441,44,22,757,1703,4,0,0,1,17,0
7.42,0,0,0,0,0,0,0,0,0,0,0
7.43,0,0,0,0,0,0,0,0,0,0,0
7.44,0,0,0,0,0,0,0,0,0,0,0
7.45,0,0,151,662,1480,8,0,0,2,255,0
7.46,0,0,0,0,0,0,0,0,0,0,0
7.47,0,0,0,0,0,0,0,0,0,0,0
7.48,0,0,0,0,0,0,0,0,0,0,0
7.49,60412,0,0,1203,985,3,0,0,0,255,61
7.50,60935,0,0,1202,980,3,0,0,0,255,61
7.51,63971,0,2572,1212,988,3,0,0,4,255,61
8.0,0,83,0,1305,1280,4,0,1,0,255,0
8.1,60442,135,0,1472,1226,3,0,0,0,255,0
8.2,60448,136,0,1340,1388,3,0,0,0,255,0
8.3,60442,137,0,1376,1241,4,0,0,0,255,0
8.4,0,84,0,1310,1048,4,0,1,0,255,0
8.5,60442,138,0,1424,1103,4,0,0,0,255,0
8.6,60448,139,0,1376,934,4,0,0,0,255,0
8.7,0,85,0,967,1377,4,0,1,0,255,0
8.8,60453,0,7,980,1252,1,0,0,3,255,0
8.9,60442,141,0,1000,1202,4,0,0,0,255,0
8.10,60442,142,0,716,1217,4,0,0,0,255,0
8.11,60442,143,0,771,1411,1,0,0,0,255,0
8.12,0,86,0,1058,1010,4,0,1,0,255,0
8.13,60442,144,0,1123,1189,2,0,0,0,255,0
8.14,60442,145,0,991,970,4,0,0,0,255,0
8.15,60442,146,0,1087,1156,4,0,0,0,255,0
8.16,0,63,0,624,1143,0,0,0,0,255,0
8.17,60441,54,4,1031,1543,4,0,0,1,4,0
8.18,60441,53,3,1480,1220,4,0,0,1,19,0
8.19,60551,0,0,1385,957,2,0,0,0,255,0
8.20,60412,0,0,1446,907,2,0,0,0,255,0
8.21,60412,0,0,1447,903,2,0,0,0,255,0
8.22,60434,0,0,1443,899,2,0,0,0,255,0
8.23,60442,160,0,1240,1360,4,0,0,0,255,0
8.24,60448,140,0,1000,1292,3,0,0,0,255,0
8.25,60434,0,0,1356,1358,2,0,0,0,255,0
8.26,60311,593,0,1344,950,1,0,0,0,255,0
8.27,60311,593,0,1024,1262,2,0,0,0,255,0
8.28,60434,0,0,1033,1243,2,0,0,0,255,0
8.29,60412,0,0,1035,1248,2,0,0,0,255,0
8.30,0,0,0,1026,1271,2,0,0,0,255,0
8.31,60551,0,0,986,1269,2,0,0,0,255,0
8.32,60441,63,53,628,1182,1,0,0,1,29,0
8.33,60935,0,0,1469,957,2,0,0,0,255,0
8.34,60434,0,0,1196,1085,2,0,0,0,255,0
8.35,60935,0,0,1198,1089,2,0,0,0,255,0
8.36,60442,1385,0,1184,1104,4,0,0,0,255,0
9.0,60442,535,0,994,976,2,0,0,0,255,0
9.1,60442,539,0,953,1083,2,0,0,0,255,0
9.2,60442,544,0,1121,1289,4,0,0,0,255,0
9.3,60442,537,0,1287,899,2,0,0,0,255,0
9.4,60442,541,0,744,1051,3,0,0,0,255,0
9.5,60442,542,0,791,1025,1,0,0,0,255,0
9.6,60442,543,0,873,984,4,0,0,0,255,0
10.0,60442,534,0,861,585,0,0,0,0,255,0
10.1,60442,535,0,994,976,2,0,0,0,255,0
10.2,60442,536,0,0,0,0,0,0,0,255,0
10.3,60442,537,0,1237,1032,2,0,0,0,255,0
10.4,60442,538,0,1231,925,2,0,0,0,255,0
10.5,60442,539,0,953,1083,2,0,0,0,255,0
10.6,60442,540,0,484,1010,1,0,0,0,255,0
10.7,60442,541,0,766,1040,3,0,0,0,255,0
10.8,60442,542,0,791,1025,1,0,0,0,255,0
10.9,60442,543,0,863,979,4,0,0,0,255,0
10.10,60442,544,0,1077,1242,4,0,0,0,255,0
11.0,60442,608,0,1024,1024,4,0,0,0,255,0
11.1,60447,599,48,1108,1006,2,0,0,1,4,0
11.2,60447,599,48,1108,1047,2,0,0,1,5,0
12.0,60442,602,0,1192,1024,2,0,0,0,255,0
12.1,60442,604,0,1024,1024,4,0,0,0,255,0
12.2,60442,655,0,932,1018,3,0,0,0,255,0
12.3,60447,601,55,900,996,1,0,0,1,2,0
12.4,60446,600,54,1108,993,4,0,0,1,1,0
12.5,60446,600,54,1108,1056,3,0,0,1,2,0
13.0,60442,609,0,1024,1024,2,0,0,0,255,0
13.1,60442,610,0,1024,1116,3,0,0,0,255,0
13.2,60446,599,48,903,998,1,0,0,1,3,0
14.0,60442,876,0,782,1024,4,0,0,0,255,0
14.1,60442,870,0,1000,1024,4,0,0,0,255,0
15.0,60442,871,0,1422,738,4,0,0,0,255,0
16.0,60442,872,0,1014,1024,4,0,0,0,255,0
17.0,60442,608,0,1024,1024,4,0,0,0,255,0
17.1,60447,599,137,1108,1006,2,0,0,1,2,0
18.0,60442,602,0,1192,1024,2,0,0,0,255,0
18.1,60442,604,0,1024,1024,4,0,0,0,255,0
18.2,60446,600,138,1108,993,4,0,0,1,1,0
19.0,60442,609,0,1024,1024,2,0,0,0,255,0
20.0,0,0,0,0,0,0,0,0,0,255,0
21.0,0,520,0,600,1256,4,0,0,0,255,0
21.1,0,521,0,960,774,4,0,0,0,255,0
21.2,0,522,0,863,927,4,0,0,0,255,0
21.3,0,523,0,799,1251,4,0,0,0,255,0
21.4,60442,529,0,780,850,4,0,0,0,255,0
21.5,0,530,0,943,1106,0,0,0,0,255,0
21.6,0,532,0,1033,872,0,0,0,0,255,0
21.7,0,611,0,545,802,0,0,0,0,255,0
21.8,0,612,0,1472,739,4,0,0,0,255,0
22.0,60442,1308,0,482,1088,4,0,0,0,255,0
22.1,0,1307,0,782,1122,4,0,0,0,255,0
22.2,0,1306,0,892,842,4,0,0,0,255,0
23.0,0,1309,0,124,1024,4,0,0,0,255,0
23.1,60442,1312,0,300,1024,4,0,0,0,255,0
23.2,60446,1354,156,124,1078,3,0,0,1,0,0
24.0,60447,1353,149,124,1056,4,0,0,1,2,0
24.1,0,1310,0,124,1166,4,0,0,0,255,0
24.2,0,1311,0,124,1310,4,0,0,0,255,0
25.0,0,1315,0,1024,600,4,0,0,0,255,0
25.1,60442,1316,0,1168,758,2,0,0,0,255,0
25.2,60442,1318,0,1168,920,2,0,0,0,255,0
25.3,60442,1320,0,1168,1085,2,0,0,0,255,0
25.4,60442,1317,0,880,758,1,0,0,0,255,0
25.5,60442,1319,0,880,920,1,0,0,0,255,0
25.6,60442,1321,0,880,1085,1,0,0,0,255,0
25.7,60446,1314,66,1078,816,4,0,0,1,8,0
25.8,60446,1314,66,1078,886,4,0,0,1,9,0
25.9,60446,1314,66,1078,986,4,0,0,1,10,0
25.10,60446,1314,66,1078,1048,4,0,0,1,11,0
25.11,60446,1314,66,968,816,4,0,0,1,16,0
25.12,60446,1314,66,968,886,4,0,0,1,17,0
25.13,60446,1314,66,968,986,4,0,0,1,18,0
25.14,60446,1314,66,968,1048,4,0,0,1,19,0
26.0,0,1314,0,1024,600,4,0,0,0,255,0
26.1,60442,1322,0,1024,859,4,0,0,0,255,0
26.2,60442,1323,0,1024,1024,4,0,0,0,255,0
26.3,60442,1330,0,1024,1238,4,0,0,0,255,0
26.4,60446,1313,67,1118,824,2,0,0,1,7,0
26.5,60446,1313,67,1118,918,2,0,0,1,8,0
26.6,60446,1313,67,1118,988,2,0,0,1,9,0
26.7,60446,1313,67,1118,1084,2,0,0,1,10,0
26.8,60447,1315,65,1090,804,2,0,0,1,7,0
26.9,60447,1315,65,1090,884,2,0,0,1,8,0
26.10,60447,1315,65,1090,962,2,0,0,1,9,0
26.11,60447,1315,65,1090,1048,2,0,0,1,10,0
26.12,60446,1313,67,932,824,1,0,0,1,11,0
26.13,60446,1313,67,932,918,1,0,0,1,12,0
26.14,60446,1313,67,932,988,1,0,0,1,13,0
26.15,60446,1313,67,932,1084,1,0,0,1,14,0
26.16,60447,1315,65,958,804,1,0,0,1,11,0
26.17,60447,1315,65,958,884,1,0,0,1,12,0
26.18,60447,1315,65,958,962,1,0,0,1,13,0
26.19,60447,1315,65,958,1048,1,0,0,1,14,0
27.0,0,1313,0,1024,600,4,0,0,0,255,0
27.1,60442,1324,0,1168,790,2,0,0,0,255,0
27.2,60442,1326,0,1168,956,2,0,0,0,255,0
27.3,60442,1328,0,1168,1116,2,0,0,0,255,0
27.4,60442,1325,0,880,790,1,0,0,0,255,0
27.5,60442,1327,0,880,956,1,0,0,0,255,0
27.6,60442,1329,0,880,1116,1,0,0,0,255,0
27.7,60447,1314,66,1096,828,4,0,0,1,4,0
27.8,60447,1314,66,1096,916,4,0,0,1,5,0
27.9,60447,1314,66,1096,990,4,0,0,1,6,0
27.10,60447,1314,66,1096,1068,4,0,0,1,7,0
27.11,60447,1314,66,952,828,4,0,0,1,12,0
27.12,60447,1314,66,952,916,4,0,0,1,13,0
27.13,60447,1314,66,952,990,4,0,0,1,14,0
27.14,60447,1314,66,952,1068,4,0,0,1,15,0
28.0,0,1304,0,1024,900,4,0,0,0,255,0
29.0,60441,52,2,1024,1110,3,0,0,1,255,0
30.0,60441,53,3,1210,1224,3,0,0,1,255,0
31.0,60441,29,12,1025,1112,3,0,0,1,255,0
32.0,60442,5106,0,1024,1025,2,0,0,0,255,0
32.1,60442,5107,0,1058,385,2,0,0,0,255,0
32.2,0,5109,0,1024,1650,9,0,1,0,255,0
32.3,0,5110,0,1024,1325,9,0,1,0,255,0
32.4,0,5111,0,1000,1025,11,0,1,0,255,0
32.5,0,5112,0,1024,750,9,0,1,0,255,0
32.6,0,0,0,0,0,0,0,0,0,255,0
33.0,60442,5108,0,1120,860,2,0,0,0,255,0
33.1,0,5113,0,1100,1175,9,0,1,0,255,0
33.2,0,0,0,0,0,0,0,0,0,255,0
34.0,60441,698,73,1024,1072,3,0,0,1,255,0
35.0,0,0,0,0,0,0,0,0,0,0,0
36.0,60441,42,20,950,1023,1,0,0,1,255,0
36.1,60442,374,0,1136,1023,2,0,0,0,255,0
36.2,60412,0,0,1047,793,2,0,0,0,255,0
36.3,60434,0,0,1040,794,2,0,0,0,255,0
37.0,60441,42,20,950,1023,1,0,0,1,255,0
37.1,60442,374,0,1136,1023,2,0,0,0,255,0
38.0,60441,42,20,950,1023,1,0,0,1,255,0
38.1,60442,374,0,1136,1023,2,0,0,0,255,0
38.2,60412,0,0,1051,805,2,0,0,0,255,0
38.3,60434,0,0,1057,808,2,0,0,0,255,0
39.0,0,247,0,1140,1488,3,0,1,0,255,0
39.1,0,248,0,954,736,3,0,1,0,255,0
39.2,0,249,0,1220,904,3,0,1,0,255,0
39.3,60442,278,0,866,1242,1,0,0,0,255,0
39.4,60442,279,0,1008,1208,3,0,0,0,255,0
39.5,0,280,0,1188,1220,4,0,0,0,255,0
39.6,0,281,0,907,1174,1,0,0,0,255,0
39.7,60442,282,0,1084,1270,3,0,0,0,255,0
39.8,60442,283,0,1088,1374,4,0,0,0,255,0
39.9,0,284,0,960,1112,4,0,0,0,255,0
39.10,60442,285,0,1032,1154,4,0,0,0,255,0
39.11,60442,286,0,1260,1550,4,0,0,0,255,0
39.12,60442,287,0,1250,1680,4,0,0,0,255,0
39.13,0,288,0,1126,856,4,0,0,0,255,0
39.14,60442,289,0,942,972,4,0,0,0,255,0
39.15,60448,290,0,983,860,4,0,0,0,255,0
39.16,60442,291,0,792,1148,3,0,0,0,255,0
39.17,60442,292,0,768,916,4,0,0,0,255,0
39.18,0,293,0,729,682,1,0,0,0,255,0
39.19,60442,294,0,1118,752,4,0,0,0,255,0
39.20,60442,295,0,1138,646,3,0,0,0,255,0
39.21,60442,296,0,1008,594,4,0,0,0,255,0
39.22,60442,297,0,1344,910,2,0,0,0,255,0
39.23,60442,298,0,1160,1002,4,0,0,0,255,0
39.24,60441,46,24,996,520,4,0,0,1,15,0
39.25,60441,44,22,1479,835,4,0,0,1,18,0
39.26,60441,42,20,610,1124,4,0,0,1,25,0
39.27,60441,45,23,1254,1688,3,0,0,1,16,0
39.28,60441,40,13,906,1368,3,0,0,1,3,0
39.29,60441,41,14,1024,1584,4,0,0,1,5,0
39.30,60311,593,0,1025,868,2,0,0,0,255,0
39.31,60551,0,0,1036,853,2,0,0,0,255,0
39.32,60434,0,0,1012,873,2,0,0,0,255,0
39.33,60412,0,0,1012,878,2,0,0,0,255,0
39.34,60453,0,53,1004,857,2,0,0,3,255,0
39.35,60412,0,0,926,984,2,0,0,0,255,0
39.36,60414,377,0,748,650,2,0,0,0,255,0
39.37,60442,613,0,909,1358,1,0,0,0,255,0
39.38,60442,645,0,1042,1590,3,0,0,0,255,0
39.39,60910,0,0,1139,632,2,0,0,0,255,0
39.40,0,0,97,738,645,8,0,0,2,255,0
39.41,63973,0,2575,793,1134,4,0,0,4,255,167
40.0,0,243,0,1095,1228,4,0,1,0,255,0
40.1,0,244,0,1056,934,4,0,1,0,255,0
40.2,0,245,0,720,646,4,0,1,0,255,0
40.3,0,246,0,483,255,4,0,1,0,255,0
40.4,0,261,0,1360,1179,4,0,1,0,255,0
40.5,60442,262,0,848,1342,4,0,0,0,255,0
40.6,60448,263,0,1253,1162,4,0,0,0,255,0
40.7,0,264,0,1080,1118,4,0,0,0,255,0
40.8,60442,265,0,1079,1319,4,0,0,0,255,0
40.9,60442,375,0,982,1341,4,0,0,0,255,0
40.10,60442,376,0,948,1285,4,0,0,0,255,0
40.11,60448,266,0,754,1446,3,0,0,0,255,0
40.12,60414,267,0,1351,790,4,0,0,0,255,0
40.13,60442,268,0,1122,838,2,0,0,0,255,0
40.14,60442,269,0,1046,769,1,0,0,0,255,0
40.15,0,270,0,1163,921,4,0,0,0,255,0
40.16,60448,271,0,1115,804,2,0,0,0,255,0
40.17,60448,272,0,729,850,4,0,0,0,255,0
40.18,60442,273,0,846,738,4,0,0,0,255,0
40.19,60448,274,0,583,660,2,0,0,0,255,0
40.20,60442,275,0,837,290,4,0,0,0,255,0
40.21,60442,276,0,703,286,4,0,0,0,255,0
40.22,60442,277,0,594,311,4,0,0,0,255,0
40.23,60442,349,0,218,160,4,0,0,0,255,0
40.24,60441,40,13,1505,1187,4,0,0,1,4,0
