#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
41,"**편지 쓰기**를 클릭하면 친구에게 보낼 편지를 작성할 수 있습니다.

모그레터는 편지뿐만 아니라 **아이템**이나 **길**을 첨부해서 보낼 수도 있습니다.",,,150222,1,0,0
42,"**편지 쓰기**를 선택하면 친구에게 보낼 편지를 작성할 수 있습니다.

모그레터는 편지뿐만 아니라 **아이템**이나 **길**을 첨부해서 보낼 수도 있습니다.",,,150222,1,0,0
43,,,,0,0,0,0
44,,,,0,0,0,0
45,"**도시 내 에테라이트**와 교감했습니다.
이제부터 도시 내 에테라이트 사이를 자유롭게 이동할 수 있습니다.",,,150191,1,0,0
46,,,,0,0,0,0
47,,,,0,0,0,0
48,,,,0,0,0,0
49,,,,0,0,0,0
50,"도시 밖에 있는 에테라이트와 교감하여 **텔레포**를 익혔습니다.

주 메뉴에 있는 **지도 및 여행**에서 **텔레포**를 선택한 후, 교감한 에테라이트 중에서 가고 싶은 지역을 고르면 바로 이동할 수 있습니다.",,,150151,1,0,0
51,"텔레포를 사용할 때는 **길**을 소비하며, 텔레포 비용은 이동 목적지와의 거리에 따라 달라집니다.",,,150152,1,0,0
52,"에테라이트를 **즐겨찾기로 설정**하면 해당 에테라이트로 텔레포할 때 필요한 비용이 감소합니다.

즐겨찾기는 **최대 3개**까지 설정할 수 있습니다.

자주 이용하는 에테라이트가 있다면 즐겨찾기로 설정해보세요.",,,150153,1,0,0
53,,,,0,0,0,0
54,,,,0,0,0,0
55,,,,0,0,0,0
56,,,,0,0,0,0
57,,,,0,0,0,0
58,,,,0,0,0,0
59,,,,0,0,0,0
60,"퀘스트를 받으면 퀘스트의 진행 상황이 **할 일 목록**에 나타납니다.

할 일 목록에는 퀘스트가 5개까지 표시됩니다.

할 일 목록을 확인하며 퀘스트를 진행하세요.",,,150031,1,1,0
61,"할 일 목록에 표시된 **퀘스트 제목**을 클릭하면 퀘스트창이 나타납니다.

퀘스트창에서는 이야기 줄거리와 해야 할 일, 보상 등의 자세한 퀘스트 정보를 확인할 수 있습니다.",,,150032,1,1,0
62,"할 일 목록에 표시된 **퀘스트 제목**을 선택하면 퀘스트창이 나타납니다.

퀘스트창에서는 이야기 줄거리와 해야 할 일, 보상 등의 자세한 퀘스트 정보를 확인할 수 있습니다.",,,150032,1,1,0
63,,,,0,0,0,0
64,,,,0,0,0,0
65,"이 퀘스트를 진행하려면 **임무용 아이템**을 사용해야 합니다.

퀘스트 대상을 선택하면 임무용 아이템이 나타납니다.

사용할 아이템을 오른쪽 클릭한 다음 **사용**을 선택하여 아이템을 사용해보세요.",,,150051,1,1,0
66,"이 퀘스트를 진행하려면 **임무용 아이템**을 사용해야 합니다.

퀘스트 대상을 선택하면 임무용 아이템이 나타납니다.

사용할 아이템을 선택한 다음 세부 메뉴에서 **사용**을 눌러 아이템을 사용해보세요.",,,150051,1,1,0
67,,,,0,0,0,0
68,,,,0,0,0,0
69,,,,0,0,0,0
70,"이 퀘스트를 진행하려면 **사물**을 조작하여 목표를 달성해야 합니다.

해당 사물을 **오른쪽 클릭**해서 퀘스트를 진행하세요.",,,150061,1,1,0
71,"이 퀘스트를 진행하려면 **사물**을 조작하여 목표를 달성해야 합니다.

해당 사물을 선택해서 퀘스트를 진행하세요.",,,150061,1,1,0
72,,,,0,0,0,0
73,,,,0,0,0,0
74,,,,0,0,0,0
75,,,,0,0,0,0
76,,,,0,0,0,0
77,,,,0,0,0,0
78,,,,0,0,0,0
79,,,,0,0,0,0
80,"**감정 표현**은 자신의 기분을 전하는 기능입니다.

감정 표현을 사용하려면 상대를 지정한 다음, 주 메뉴에 있는 **플레이어 간 교류**에서 **감정 표현**을 선택하세요.",,,150381,1,1,0
81,"감정 표현 목록이 표시되면, 상대에게 전할 감정을 선택합니다.

이번에는 '로즈웬'을 대상으로 **무릎 꿇기**를 사용해봅시다.","감정 표현 목록이 표시되면, 상대에게 전할 감정을 선택합니다.

이번에는 '오닐리'를 대상으로 **공손하게 인사**를 사용해봅시다.","감정 표현 목록이 표시되면, 상대에게 전할 감정을 선택합니다.

이번에는 '줄리아나'를 대상으로 **환영**를 사용해봅시다.",150382,1,1,1
82,"감정 표현은 단축바에 등록해서 사용할 수도 있습니다.
자주 사용하는 감정 표현은 단축바에 **끌어다 놓기**로 등록해보세요.

**※ 감정 표현 외에, 아이템이나 매크로도 단축바에 등록할 수 있습니다.**",,,150383,1,1,0
83,"감정 표현 목록이 표시되면, 상대에게 전할 감정을 선택합니다.

이번에는 '로즈웬'을 대상으로 **무릎 꿇기**를 사용해봅시다.","감정 표현 목록이 표시되면, 상대에게 전할 감정을 선택합니다.

이번에는 '오닐리'를 대상으로 **공손하게 인사**를 사용해봅시다.","감정 표현 목록이 표시되면, 상대에게 전할 감정을 선택합니다.

이번에는 '줄리아나'를 대상으로 **환영**를 사용해봅시다.",150382,1,1,1
84,,,,0,0,0,0
85,,,,0,0,0,0
86,,,,0,0,0,0
87,,,,0,0,0,0
88,,,,0,0,0,0
89,,,,0,0,0,0
90,"HP가 0이 되면 **전투불능** 상태가 됩니다.
전투불능이 된 후 **귀환 지점(인스턴스 안에서는 시작 지점)**으로 돌아가면 다시 살아날 수 있습니다.

만약 근처에 있는 다른 플레이어에게서 '레이즈'와 같은 **부활 마법**을 받으면 귀환하지 않고도 그 자리에서 살아날 수 있습니다.",,,150161,1,0,0
91,"전투불능이 되면 장비 **내구도**가 떨어집니다.

장비 내구도가 0%가 되면 장비 성능이 완전히 무효가 되므로 주의하시기 바랍니다.

**※ 플레이어 레벨이 9 이하이거나, 일부 특수한 임무 수행 중일 경우 장비 내구도가 떨어지지 않습니다.**",,,150162,1,0,0
92,,,,0,0,0,0
93,,,,0,0,0,0
94,,,,0,0,0,0
95,,,,0,0,0,0
96,,,,0,0,0,0
97,,,,0,0,0,0
98,,,,0,0,0,0
99,,,,0,0,0,0
100,,,,0,0,0,0
101,,,,0,0,0,0
102,,,,0,0,0,0
103,,,,0,0,0,0
104,,,,0,0,0,0
105,"던전에서 나오고 싶을 때는 '임무 찾기'에 있는 **퇴장** 버튼을 누르거나 던전 입구로 가면 도중 퇴장할 수 있습니다.

단, 다른 파티원이 던전 안에 남아 있으면 파티에서 탈퇴하게 됩니다.
던전 끝에 있는 우두머리를 물리친 후에는 탈출 지점을 통해 던전에서 탈출할 수도 있습니다.",,,150572,1,0,0
106,"던전에는 여러 우두머리가 있습니다.
우두머리가 있는 방 입구에는 선이 그어져 있으며, 전투를 시작하고 일정 시간이 지나면 선 밖으로 나갈 수 없게 됩니다.

우두머리는 무척 강력하므로 파티원이 모두 모인 것을 확인한 후 전투를 시작하세요.",,,150573,1,0,0
107,"전투불능이 되었을 때는 파티원에게 부활 마법을 받거나 던전 입구로 돌아가서 다시 도전할 수 있습니다.

포기하지 말고 계속 도전해서 끝까지 공략하고 보상을 받으세요!
",,,150574,1,0,0
108,,,,0,0,0,0
109,,,,0,0,0,0
110,"클래스에 따라 장비할 수 있는 **주 무기** 종류가 다릅니다.

바꾸고 싶은 클래스가 쓰는 주 무기를 장비하면 **클래스 체인지**를 할 수 있습니다.",,,150111,1,0,0
111,"새로운 클래스를 습득하면
잊지 말고 **장비세트**에 등록하세요.

장비세트를 이용하면 미리 등록해둔 장비들을 즉시 장비할 수 있습니다.",,,150112,1,0,0
112,,,,0,0,0,0
113,,,,0,0,0,0
114,,,,0,0,0,0
115,"**클래스 체인지**를 할 수 있게 되었습니다.

다른 클래스의 길드를 찾아가 접수원에게 말을 걸면
새로운 클래스를 배우기 위한 퀘스트를 받을 수 있습니다.",,,150101,1,0,0
116,"에오르제아에서는 전투 클래스뿐만 아니라
아이템을 만드는 **제작자 클래스**나
필드에서 생산 재료를 입수하는
**채집가 클래스**도 있습니다.

우선 현재 배우고 있는 클래스를 숙지하고
다른 클래스를 배우면, 이해도가 높아질 것입니다.",,,150102,1,0,0
117,,,,0,0,0,0
118,,,,0,0,0,0
119,,,,0,0,0,0
120,"이야기 흐름 상 중요한 적을 상대하거나, 특수한 상황에서 전투가 진행될 경우 특별히 마련된 공간에서 전투가 시작됩니다.

화면 오른쪽에 있는 **할 일 목록**의 설명을 보며 적을 물리치세요.",,,150791,1,1,0
121,"이 공간 안에서는 빨간 점선으로 표시된 경계선을 넘을 수 없습니다.

퀘스트 목표를 달성하면 전투 공간에서 나갈 수 있습니다.


",,,150792,1,1,0
122,,,,0,0,0,0
123,,,,0,0,0,0
124,,,,0,0,0,0
125,"중요한 퀘스트는 퀘스트 아이콘이 평소와 다른 독특한 모양으로 표시됩니다.

이 아이콘으로 표시된 퀘스트를 계속 따라가면 주요 퀘스트를 진행할 수 있습니다.",,,150801,1,0,0
126,"이 아이콘은 퀘스트 진행 과정에서 새로운 임무나 기능이 개방된다는 것을 의미합니다.

해당 아이콘을 발견하면 적극적으로 도전해봅시다.",,,150802,1,0,0
127,,,,0,0,0,0
128,,,,0,0,0,0
129,,,,0,0,0,0
130,"클래스 퀘스트 중에는 보상으로 **클래스 전용 기술**을 습득할 수 있는 것도 있습니다.

예를 들어, 창술사 15 레벨이 되면 퀘스트를 통해 원거리 기술인 **꿰뚫는 발톱**을 익힐 수 있습니다.

클래스 퀘스트를 받을 수 있는 레벨에 도달하면 우선적으로 완료하십시오.",,,150891,1,0,0
131,,,,0,0,0,0
132,,,,0,0,0,0
133,,,,0,0,0,0
134,,,,0,0,0,0
135,"**상인**에게서 아이템을 사거나 팔아보세요.
상인이 파는 아이템을 선택하면 해당 상품을 구매할 수 있습니다.
반대로 소지품에 있는 아이템을 선택하여 **끌어놓거나** 세부 메뉴에서 **판매**를 선택하면 상인에게 팔 수 있습니다.",,,150201,1,0,0
136,"실수로 중요한 아이템을 팔았다면 **재매입 목록**에서 **다시 살 수 있습니다.**


단, 재매입 목록에 있는 아이템은 게임을 종료하거나 아이템을 판매한 상인이 있는 지역에서 벗어나면 목록에서 삭제되므로 주의하시기 바랍니다.",,,150202,1,0,0
137,"**상인**에게서 아이템을 사거나 팔아보세요.

상인이 파는 아이템을 선택하면 해당 상품을 구매할 수 있습니다.

반대로 소지품에 있는 아이템을 선택하면 상인에게 팔 수 있습니다.",,,150201,1,0,0
138,,,,0,0,0,0
139,,,,0,0,0,0
140,,,,0,0,0,0
141,,,,0,0,0,0
142,,,,0,0,0,0
143,,,,0,0,0,0
144,,,,0,0,0,0
145,,,,0,0,0,0
146,,,,0,0,0,0
147,,,,0,0,0,0
148,,,,0,0,0,0
149,,,,0,0,0,0
150,"적을 공격하고 싶을 때는 공격할 대상을 **오른쪽 클릭**하면 **자동 공격**이 시작됩니다.

자동 공격이 성공하려면 대상으로부터 일정 거리 안에 있어야 합니다.

자동 공격 중에는 대상의 머리 위에 자동 공격 중임을 나타내는 표시가 생깁니다.",,,150931,1,0,0
151,"화면에 표시된 **단축바**에는 전투 시에 사용할 수 있는 기술을 올려놓을 수 있습니다.

단축바에 올려놓은 기술은 해당 아이콘을 **클릭**하거나, 해당 **단축키**를누르면 실행할 수 있습니다.",,,150082,1,0,0
152,"기술을 실행하면 **MP** 등의 자원을 소비합니다.
또한 기술을 다시 한번 사용하려면 일정 시간(**재사용 대기 시간**)이 지나야 합니다.

각 기술의 효과는 기술 아이콘 위에 커서를 올리면 확인할 수 있습니다.",,,150083,1,0,0
153,환술사나 궁술사처럼 원거리 공격을 주로 쓰는 클래스라면 적과 충분히 거리를 벌린 상태에서 기술을 활용하여 싸우는 것이 좋습니다.,,,150084,1,0,0
154,,,,0,0,0,0
155,,,,0,0,0,0
156,,,,0,0,0,0
157,,,,0,0,0,0
158,,,,0,0,0,0
159,,,,0,0,0,0
160,"파이널판타지14는 한 캐릭터로 여러 직업을 즐길 수 있으며, 장비를 바꿈과 동시에 직업이 변경되는 시스템이 존재합니다.

때문에 여러 종류의 장비로 인해 소지품이 너무 많아지지 않도록 장비품 전용 가방을 사용하는데, 그것이 바로 **장비함**입니다.",,,151141,1,0,0
161,"상점 구매 혹은 퀘스트 보상으로 장비를 얻거나 캐릭터가 장비를 벗으면 그 장비는 소지품 가방이 아니라 장비함으로 들어갑니다.

새로운 장비를 얻었다면 장비함을 열어보세요.",,,151142,1,0,0
162,장비함을 열려면 주 메뉴에 있는 '내 캐릭터'에서 **장비함**을 클릭하거나 [Ctrl+I] 키를 누르세요.,,,151143,1,0,0
163,장비함을 열려면 주 메뉴에 있는 '내 캐릭터'에서 **장비함**을 선택하세요.,,,151143,1,0,0
164,,,,0,0,0,0
165,,,,0,0,0,0
166,,,,0,0,0,0
167,,,,0,0,0,0
168,,,,0,0,0,0
169,,,,0,0,0,0
170,"**휴식 지역**에 들어왔습니다!
휴식 지역에 들어오면 경험치바 오른쪽에 아이콘이 생깁니다.

휴식 지역에 머무는 동안에는 **휴식 보너스**가 쌓이며, 휴식 지역에서 접속을 종료한 동안에도 보너스가 쌓입니다.",,,150361,1,0,0
171,"휴식 보너스가 쌓이면 전투, 제작, 채집으로 얻는 경험치가 **50%** 추가됩니다.",,,150362,1,0,0
172,"현재 쌓여 있는 휴식 보너스는 경험치바에 **짙은 노란색 또는 파란색**으로 표시됩니다.

경험치바가 휴식 보너스바의 끝에 도달할 때까지 보너스 경험치를 획득할 수 있습니다.",,,150363,1,0,0
173,"휴식 보너스는 **마을**이나 **도시** 등 특정 휴식 공간에서 얻을 수 있습니다.

접속을 종료하기 전에 휴식 지역으로 이동하면 좋습니다.",,,150364,1,0,0
174,,,,0,0,0,0
175,,,,0,0,0,0
176,,,,0,0,0,0
177,,,,0,0,0,0
178,,,,0,0,0,0
179,,,,0,0,0,0
180,"다른 모험가와 **파티**를 맺었습니다!

혼자 힘으로는 버거운 적이라도 동료와 함께라면 쓰러뜨릴 수 있으며, 혼자서 도전하지 못하는 던전을 함께 공략하는 등 파티에 참가하면 더욱 다양한 즐거움을 느낄 수 있습니다.",,,150901,1,0,0
181,"파티에 참가하면 **파티 대화**를 이용할 수 있습니다.
파티 대화에서는 **파티 구성원끼리만** 이야기할 수 있으며, 파티원이 아닌 경우 대화 내용을 볼 수 없습니다.
파티에 참가하면 먼저 ""안녕하세요!"" 하고 인사를 건넵시다!

화면 왼쪽 아래에 있는 메뉴에서 대화 모드를 변경할 수 있습니다.",,,150903,1,0,0
182,"파티에 참가하면 화면 왼쪽 위에 **파티 목록**이 표시됩니다.
파티 목록에서는 파티원의 현재 상태를 확인할 수 있으며, 파티 목록을 클릭하면 파티원을 직접 대상으로 선택할 수 있습니다.
회복 마법 등의 재빠른 조작이 필요할 때 이용해보세요.",,,150902,1,0,0
183,"또한, 파티에서는 자신과 파티원의 직업에 따라 캐릭터 능력치가 오르는 **파티 보너스**를 받을 수 있습니다.

**※ 파티 보너스는 동료와 같은 지역에 있는 동안 항상 부여됩니다.**
**※ 주 메뉴의 '파티'에서 '파티원'을 선택하면 확인 가능합니다.**",,,150904,1,0,0
184,"파티원은 당신과 마찬가지로 한 사람의 플레이어입니다.

말과 행동에 상대를 배려하는 마음을 담으면 서로가 즐겁고 유익한 시간을 보낼 수 있습니다.

자, 그러면 우선 반갑게 인사해보세요!",,,150905,1,0,0
185,"파티에 참가하면 화면 왼쪽 위에 **파티 목록**이 표시됩니다.
파티 목록에서는 파티원의 현재 상태를 확인할 수 있으며, 방향패드를 위아래로 조작하여 파티원을 대상으로 선택할 수 있습니다.
회복 마법 등의 재빠른 조작이 필요할 때 이용해보세요.",,,150902,1,0,0
186,,,,0,0,0,0
187,,,,0,0,0,0
188,,,,0,0,0,0
189,,,,0,0,0,0
190,"적을 공격하고 싶을 때는 공격할 대상을 선택한 후 **결정 버튼**을 누르면 **자동 공격**이 시작됩니다.

자동 공격이 성공하려면 대상으로부터 일정 거리 안에 있어야 합니다.

자동 공격 중에는 대상의 머리 위에 자동 공격 중임을 나타내는 표시가 생깁니다.",,,150931,1,0,0
191,"기술을 사용하면 전투를 더욱 효율적으로 진행할 수 있습니다.

기술을 실행할 때는 **십자 단축바**를 이용하세요.",,,150932,1,0,0
192,"십자 단축바를 이용할 때는  또는  버튼을 누른 상태로 방향패드나  버튼 중 하나를 누르면 해당 버튼에 등록된 기술을 실행할 수 있습니다.

**※ 새로 익힌 기술은 자동으로 단축바에 추가됩니다.**",,,150933,1,0,0
193,"기술을 실행하면 **MP** 등의 자원을 소비합니다.
또한 기술을 다시 한번 사용하려면 일정 시간(**재사용 대기 시간**)이 지나야 합니다.",,,150934,1,0,0
194,,,,0,0,0,0
195,,,,0,0,0,0
196,,,,0,0,0,0
197,,,,0,0,0,0
198,,,,0,0,0,0
199,,,,0,0,0,0
200,"퀘스트에 따라 상대가 아이템을
요구할 때도 있습니다. 이 경우 **요구 아이템** 창에 어떤 아이템이 필요한지 표시됩니다.

해당 아이템을 **끌어다 놓은** 후, **건네주기** 버튼을 클릭하면 완료할 수 있습니다.

상대가 원하는 아이템을 가지고 있다면 요구를 들어주세요.",,,150921,1,0,0
201,"퀘스트에 따라 상대가 아이템을 요구할 때도 있습니다. 이 경우, **요구 아이템** 창에 어떤 아이템이 필요한지 표시됩니다.

해당 아이템을 선택한 후, **건네주기** 버튼을 누르면 완료할 수 있습니다.

상대가 원하는 아이템을 가지고 있다면 요구를 들어주세요.",,,150922,1,0,0
202,,,,0,0,0,0
203,,,,0,0,0,0
204,,,,0,0,0,0
205,,,,0,0,0,0
206,,,,0,0,0,0
207,,,,0,0,0,0
208,,,,0,0,0,0
209,,,,0,0,0,0
210,"**플레이어 검색**은 게임에 접속 중인 플레이어를 지정 조건에 따라 검색하여 최대 200명까지 찾을 수 있는 기능입니다.

검색 결과는 플레이어 본인이 있는 위치에서 가까운 플레이어부터 표시됩니다.",,,150631,1,0,0
211,"**검색 조건 설정**에서 다양한 조건을 지정하여 다른 플레이어를 검색할 수 있습니다.

모험에 어느 정도 익숙해지면, 자신과 같은 목적을 가진 플레이어를 검색해보세요.",,,150632,1,0,0
212,"다른 플레이어가 검색할 때는 자신이 설정한 **검색 정보**를 바탕으로 검색 결과를 보게 됩니다.
검색 정보는 **파티** 메뉴의 **파티원**에서 자신의 이름을 **오른쪽 클릭**한 후 **검색 정보 편집**을 선택하면 편집할 수 있습니다.",,,150633,1,0,0
213,"검색 정보에서는 접속 상태를 바꾸거나 소개말을 편집할 수 있습니다.
직업 및 레벨은 기본적으로 현재 상태를 반영하지만, 접속 상태를 **파티 가입 희망**으로 변경한 뒤 직업을 설정해두면 해당 직업 검색 시 검색 결과에 표시됩니다.",,,150634,1,0,0
214,"직업 설정 시에는 이미 습득한 클래스라면 여러 개를 선택할 수도 있습니다.
한 번 클릭하면 선택되고, 다시 클릭하면 선택이 해제됩니다.

단, 접속 상태가 '파티 가입 희망'으로
되어있지 않으면 직업 설정은 무효가 되며 현재 직업만 검색에 반영됩니다.",,,150635,1,0,0
215,"다른 플레이어가 검색할 때는 자신이 설정한 **검색 정보**를 바탕으로 검색 결과를 보게 됩니다.
검색 정보는 **파티** 메뉴의 **파티원**에서 자신의 이름을 선택한 후 세부 메뉴의 **검색 정보 편집**에서 편집할 수 있습니다.",,,150633,1,0,0
216,"직업 설정 시에는 이미 습득한 클래스라면 여러 개를 선택할 수도 있습니다.
결정 버튼을 한 번 누르면 선택되고, 다시 누르면 선택이 해제됩니다.

단, 접속 상태가 '파티 가입 희망'으로 되어있지 않으면 직업 설정은 무효가 되며 현재 직업만 검색에 반영됩니다.",,,150635,1,0,0
217,,,,0,0,0,0
218,,,,0,0,0,0
219,,,,0,0,0,0
220,,,,0,0,0,0
221,,,,0,0,0,0
222,,,,0,0,0,0
223,,,,0,0,0,0
224,,,,0,0,0,0
225,,,,0,0,0,0
226,,,,0,0,0,0
227,,,,0,0,0,0
228,,,,0,0,0,0
229,,,,0,0,0,0
230,,,,0,0,0,0
231,,,,0,0,0,0
232,,,,0,0,0,0
233,,,,0,0,0,0
234,,,,0,0,0,0
235,,,,0,0,0,0
236,,,,0,0,0,0
237,,,,0,0,0,0
238,,,,0,0,0,0
239,,,,0,0,0,0
240,"**리미트 브레이크**는 파티 전원의 힘으로 발동하는 파티 플레이 전용 필살기입니다.

4명 이상으로 구성된 파티에서 파티 목록 위쪽에 표시된 **리미트 게이지**가 일정량 이상 쌓이면 발동시킬 수 있습니다.",,,150971,1,0,0
241,"리미트 브레이크는 파티 전원이 같은 게이지를 공유하며, 전투 과정에서 서서히 차오르게 됩니다.

특히 체력이 거의 안 남은 아군을 회복시키거나, 적의 위험한 공격을 막아내는 등 파티에 도움이 되는 행동을 하면 게이지를 더 빨리 채울 수 있습니다.",,,150972,1,0,0
242,"리미트 브레이크는 기술 목록에 있는 '일반' 항목에서 단축바에 등록하면 사용할 수 있습니다.

리미트 브레이크를 발동시키면 적 대상 하나를 집중 공격하거나, 적 전체에 범위 공격을 가하거나, 파티원 전체에 방어 효과를 부여하거나, 파티 전원의 HP를 회복시키는 4가지 기술 중 하나를 사용하며, 사용하는 기술은 직업에 따라 다릅니다.",,,150973,1,0,0
243,"게이지의 최대치는 파티 인원수나 전투 난이도에 따라 달라집니다.

파티가 어려운 적과 싸울수록 리미트 브레이크를 요긴하게 사용하게 될 것입니다.

파티원 모두가 힘을 하나로 모아 리미트 브레이크를 유용하게 사용하고 전투를 승리로 이끄세요!
",,,150974,1,0,0
244,,,,0,0,0,0
