#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
10,개척 목표: 경작지에서 작물 키우기,**'씨뿌리기 모드'로 선택한 씨앗을 경작지에 심기**,일굼이와 대화하기,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
11,개척 목표: 경작지에서 작물 키우기,**'물 주기 모드'로 경작지에 물 주기**,'씨뿌리기 모드'로 선택한 씨앗을 경작지에 심기,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
12,개척 목표: 경작지에서 작물 키우기,**일굼이에게 말하기**,'물 주기 모드'로 경작지에 물 주기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
13,개척 목표: 방목지에서 동물 사육하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
14,개척 목표: 방목지에서 동물 사육하기,**키움이에게 땅고르기 부탁하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
15,개척 목표: 방목지에서 동물 사육하기,**키움이와 대화하기**,키움이에게 땅고르기 부탁하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
16,개척 목표: 방목지에서 동물 사육하기,**'포획 모드'로 동물 포획하기**,키움이와 대화하기,600,300,-252,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
17,개척 목표: 방목지에서 동물 사육하기,**키움이와 대화하기**,'포획 모드'로 동물 포획하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
18,개척 목표: 방목지에서 동물 사육하기,**'먹이 주기 모드'로 동물에게 먹이 주기**,키움이와 대화하기,40,-292,148,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
19,개척 목표: 방목지에서 동물 사육하기,**키움이에게 말하기**,'먹이 주기 모드'로 동물에게 먹이 주기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
20,개척 목표: 개척공방을 짓고 무역 준비하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
21,개척 목표: 개척공방을 짓고 무역 준비하기,**개척돌이 1호에게 땅고르기 부탁하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
22,개척 목표: 개척공방을 짓고 무역 준비하기,**개척돌이 1호와 대화하기**,개척돌이 1호에게 땅고르기 부탁하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
23,개척 목표: 개척공방을 짓고 무역 준비하기,"**개척재료를 모으고
개척 제작으로 무인도 개척용 돌망치 만들기**",개척돌이 1호와 대화하기,0,0,0,3,9,11,255,255,3,2,4,0,0,4,10,12,0,0,0,0
24,개척 목표: 개척공방을 짓고 무역 준비하기,**개척재료를 모아 개척공방 건축하기**,"개척재료를 모으고, 개척 제작으로 무인도 개척용 돌망치 만들기",0,0,0,9,0,14,11,8,10,10,10,5,5,10,1,15,12,9,0,0
25,개척 목표: 개척공방을 짓고 무역 준비하기,**개척돌이 1호에게 말하기**,개척재료를 모아 개척공방 건축하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
26,개척 목표: 자유롭게 무인도 개척하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
27,개척 목표: 자유롭게 무인도 개척하기,**마음껏 섬을 탐험하고 개척하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
28,개척 목표: 개척자로서 기량 연마하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
29,개척 목표: 개척자로서 기량 연마하기,**마음껏 개척 실력 펼쳐보기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
30,개척 목표: 무인도에 대한 소문 조사하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
31,개척 목표: 무인도에 대한 소문 조사하기,**산 조사하기**,야옹 선생과 대화하기,40,420,-145,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
32,개척 목표: 무인도에 대한 소문 조사하기,**야옹 선생에게 말하기**,산 조사하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
33,개척 목표: 무인도에 대한 소문 조사하기,**탐험돌이와 대화하기**,야옹 선생에게 말하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
34,개척 목표: 무인도에 대한 소문 조사하기,"**개척 제작으로 마법인형용 암석 분쇄기를 만들고,
탐험돌이에게 말하기**",탐험돌이와 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
35,개척 목표: 마음껏 무인도를 꾸미기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
36,개척 목표: 마음껏 무인도를 꾸미기,**더욱 마음껏 무인도를 꾸미기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
37,개척 목표: 동굴 조사하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
38,개척 목표: 동굴 조사하기,**탐험돌이와 대화하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
39,개척 목표: 동굴 조사하기,**동굴 조사하기**,탐험돌이와 대화하기,40,310,-255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,1
40,개척 목표: 동굴 조사하기,**탐험돌이에게 말하기**,동굴 조사하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
41,개척 목표: 동굴 조사하기,"**개척 제작으로 마법인형용 굉장한 암석 분쇄기를 만들고,
탐험돌이에게 건네기**",탐험돌이에게 말하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
42,개척 목표: 무인도를 끝까지 개척하기,**야옹 선생과 대화하기**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
43,개척 목표: 무인도를 끝까지 개척하기,**섬을 끝까지 개척하기**,야옹 선생과 대화하기,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
44,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
45,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
