key,0,1,2,3,4,5,6
66,"군표 증가 3","24시간(현실 시간) 동안 군표 획득량이 15% 향상됩니다.",64268,8,10500,40,False
67,"","",0,0,0,0,False
68,"획득력 향상 3","24시간(현실 시간) 동안 채집가의 획득력이 15 향상됩니다.",64252,8,10500,43,False
69,"기술력 향상 3","24시간(현실 시간) 동안 채집가의 기술력이 15 향상됩니다.",64253,8,10500,44,False
70,"작업 숙련도 향상 3","24시간(현실 시간) 동안 제작자의 작업 숙련도가 15 향상됩니다.",64254,8,10500,45,False
71,"가공 숙련도 향상 3","24시간(현실 시간) 동안 제작자의 가공 숙련도가 15 향상됩니다.",64255,8,10500,46,False
72,"결속도 증가량 향상 3","24시간(현실 시간) 동안 결속도가 더 잘 오릅니다.",64259,8,10500,47,False
73,"식사 지속시간 연장 3","24시간(현실 시간) 동안 식사 효과 지속시간이 15분 연장됩니다.",64258,8,10500,48,False
74,"장비 소모 절감 3","24시간(현실 시간) 동안 장비 내구도 감소 속도가 30% 느려집니다.",64260,8,10500,49,False
75,"","",0,0,0,0,False
76,"텔레포 할인 3","24시간(현실 시간) 동안 텔레포 비용이 40% 할인됩니다.",64262,8,10500,51,False
77,"MGP 증가 3","24시간(현실 시간) 동안 맨더빌 골드 소서 포인트 획득량이 15% 증가합니다.",64269,8,10500,41,False
78,"","",0,0,0,0,False
79,"","",0,0,0,0,False
80,"","",0,0,0,0,False
81,"","",0,0,0,0,False
82,"","",0,0,0,0,False
83,"","",0,0,0,0,False
84,"","",0,0,0,0,False
85,"","",0,0,0,0,False
86,"","",0,0,0,0,False
87,"","",0,0,0,0,False
88,"","",0,0,0,0,False
89,"","",0,0,0,0,False
90,"","",0,0,0,0,False
91,"","",0,0,0,0,False
92,"","",0,0,0,0,False
93,"","",0,0,0,0,False
94,"","",0,0,0,0,False
95,"","",0,0,0,0,False
96,"","",0,0,0,0,False
97,"","",0,0,0,0,False
98,"","",0,0,0,0,False
99,"","",0,0,0,0,False
100,"","",0,0,0,0,False
