#,Name,Icon,AltIcon,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown10,Category,Unknown12,Unknown13,Unknown14,Unknown15
110,밀쳐내기 공격(직선),240209,0,0,1,2,3,9,10,114,256,256,255,255,255,255,255,6,-1,True,False,True
111,받아내기 공격,240210,0,0,1,2,3,0,0,115,64,64,255,255,255,255,255,6,-1,True,False,False
112,대상 조짐,240211,0,0,1,2,3,0,0,116,64,64,255,255,255,255,255,6,-1,True,False,False
113,강화 효과,240104,0,0,1,2,3,0,0,6,32,32,255,255,255,255,255,3,-1,True,True,True
114,약화 효과,240105,0,0,1,2,3,0,0,7,32,32,255,255,255,255,255,3,-1,True,True,True
115,공격6,61306,0,0,1,2,3,0,0,15,32,32,255,255,255,255,255,3,-1,True,False,False
116,공격7,61307,0,0,1,2,3,0,0,16,32,32,255,255,255,255,255,3,-1,True,False,False
117,공격8,61308,0,0,1,2,3,0,0,17,32,32,255,255,255,255,255,3,-1,True,False,False
118,근거리 공격 역할,230954,0,0,1,2,3,0,0,14,32,32,255,255,255,255,255,2,-1,True,False,False
119,원거리 공격 역할,230957,0,0,1,2,3,0,0,15,32,32,255,255,255,255,255,2,-1,True,False,False
120,원거리 물리 공격 역할,230960,0,0,1,2,3,0,0,16,32,32,255,255,255,255,255,2,-1,True,False,False
121,원거리 마법 공격 역할,230961,0,0,1,2,3,0,0,17,32,32,255,255,255,255,255,2,-1,True,False,False
122,순수 회복 역할,230962,0,0,1,2,3,0,0,7,32,32,255,255,255,255,255,2,-1,True,False,False
123,보호 회복 역할,230963,0,0,1,2,3,0,0,8,32,32,255,255,255,255,255,2,-1,True,False,False
124,회색(원형),240007,0,0,1,2,3,0,0,3,256,256,255,255,255,255,255,1,-1,True,False,False
125,회색(정사각형),240008,0,0,1,2,3,0,0,4,256,256,255,255,255,255,255,1,-1,True,False,False
126,원형 범위 공격(이동형),240213,0,0,1,2,3,0,0,117,128,128,255,255,255,255,255,6,-1,True,False,True
127,1인용 범위 공격,240214,0,0,1,2,3,0,0,118,64,64,255,255,255,255,255,6,-1,True,False,False
128,2인용 범위 공격,240215,0,0,1,2,3,0,0,119,64,64,255,255,255,255,255,6,-1,True,False,False
129,3인용 범위 공격,240216,0,0,1,2,3,0,0,120,64,64,255,255,255,255,255,6,-1,True,False,False
130,4인용 범위 공격,240217,0,0,1,2,3,0,0,121,64,64,255,255,255,255,255,6,-1,True,False,False
131,대상 고정 표식(빨강),240032,0,0,1,2,3,0,0,35,48,48,255,255,255,255,255,3,-1,True,False,False
132,대상 고정 표식(파랑),240033,0,0,1,2,3,0,0,36,48,48,255,255,255,255,255,3,-1,True,False,False
133,대상 고정 표식(보라),240034,0,0,1,2,3,0,0,37,48,48,255,255,255,255,255,3,-1,True,False,False
134,대상 고정 표식(초록),240035,0,0,1,2,3,0,0,38,48,48,255,255,255,255,255,3,-1,True,False,False
135,동그라미표(강조),240036,0,0,1,2,3,0,0,17,48,48,255,255,255,255,255,4,-1,True,False,False
136,가위표(강조),240037,0,0,1,2,3,0,0,18,48,48,255,255,255,255,255,4,-1,True,False,False
137,사각형(강조),240038,0,0,1,2,3,0,0,19,48,48,255,255,255,255,255,4,-1,True,False,False
138,삼각형(강조),240039,0,0,1,2,3,0,0,20,48,48,255,255,255,255,255,4,-1,True,False,False
139,시계 방향,240040,0,0,1,2,3,0,0,21,48,48,255,255,255,255,255,4,-1,True,False,False
140,반시계 방향,240041,0,0,1,2,3,0,0,22,48,48,255,255,255,255,255,4,-1,True,False,False
