#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
21,최대 HP 증가,HP 최대치가 증가한 상태.,215075,10,0,0,6,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,최대 HP 감소,HP 최대치가 감소한 상태.,215076,-10,0,0,6,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,최대 MP 증가,MP 최대치가 증가한 상태.,215077,10,0,0,7,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,최대 MP 감소,MP 최대치가 감소한 상태.,215078,-10,0,0,7,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25,물리 공격력 증가,물리 공격력이 올라간 상태.,215050,10,0,0,8,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,물리 공격력 감소,물리 공격력이 떨어진 상태.,215051,-10,0,0,8,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27,명중률 증가,명중률이 올라간 상태.,215060,10,0,0,9,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,명중률 감소,명중률이 떨어진 상태.,215061,-10,0,0,9,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
29,물리 방어력 증가,물리 방어력이 올라간 상태.,215052,10,0,0,10,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,물리 방어력 감소,물리 방어력이 떨어진 상태.,215053,-10,0,0,10,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31,회피력 증가,회피력이 올라간 상태.,215062,10,0,0,11,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,회피력 감소,회피력이 떨어진 상태.,215063,-10,0,0,11,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,마법 공격력 증가,마법 공격력이 올라간 상태.,215054,10,0,0,12,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,마법 공격력 감소,마법 공격력이 떨어진 상태.,215055,-10,0,0,12,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,마법 회복력 증가,마법 회복력이 올라간 상태.,215058,10,0,0,13,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,마법 회복력 감소,마법 회복력이 떨어진 상태.,215059,-10,0,0,13,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
37,마법 방어력 증가,마법 방어력이 올라간 상태.,215056,10,0,0,14,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,마법 방어력 감소,마법 방어력이 떨어진 상태.,215057,-10,0,0,14,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
39,기절 무효,기절을 무효화하는 상태.,215566,100,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
40,침묵 무효,침묵을 무효화하는 상태.,215567,100,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
41,제작설비,제작설비의 도움을 받은 상태. 레벨 90 이하 제작자의 CP 최대치가 증가한다.,216107,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,초월하는 힘,"자신의 한계를 넘어선 상태. 최대 HP와 주는 피해량이 증가하고, 자신이 주는 HP 회복 효과가 향상된다.",216207,15,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
43,쇠약,"몸이 약해져, 힘, 민첩성, 지능, 정신력이 25% 떨어진 상태.",215010,0,0,0,16,0,1,2,0,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,쇠약[강],"몸이 약해져, 힘, 민첩성, 지능, 정신력이 50% 떨어진 상태.",215011,0,0,0,16,0,1,2,0,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,경험치 증가(제작자 전용),제작자 경험치가 더 잘 오르는 상태.,216106,0,0,0,15,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,경험치 증가(채집가 전용),채집가 경험치가 더 잘 오르는 상태.,216006,0,0,0,15,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,살금걸음,"살금살금 움직여 적에게 발견되기 어려운 상태.
'자신의 레벨+4' 이하인 적에게 공격받지 않는다.",216015,0,138,0,0,0,1,1,16,2,0,0,0,36,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
48,식사,식사 효과를 받은 상태.,216202,1,0,0,0,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,강화약,강화약 효과를 받은 상태.,216203,2,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,전력 질주,이동 속도가 향상된 상태.,210101,0,0,0,41,0,1,1,0,0,0,18,0,6,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,힘 감소,힘이 떨어진 상태.,215080,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
52,활력 감소,활력이 떨어진 상태.,215082,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
53,주는 물리 피해량 증가,물리 공격으로 주는 피해량이 증가하는 상태.,215050,10,0,0,35,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,주는 물리 피해량 감소,물리 공격으로 주는 피해량이 감소하는 상태.,215051,-10,0,0,35,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
55,받는 물리 피해량 감소,물리 공격으로 받는 피해량이 감소하는 상태.,215052,-10,0,0,36,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,받는 물리 피해량 증가,물리 공격으로 받는 피해량이 증가하는 상태.,215053,10,0,0,36,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
57,주는 마법 피해량 증가,마법 공격으로 주는 피해량이 증가하는 상태.,215054,10,0,0,37,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,주는 마법 피해량 감소,마법 공격으로 주는 피해량이 감소하는 상태.,215055,-10,0,0,37,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59,받는 마법 피해량 감소,마법 공격으로 받는 피해량이 감소하는 상태.,215056,-10,0,0,38,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,받는 마법 피해량 증가,마법 공격으로 받는 피해량이 증가하는 상태.,215057,10,0,0,38,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
61,주는 피해량 증가,적에게 주는 피해량이 증가하는 상태.,215519,10,0,0,39,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,주는 피해량 감소,적에게 주는 피해량이 감소하는 상태.,215520,-10,0,0,39,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
63,받는 피해량 감소,받는 피해량이 감소하는 상태.,215021,-10,0,0,40,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,받는 피해량 증가,받는 피해량이 증가하는 상태.,215020,10,0,0,40,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
65,무기 기술 강화: 극대화,무기 기술을 사용하면 반드시 극대화가 발생하는 상태.,215016,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,공포,공포에 빠져 행동이 불가능한 상태.,215516,0,0,0,0,0,1,2,18,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,과중력[강],이동 속도가 느려진 상태.,215518,0,6,0,0,0,1,2,4,100,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
68,자동 공격 강화: HP 흡수,자동 공격 시 HP를 흡수하는 상태.,215504,10,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,자동 공격 강화: TP 흡수,자동 공격 시 TP를 흡수하는 상태.,215505,100,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,자동 공격 강화: 기절,자동 공격 시 일정 확률로 대상을 기절시키는 상태.,215506,176,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,철벽 방어,받는 피해량이 감소하는 상태.,210152,-10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,재활,자신이 받는 회복마법의 HP 회복 효과가 올라가는 상태.,210157,20,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,경각심,적에게 극대화 공격을 받지 않는 상태.,213916,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,경계,받는 피해량이 감소하는 상태.,210151,-20,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,강철의 의지,일부를 제외한 적의 밀쳐내기와 끌어당기기를 무효화하는 상태.,210153,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,임전무퇴,적에게 주는 피해량이 증가하는 상태.,210155,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,방패 각성,공격을 반드시 막아내는 상태.,210156,100,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,충의의 검,자동 공격에 추가 피해가 부여된 상태.,212505,100,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
79,굳건한 의지,자신을 향한 적의 적개심이 상승하는 상태.,212506,500,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
80,감싸기,대상 파티원의 피해를 대신 받는 상태.,212501,0,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
81,감싸기 대상,감싸기 시전자에게 보호받는 상태.,212502,0,0,0,0,0,20,1,16,100,0,0,0,35,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
82,천하무적,일부를 제외한 대부분의 피해를 무효화하는 상태.,212504,0,0,0,0,0,1,1,16,70,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,예지력,물리 방어력이 올라간 상태.,210252,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,피의 갈증,물리 공격에 HP 흡수 효과가 부여된 상태.,213913,25,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,관절 파괴,적에게 주는 피해량이 증가하는 상태.,210262,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,광폭화,"자신의 무기 기술 공격이 반드시 극대화 직격으로 적중하는 상태.
극대화 또는 직격 발동률 증가 효과 적용 중에는 주는 피해량이 증가한다.",217217,0,0,0,0,3,1,1,16,0,2,27,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,전투의 짜릿함,"최대 HP가 증가한 상태.
'전투의 짜릿함 효과 향상' 특성 습득 후: 추가로, 받는 HP 회복 효과가 향상된다.",210254,10,0,0,0,0,1,1,16,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,일대일 결투,이동이 불가능한 상태. 피해를 받아도 효과가 해제되지 않는다.,210255,0,0,0,0,0,1,2,17,100,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,보복,"받는 피해량이 감소하고, 물리 공격을 받으면 적에게 반격 피해를 주는 상태.",210256,-30,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,폭풍의 눈,적에게 주는 피해량이 증가하는 상태.,210263,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,수비 태세,자신을 향한 적의 적개심이 상승하는 상태.,212551,500,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
92,힘의 해방,수비 태세로 인한 적에게 주는 피해량 감소 페널티가 무효화된 상태.,212552,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,격노,받아넘기기 발동률이 올라간 상태.,210257,2,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,격노 2,받아넘기기 발동률이 올라간 상태.,210258,4,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,격노 3,받아넘기기 발동률이 올라간 상태.,210259,6,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,격노 4,받아넘기기 발동률이 올라간 상태.,210260,8,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,격노 5,받아넘기기 발동률이 올라간 상태.,210261,10,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,쌍룡각,타격 저항이 떨어진 상태.,210215,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
99,새털 걸음,회피율이 올라간 상태.,210201,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,발경,극대화 발동률이 증가한 상태.,210204,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,쌍장타,적에게 주는 피해량이 증가하는 상태.,210216,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,만트라,받는 HP 회복 효과가 향상되는 상태.,210206,5,0,0,0,0,41,1,16,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,홍련 태세,적에게 주는 피해량이 증가하는 상태.,210202,5,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
104,금강 태세,받는 피해량이 감소하는 상태.,210203,-10,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
105,질풍 태세,이동 속도가 향상된 상태.,212526,0,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
106,혈도 찌르기,HP가 서서히 줄어드는 상태.,210211,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,3,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
107,원숭이 품새,첫 번째 품새인 원숭이 품새를 취한 상태.,210212,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
108,용 품새,두 번째 품새인 용 품새를 취한 상태.,210213,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
109,호랑이 품새,세 번째 품새인 호랑이 품새를 취한 상태.,210214,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
110,진각,품새 관계 없이 모든 기술을 사용할 수 있는 상태.,217564,0,0,528,31,3,1,1,16,0,2,27,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
111,질풍번개,"적에게 주는 피해량이 증가하고, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",210207,10,8,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
112,질풍번개 2,"적에게 주는 피해량이 증가하고, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",210208,20,9,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
113,질풍번개 3,"적에게 주는 피해량이 증가하고, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",210209,30,10,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
114,날카로운 돌풍,받아넘기기 발동률이 올라간 상태.,210301,20,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,겹찌르기,적에게 주는 피해량이 증가하는 상태.,210306,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,생명력 쇄도,"다음에 사용하는 무기 기술이 반드시 극대화되며, 그 기술로 적에게 준 피해량의 일부를 HP로 흡수하는 상태.
극대화 발동률 증가 효과 적용 중에는 주는 피해량이 증가한다.",210302,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,필사의 각오,"적에게 주는 피해량이 증가하지만, 자신이 받는 피해량도 증가하는 상태.",210304,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,꽃잎 폭풍,HP가 서서히 줄어드는 상태.,210307,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
119,이단 찌르기,HP가 서서히 줄어드는 상태.,210305,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
120,용창,다음 '점프' 또는 '척추 강타'로 적에게 주는 피해량이 증가하는 상태.,210303,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,몸통 가르기,찌르기 저항이 떨어진 상태.,212576,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
122,직선 사격 시전 가능,직선 사격을 실행할 수 있는 상태.,210365,0,0,0,0,0,1,1,16,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,매의 눈,"민첩성이 증가하고, 모든 공격이 반드시 명중하는 상태.",210351,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,독화살,독에 중독되어 HP가 서서히 줄어드는 상태.,210352,10,0,0,0,0,1,2,1,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
125,용맹한 사격,적에게 주는 피해량이 증가하는 상태.,210354,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,받는 물리 피해량 증가,물리 공격으로 받는 피해량이 증가하는 상태.,218001,10,0,0,36,8,1,2,17,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,주의 전환,적개심 상승이 억제된 상태.,213914,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,마구 쏘기,"**찬란한 화살**, **그림자 화살**을 실행할 수 있는 상태.
**찬란한 화살**은 3발만큼의 피해를 주며, 그림자 화살은 위력이 증가합니다.",210356,1,0,0,0,0,1,1,16,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,바람 화살,바람속성 피해로 HP가 서서히 줄어드는 상태.,210360,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
