#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Quest,Icon,Action,StackSize,Category,CastTime,CastTimeline,Timeline
2000036,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000037,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000038,불사탕,불사탕,불사탕,0,0,0,1,0,0,False,66704,22624,1,1,1,3,0,0
2000039,바람사탕,바람사탕,바람사탕,0,0,0,1,0,0,False,66704,22625,1,1,1,3,0,0
2000040,땅사탕,땅사탕,땅사탕,0,0,0,1,0,0,False,66704,22626,1,1,1,3,0,0
2000041,봄의 엄지손가락,봄의 엄지손가락,봄의 엄지손가락,0,0,0,1,0,0,False,66705,30351,1,5,1,3,0,0
2000042,수호천절 축제 초롱,수호천절 축제 초롱,수호천절 축제 초롱,0,0,0,1,0,0,False,66706,24153,1,1,1,5,0,0
2000043,봄의 엄지손가락,봄의 엄지손가락,봄의 엄지손가락,0,0,0,1,0,0,False,66706,30351,1,1,1,3,0,0
2000044,장난꾸러기 폭죽봉,장난꾸러기 폭죽봉,장난꾸러기 폭죽봉,0,0,0,1,0,0,False,66706,22647,1,1,1,3,0,0
2000045,불사탕,불사탕,불사탕,0,0,0,1,0,0,False,66700,22624,1,1,1,3,0,0
2000046,바람사탕,바람사탕,바람사탕,0,0,0,1,0,0,False,66700,22625,1,1,1,3,0,0
2000047,땅사탕,땅사탕,땅사탕,0,0,0,1,0,0,False,66700,22626,1,1,1,3,0,0
2000048,봄의 엄지손가락,봄의 엄지손가락,봄의 엄지손가락,0,0,0,1,0,0,False,66701,30351,1,5,1,3,0,0
2000049,수호천절 축제 초롱,수호천절 축제 초롱,수호천절 축제 초롱,0,0,0,1,0,0,False,66702,24153,1,1,1,5,0,0
2000050,봄의 엄지손가락,봄의 엄지손가락,봄의 엄지손가락,0,0,0,1,0,0,False,66702,30351,1,1,1,3,0,0
2000051,장난꾸러기 폭죽봉,장난꾸러기 폭죽봉,장난꾸러기 폭죽봉,0,0,0,1,0,0,False,66702,22646,1,1,1,3,0,0
2000052,불사탕,불사탕,불사탕,0,0,0,1,0,0,False,66708,22624,1,1,1,3,0,0
2000053,바람사탕,바람사탕,바람사탕,0,0,0,1,0,0,False,66708,22625,1,1,1,3,0,0
2000054,땅사탕,땅사탕,땅사탕,0,0,0,1,0,0,False,66708,22626,1,1,1,3,0,0
2000055,봄의 엄지손가락,봄의 엄지손가락,봄의 엄지손가락,0,0,0,1,0,0,False,66709,30351,1,5,1,3,0,0
2000056,수호천절 축제 초롱,수호천절 축제 초롱,수호천절 축제 초롱,0,0,0,1,0,0,False,66710,24153,1,1,1,5,0,0
2000057,봄의 엄지손가락,봄의 엄지손가락,봄의 엄지손가락,0,0,0,1,0,0,False,66710,30351,1,1,1,3,0,0
2000058,장난꾸러기 폭죽봉,장난꾸러기 폭죽봉,장난꾸러기 폭죽봉,0,0,0,1,0,0,False,66710,22645,1,1,1,3,0,0
2000059,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000060,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000061,호박빛 물약,호박빛 물약,호박빛 물약,0,0,0,1,0,0,False,65663,20661,1,3,1,3,0,0
2000062,벼룩모기의 알주머니,벼룩모기의 알주머니,벼룩모기의 알주머니,0,0,0,1,0,0,False,65664,22623,1,8,1,3,0,0
2000063,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000064,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000065,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000066,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000067,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000068,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000069,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000070,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000071,아놀도마뱀 알,아놀도마뱀 알,아놀도마뱀 알,0,0,0,1,0,0,False,65661,25251,1,4,1,3,0,0
2000072,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000073,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000074,수제 장어파이,수제 장어파이,수제 장어파이,0,0,0,1,0,0,False,65621,24305,1,1,1,3,0,0
2000075,아메타의 콩주머니,아메타의 콩주머니,아메타의 콩주머니,0,0,0,1,0,0,False,65639,22623,1,6,1,3,0,0
2000076,에메리아에게 보내는 편지,에메리아에게 보내는 편지,에메리아에게 보내는 편지,0,0,0,1,0,0,False,65635,26151,1,1,1,3,0,0
2000077,코츄의 어린잎,코츄의 어린잎,코츄의 어린잎,0,0,0,1,0,0,False,65634,25201,1,4,1,0,0,0
2000078,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000079,프미바스의 편지,프미바스의 편지,프미바스의 편지,0,0,0,1,0,0,False,65560,25918,0,1,1,0,0,0
2000080,식량 주머니,식량 주머니,식량 주머니,0,0,0,1,0,0,False,65570,22623,0,1,1,0,0,0
2000081,뼈로 만든 창촉,뼈로 만든 창촉,뼈로 만든 창촉,0,0,0,1,0,0,False,65574,22303,0,1,1,0,0,0
2000082,밀랍 기름,밀랍 기름,밀랍 기름,0,0,0,1,0,0,False,65574,22636,0,1,1,0,0,0
2000083,튼튼한 밧줄,튼튼한 밧줄,튼튼한 밧줄,0,0,0,1,0,0,False,65574,26103,0,1,1,0,0,0
2000084,아제마 장미 열매,아제마 장미 열매,아제마 장미 열매,0,0,0,1,0,0,False,65577,25302,1,6,1,0,0,0
2000085,신선한 기살의 야채,신선한 기살의 야채,신선한 기살의 야채,0,0,0,1,0,0,False,66698,25218,1,1,1,3,0,0
2000086,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000087,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000088,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000089,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000090,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000091,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000092,넝쿨장미 씨앗,넝쿨장미 씨앗,넝쿨장미 씨앗,0,0,0,1,0,0,False,65692,22623,1,6,1,3,0,0
2000093,거미전갈의 신선한 거미줄,거미전갈의 신선한 거미줄,거미전갈의 신선한 거미줄,0,0,0,1,0,0,False,65693,21664,1,6,1,3,0,0
2000094,독한 말벌주,독한 말벌주,독한 말벌주,0,0,0,1,0,0,False,65694,24403,1,1,1,3,0,0
2000095,작은 불씨,작은 불씨,작은 불씨,0,0,0,1,0,0,False,65695,30352,1,1,1,3,0,0
2000096,레이아의 알,레이아의 알,레이아의 알,0,0,0,1,0,0,False,65697,25252,1,1,1,3,0,0
2000097,키사의 편지,키사의 편지,키사의 편지,0,0,0,1,0,0,False,0,25918,1,1,1,3,0,0
2000098,붉은 벌레기름,붉은 벌레기름,붉은 벌레기름,0,0,0,1,0,0,False,65567,20641,1,6,1,0,0,0
2000099,벌의 시체,벌의 시체,벌의 시체,0,0,0,1,0,0,False,65694,22623,1,4,1,3,0,0
2000100,김 빠진 맥주,김 빠진 맥주,김 빠진 맥주,0,0,0,1,0,0,False,65696,20643,1,3,1,3,0,0
2000101,아제마 장미 향유,아제마 장미 향유,아제마 장미 향유,0,0,0,1,0,0,False,65556,20663,1,2,1,3,0,0
2000102,용기의 돌,용기의 돌,용기의 돌,0,0,0,1,0,0,False,65571,21451,1,1,1,0,0,0
2000103,적갈색 향유,적갈색 향유,적갈색 향유,0,0,0,1,0,0,False,0,22636,1,1,1,3,0,0
2000104,낡은 팔분의,낡은 팔분의,낡은 팔분의,0,0,0,1,0,0,False,65644,21002,1,1,1,3,0,0
2000105,낡은 팔분의,낡은 팔분의,낡은 팔분의,0,0,0,1,0,0,False,65645,21002,1,1,1,3,0,0
2000106,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000107,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000108,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000109,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000110,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000111,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000112,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000113,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000114,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000115,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000116,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000117,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000118,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000119,수제 장어파이,수제 장어파이,수제 장어파이,0,0,0,1,0,0,False,65659,24305,1,1,1,3,0,0
2000120,수제 장어파이,수제 장어파이,수제 장어파이,0,0,0,1,0,0,False,65660,24305,1,1,1,3,0,0
2000121,맑고 깨끗한 물,맑고 깨끗한 물,맑고 깨끗한 물,0,0,0,1,0,0,False,65628,22614,1,1,1,3,0,0
2000122,용기의 돌,용기의 돌,용기의 돌,0,0,0,1,0,0,False,65679,21451,1,1,1,0,0,0
2000123,마도 전지,마도 전지,마도 전지,0,0,0,1,0,0,False,0,22625,1,99,1,0,0,0
2000124,송장 벼룩모기의 알주머니,송장 벼룩모기의 알주머니,송장 벼룩모기의 알주머니,0,0,0,1,0,0,False,0,22623,0,99,1,0,0,0
2000125,좀비의 유류품,좀비의 유류품,좀비의 유류품,0,0,0,1,0,0,False,0,22623,0,99,1,0,0,0
2000126,큼지막한 꿀벌,큼지막한 꿀벌,큼지막한 꿀벌,0,0,0,1,0,0,False,0,27002,0,99,1,0,0,0
2000127,미끌미끌한 떡잎,미끌미끌한 떡잎,미끌미끌한 떡잎,0,0,0,1,0,0,False,0,25201,0,99,1,0,0,0
2000128,밀렵된 짐승 가죽,밀렵된 짐승 가죽,밀렵된 짐승 가죽,0,0,0,1,0,0,False,0,21002,0,99,1,0,0,0
2000129,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000130,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000131,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000132,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000133,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000134,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000135,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000136,밀봉된 익명의 편지,밀봉된 익명의 편지,밀봉된 익명의 편지,0,0,0,1,0,0,False,65685,25918,1,1,1,3,0,0
2000137,검투사 프란츠의 포스터,검투사 프란츠의 포스터,검투사 프란츠의 포스터,0,0,0,1,0,0,False,65689,25906,1,3,1,3,1,1
2000138,깔짝뒤쥐 가죽,깔짝뒤쥐를 처치하고 얻은 털가죽,깔짝뒤쥐 가죽,0,0,0,1,0,0,False,65699,21809,1,5,1,3,0,0
2000139,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000140,뜨뜻미지근한 포대,뜨뜻미지근한 포대,뜨뜻미지근한 포대,0,0,0,1,0,0,False,65709,22628,1,1,1,3,0,0
2000141,측량 기록일지,측량 기록일지,측량 기록일지,0,0,0,1,0,0,False,65711,26151,1,1,1,3,0,0
2000142,늪지긴다리거미의 갑각,늪지긴다리거미의 갑각,늪지긴다리거미의 갑각,0,0,0,1,0,0,False,65733,22252,1,4,1,0,0,0
2000143,등불버섯,등불버섯,등불버섯,0,0,0,1,0,0,False,65731,25402,1,1,1,3,0,0
2000144,진딧물,진딧물,진딧물,0,0,0,1,0,0,False,65707,27003,1,1,1,3,0,0
2000145,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000146,측량용 도구함,측량용 도구함,측량용 도구함,0,0,0,1,0,0,False,65711,21002,1,2,1,3,0,0
2000147,측량용 밧줄,측량용 밧줄,측량용 밧줄,0,0,0,1,0,0,False,65711,26103,1,1,1,3,0,0
2000148,동부 알데나드 상회의 화물,동부 알데나드 상회의 화물,동부 알데나드 상회의 화물,0,0,0,1,0,0,False,65758,21003,1,3,1,3,0,0
2000149,선인장 물,선인장 물,선인장 물,0,0,0,1,0,0,False,65759,20642,1,4,1,3,0,0
2000150,파파포노의 짐,파파포노의 짐,파파포노의 짐,0,0,0,1,0,0,False,65761,21003,1,3,1,3,0,0
2000151,독버섯 포자주머니,독버섯 포자주머니,독버섯 포자주머니,0,0,0,1,0,0,False,0,25403,0,99,1,0,0,0
2000152,건축자재용 코츄 줄기,건축자재용 코츄 줄기,건축자재용 코츄 줄기,0,0,0,1,0,0,False,0,26103,0,99,1,0,0,0
2000153,천연 자석,천연 자석,천연 자석,0,0,0,1,0,0,False,65764,21209,1,3,1,3,0,0
2000154,황동 루어,황동 루어,황동 루어,0,0,0,1,0,0,False,65765,27055,1,2,1,3,0,0
2000155,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000156,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000157,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000158,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000159,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000160,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000161,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000162,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000163,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000164,코브란 벌레기름,코브란 벌레기름,코브란 벌레기름,0,0,0,1,0,0,False,65763,20663,1,4,1,3,0,0
2000165,모모디에게 보내는 편지,모모디에게 보내는 편지,모모디에게 보내는 편지,0,0,0,1,0,0,False,65766,25918,1,1,1,3,0,0
2000166,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000167,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000168,거대개미의 집게턱,거대개미의 집게턱,거대개미의 집게턱,0,0,0,1,0,0,False,65841,22205,1,5,1,3,0,0
2000169,망치부리 뼛조각,망치부리 뼛조각,망치부리 뼛조각,0,0,0,1,0,0,False,0,22202,1,1,1,3,0,0
2000170,큼직한 은 광석,큼직한 은 광석,큼직한 은 광석,0,0,0,1,0,0,False,0,21211,1,1,1,3,0,0
2000171,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000172,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000173,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000174,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000175,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000176,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000177,망치부리 뼛조각,망치부리 뼛조각,망치부리 뼛조각,0,0,0,1,0,0,False,65862,22202,1,8,1,3,0,0
2000178,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000179,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000180,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000181,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000182,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000183,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000184,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000185,소중한 낚싯대,소중한 낚싯대,소중한 낚싯대,0,0,0,1,0,0,False,65921,38201,1,1,1,3,0,0
2000186,로즐린이 보낸 연락문,로즐린이 보낸 연락문,로즐린이 보낸 연락문,0,0,0,1,0,0,False,65916,26151,1,1,1,3,0,0
2000187,로즐린이 보낸 연락문,로즐린이 보낸 연락문,로즐린이 보낸 연락문,0,0,0,1,0,0,False,65916,26151,1,1,1,3,0,0
2000188,로즐린이 보낸 연락문,로즐린이 보낸 연락문,로즐린이 보낸 연락문,0,0,0,1,0,0,False,65916,26151,1,1,1,3,0,0
2000189,찬물이 든 물병,찬물이 든 물병,찬물이 든 물병,0,0,0,1,0,0,False,0,25055,1,1,1,3,0,0
2000190,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000191,이상한 가죽주머니,이상한 가죽주머니,이상한 가죽주머니,0,0,0,1,0,0,False,65915,25919,1,1,1,3,0,0
2000192,니메이아 백합 꽃다발,니메이아 백합 꽃다발,니메이아 백합 꽃다발,0,0,0,1,0,0,False,65919,22627,1,3,1,3,0,0
2000193,천년과,천년과,천년과,0,0,0,1,0,0,False,0,25308,0,99,1,0,0,0
2000194,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000195,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000196,에일윈의 해열제,에일윈의 해열제,에일윈의 해열제,0,0,0,1,0,0,False,65930,20661,1,1,1,3,0,0
2000197,낡은 도자기,낡은 도자기,낡은 도자기,0,0,0,1,0,0,False,65931,25055,1,1,1,3,0,0
2000198,흩어진 동전,흩어진 동전,흩어진 동전,0,0,0,1,0,0,False,65932,25919,1,5,1,3,0,0
2000199,호박 교환권,호박 교환권,호박 교환권,0,0,0,1,0,0,False,65839,25906,1,1,1,3,0,0
2000200,소금에 절인 영양고기,소금에 절인 영양고기,소금에 절인 영양고기,0,0,0,1,0,0,False,0,24353,1,1,1,3,0,0
2000201,장신구 주문서,장신구 주문서,장신구 주문서,0,0,0,1,0,0,False,65701,26151,1,1,1,3,0,0
2000202,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000203,문투이 콩 상자,문투이 콩 상자,문투이 콩 상자,0,0,0,1,0,0,False,0,21003,1,1,1,3,0,0
2000204,작은 환술용 지팡이,작은 환술용 지팡이,작은 환술용 지팡이,0,0,0,1,0,0,False,0,32412,1,1,1,3,0,0
2000205,작은 환술용 지팡이,작은 환술용 지팡이,작은 환술용 지팡이,0,0,0,1,0,0,False,0,32412,1,1,1,3,0,0
2000206,사냥도구함,사냥도구함,사냥도구함,0,0,0,1,0,0,False,0,21002,1,3,1,3,0,0
2000207,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000208,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000209,영양의 내장,영양의 내장,영양의 내장,0,0,0,1,0,0,False,0,29002,1,4,1,3,0,0
2000210,오츄의 어린잎,오츄의 어린잎,오츄의 어린잎,0,0,0,1,0,0,False,0,25201,1,4,1,3,0,0
2000211,신선한 뒤쥐고기,신선한 뒤쥐고기,신선한 뒤쥐고기,0,0,0,1,0,0,False,65840,25155,1,2,1,3,0,0
2000212,큼직한 은 광석,큼직한 은 광석,큼직한 은 광석,0,0,0,1,0,0,False,65843,21215,1,1,1,3,0,0
2000213,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000214,아귀 살코기,아귀 살코기,아귀 살코기,0,0,0,1,0,0,False,65858,29002,1,4,1,3,0,0
2000215,지식강의 생피,지식강의 생피,지식강의 생피,0,0,0,1,0,0,False,0,22601,1,4,1,3,0,0
2000216,아마지나 화물상자,아마지나 화물상자,아마지나 화물상자,0,0,0,1,0,0,False,65844,21002,1,3,1,3,0,0
2000217,날디크와 비멜리 사의 서류,날디크와 비멜리 사의 서류,날디크와 비멜리 사의 서류,0,0,0,1,0,0,False,65942,25918,1,1,1,3,0,0
2000218,와푸푸의 엄마손 도시락,라라펠 도시락,와푸푸의 엄마손 도시락,0,0,0,1,0,0,False,65945,22641,1,4,1,3,0,0
2000219,번개 정령의 핵,번개 원소의 핵,번개 정령의 핵,0,0,0,1,0,0,False,65946,21265,1,3,1,3,0,0
2000220,온전한 자칼 엄니,하이에나의 엄니,온전한 자칼 엄니,0,0,0,1,0,0,False,65947,22303,1,4,1,3,0,0
2000221,썩은 도도 고기,썩은 도도 고기,썩은 도도 고기,0,0,0,1,0,0,False,65952,24353,1,1,1,3,0,0
2000222,승리호 돛천,승리호 돛천,승리호 조타륜,0,0,0,1,0,0,False,65951,21602,1,1,1,3,0,0
2000223,승리호 조타륜,승리호 조타륜,승리호 밧줄,0,0,0,1,0,0,False,65951,21003,1,1,1,3,0,0
2000224,승리호 밧줄,승리호 밧줄,승리호 돛천,0,0,0,1,0,0,False,65951,20910,1,1,1,3,0,0
2000225,라노시아 방울꽃,라노시아 방울꽃,라노시아 방울꽃,0,0,0,1,0,0,False,65953,25022,1,1,1,3,0,0
2000226,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000227,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000228,흙투성이 토기,흙투성이 토기,흙투성이 토기,0,0,0,1,0,0,False,0,25054,1,5,1,3,0,0
2000229,마력을 풍기는 검,마력을 풍기는 검,마력을 풍기는 검,0,0,0,1,0,0,False,65981,30426,1,1,1,3,0,0
2000230,냄새 고약한 벌레떡밥,냄새 고약한 벌레떡밥,냄새 고약한 벌레떡밥,0,0,0,1,0,0,False,65583,21005,1,2,1,3,0,0
2000231,뼈로 깎은 피리,뼈로 깎은 피리,뼈로 깎은 피리,0,0,0,1,0,0,False,0,25919,1,3,1,3,0,0
2000232,들꽃만발 벌꿀주,들꽃만발 벌꿀주,들꽃만발 벌꿀주,0,0,0,1,0,0,False,65974,25057,1,1,1,3,0,0
2000233,벌룬의 작은손가락,벌룬의 작은손가락,벌룬의 작은손가락,0,0,0,1,0,0,False,65974,25911,1,6,1,3,0,0
2000234,궤짝과 관짝 주문서,궤짝과 관짝 주문서,궤짝과 관짝 주문서,0,0,0,1,0,0,False,65860,26153,1,4,1,3,0,0
2000235,잿빛 연금약,잿빛 연금약,잿빛 연금약,0,0,0,1,0,0,False,65591,24403,1,1,1,3,0,0
2000236,피 묻은 멧돼지 엄니,피 묻은 멧돼지 엄니,피 묻은 멧돼지 엄니,0,0,0,1,0,0,False,65592,22301,1,10,1,3,0,0
2000237,떨어진 짐,떨어진 짐,떨어진 짐,0,0,0,1,0,0,False,65923,21003,1,2,1,3,0,0
2000238,나나모 호박,나나모 호박,나나모 호박,0,0,0,1,0,0,False,65839,25210,1,1,1,3,0,0
2000239,깜찍한 생강 쿠키,깜찍한 생강 쿠키,깜찍한 생강 쿠키,0,0,0,1,0,0,False,65856,24051,1,4,1,3,0,0
2000240,루클로의 편지,루클로의 편지,루클로의 편지,0,0,0,1,0,0,False,65982,25918,1,1,1,3,0,0
2000241,광산 철도 시간표,광산 철도 시간표,광산 철도 시간표,0,0,0,1,0,0,False,65925,26151,1,1,1,3,0,0
2000242,여물용 기살의 야채,여물용 기살의 야채,여물용 기살의 야채,0,0,0,1,0,0,False,65910,25218,1,3,1,3,0,0
2000243,지식강의 생피,지식강의 생피,지식강의 생피,0,0,0,1,0,0,False,65974,22601,1,1,1,3,0,0
2000244,사교의 염주,사교의 염주,사교의 염주,0,0,0,1,0,0,False,0,21265,1,99,1,0,0,0
2000245,빛나는 반지,빛나는 반지,빛나는 반지,0,0,0,1,0,0,False,65687,54421,1,1,1,3,0,0
2000246,특제 민물가재 떡밥,특제 민물가재 떡밥,특제 민물가재 떡밥,0,0,0,1,0,0,False,65922,21003,1,1,1,3,0,0
2000247,문투이 콩,문투이 콩,문투이 콩,0,0,0,1,0,0,False,65922,22628,1,1,1,3,0,0
2000248,새로 만든 판금 갑옷,새로 만든 판금 갑옷,새로 만든 판금 갑옷,0,0,0,1,0,0,False,65922,48008,1,1,1,3,0,0
2000249,뮨의 편지,뮨의 편지,뮨의 편지,0,0,0,1,0,0,False,65983,25918,1,1,1,3,0,0
2000250,오동나무 상자,,오동나무 상자,0,0,0,1,0,0,False,65984,21002,1,1,1,3,0,0
2000251,밀렵된 짐승 가죽,밀렵된 짐승 가죽,밀렵된 짐승 가죽,0,0,0,1,0,0,False,0,23001,0,99,1,0,0,0
2000252,도둑맞은 물건,도둑맞은 물건,도둑맞은 물건,0,0,0,1,0,0,False,0,21003,0,99,1,0,0,0
2000253,골렘 파편,골렘 파편,골렘 파편,0,0,0,1,0,0,False,0,21202,0,99,1,0,0,0
2000254,땅 정령의 핵,땅 정령의 핵,땅 정령의 핵,0,0,0,1,0,0,False,0,21202,0,99,1,0,0,0
2000255,빼앗긴 짐,빼앗긴 짐,빼앗긴 짐,0,0,0,1,0,0,False,0,21003,0,99,1,0,0,0
