#,Unknown0,Unknown1,Unknown2,Unknown3,Pet,Action,Location,Unknown7,Unknown8,Unknown9,LocationKey,Unknown11[0],Unknown11[1],Unknown11[2],Unknown11[3],Unknown11[4],Unknown11[5],Unknown11[6],Unknown11[7],Unknown11[8],Unknown11[9],Unknown11[10],Unknown23,Unknown25,Unknown27,Unknown29,Unknown31
10,"교역을 통해 서방의 투랄 대륙에서 전파된 대형 벌. 몸집이 크고 번식력도 왕성해서 재래종을 멸종시켜 버리지는 않을지 걱정을 사고 있다. 독액이 든 침을 발사하는 능력을 갖고 있어, 제거하려면 세심한 주의를 기울여야 한다.",물리 찌르기속성 피해+독,적에게 물리 찌르기속성 피해+실행 후 강제 귀환,242010,57,45187,43,2,37,1,1,97,97,97,97,97,False,False,False,False,False,True,False,False,False,False,False
11,"에오르제아 전역에 분포하는 육식 괴조. 썩은 고기를 찾아다니기에 신화에서는 부정한 유혹자로 자주 등장한다. 전사자가 나올 것을 기대하고 군대를 따라다니는 경우가 있어, 특히 병사들이 불길하게 여기는 경향이 있다.",마법 바람속성 피해,적에게 마법 바람속성 피해+디스펠,242011,58,48646,42,3,5,2,1,100,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
12,"제7재해 후 나타나기 시작한 식물형 생물. 지능이 있는 것으로 보이며, 개체끼리 소통하는 수단이 있는 듯하지만 확실한 것은 알 수 없다. 최근에는 종이 다른 채소끼리 결탁하여 함께 행동하는 모습도 종종 확인된다.",물리 타격속성 피해,적에게 마법 무속성 피해+과중력,242012,59,45188,30,4,36,2,1,91,91,100,100,100,False,False,False,False,False,True,False,False,False,True,False
13,"밤안개를 틈타 모습을 드러내는 막강한 사령. 머리와 몸통에 얼굴 형태의 문양이 있는 등, 같은 시체강에 속하는 바다 유령과 공통점이 많다. 묘지나 전장 같은 장소에 나타나기 때문에, 사람들의 공포심을 구현한 존재라고 생각하는 자도 있는 듯하다.",마법 번개속성 피해,아군에게 HP 흡수 효과,242013,60,49692,54,8,6,5,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
14,"벌레를 잡기 위해 나무에서 나무로 날아다니는 날개 달린 도마뱀. 천성이 사나워, 영역에 침입한 자가 자기보다 클지라도 과감하게 맞선다. 그리다니아에서는 실력이 따르지 않는 자를 낮잡아 부를 때 이 이름을 사용하기도 한다.",마법 불속성 피해,적에게 물리 베기속성 피해+밀쳐내기,242014,61,45187,30,6,47,2,1,100,88,91,100,100,False,False,False,False,False,False,False,False,False,False,False
15,"세계 각지에 분포하는 중형 갑각류. 살에서는 독특한 냄새가 나기 때문에 식용으로 사용되는 경우는 적다. 일부 개체는 어릴 때 몸을 숨기기 위해 사용했던 물건을 성장 후에도 계속 갖고 다니는데, 그 모습이 마치 철모를 쓴 듯하다.",마법 물속성 피해,자신에게 헤이스트,242015,62,48648,42,5,12,2,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,False
16,"남해 제도의 열대우림에 서식하는, 커다랗고 난폭한 사마귀. 평원 부족이 집단으로 이주할 때 라노시아로 함께 진출했다. 재래종 야생 생물과 방심한 사람들을 먹잇감으로 삼아 급속도로 개체 수가 증가하여 완전히 정착하게 된 듯하다.",물리 베기속성 피해,적에게 마법 무속성 피해+받는 물리 피해량 증가,242016,63,45186,33,2,27,1,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,False
17,"사체와 썩은즙, 혹은 부정한 폐수에 토지의 에테르가 작용하여 생겨난 반마법 생명체. 우연히 발생하는 경우가 많지만, 악취미를 가진 연금술사나 마법사들이 의도적으로 만든 사례도 확인된다.",마법 무속성 피해+마수조련사의 HP 회복,적에게 마법 무속성 피해+속박,242017,64,49689,3,8,40,5,2,97,1,97,97,97,False,False,False,False,False,False,False,False,True,False,False
18,"판금 갑옷을 매개체로 한 골렘의 일종. 고대 마도사들의 꼭두각시라는 것이 일반적인 견해지만, 영혼 조각이 깃든 망령이라는 설과 이계의 영혼이 깃든 요마로 보는 설도 존재한다. 어느 쪽이든 가능성은 충분할 것이다.",물리 베기속성 피해,아군에게 주는 물리 피해량 증가 효과 부여,242018,65,45186,7,7,15,2,2,97,97,97,97,97,False,False,False,True,False,False,False,False,False,False,False
19,"동굴이나 나무 동굴 등 어두컴컴한 곳에 둥지를 트는 날개 달린 짐승. 낮에는 둥지에 숨어 있다가, 밤이 되면 밖으로 날아간다. 날벌레나 과일, 혈액 등 종에 따라 주식은 다르지만, 배설물은 옛날부터 연료나 비료 등으로 이용되어 왔다.",마법 무속성 피해+마수조련사의 HP 회복,적에게 마법 무속성 피해+명중률 감소+아군의 약화 효과 해제,242019,66,49689,31,3,16,2,1,94,94,94,94,94,False,False,False,False,True,False,False,False,False,False,False
20,"삼림과 초원에 분포하는 식충식물. 꽃잎을 의태해, 다가온 대형 곤충을 잎사귀의 점액으로 고정하고, 뿌리를 박아 체액을 빨아들인다. 과거에는 이 종을 관엽식물로 개량하는 데 도전했다가 양분이 되어버린 어리석은 자도 있다고 한다.",마법 바람속성 피해+밀쳐내기+독,적에게 마법 무속성 피해+받는 마법 피해량 증가,242020,67,49697,54,4,16,2,1,100,97,97,97,97,False,False,False,False,False,True,False,False,False,False,False
21,"잘 발달된 두 다리로 대지를 질주하는 육식동물. 깃털이 있지만 박물학적으로는 랩터의 근연종으로 보이며, 갑린강으로 분류된다. 체내에서 다양한 독소를 생성할 수 있는데, 이 때문에 먹는 먹이의 종류에 따라 깃털 색이 변화한다고 한다.",마법 얼음속성 피해,적에게 마법 무속성 피해+석화,242021,68,48644,33,6,5,2,1,97,94,97,97,97,False,True,False,False,False,False,False,False,False,False,False
22,건조한 지방에 서식하는 이동형 선인장. 가혹한 환경에서 살아남기 위해 위협을 느끼면 바늘을 발사하여 방어 행동을 취한다. 최근에는 오락장의 마스코트로 활용되어 부주의하게 다가가는 사람이 늘어나 문제가 되고 있는 듯하다.  ,물리 찌르기속성 피해,아군에게 양날의 검,242022,69,45187,42,4,18,2,1,97,94,94,94,94,False,False,False,False,False,True,False,False,False,False,False
23,"생명이 없는 진흙이나 돌덩어리에 일시적으로 생명을 준 마법 생명체. 마도사가 인공적으로 만든 사례도 많지만, 재해의 영향 등으로 환경 에테르가 흐트러진 경우 등 특정 조건에서 자연적으로 발생하는 사례가 확인되고 있다.",마법 땅속성 피해,적에게 마법 땅속성 피해+땅속성 저항 감소,242023,70,48647,45,7,25,2,1,94,94,94,94,94,False,False,False,True,False,False,False,False,False,False,False
24,"주로 해변에 서식하는 대형 바닷새. 날개를 이용해 바닷속을 헤엄치며 정어리 같은 소형 물고기를 먹는데, 위기를 느끼면 위에 모아둔 물고기를 세게 토해내어 공격하기도 한다. 이때 물고기에 참치 등 대형 물고기의 환영을 덧입혀 위협한다고 한다. ",마법 물속성 피해,적에게 마법 물속성 피해+둔화,242024,71,45187,32,3,48,2,1,97,97,97,97,85,True,False,False,False,False,False,False,False,False,False,False
25,"사베네어 섬 원산의 거대 육지거북. 제6성력 말기에 축제용으로 수입된 '도도 알' 사이에 이 거북알이 섞여 있었고, 그중 일부가 부화해 야생으로 퍼졌다. 알은 에오르제아 삼대 진미 중 하나로도 알려져 있다.",마법 번개속성 피해,아군에게 받는 물리 피해량 감소+석화 저항 증가,242025,72,49692,43,6,44,2,1,94,97,94,94,94,False,False,False,False,False,False,False,False,False,False,False
26,"튼튼한 네다리와 옆으로 뻗은 긴 뿔을 가진 커다란 물소. 티놀카나 라노시아 변경 마을에서 농경이나 식육용으로 키우고 있으나, 도망쳐서 야생화한 개체도 있는 듯하다. 큰 몸집에 의한 위협적인 짓밟기에 부상을 입는 새내기 모험가도 많다.",물리 타격속성 피해,적에게 마법 무속성 피해+기절,242026,73,45188,30,1,30,3,1,88,88,88,88,88,False,False,False,False,False,False,True,False,False,False,False
27,고대도시 니므의 사람들이 식용으로 삼기 위해 마법으로 거대화시킨 조개류의 후예. 식감은 좋지만 아무 맛도 느껴지지 않아서 지금은 거의 먹지 않는다. 요리사 길드가 어떻게든 활용하고자 연구 중이라고 한다.,마법 얼음속성 피해,적에게 마법 무속성 피해+독,242027,74,48644,42,5,39,2,1,91,91,91,91,91,False,False,False,False,False,True,False,False,False,False,False
28,"원통 모양의 육체를 가진 거대한 환형동물. 몸을 잘게 떨어 모래를 액체화하여 모래 위를 빠르게 이동한다. 성장해도 변태하는 일 없이 계속 커지기에, 몸길이는 연령과 비례한다.",마법 땅속성 피해+실명,적에게 마법 땅속성 피해+과중력,242028,75,49694,45,2,26,2,1,91,91,91,91,91,False,False,False,False,True,False,False,False,False,True,False
29,"암반 지대나 광산에 출몰하는 칠흑색 마물. 스프리건이 주술강으로 분류되는 이유는, 고전서 '백석대도감'에서 언급된 ""그들은 돌에 조종당하고 있을 뿐이다""라는 구절 때문이다. 인간의 말을 이해할 만큼 뛰어난 지성을 가진 개체도 있다고 한다.",마법 불속성 피해,적에게 7회 물리 타격속성 피해,242029,76,49691,43,7,33,2,1,91,91,100,91,91,False,False,False,True,False,False,False,False,False,False,False
30,"산처럼 거대한 이족보행 동물. 머리에 난 이끼와는 공생 관계이다. 이끼로 모습을 위장하는 대신, 수분을 공급해 준다. 배가 고프면 눈앞에서 움직이는 모든 것을 거대한 입으로 집어삼키지만, 재채기와 함께 튀어나오는 경우도 많다고 한다.",물리 타격속성 피해,적에게 마법 무속성 피해+질병,242030,77,45188,31,1,21,3,1,85,85,85,85,85,False,False,False,False,False,False,False,False,False,True,False
31,비대화한 신체에 짤막한 사지를 가진 거대 두꺼비. 끈적끈적한 혀를 재빠르게 뻗어 딱정벌레속 등의 대형 곤충을 붙잡아서 통째로 삼키는 모습이 압권이다. 극동에서는 '두꺼비'라고 불리는 근연종을 사역마로 삼는 닌자가 있다고 한다.,마법 얼음속성 피해,적에게 물리 타격속성 피해+끌어당기기+명중률 감소,242031,78,45188,31,5,19,2,1,88,88,88,88,88,False,False,False,False,True,False,False,False,False,False,False
32,"남쪽 바다에서 온 빛깔이 화려한 새. 꽃의 꿀을 빨기 위해 부리의 형태가 독특하게 변했다고 한다. 빛나는 물건을 좋아하는 특성이 있는데, 종종 인간의 말을 흉내 내어 상인의 관심을 끈 다음 방심한 틈을 타 귀중품을 훔치기도 한다는 모양이다.",물리 찌르기속성 피해,적에게 5회 물리 찌르기속성 피해,242032,79,45187,32,3,50,2,1,88,88,88,88,88,False,False,False,False,False,False,False,False,False,False,False
33,"사납기로 악명 높은, 근동 지역에서 온 네발 달린 육식동물. 자유롭게 움직일 수 있는 2개의 더듬이에서 전기를 쏘아 사냥감을 마비시킨 다음 잡아먹는다. 전투용으로 조련한 커얼을 해적이 부리는 모습이 목격되기도 한다.",마법 번개속성 피해,적에게 마법 번개속성 피해+마비+번개속성 저항 감소,242033,80,48645,350,1,14,3,1,94,94,94,94,79,False,False,True,False,False,False,False,False,False,False,False
34,"삼림지대에 서식하는 이족보행을 하는 육식 도마뱀. 새는 아니지만, 사냥감을 향해 날아가듯이 질주하며 사냥하기 때문에 맹금류라고 불린다. 짝과 함께 사냥하는 것으로도 알려져 있으며, 유대감이 매우 깊다고 한다.",마법 얼음속성 피해,적에게 마법 불속성 피해+불속성 저항 감소,242034,81,48644,54,6,14,2,1,91,91,100,91,91,False,False,False,False,False,False,False,False,False,False,False
35,"사냥감을 작열하는 숨결로 태워서 잡아먹는 흉포한 대형 짐승. 아말쟈족이 키우는 짐승 혹은 드래곤족의 권속으로 알려져 있다. 종에 따라서 내뿜는 숨결이 다른데, 불꽃 대신 번개를 무기로 사용하는 아종은 번개도마뱀이라 불린다.",마법 불속성 피해,아군에게 받는 마법 피해량 감소 효과 부여+불속성 저항 증가,242035,82,49691,45,6,46,2,1,88,100,88,88,88,False,False,False,False,False,False,False,False,False,False,False
36,"이동성 거목. 평소에는 나무로 의태하여 움직이지 않지만, 배가 고프면 몸을 움직여 동식물을 포획한 후 입에 던져 넣는다. 마을 근처에서 목격되는 경우도 많지만, 대체로 온순하여 검은장막 숲에서는 '숲의 수호신'으로 불리는 친숙한 존재이다.",마법 땅속성 피해+악몽,적에게 마법 바람속성 피해+밀쳐내기,242036,83,48647,54,4,10,2,1,94,100,91,91,91,False,False,False,False,False,True,False,True,False,False,False
37,"건조한 지역에 퍼져 있는 거대한 개미. 지성은 없지만, 여왕을 중심으로 고도로 통제된 사회생활을 한다. 거대개미들이 지하에 짓는 둥지는 무리 규모가 클수록 장대해지고 미궁처럼 복잡해지므로 섣불리 들어가면 위험하다.",물리 찌르기속성 피해,적에게 둔화+아군에게 그림자 극성 저항 증가,242037,84,45186,12,2,32,1,2,88,88,88,88,88,True,False,False,False,False,False,False,False,False,False,False
38,"사자, 산양, 용 머리가 달린 기괴한 마물. 등에 달린 날개는 박쥐와도 같고, 꼬리는 전갈 꼬리를 연상시키는 등, 여러 짐승의 특징을 동시에 가지고 있다. 합성수를 뜻하는 '키메라'라는 단어의 어원이 바로 이 마물이다.",마법 불속성 피해+대상이 빙결 상태일 시 추가 피해,적에게 마법 얼음속성 피해+빙결+얼음속성 저항 감소,242038,85,45186,12,1,21,3,2,79,79,79,100,94,False,True,False,False,False,False,False,False,False,False,False
39,"기어다니는 대형 육식식물. 포식기관에서 강력한 악취를 풍겨 사냥감을 잡아먹는 것으로 알려진다. 종류, 서식지, 잡아먹은 사냥감에 따라 악취의 질이 달라지는데, 궁극의 향을 얻기 위해 몰볼을 기르는 호사가도 있다고 한다.",물리 찌르기속성 피해,적에게 마법 무속성 피해+둔화+실명+마비,242039,86,45188,54,4,22,2,1,88,88,88,88,88,True,False,True,False,True,True,False,False,False,False,False
40,"인간이 사고사를 당한 곳에서 나타나기 때문에 미련을 남기고 죽은 자의 영혼이 이승을 헤매는 것이라고 하는 부유체. 불길한 저주를 내뱉으며 떠다니는 영체 같지만, 동물처럼 탄력 있는 피막을 가지고 있어 수수께끼에 싸인 부분이 많다.",마법 바람속성 피해+죽음의 선고,적에게 마법 무속성 피해+죽음의 선고+대상이 질병 상태인 경우 추가 피해,242040,87,49693,30,8,17,5,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,True
41,"강바닥에서 생활하는 대형 양서류. 물속에 엎드린 채 기회를 살피다가, 정수리의 발뢰 기관으로 번개를 쏘아 사냥감을 마비시킨 후 통째로 삼킨다. 그 밖에도 끈적한 물방울을 던져 사냥감의 자유를 빼앗는 등 다양한 공격 수단을 가지고 있는 듯하다.",마법 물속성 피해,적에게 마법 무속성 피해+받는 마법 피해량 증가,242041,88,48648,54,5,16,2,1,85,85,85,85,85,False,False,False,False,False,False,False,False,False,False,False
42,"인간을 통째로 삼킬 정도로 거대한 몸을 자랑하는 큰 뱀. 이상하리만큼 생명력이 강하기 때문에, 피를 연금약으로 쓸 수 있지 않을까 하여 포획에 도전했다가 실패하는 사례가 끊이지 않는다. 피에 실제로 유효 성분이 포함되어 있는지는 확인되지 않았다.",물리 찌르기속성 피해+독,적에게 마법 무속성 피해+석화,242042,89,45187,67,6,30,2,1,85,85,85,85,85,False,True,False,False,False,True,False,False,False,False,False
43,"고대 알라그 문명이 드래곤족을 바탕으로 만든 키메라 생물. 여러 개의 머리에서 나오는 다양한 숨결로 적을 압도한다. 드래곤족과 다르게 지성이 없어, 종종 머리끼리 대립하다 처절한 내분을 일으키기도 한다.",물리 찌르기속성 피해,적에게 마법 무속성 피해+질병,242043,90,45186,75,6,13,3,2,82,82,82,82,82,False,False,False,False,False,False,False,False,False,True,False
44,"가늘고 긴 울퉁불퉁한 몸체와 6쌍의 날개를 가진 육식성 날벌레. 영역 의식이 강해서 산란지인 물가를 중심으로 순회하는 모습을 볼 수 있다. 종종 대형 파리가 기생하여, 배에서 유충이 채집되기도 한다.",마법 바람속성 피해,적에게 마법 무속성 피해+독,242044,91,49693,22,2,41,1,2,85,85,85,85,85,False,False,False,False,False,True,False,False,False,False,False
45,부정한 포자의 못자리가 되어 썩어버린 구부. 체내에 번식한 균류에 의해 사후에도 꼭두각시처럼 움직여서 다음 번식지로 이동한다. 이 포자가 인간에게도 악영향을 미치는지에 대한 여부는 학회에서도 결론이 나지 않았다.,마법 땅속성 피해,적에게 마법 무속성 피해+끌어당기기,242045,92,49694,22,8,29,5,2,91,97,91,91,91,False,False,False,False,False,False,False,False,False,False,False
46,"계절풍을 타고 철을 따라 옮겨 다니는 것으로 알려진 거대 새. 제7재해 직후에 목격 사례가 늘어나 시민들 사이에서 불안감이 확산되자, 울다하에서는 '즈를 한 방에 처리하는 검'이라는 수상한 사기 상품이 시장에 나돌게 되었다.",물리 타격속성 피해+이동,적에게 마법 바람속성 피해+바람속성 저항 감소,242046,93,49698,17,3,15,3,2,85,85,85,85,97,False,False,False,False,False,False,False,False,False,False,False
47,"얼음덩어리에 일시적인 생명이 깃든 마법 생명체. 자연 발생하는 경우도 없지는 않으나, 마도사에 의해 만들어진 경우가 대부분이다. 과거 마법대전에서 얼음 병단을 이끌고 싸우는 마도사가 있었다는 기록도 남아 있다.",마법 얼음속성 피해,아군에게 주는 마법 피해량 증가 효과 부여,242047,94,49690,27,7,28,3,2,88,88,88,88,88,False,False,False,True,False,False,False,False,False,False,False
48,바다에 사는 대형 갑각류. 가위처럼 생긴 꼬리 끝부분으로 수서강 마물을 잡아 절단한 후 그 내장을 빨아 먹는다. 어느 운하에 숨어서 수많은 배를 침몰시켜 배의 무덤을 만들었다는 일화도 남아 있다.,물리 찌르기속성 피해,적에게 마법 물속성 피해+종종 대상의 HP를 한 자릿수로 만드는 효과 부여,242048,95,49695,28,5,24,3,2,82,82,82,82,82,False,False,False,False,False,False,False,False,False,False,True
49,"멸종된 것으로 여겨졌던 사람을 먹는 요괴꽃. 제7재해 당시 고대의 지층이 드러나면서 씨앗이 노출된 것인지, 최근 목격 사례가 잇따르고 있다. 독특한 향기로 벌을 유인해 조종한다고 하는데, 이것을 이상하리만치 혐오하는 모험가도 있다.",마법 바람속성 피해,적에게 마법 무속성 피해+죽음의 선고,242049,96,45187,98,4,49,3,2,85,85,85,85,85,False,False,False,False,False,True,False,False,False,False,True
50,"비정상적으로 발달한 근육을 가진 육식동물. 제7재해 후부터 목격되기 시작했기에, 야만신 바하무트가 떨군 분신이란 뜻으로 ‘베히모스’라는 이름이 붙었다. 최근에는 아주 먼 옛날부터 존재했던 생물이라는 견해가 주류를 이룬다.",마법 번개속성 피해,적에게 마법 불속성 피해,242050,97,48645,92,1,26,4,2,76,76,76,76,97,False,False,False,False,False,False,False,False,False,False,False
